Nama Wilayah,,,
,Garis Kemiskinan Menurut Kabupaten/Kota (Rupiah/kapita/bulan),,
Bintan,147490,174756,188020
Natuna,100867,94243,107469
Lingga,-,198261,213768
Kepulauan Anambas,-,-,-
Kota Batam,238828,214309,230708
Kota Tanjung Pinang,235633,264519,276251
DKI JAKARTA,197306,237735,250298
Kepulauan Seribu,184172,270071,279600
Kota Jakarta Selatan,234886,263740,276626
Kota Jakarta Timur,197300,220855,232826
Kota Jakarta Pusat,215290,209929,218777
Kota Jakarta Barat,193289,211074,220412
Kota Jakarta Utara,225443,212490,224708
JAWA BARAT,137929,133701,149673
Bogor,130927,140968,146710
Sukabumi,111202,132633,139165
Cianjur,121902,130521,141603
Bandung,133578,137209,152096
Garut,108266,111974,122972
Tasikmalaya,116024,117083,127576
Ciamis,123217,138963,152152
Kuningan,130531,145233,154250
Cirebon,120346,144046,157475
Majalengka,122685,160044,185099
Sumedang,154743,146554,165337
Indramayu,159901,152601,173277
Subang,150674,163748,180577
Purwakarta,123484,146792,162014
Karawang,134675,165397,178019
Bekasi,114624,160136,172982
Bandung Barat,-,-,-
Pangandaran,-,-,-
Kota Bogor,168111,169570,185185
Kota Sukabumi,131738,154839,181800
Kota Bandung,173945,153142,167102
Kota Cirebon,126523,162799,164549
Kota Bekasi,163385,197057,215245
Kota Depok,162352,204552,221615
Kota Cimahi,156533,180870,198832
Kota Tasikmalaya,139350,130528,146400
Kota Banjar,96653,106830,113763
JAWA TENGAH,126651,130013,142337
Cilacap,123822,128671,135406
Banyumas,140153,152121,158253
Purbalingga,132016,144515,146178
Banjarnegara,119127,126543,136765
Kebumen,107637,137095,149986
Purworejo,118385,128427,138748
Wonosobo,128514,134488,139766
Magelang,113953,113279,120111
Boyolali,121025,120685,136787
Klaten,160796,180085,191910
Sukoharjo,150254,129392,145884
Wonogiri,132197,130016,137241
Karanganyar,134693,148987,156733
Sragen,136527,147361,158011
Grobogan,126471,138103,151133
Blora,112729,120701,126957
Rembang,139921,141530,152740
Pati,160096,159558,172821
Kudus,152203,156462,164758
Jepara,134066,155376,163028
Demak,136777,142593,155282
Semarang,171907,143695,150294
Temanggung,106292,111249,120580
Kendal,150584,140676,156491
Batang,96516,106644,118985
Pekalongan,151665,150604,161603
Pemalang,125554,128309,144570
Tegal,126516,140441,150438
Brebes,133321,137298,151922
Kota Magelang,163504,157233,167813
Kota Surakarta,154749,169956,183766
Kota Salatiga,136723,150854,161527
Kota Semarang,133814,162723,167404
Kota Pekalongan,139571,136266,144066
Kota Tegal,167621,171462,184872
D I YOGYAKARTA,134371,148476,170720
Kulon Progo,129057,144076,162158
Bantul,126748,159538,177591
Gunung Kidul,121436,132134,147995
Sleman,154689,182355,192445
Kota Yogyakarta,168310,214694,235801
JAWA TIMUR,127524,128598,145205
Pacitan,108907,116407,135684
Ponorogo,113108,115253,128985
Trenggalek,104008,97841,120015
Tulungagung,131699,146619,165612
Blitar,124228,122047,147545
Kediri,114078,113963,132591
Malang,110788,116518,134582
Lumajang,103152,114889,122236
Jember,102,110798,125305
Banyuwangi,125852,143180,154199
Bondowoso,125855,126007,141782
Situbondo,114362,109095,132613
Probolinggo,131215,133165,147571
Pasuruan,135756,142436,151269
Sidoarjo,155809,171379,190991
Mojokerto,137205,148703,171097
Jombang,132045,152175,166646
Nganjuk,119543,141055,164648
Madiun,125155,130471,151661
Magetan,119386,115424,132439
Ngawi,113133,122563,137480
Bojonegoro,114085,124409,138501
Tuban,121407,136061,144588
Lamongan,145808,162281,172062
Gresik,174143,198606,211785
Bangkalan,117161,128071,153382
Sampang,130333,140953,150142
Pamekasan,133362,125473,138201
Sumenep,138383,139015,152545
Kota Kediri,154328,149767,178910
Kota Blitar,150113,143238,168903
Kota Malang,160061,167375,190145
Kota Probolinggo,167914,175951,197818
Kota Pasuruan,151586,140375,164089
Kota Mojokerto,149729,136573,166204
Kota Madiun,123923,142974,166898
Kota Surabaya,164834,191061,202188
Kota Batu,141228,171270,195555
BANTEN,133534,150209,160688
Pandeglang,133300,135943,144543
Lebak,125097,119757,125277
Tangerang,132108,175458,190584
Serang,111352,126617,133582
Kota Tangerang,172188,185053,209937
Kota Cilegon,141386,160521,174459
Kota Serang,-,-,-
Kota Tangerang Selatan,-,-,-
BALI,147617,152519,161763
Jembrana,159386,179961,186451
Tabanan,163136,195271,205097
Badung,142080,208271,217507
Gianyar,148762,164642,170300
Klungkung,217671,147874,158478
Bangli,156371,130792,144944
Karang Asem,113568,120248,128159
Buleleng,127678,134516,148019
Kota Denpasar,179378,205368,215936
NUSA TENGGARA BARAT,116145,118891,140712
Lombok Barat,121022,132784,147578
Lombok Tengah,116056,139366,154290
Lombok Timur,118740,137050,150688
Sumbawa,144196,142916,162769
Dompu,122797,116123,135109
Bima,93421,109522,136502
Sumbawa Barat,-,149528,193913
Lombok Utara,-,-,-
Kota Mataram,117114,143120,168280
Kota Bima,99052,120614,135033
NUSA TENGGARA TIMUR,102695,98263,114982
Sumba Barat,93882,109713,128931
Sumba Timur,110479,112064,126960
Kupang,96416,98125,120115
Timor Tengah Selatan,95207,86584,99812
Timor Tengah Utara,104810,103108,116706
Belu,97100,83887,99183
Alor,95540,94866,108271
Lembata,112341,111305,127218
Flores Timur,105049,111239,118034
Sikka,101419,97115,105270
Ende,93279,99229,113184
Ngada,101893,87832,107372
Manggarai,102511,95447,111052
Rote Ndao,84811,91070,100107
Manggarai Barat,101175,102096,110184
Sumba Tengah,-,-,-
Sumba Barat Daya,-,-,-
Nagekeo,-,-,-
Manggarai Timur,-,-,-
Sabu Raijua,-,-,-
Malaka,-,-,-
Kota Kupang,112962,124145,151112
KALIMANTAN BARAT,118838,124804,134747
Sambas,109908,123976,139468
Bengkayang,113265,108178,118932
Landak,98609,113455,126325
Pontianak,106481,127159,133751
Sanggau,99107,111688,120902
Ketapang,118686,143411,154070
Sintang,132380,135390,154585
Kapuas Hulu,150816,131661,141617
Sekadau,-,108013,115857
Melawi,-,143457,162950
Kayong Utara,-,-,-
Kubu Raya,-,-,-
Kota Pontianak,160881,143802,158130
Kota Singkawang,112265,150722,158730
KALIMANTAN TENGAH,134374,136309,151905
Kotawaringin Barat,128841,152316,160836
Kotawaringin Timur,146075,144534,162068
Kapuas,125695,101118,115714
Barito Selatan,120257,143364,165281
Barito Utara,141579,139576,162490
Sukamara,92706,178551,195805
Lamandau,118580,153648,174853
Seruyan,148731,133722,141938
Katingan,117859,137646,154532
Pulang Pisau,95134,148202,152487
Gunung Mas,133714,131129,161768
Barito Timur,135895,146207,172697
Murung Raya,108039,136661,153539
Kota Palangka Raya,106728,152666,159875
KALIMANTAN SELATAN,121879,128598,147915
Tanah Laut,126391,134156,159626
Kota Baru,137888,145157,153459
Banjar,104466,116596,132029
Barito Kuala,109686,105752,126197
Tapin,117150,115697,140743
Hulu Sungai Selatan,127835,132580,152307
Hulu Sungai Tengah,111519,117091,139356
Hulu Sungai Utara,115961,127023,140669
Tabalong,107964,124084,152152
Tanah Bumbu,137205,159347,166868
Balangan,115006,114769,141675
Kota Banjarmasin,109057,120567,137388
Kota Banjar Baru,136535,135888,152451
KALIMANTAN TIMUR,165755,189851,207282
Paser,141437,152634,158552
Kutai Barat,177541,188634,202109
Kutai Kartanegara,169052,177088,199960
Kutai Timur,181000,196261,217228
Berau,130393,202660,211500
Penajam Paser Utara,171476,171657,176681
Mahakam Hulu,-,-,-
Kota Balikpapan,153893,154450,169637
Kota Samarinda,160414,179646,202572
Kota Bontang,204797,167486,194687
KALIMANTAN UTARA,165755,189851,207282
Malinau,339182,258499,271583
Bulungan,201786,161240,171809
Tana Tidung,-,-,-
Nunukan,171122,168489,174504
Kota Tarakan,167306,187023,210510
SULAWESI UTARA,136470,130929,145285
Bolaang Mongondow,118324,133911,141811
Minahasa,131220,129503,147002
Kepulauan Sangihe,136044,118985,137755
Kepulauan Talaud,120654,114495,130525
Minahasa Selatan,164969,140478,163465
Minahasa Utara,-,140555,154702
Bolaang Mongondow Utara,-,-,-
Siau Tagulandang Biaro,-,-,-
Minahasa Tenggara,-,-,-
Bolaang Mongondow Selatan,-,-,-
Bolaang Mongondow Timur,-,-,-
Kota Manado,144230,155301,174277
Kota Bitung,167158,173621,183234
Kota Tomohon,160088,189946,193024
Kota Kotamobagu,-,-,-
SULAWESI TENGAH,124133,131524,147443
Banggai Kepulauan,128343,122636,136786
Banggai,115064,150491,157307
Morowali,147643,127105,155207
Poso,113518,171761,185387
Donggala,111846,111202,131084
Toli-Toli,119569,116136,139437
