Nama Wilayah,,,
,Persentase Penduduk Miskin (P0) Menurut Kabupaten/Kota (Persen),,
Bangka Tengah,4.86,5.29,5.94
Bangka Selatan,3.22,3.11,3.74
Belitung Timur,6.49,6.73,6.36
Kota Pangkal Pinang,4.55,4.27,4.04
KEPULAUAN RIAU,6.24,5.69,5.37
Karimun,6.87,5.95,5.78
Bintan,6.44,5.9,5.44
Natuna,5.32,5.25,5.04
Lingga,14.05,11.26,9.99
Kepulauan Anambas,7.51,6.95,6.67
Kota Batam,5.19,5.02,4.85
Kota Tanjung Pinang,9.85,7.95,6.86
DKI JAKARTA,4.69,4.44,4.3
Kepulauan Seribu,14.11,13.13,13.03
Kota Jakarta Selatan,3.52,3.1,3.03
Kota Jakarta Timur,4.3,4.2,4.09
Kota Jakarta Pusat,4.9,4.68,4.63
Kota Jakarta Barat,4.22,4.09,3.94
Kota Jakarta Utara,7.24,6.78,6.44
JAWA BARAT,8.06,7.62,7.46
Bogor,7.73,7.27,7.05
Sukabumi,7.34,7.01,6.87
Cianjur,10.55,10.22,10.14
Bandung,6.8,6.4,6.19
Garut,10.42,9.77,9.68
Tasikmalaya,10.73,10.28,10.23
Ciamis,7.72,7.42,7.39
Kuningan,12.76,12.12,11.88
Cirebon,12.01,11.2,11
Majalengka,11.94,11.21,10.82
Sumedang,10.14,9.36,9.1
Indramayu,12.77,12.13,11.93
Subang,9.75,9.52,9.49
Purwakarta,8.7,8.46,8.41
Karawang,8.44,7.87,7.86
Bekasi,5.01,4.93,4.8
Bandung Barat,10.82,10.52,10.49
Pangandaran,9.32,8.98,8.75
Kota Bogor,7.1,6.67,6.53
Kota Sukabumi,8.02,7.5,7.2
Kota Bandung,4.25,3.96,3.87
Kota Cirebon,9.82,9.16,9.02
Kota Bekasi,4.43,4.1,4.01
Kota Depok,2.53,2.38,2.34
Kota Cimahi,5.11,4.66,4.39
Kota Tasikmalaya,12.72,11.53,11.1
Kota Banjar,6.73,6.14,5.85
JAWA TENGAH,10.93,10.77,10.47
Cilacap,11.02,10.99,10.68
Banyumas,12.84,12.53,11.95
Purbalingga,15.3,14.99,14.18
Banjarnegara,15.2,14.9,14.71
Kebumen,16.41,16.34,15.71
Purworejo,11.53,11.33,10.87
Wonosobo,16.17,15.58,15.28
Magelang,11.09,10.96,10.83
Boyolali,9.82,9.81,9.63
Klaten,12.33,12.28,12.04
Sukoharjo,7.61,7.58,7.47
Wonogiri,10.99,10.94,10.71
Karanganyar,9.85,9.79,9.59
Sragen,12.94,12.87,12.41
Grobogan,11.8,11.72,11.43
Blora,11.53,11.49,11.42
Rembang,14.65,14.17,14.02
Pati,9.33,9.31,9.17
Kudus,7.41,7.24,7.23
Jepara,6.88,6.61,6.09
Demak,12.09,12.01,11.89
Semarang,7.27,7.17,6.96
Temanggung,9.33,9.26,8.67
Kendal,9.48,9.39,9.35
Batang,8.98,8.92,8.73
Pekalongan,9.67,9.67,8.95
Pemalang,15.06,15.03,14.92
Tegal,7.9,7.3,6.81
Brebes,16.05,15.78,15.6
Kota Magelang,7.1,6.11,5.94
Kota Surakarta,8.84,8.44,8.31
Kota Salatiga,4.73,4.66,4.57
Kota Semarang,4.25,4.23,4.03
Kota Pekalongan,7,6.81,6.71
Kota Tegal,7.91,7.68,7.64
D I YOGYAKARTA,11.34,11.04,10.83
Kulon Progo,16.39,15.64,15.62
Bantul,12.27,11.96,11.66
Gunung Kidul,15.86,15.6,15.18
Sleman,7.74,7.52,7.46
Kota Yogyakarta,6.62,6.49,6.26
JAWA TIMUR,10.38,10.35,9.79
Pacitan,13.8,13.65,13.08
Ponorogo,9.32,9.53,9.11
Trenggalek,10.96,10.63,10.5
Tulungagung,6.71,6.53,6.28
Blitar,8.71,8.69,8.16
Kediri,10.65,10.72,9.95
Malang,9.55,9.45,8.98
Lumajang,9.06,8.93,8.65
Jember,9.39,9.51,9.01
Banyuwangi,7.51,7.34,6.54
Bondowoso,13.47,13.34,12.6
Situbondo,11.78,11.9,11.51
Probolinggo,17.12,17.19,16.45
Pasuruan,8.96,9.24,8.63
Sidoarjo,5.36,5,4.53
Mojokerto,9.71,9.8,9.37
