Nama Wilayah,,,
,Persentase Penduduk Miskin (P0) Menurut Kabupaten/Kota (Persen),,
,2007,2008,2009
ACEH,26.65,23.55,21.61
Simeulue,32.26,26.45,24.72
Aceh Singkil,28.54,23.27,21.06
Aceh Selatan,24.72,19.4,17.5
Aceh Tenggara,21.6,18.51,16.77
Aceh Timur,28.15,24.05,21.33
Aceh Tengah,24.41,23.36,21.43
Aceh Barat,32.63,29.96,27.09
Aceh Besar,26.69,21.52,20.09
Pidie,33.31,28.11,25.87
Bireuen,27.18,23.27,21.65
Aceh Utara,33.16,27.56,25.29
Aceh Barat Daya,28.63,23.42,21.33
Gayo Lues,32.31,26.57,24.22
Aceh Tamiang,22.19,22.29,19.96
Nagan Raya,33.61,28.11,26.22
Aceh Jaya,29.28,23.86,21.86
Bener Meriah,26.55,29.21,26.58
Pidie Jaya,35,30.26,27.97
Kota Banda Aceh,6.61,9.56,8.64
Kota Sabang,27.13,25.72,23.89
Kota Langsa,14.25,17.97,16.2
Kota Lhokseumawe,12.75,15.87,15.08
Kota Subulussalam,30.16,28.99,26.8
SUMATERA UTARA,13.9,12.47,11.27
Nias,31.75,25.19,22.57
Mandailing Natal,18.74,14.46,13.02
Tapanuli Selatan,20.33,13.77,12.67
Tapanuli Tengah,27.47,19.35,17.83
Tapanuli Utara,20.06,14.15,13.1
Toba Samosir,15.28,11.62,10.07
Labuhan Batu,12.33,10.76,9.85
Asahan,13.77,12.89,12.09
Simalungun,14.84,14.75,12.67
Dairi,15.82,11.07,10.03
Karo,14.47,12.86,11.42
Deli Serdang,5.67,5.16,5.17
Langkat,18.23,14.81,12.75
Nias Selatan,33.84,24.36,22.19
Humbang Hasundutan,18.84,12.99,11.31
Pakpak Bharat,22.42,15.02,13.99
Samosir,27.76,18.76,17.55
Serdang Bedagai,11.84,10.61,9.51
Batu Bara,17.89,13.64,12.87
Padang Lawas Utara,-,-,11.83
Padang Lawas,-,-,11.9
Labuhan Batu Selatan,-,-,-
Labuhan Batu Utara,-,-,-
Nias Utara,-,-,-
Nias Barat,-,-,-
Kota Sibolga,9.73,17.67,15.82
Kota Tanjung Balai,11.52,18.35,17.1
Kota Pematang Siantar,9.46,13.36,12.25
Kota Tebing Tinggi,9.67,16.5,14.58
Kota Medan,7.17,10.43,9.58
Kota Binjai,5.72,8.12,7.04
Kota Padangsidimpuan,10.92,11.61,9.77
Kota Gunungsitoli,-,-,-
SUMATERA BARAT,11.9,10.57,9.45
Kepulauan Mentawai,15.99,22.86,20.54
Pesisir Selatan,13.21,11.36,10.56
Solok,17.59,13.43,12.15
Sijunjung,15.35,11.51,9.8
Tanah Datar,7.72,7.52,6.93
Padang Pariaman,17.12,14.15,12.41
Agam,12.59,11.2,9.86
Lima Puluh Kota,14.79,11.01,9.98
Pasaman,17.92,14.44,12.47
Solok Selatan,17.43,13.41,11.66
Dharmasraya,14.42,12.53,11.4
Pasaman Barat,13.76,10.96,9.61
Kota Padang,4.97,6.4,5.72
Kota Solok,4.59,7.32,6.76
Kota Sawah Lunto,2.25,1.94,2.42
Kota Padang Panjang,5.19,8.24,7.58
Kota Bukittinggi,5.23,7.2,6.19
Kota Payakumbuh,7.77,10.96,10.15
Kota Pariaman,5.87,5.33,5.48
RIAU,11.2,10.79,9.45
Kuantan Singingi,19.03,16.51,14.42
Indragiri Hulu,14.63,12.05,10.25
Indragiri Hilir,14.57,13.19,11.11
Pelalawan,18.07,18.63,16.71
Siak,6.01,7.09,5.71
Kampar,10.73,11.45,10.04
Rokan Hulu,21.86,18.05,15.49
Bengkalis,10.69,8.94,7.91
Rokan Hilir,9.41,10.59,9.32
Kepulauan Meranti,-,-,-
Kota Pekanbaru,2.24,3.63,3.92
Kota Dumai,6.28,7.42,6.08
JAMBI,10.27,9.28,8.55
Kerinci,11.3,7.71,7.25
Merangin,12.1,9.5,8.65
Sarolangun,16.11,11.69,9.85
Batang Hari,15.42,10.49,10.11
Muaro Jambi,7.13,4.35,4.54
Tanjung Jabung Timur,13.44,13.49,12.21
Tanjung Jabung Barat,12.79,13.43,11.65
Tebo,8.69,6.34,6.1
Bungo,7.63,5.12,5.32
Kota Jambi,5.04,11.63,10.54
Kota Sungai Penuh,-,-,-
SUMATERA SELATAN,19.15,17.67,15.68
Ogan Komering Ulu,15.69,14.64,13.17
Ogan Komering Ilir,22.5,17.67,16.17
Muara Enim,19.87,17.98,15.96
Lahat,28.09,23.21,20.98
