Nama Wilayah,,,
,Persentase Penduduk Miskin (P0) Menurut Kabupaten/Kota (Persen),,
Musi Rawas,32.93,24.27,21.4
Musi Banyuasin,33.6,25.45,22.76
Banyu Asin,17.72,15.38,13.72
Ogan Komering Ulu Selatan,18.96,14.56,12.73
Ogan Komering Ulu Timur,16.03,12.12,9.95
Ogan Ilir,21.57,17.78,15.65
Empat Lawang,23.5,18.37,15.8
Penukal Abab Lematang Ilir,-,-,-
Musi Rawas Utara,-,-,-
Kota Palembang,8.98,16.66,14.75
Kota Prabumulih,7.57,15.39,13.93
Kota Pagar Alam,9.75,10.23,9.66
Kota Lubuklinggau,14.25,17.36,15.12
BENGKULU,22.13,19.12,18.14
Bengkulu Selatan,35.24,27.53,25.08
Rejang Lebong,16.38,16.94,15.79
Bengkulu Utara,22.74,16.43,16.1
Kaur,38.18,26.01,23.49
Seluma,36.45,24.74,23.07
Mukomuko,20.06,15.76,15.39
Lebong,18.08,14.33,13.94
Kepahiang,17.55,17.03,16.6
Bengkulu Tengah,-,-,-
Kota Bengkulu,9.2,18.16,17.57
LAMPUNG,22.19,20.93,19.34
Lampung Barat,24.77,21.74,19.13
Tanggamus,22.17,20.91,19.79
Lampung Selatan,26.94,24.72,22.83
Lampung Timur,27.21,23.35,20.86
Lampung Tengah,22.06,19.89,18.67
Lampung Utara,32.16,31.24,28.96
Way Kanan,25.96,22.34,20.92
Tulangbawang,13.03,11.17,10.48
Pesawaran,-,-,22.73
Pringsewu,-,-,-
Mesuji,-,-,-
Tulang Bawang Barat,-,-,-
Pesisir Barat,-,-,-
Kota Bandar Lampung,9.44,15.41,14.39
Kota Metro,11.53,15.91,15.07
KEP. BANGKA BELITUNG,9.54,7.89,7.37
Bangka,10.53,8.79,7.61
Belitung,11.59,10.62,9.78
Bangka Barat,7.41,5.18,5.22
Bangka Tengah,10.36,8.52,7.84
Bangka Selatan,6.71,5.6,6.04
Belitung Timur,15.58,12.61,11.07
Kota Pangkal Pinang,6.85,5.74,5.79
KEPULAUAN RIAU,10.3,8.73,7.98
Karimun,8.69,7.29,6.48
Bintan,11.73,7.61,7.01
Natuna,8.74,4.83,4.35
Lingga,30.06,18.19,16.56
Kepulauan Anambas,-,-,-
Kota Batam,7.65,7.22,6.76
Kota Tanjung Pinang,12.92,14.3,13.42
DKI JAKARTA,4.61,3.86,3.8
Kepulauan Seribu,15.12,13.56,12.66
Kota Jakarta Selatan,3.74,3.41,3.52
Kota Jakarta Timur,4.02,3.39,3.42
Kota Jakarta Pusat,3.99,3.58,3.68
Kota Jakarta Barat,4.04,3.41,3.44
Kota Jakarta Utara,7.95,6.02,5.34
JAWA BARAT,13.55,12.74,11.58
Bogor,13.1,12.11,10.81
Sukabumi,15.98,13.26,11.78
Cianjur,18.49,15.38,14.14
Bandung,13.14,9.42,8.29
Garut,19.31,17.87,15.7
Tasikmalaya,18.15,14.7,13.5
Ciamis,13.94,12.32,11.23
Kuningan,17.58,16.75,15.91
Cirebon,19.07,20.25,18.22
Majalengka,19.77,18.79,17.12
Sumedang,15.63,15.18,13.69
Indramayu,20.96,19.75,17.99
Subang,16.84,15.15,14.13
Purwakarta,14.7,11.61,10.48
Karawang,14.83,14,12.9
Bekasi,6.66,5.89,5.97
Bandung Barat,18.7,17.61,16.03
Pangandaran,-,-,-
Kota Bogor,9.47,9.72,8.82
Kota Sukabumi,7.26,10.41,9.16
Kota Bandung,3.68,4.42,4.5
Kota Cirebon,8.7,14.11,13.06
Kota Bekasi,4.97,6.36,5.78
Kota Depok,2.42,2.69,2.93
Kota Cimahi,7.33,8.35,7.1
Kota Tasikmalaya,9.3,26.08,23.55
Kota Banjar,7.86,9.31,8.64
JAWA TENGAH,20.43,18.99,17.48
Cilacap,22.59,21.4,19.88
Banyumas,22.46,22.93,21.52
Purbalingga,30.24,27.12,24.97
Banjarnegara,27.18,23.34,21.36
Kebumen,30.25,27.87,25.73
Purworejo,20.49,18.22,17.02
Wonosobo,32.29,27.72,25.91
Magelang,17.37,16.49,15.19
Boyolali,18.06,17.08,15.96
Klaten,22.27,21.72,19.68
Sukoharjo,14.02,12.13,11.51
Wonogiri,24.44,20.71,19.08
Karanganyar,17.39,15.68,14.73
Sragen,21.24,20.83,19.7
Grobogan,25.14,19.84,18.68
Blora,21.46,18.79,17.7
Rembang,30.71,27.21,25.86
Pati,19.79,17.9,15.92
Kudus,10.73,12.58,10.8
Jepara,10.44,11.05,9.6
Demak,23.5,21.24,19.7
Semarang,12.34,11.37,10.66
Temanggung,16.55,16.39,15.05
Kendal,20.7,17.87,16.02
Batang,20.79,18.08,16.61
Pekalongan,20.31,19.52,17.93
Pemalang,22.79,23.92,22.17
Tegal,18.5,15.78,13.98
Brebes,27.93,25.98,24.39
Kota Magelang,10.01,11.16,10.11
Kota Surakarta,13.64,16.13,14.99
Kota Salatiga,9.01,8.47,7.82
Kota Semarang,5.26,6,4.84
Kota Pekalongan,6.62,10.29,8.56
Kota Tegal,9.36,11.28,9.88
D I YOGYAKARTA,18.99,18.02,16.86
Kulon Progo,28.61,26.85,24.65
Bantul,19.43,18.54,17.64
Gunung Kidul,28.9,25.96,24.44
Sleman,12.56,12.34,11.45
Kota Yogyakarta,9.78,10.81,10.05
JAWA TIMUR,19.98,18.19,16.22
Pacitan,23.31,21.17,19.01
Ponorogo,18.23,16.62,14.63
Trenggalek,22.79,20.64,18.27
Tulungagung,17.83,12.41,10.6
Blitar,16.47,14.53,13.19
Kediri,18.98,18.85,17.05
Malang,15.66,15.08,13.57
Lumajang,20.09,18.17,15.83
Jember,18.57,17.74,15.43
Banyuwangi,15.33,13.91,12.16
Bondowoso,24.23,22.23,20.18
Situbondo,15.6,18.02,15.99
Probolinggo,27.42,30.13,27.69
Pasuruan,19.88,18.04,15.58
Sidoarjo,13.05,8.35,6.91
Mojokerto,14.86,14.61,13.24
Jombang,21.21,16.46,14.46
Nganjuk,23.79,19.77,17.22
Madiun,20.98,18.5,16.97
Magetan,16.87,15.67,13.97
Ngawi,23.33,20.86,19.01
Bojonegoro,26.37,23.87,21.27
Tuban,28.51,25.84,23.01
Lamongan,25.79,22.51,20.47
Gresik,23.98,21.43,19.14
Bangkalan,31.56,32.7,30.45
Sampang,39.42,34.53,31.94
Pamekasan,32.43,26.32,24.32
Sumenep,32.98,29.46,26.89
Kota Kediri,13.67,11.71,10.41
Kota Blitar,12.02,9.34,7.56
Kota Malang,7.19,7.22,5.58
Kota Probolinggo,16.19,23.29,21.06
Kota Pasuruan,12.61,11.2,9.34
Kota Mojokerto,10.46,8.88,7.19
Kota Madiun,7.07,6.69,5.93
Kota Surabaya,7.98,8.23,6.72
Kota Batu,9.71,6.18,4.81
BANTEN,9.07,8.2,7.46
Pandeglang,15.64,12.55,12.01
Lebak,14.43,12.05,10.63
Tangerang,7.18,7.41,6.55
Serang,9.47,6.48,5.8
Kota Tangerang,4.92,6.83,6.42
Kota Cilegon,4.71,3.95,4.14
Kota Serang,-,-,6.19
Kota Tangerang Selatan,-,-,-
BALI,6.63,5.85,4.88
Jembrana,9.92,7.97,6.8
Tabanan,7.46,6.92,4.99
Badung,4.28,3.28,3.28
Gianyar,5.98,6.61,5.76
Klungkung,9.14,7.03,5.23
Bangli,7.48,6.12,5.18
Karang Asem,8.95,7.67,6.37
Buleleng,8.68,7.45,5.95
Kota Denpasar,2.1,2.19,2.2
NUSA TENGGARA BARAT,24.99,23.4,21.88
Lombok Barat,28.97,25.97,24.02
Lombok Tengah,25.74,22.32,20.94
Lombok Timur,25.6,25.43,23.96
Sumbawa,28.78,25.31,23.85
Dompu,28.57,24.52,21.76
Bima,25.12,21.79,20.42
Sumbawa Barat,28.63,24.27,23.01
Lombok Utara,-,-,-
Kota Mataram,9.67,16.13,15.41
Kota Bima,11.85,14.38,13.65
NUSA TENGGARA TIMUR,27.51,25.68,23.41
Sumba Barat,42.74,37.85,35.39
Sumba Timur,39.08,37.14,34.68
Kupang,31.32,26.95,24.16
Timor Tengah Selatan,37.43,33.55,31.14
Timor Tengah Utara,30.12,27.74,24.96
Belu,21.02,19.69,17.47
Alor,28.49,25.14,22.84
Lembata,34.45,29.24,26.39
Flores Timur,14.38,13.21,11.04
Sikka,19.15,17.34,15.35
Ende,20.33,24.87,23.01
Ngada,17.28,15.49,13.54
Manggarai,31.41,28.57,25.76
Rote Ndao,28.26,36.58,34.09
Manggarai Barat,27.96,25.05,22.96
Sumba Tengah,42.96,38.65,35.83
Sumba Barat Daya,43.05,36.45,34.27
Nagekeo,16.05,14.53,13.03
Manggarai Timur,-,-,25.51
Sabu Raijua,-,-,-
Malaka,-,-,-
Kota Kupang,7.5,14.66,12.51
KALIMANTAN BARAT,12.91,10.87,9.05
Sambas,14,11.51,9.96
Bengkayang,11.88,9.41,7.82
Landak,24.95,18.65,15.48
Pontianak,8.26,7.81,5.46
Sanggau,7.97,6.25,4.62
Ketapang,17.94,15.21,13.08
Sintang,17.1,13.61,11.55
Kapuas Hulu,15.05,11.44,9.93
Sekadau,10.25,7.66,6.42
Melawi,19.5,14.8,12.62
Kayong Utara,18.9,14.5,12.43
Kubu Raya,-,8.47,6.78
Kota Pontianak,6.77,9.29,6.38
Kota Singkawang,7.02,7.89,6.2
KALIMANTAN TENGAH,9.38,8.36,7.01
Kotawaringin Barat,8.66,7.76,6.87
Kotawaringin Timur,11.33,10.4,8.21
Kapuas,9.3,8.25,6.34
Barito Selatan,10.43,9.25,8.14
Barito Utara,8.61,7.56,6.43
Sukamara,9,7.92,5.91
Lamandau,7.76,6.97,5.57
Seruyan,11.25,10.21,8.84
Katingan,8.68,7.74,7
Pulang Pisau,9.18,8.2,6.23
Gunung Mas,9.29,8.32,7.43
Barito Timur,12.34,11.09,9.24
Murung Raya,8.91,7.95,6.94
Kota Palangka Raya,5.75,4.64,4.76
KALIMANTAN SELATAN,7.01,6.21,5.44
Tanah Laut,7.62,6.06,5.11
Kota Baru,8.61,6.75,5.55
Banjar,4.24,3.68,3.69
Barito Kuala,8.17,7.18,5.61
Tapin,8.42,6.1,4.93
Hulu Sungai Selatan,9.68,9.32,7.32
Hulu Sungai Tengah,8.14,7.12,5.73
Hulu Sungai Utara,11.16,8.53,7.29
Tabalong,11.25,8.13,6.83
Tanah Bumbu,8.22,5.79,5.89
Balangan,11.35,7.75,7.22
Kota Banjarmasin,2.9,4.77,4.8
Kota Banjar Baru,4.08,6.07,5.2
KALIMANTAN TIMUR,11.04,8.53,7.86
Paser,16,10.97,10.11
Kutai Barat,14.04,10.6,8.97
Kutai Kartanegara,12.59,9.29,8.03
Kutai Timur,17.51,13.2,11.88
Berau,9.27,5.81,5.9
Penajam Paser Utara,17.59,12.99,11.38
Mahakam Hulu,-,-,-
Kota Balikpapan,3.74,3.49,3.58
Kota Samarinda,6.6,4.67,4.84
Kota Bontang,7.87,7.26,6.66
KALIMANTAN UTARA,11.04,8.53,7.86
Malinau,23.6,18.24,16.55
Bulungan,22.31,17.14,15.96
Tana Tidung,-,-,15.42
Nunukan,20.02,14.96,13.47
Kota Tarakan,9.54,10.99,9.65
SULAWESI UTARA,11.42,9.8,9.32
Bolaang Mongondow,13.2,10.64,10.16
Minahasa,10.31,9,8.47
Kepulauan Sangihe,17.7,14.01,13.23
Kepulauan Talaud,15.77,12.9,12.16
Minahasa Selatan,13.61,11.66,11.13
Minahasa Utara,10.14,8.35,7.98
Bolaang Mongondow Utara,13.03,10.44,9.93
Siau Tagulandang Biaro,16.14,12.68,12.11
Minahasa Tenggara,22.21,18.3,17.49
Bolaang Mongondow Selatan,-,-,-
Bolaang Mongondow Timur,-,-,-
Kota Manado,5.43,6.59,6.32
Kota Bitung,11.14,9.33,8.93
Kota Tomohon,8.65,7.53,7.19
Kota Kotamobagu,10.02,7.6,7.16
SULAWESI TENGAH,22.42,20.61,18.61
Banggai Kepulauan,27.92,24.66,21.99
Banggai,17.28,16.7,14.6
Morowali,28.27,25.1,22.53
Poso,28.02,25.75,23.29
Donggala,23.59,21.01,18.91
Toli-Toli,22.18,19.69,17.83
Buol,25.5,23.11,20.68
Parigi Moutong,23.69,21.73,19.72
Tojo Una-Una,30.22,28.48,26.23
Sigi,-,-,-
Banggai Laut,-,-,-
Morowali Utara,-,-,-
Kota Palu,9.73,10.1,9.19
SULAWESI SELATAN,14.11,13.41,11.93
Kepulauan Selayar,20.45,18.49,16.41
Bulukumba,13.56,12.26,10.5
Bantaeng,12.12,10.94,9.96
Jeneponto,24.55,22.48,20.58
Takalar,13.8,12.68,11.06
Gowa,14.13,12.79,10.93
Sinjai,13.87,12.73,11.37
Maros,20.08,18.55,16.35
Pangkajene Dan Kepulauan,23.93,21.36,19.35
Barru,14.73,13.49,11.43
Bone,18.84,17.35,15.19
Soppeng,5.45,11.22,9.95
Wajo,11.36,10.16,8.93
Sidenreng Rappang,8.05,7.64,6.73
Pinrang,10.44,9.65,8.7
Enrekang,22.79,20.51,18.1
Luwu,21.24,19.44,16.96
Tana Toraja,19.91,18.57,16.14
Luwu Utara,14.03,18.38,16.4
Luwu Timur,10.21,10.98,8.91
Toraja Utara,-,-,-
Kota Makassar,5.66,5.36,5.52
Kota Parepare,7.65,7.1,6.52
Kota Palopo,12.71,12.83,11.85
SULAWESI TENGGARA,21.33,19.38,17.44
Buton,22.94,22.93,20.16
Muna,25.35,22.42,20.02
Konawe,24.63,22.4,19.97
Kolaka,25.35,22.46,20.46
Konawe Selatan,18.31,16.74,15.17
Bombana,20.51,18.25,16.63
Wakatobi,24.51,22.53,20.42
Kolaka Utara,26.29,24.08,21.88
Buton Utara,25.09,22.86,20.58
Konawe Utara,18.15,16.5,15.19
Kolaka Timur,-,-,-
Konawe Kepulauan,-,-,-
Muna Barat,-,-,-
Buton Tengah,-,-,-
Buton Selatan,-,-,-
Kota Kendari,10.15,8.53,7.88
Kota Baubau,17.08,14.13,12.72
GORONTALO,27.35,20.47,18.34
Boalemo,29.21,23.17,20.74
Gorontalo,32.07,24.1,21.48
Pohuwato,29.74,23.28,21.15
Bone Bolango,30.6,22.7,19.97
Gorontalo Utara,33.18,23.94,21.5
Kota Gorontalo,8.11,5.23,5.29
SULAWESI BARAT,19.03,15.27,14.96
Majene,23.55,18.44,18.09
Polewali Mandar,24.96,21.8,21.37
Mamasa,25.51,18.06,17.87
Mamuju,10.43,8.11,8.13
Mamuju Utara,9.22,6.52,6.47
Mamuju Tengah,-,-,-
MALUKU,31.14,29.24,27.29
Maluku Tenggara Barat,44.15,40.17,37.23
Maluku Tenggara,35.98,32.9,30.71
Maluku Tengah,36.03,32.61,30.48
Buru,31.34,29.17,27.57
Kepulauan Aru,36.88,41.08,38.77
Seram Bagian Barat,37.85,35.19,33.11
Seram Bagian Timur,39.83,36.98,34.67
Maluku Barat Daya,-,-,-
Buru Selatan,-,-,-
Kota Ambon,-,-,7.61
Kota Tual,6.51,7.92,30.42
MALUKU UTARA,11.97,11.51,10.34
Halmahera Barat,16.19,16.12,14.34
Halmahera Tengah,30.18,28.52,26.64
Kepulauan Sula,14.07,13.71,11.51
Halmahera Selatan,12.95,12.54,10.97
Halmahera Utara,9.63,8.9,7.93
Halmahera Timur,21.54,21.13,19.55
Pulau Morotai,-,-,-
Pulau Taliabu,-,-,-
Kota Ternate,4.26,4.15,4.22
Kota Tidore Kepulauan,7.43,6.54,6.01
PAPUA BARAT,39.31,33.49,31.43
Fakfak,39.57,37.55,35.29
Kaimana,33.84,33.95,23.51
Teluk Wondama,47.34,43.57,48.47
Teluk Bintuni,35.22,23.25,51.91
Manokwari,28.05,26.66,40.8
Sorong Selatan,30.07,23.76,26.76
Sorong,51.37,50.39,34.45
Raja Ampat,53.34,47.36,23.71
Tambrauw,-,-,-
Maybrat,-,-,-
Manokwari Selatan,-,-,-
Pegunungan Arfak,-,-,-
Kota Sorong,35.71,14.93,15.12
PAPUA BARAT DAYA,-,-,-
Raja Ampat,-,-,-
Sorong,-,-,-
Sorong Selatan,-,-,-
Maybrat,-,-,-
Tambrauw,-,-,-
Kota Sorong,-,-,-
PAPUA,40.78,35.53,34.77
Merauke,31.56,15.69,15.44
Jayawijaya,50.31,48.15,46.3
Jayapura,30.91,21.8,20.77
Nabire,45.56,37.56,35.69
Kepulauan Yapen,43.54,37.31,36.13
Biak Numfor,46.98,37.06,36.51
Paniai,52.18,48.29,47.68
Puncak Jaya,-,49.42,46.92
Mimika,32.73,26.63,24.74
Boven Digoel,29.52,27.49,27.01
Mappi,34.04,36.23,34.94
Asmat,33.49,39.77,38.69
Yahukimo,48.34,50.63,49.61
Pegunungan Bintang,-,45.81,43.77
Tolikara,45.3,45.08,44.63
Sarmi,31.2,24.52,22.63
Keerom,27.07,27.19,25.57
Waropen,46.93,44.5,44
Supiori,53.25,50.92,50.66
Mamberamo Raya,-,-,44.43
Nduga *,-,-,47.28
Lanny Jaya,-,-,47.73
Mamberamo Tengah,-,-,47.07
Yalimo,-,-,47.76
Puncak,-,-,49.2
Dogiyai,-,-,36.57
Intan Jaya,-,-,-
Deiyai,-,-,-
Kota Jayapura,25.3,18.67,17.87
PAPUA SELATAN,-,-,-
Merauke,-,-,-
Boven Digoel,-,-,-
Mappi,-,-,-
Asmat,-,-,-
PAPUA TENGAH,-,-,-
Mimika,-,-,-
Dogiyai,-,-,-
Deiyai,-,-,-
Nabire,-,-,-
Paniai,-,-,-
Intan Jaya,-,-,-
Puncak,-,-,-
Puncak Jaya,-,-,-
PAPUA PEGUNUNGAN,-,-,-
Nduga,-,-,-
Jayawijaya,-,-,-
Lanny Jaya,-,-,-
Tolikara,-,-,-
Mamberamo Tengah,-,-,-
Yalimo,-,-,-
Yahukimo,-,-,-
Pegunungan Bintang,-,-,-
