Nama Wilayah,,,
,Indeks Kedalaman Kemiskinan (P1) Menurut Kabupaten/Kota,,
Barito Utara,1.29,1.77,1.83
Sukamara,1.97,1.81,2.13
Lamandau,1.76,1.19,1.61
Seruyan,3.25,2.45,1.6
Katingan,3,1.67,1.16
Pulang Pisau,1.55,1.73,1.35
Gunung Mas,1.57,1.78,1.26
Barito Timur,1.58,2.02,2.33
Murung Raya,1.32,2.49,1.7
Kota Palangka Raya,0.92,1.33,1.25
KALIMANTAN SELATAN,1.04,1.09,1.28
Tanah Laut,1.44,1.41,1.08
Kota Baru,0.88,1.37,1.4
Banjar,1.17,0.87,0.71
Barito Kuala,0.98,1.26,1.19
Tapin,1.04,1.67,1.39
Hulu Sungai Selatan,1.6,1.59,1.61
Hulu Sungai Tengah,1.25,1.58,1.75
Hulu Sungai Utara,1.41,1.46,1.91
Tabalong,1.62,2.4,2.32
Tanah Bumbu,0.94,1.47,1.8
Balangan,1.47,1.94,2.59
Kota Banjarmasin,0.37,0.43,0.63
Kota Banjar Baru,0.95,1.27,0.65
KALIMANTAN TIMUR,2.06,2.44,2.77
Paser,3.5,3.75,2.8
Kutai Barat,1.93,2.39,2.76
Kutai Kartanegara,3.28,3.36,3
Kutai Timur,3.45,3.35,3.28
Berau,1.33,1.58,1.69
Penajam Paser Utara,3.73,3.92,2.81
Mahakam Hulu,-,-,-
Kota Balikpapan,0.69,0.67,0.57
Kota Samarinda,0.98,1.3,0.94
Kota Bontang,1.29,1.29,1.48
KALIMANTAN UTARA,2.06,2.44,2.77
Malinau,5.51,4.65,4.67
Bulungan,3.61,4.69,4.87
Tana Tidung,-,-,-
Nunukan,4.32,4.05,4.07
Kota Tarakan,1.54,1.24,1.94
SULAWESI UTARA,1.8,2.48,2.87
Bolaang Mongondow,1.95,1.75,2.12
Minahasa,3.04,1.66,1.7
Kepulauan Sangihe,4.01,2.72,3.44
Kepulauan Talaud,3.25,2.51,3.09
Minahasa Selatan,3.45,1.83,2.34
Minahasa Utara,-,1.97,1.1
Bolaang Mongondow Utara,-,-,-
Siau Tagulandang Biaro,-,-,-
Minahasa Tenggara,-,-,-
Bolaang Mongondow Selatan,-,-,-
Bolaang Mongondow Timur,-,-,-
Kota Manado,0.75,0.55,1.11
Kota Bitung,1.66,1.89,2.2
Kota Tomohon,2.02,0.81,1.04
Kota Kotamobagu,-,-,-
SULAWESI TENGAH,4.03,4.18,4.54
Banggai Kepulauan,3.89,5.02,4.84
Banggai,2.8,2.81,3.14
Morowali,4.12,5.43,5.85
Poso,6.51,7.21,6.54
Donggala,4.58,4.69,5.27
Toli-Toli,3.62,4.38,4.41
Buol,4.95,5.62,4.73
Parigi Moutong,4.78,4.24,4.47
Tojo Una-Una,-,6.41,6.96
Sigi,-,-,-
Banggai Laut,-,-,-
Morowali Utara,-,-,-
Kota Palu,1.35,2.25,1.7
SULAWESI SELATAN,2.42,2.5,2.33
Kepulauan Selayar,3.78,5.73,3.89
Bulukumba,2.36,2.39,1.91
Bantaeng,1.83,1.47,2.16
Jeneponto,3.62,3.85,3.73
Takalar,1.44,2.41,2.78
Gowa,2.58,3.14,2.26
Sinjai,1.36,2.36,2.16
Maros,2.63,3.54,4.35
Pangkajene Dan Kepulauan,4.06,4.84,3.57
Barru,2.41,1.86,2.34
Bone,2.5,3.35,2.86
Soppeng,0.65,0.58,0.79
Wajo,1.17,1.44,1.15
Sidenreng Rappang,1.06,1.49,0.82
Pinrang,0.89,1.6,1.5
Enrekang,3.68,3.36,3.41
Luwu,3.16,3.18,3.58
Tana Toraja,2.6,3.55,3.48
Luwu Utara,2.09,2.13,2.12
Luwu Timur,1.87,2.03,2.12
Toraja Utara,-,-,-
Kota Makassar,0.85,1.09,1.08
Kota Parepare,1.21,1.41,1.57
Kota Palopo,2.91,2.3,2.38
SULAWESI TENGGARA,3.8,4.16,4.07
Buton,3.74,4.71,4.71
Muna,3.54,4.93,4.99
Konawe,5.15,3.53,5.14
Kolaka,3.77,4.8,3.85
Konawe Selatan,4.22,4.17,3.44
Bombana,-,2.69,3.47
Wakatobi,-,3.25,3.84
Kolaka Utara,-,5.99,4.49
Buton Utara,-,-,-
Konawe Utara,-,-,-
Kolaka Timur,-,-,-
Konawe Kepulauan,-,-,-
Muna Barat,-,-,-
Buton Tengah,-,-,-
Buton Selatan,-,-,-
Kota Kendari,1.48,2.23,2.81
Kota Baubau,3.13,2.73,2.77
GORONTALO,7,6.52,6.05
Boalemo,8.2,7.2,6.03
Gorontalo,7.6,7.95,7.24
Pohuwato,8.3,6.36,7.6
Bone Bolango,6.7,6.42,6.29
Gorontalo Utara,-,-,-
Kota Gorontalo,1.4,1.72,1.58
SULAWESI BARAT,-,-,3.64
Majene,4.05,5.76,3.75
Polewali Mandar,7.36,6.54,4.81
Mamasa,7.1,6.99,4.25
Mamuju,2.5,2.73,1.95
Mamuju Utara,2.2,2.9,2.09
Mamuju Tengah,-,-,-
MALUKU,6.32,5.87,7.51
Maluku Tenggara Barat,8.11,14.69,14.75
Maluku Tenggara,7.89,8.86,7.9
Maluku Tengah,7.51,8.77,9.7
Buru,6.53,5.28,5.96
Kepulauan Aru,-,6.99,8.38
Seram Bagian Barat,-,8.46,8.71
Seram Bagian Timur,-,9.19,9.68
Maluku Barat Daya,-,-,-
Buru Selatan,-,-,-
Kota Ambon,-,-,-
Kota Tual,0.41,1.11,1.16
MALUKU UTARA,2.06,2.04,2.01
Halmahera Barat,2.21,3.68,3.88
Halmahera Tengah,2.65,9.54,5.58
Kepulauan Sula,6.33,2.54,2.15
Halmahera Selatan,2.52,2.44,1.8
Halmahera Utara,2.62,1.97,1.19
Halmahera Timur,4.78,3.82,5.46
Pulau Morotai,-,-,-
Pulau Taliabu,-,-,-
Kota Ternate,0.49,0.7,0.53
Kota Tidore Kepulauan,2.28,0.67,1.47
PAPUA BARAT,-,-,8.08
Fakfak,8.65,11.42,8.61
Kaimana,11.25,-,6.92
Teluk Wondama,16.97,-,10.49
Teluk Bintuni,6.53,6.13,7.87
Manokwari,6.95,-,8.75
Sorong Selatan,11.4,-,5.53
Sorong,117.7,-,12.33
Raja Ampat,17.15,-,11.18
Tambrauw,-,-,-
Maybrat,-,-,-
Manokwari Selatan,-,-,-
Pegunungan Arfak,-,-,-
Kota Sorong,8.58,13.37,8.77
PAPUA BARAT DAYA,-,-,-
Raja Ampat,-,-,-
Sorong,-,-,-
Sorong Selatan,-,-,-
Maybrat,-,-,-
Tambrauw,-,-,-
Kota Sorong,-,-,-
PAPUA,10.56,9.99,12.07
Merauke,7.05,-,9.62
Jayawijaya,13.98,11.21,13.91
Jayapura,6.06,8.27,5.76
Nabire,10.68,18.26,17.1
Kepulauan Yapen,12.56,-,14.61
Biak Numfor,14.14,12.78,17.43
Paniai,17.66,11.19,10.92
Puncak Jaya,15.54,24.78,17.52
Mimika,12.88,13.04,10.27
Boven Digoel,7.84,-,7.61
Mappi,7.97,6.15,6.36
Asmat,7.32,5.45,8.83
Yahukimo,10.96,9.26,15.29
Pegunungan Bintang,10.37,14.98,14.29
Tolikara,10.23,-,10.84
Sarmi,5.95,6.17,4.01
Keerom,5.8,7.56,5.93
Waropen,12.95,-,11.64
Supiori,-,-,14.86
Mamberamo Raya,-,-,-
Nduga *,-,-,-
Lanny Jaya,-,-,-
Mamberamo Tengah,-,-,-
Yalimo,-,-,-
Puncak,-,-,-
Dogiyai,-,-,-
Intan Jaya,-,-,-
Deiyai,-,-,-
Kota Jayapura,5.27,5.82,4.87
PAPUA SELATAN,-,-,-
Merauke,-,-,-
Boven Digoel,-,-,-
Mappi,-,-,-
Asmat,-,-,-
PAPUA TENGAH,-,-,-
Mimika,-,-,-
Dogiyai,-,-,-
Deiyai,-,-,-
Nabire,-,-,-
Paniai,-,-,-
Intan Jaya,-,-,-
Puncak,-,-,-
Puncak Jaya,-,-,-
PAPUA PEGUNUNGAN,-,-,-
Nduga,-,-,-
Jayawijaya,-,-,-
Lanny Jaya,-,-,-
Tolikara,-,-,-
Mamberamo Tengah,-,-,-
Yalimo,-,-,-
Yahukimo,-,-,-
Pegunungan Bintang,-,-,-
