Nama Wilayah,,,
,Indeks Kedalaman Kemiskinan (P1) Menurut Kabupaten/Kota,,
,2004,2005,2006
ACEH,6.32,5.83,5.28
Simeulue,7.74,9.01,7.38
Aceh Singkil,6.25,4.85,5.32
Aceh Selatan,4.94,4.68,5.83
Aceh Tenggara,7.94,4.49,5.06
Aceh Timur,6.05,6.57,6.22
Aceh Tengah,4.7,6.29,4.81
Aceh Barat,8.45,8.28,7.16
Aceh Besar,3.41,6.13,6.2
Pidie,6.28,6.73,5.88
Bireuen,5.29,7.06,6.17
Aceh Utara,10.36,5.02,5.3
Aceh Barat Daya,4.86,6.83,5.42
Gayo Lues,10.58,6.91,5.02
Aceh Tamiang,4.63,5.35,4.01
Nagan Raya,8.16,9.99,8.01
Aceh Jaya,7.5,6.08,6.01
Bener Meriah,-,3.97,3.7
Pidie Jaya,-,-,-
Kota Banda Aceh,1.52,1.74,0.88
Kota Sabang,6.77,8.33,5.26
Kota Langsa,2.79,2.73,2.99
Kota Lhokseumawe,4.45,4.46,2.55
Kota Subulussalam,-,-,-
SUMATERA UTARA,2.32,2.21,2.52
Nias,5.67,9.16,6.3
Mandailing Natal,4.09,3.47,3.24
Tapanuli Selatan,4.53,2.68,2.97
Tapanuli Tengah,6.36,6.34,6.83
Tapanuli Utara,3.01,4.07,2.79
Toba Samosir,3.27,4.43,2.71
Labuhan Batu,1.77,3.2,1.81
Asahan,1.58,2.08,1.97
Simalungun,2.4,3.24,3.03
Dairi,3.98,3.86,3.04
Karo,4.55,2.99,2.44
Deli Serdang,0.99,0.83,1.18
Langkat,3.03,4.69,4.03
Nias Selatan,5.78,10.88,6.46
Humbang Hasundutan,3.17,3.63,2.25
Pakpak Bharat,4.25,5.9,3.55
Samosir,-,4.24,2.97
Serdang Bedagai,-,1.54,1.39
Batu Bara,-,-,-
Padang Lawas Utara,-,-,-
Padang Lawas,-,-,-
Labuhan Batu Selatan,-,-,-
Labuhan Batu Utara,-,-,-
Nias Utara,-,-,-
Nias Barat,-,-,-
Kota Sibolga,1.53,2,1.39
Kota Tanjung Balai,1.65,2.7,2.17
Kota Pematang Siantar,1.98,2.3,1.69
Kota Tebing Tinggi,1.23,2.12,1.48
Kota Medan,1.11,1.55,1.38
Kota Binjai,0.83,1.03,1.16
Kota Padangsidimpuan,2.8,2.01,2.1
Kota Gunungsitoli,-,-,-
SUMATERA BARAT,1.52,1.92,2.04
Kepulauan Mentawai,2.16,4.07,2.58
Pesisir Selatan,1.74,2.05,1.88
Solok,2.4,2.88,3.01
Sijunjung,1.99,2.26,2.61
Tanah Datar,0.81,1.24,1.16
Padang Pariaman,2.39,3.37,2.8
Agam,1.73,2.68,2.62
Lima Puluh Kota,1.65,1.76,2.63
Pasaman,1.68,2.67,2.94
Solok Selatan,-,3.2,2.61
Dharmasraya,-,2.27,2.67
Pasaman Barat,-,1.93,1.99
Kota Padang,0.53,0.58,0.69
Kota Solok,0.61,0.76,0.81
Kota Sawah Lunto,-,1.32,0.4
Kota Padang Panjang,0.55,0.98,0.68
Kota Bukittinggi,0.32,1.39,0.81
Kota Payakumbuh,0.96,0.94,1.08
Kota Pariaman,1.47,1.99,1.12
RIAU,2.28,1.53,1.43
Kuantan Singingi,4.19,4.3,3.54
Indragiri Hulu,3.11,4.44,2.86
Indragiri Hilir,4.11,3.47,2.36
Pelalawan,4.39,5.43,3.48
Siak,1.63,1.53,0.7
Kampar,2.56,2.99,1.94
Rokan Hulu,5.38,4.91,4.96
Bengkalis,1.49,1.41,1.74
Rokan Hilir,1.59,2.62,1.61
Kepulauan Meranti,-,-,-
Kota Pekanbaru,0.56,0.43,0.24
Kota Dumai,1.49,1.16,1.22
JAMBI,2.04,1.81,1.95
Kerinci,1.86,2.06,1.75
Merangin,2.09,2.14,2.3
Sarolangun,3.75,3.58,3.19
Batang Hari,3.28,1.89,2.22
Muaro Jambi,1.06,1.66,1.12
Tanjung Jabung Timur,2.45,2.66,2.36
Tanjung Jabung Barat,2.68,2.49,1.93
Tebo,1.38,1.89,1.64
Bungo,2.34,1.62,0.86
Kota Jambi,0.99,0.73,0.65
Kota Sungai Penuh,-,-,-
SUMATERA SELATAN,3.98,3.83,3.44
Ogan Komering Ulu,3.35,4.22,2.74
Ogan Komering Ilir,4.92,4.59,5.23
Muara Enim,3.49,4.13,2.61
Lahat,5.35,7.22,4.64
Musi Rawas,6.1,7.6,6.33
Musi Banyuasin,7.03,6.02,6.64
Banyu Asin,4.03,3.01,3.28
Ogan Komering Ulu Selatan,-,2.87,3.65
Ogan Komering Ulu Timur,-,2.93,2.96
Ogan Ilir,-,4.56,4.44
Empat Lawang,-,-,-
Penukal Abab Lematang Ilir,-,-,-
Musi Rawas Utara,-,-,-
Kota Palembang,1.41,1.91,1.47
Kota Prabumulih,1.93,2.39,1.31
Kota Pagar Alam,2.88,2.05,2.1
Kota Lubuklinggau,3.01,3.38,3.01
BENGKULU,3.82,4.04,4.06
Bengkulu Selatan,6.87,8.51,7.89
Rejang Lebong,2.51,2.82,2.58
Bengkulu Utara,3.07,4.59,4.61
Kaur,7.74,8.37,6.83
Seluma,6.9,7.9,7.18
Mukomuko,2.57,3.9,3.29
Lebong,-,2.78,1.92
Kepahiang,-,3.69,1.97
Bengkulu Tengah,-,-,-
Kota Bengkulu,1.81,1.88,1.73
LAMPUNG,4.12,4.1,4.62
Lampung Barat,2.95,4.75,4.58
Tanggamus,4.52,3.66,3.22
Lampung Selatan,6.23,5.7,5.97
Lampung Timur,5.98,4.37,5.53
Lampung Tengah,2.81,3.94,3.72
Lampung Utara,5.06,8.03,6.85
Way Kanan,5.22,4.87,5.13
Tulangbawang,2.68,3.07,2.29
Pesawaran,-,-,-
Pringsewu,-,-,-
Mesuji,-,-,-
Tulang Bawang Barat,-,-,-
Pesisir Barat,-,-,-
Kota Bandar Lampung,1.38,2.25,2.11
Kota Metro,0.98,1.91,2.27
KEP. BANGKA BELITUNG,1.35,1.57,1.56
Bangka,1.35,2.29,1.79
Belitung,1.44,2.15,1.9
Bangka Barat,1.18,1.52,1.26
Bangka Tengah,1.37,3.18,2.71
Bangka Selatan,1.44,1.57,1.1
Belitung Timur,1.52,2.82,2.81
Kota Pangkal Pinang,0.64,1.7,1.43
KEPULAUAN RIAU,-,1.97,1.39
Karimun,0.97,2.62,1.14
Bintan,2.26,3.88,2.5
Natuna,0.76,2.32,1.46
Lingga,-,7.55,6.72
Kepulauan Anambas,-,-,-
Kota Batam,1.11,1.4,1.94
Kota Tanjung Pinang,1.88,2.75,3.18
DKI JAKARTA,0.42,0.78,0.75
Kepulauan Seribu,1.77,2.69,2.19
Kota Jakarta Selatan,0.27,0.73,0.61
Kota Jakarta Timur,0.37,0.66,0.6
Kota Jakarta Pusat,0.53,0.67,0.7
Kota Jakarta Barat,0.44,0.51,0.69
Kota Jakarta Utara,0.62,1.54,1.22
JAWA BARAT,1.91,1.97,2.28
Bogor,2.06,2.82,2.69
Sukabumi,2.61,3.79,3.42
Cianjur,2.42,2.88,3.22
Bandung,1.92,2.55,2.41
Garut,2.44,3.37,3.29
Tasikmalaya,2.72,3.62,3.34
Ciamis,2.68,2.66,2.54
Kuningan,3.11,3.07,2.91
Cirebon,2.58,4.12,4.03
Majalengka,3.13,3.67,3.09
Sumedang,1.58,2.23,2.49
Indramayu,1.88,3.38,2.61
Subang,2,3.08,4.1
Purwakarta,1.91,2.19,2.81
Karawang,1.54,3.26,3
Bekasi,1.29,1.55,1.25
Bandung Barat,-,-,-
Pangandaran,-,-,-
Kota Bogor,1.02,1.44,1.7
Kota Sukabumi,0.77,1.12,1.09
Kota Bandung,0.42,0.61,0.83
Kota Cirebon,1.15,2.05,1.18
Kota Bekasi,0.51,0.63,0.83
Kota Depok,0.87,0.55,0.39
Kota Cimahi,1.44,2.17,1.29
Kota Tasikmalaya,1.43,1.72,1.44
Kota Banjar,1.86,1.9,1.23
JAWA TENGAH,3.58,3.51,3.69
Cilacap,3.34,4.66,4.22
Banyumas,3.96,4.82,4.28
Purbalingga,6.37,7.25,5.67
Banjarnegara,4.8,4.73,4.73
Kebumen,5.23,6.4,5.97
Purworejo,3.38,4.41,3.89
Wonosobo,6.79,6.28,7.1
Magelang,2.11,3.26,2.74
Boyolali,2.58,4.23,2.78
Klaten,3.76,5.13,3.49
Sukoharjo,2.13,2.62,2.45
Wonogiri,4.41,5.22,4.51
Karanganyar,3.19,2.73,2.51
Sragen,5.23,4.97,4.44
Grobogan,4.5,4.82,3.63
Blora,2.97,3.61,2.93
Rembang,5.24,6.34,4.67
Pati,3.44,3.54,3
Kudus,1.51,2.26,1.34
Jepara,1.25,1.93,1.79
Demak,4.02,5.63,5.09
Semarang,2.36,2.39,2.2
Temanggung,1.88,2.7,2.68
Kendal,3.46,3.2,3.23
Batang,2.81,3.51,3.35
Pekalongan,4.6,3.14,3.37
Pemalang,4.5,4.48,3.74
Tegal,3.16,4.14,2.96
Brebes,6.1,5.95,4.93
Kota Magelang,2.32,3.13,2.07
Kota Surakarta,1.87,3.52,2.73
Kota Salatiga,1.47,2.07,1.55
Kota Semarang,0.97,0.8,0.91
Kota Pekalongan,0.67,1.27,1.25
Kota Tegal,1.24,1.72,1.5
D I YOGYAKARTA,3.52,4.03,4.12
Kulon Progo,4.86,6.15,5.29
Bantul,3.55,4.1,3.96
Gunung Kidul,4.36,5.33,4.8
Sleman,2.8,3.53,3.27
Kota Yogyakarta,2.96,2.34,1.88
JAWA TIMUR,3.42,3.53,3.94
Pacitan,4.88,4.99,3.53
Ponorogo,2.47,3.74,2.83
Trenggalek,4.35,5.85,4.28
Tulungagung,2.74,2.77,2.84
Blitar,2.1,2.62,2.88
Kediri,2.79,3.15,3.32
Malang,2.54,2.75,2.92
Lumajang,2.76,3.42,3.99
Jember,2.91,1.95,2.75
Banyuwangi,2.11,2.43,2.79
Bondowoso,4.3,3.87,5.21
Situbondo,2.78,3.73,2.66
Probolinggo,4.75,4.81,4.7
Pasuruan,4,4.19,4.11
Sidoarjo,1.96,3.09,1.93
Mojokerto,2.69,3.04,2.79
Jombang,3.9,5.57,4.19
Nganjuk,4.15,4.54,5.04
Madiun,3.98,4.39,4.48
Magetan,3.39,2.65,2.62
Ngawi,4.47,5.17,3.7
Bojonegoro,4.8,5.36,4.75
Tuban,5.15,6.49,5.31
Lamongan,3.28,4.45,4.16
Gresik,3.67,4.47,4.65
Bangkalan,5.72,7.8,7.2
Sampang,9.07,8.31,8.33
Pamekasan,5.49,6.1,7.21
Sumenep,5.61,6.16,5.87
Kota Kediri,2.57,2.36,2.36
Kota Blitar,2.22,2.39,1.98
Kota Malang,0.99,1.55,1
Kota Probolinggo,2.11,3.5,3.16
Kota Pasuruan,1.48,2.65,2.15
Kota Mojokerto,1.7,2.25,1.63
Kota Madiun,1.56,1.68,1.15
Kota Surabaya,1.54,2.01,1.57
Kota Batu,1.8,1.58,2
BANTEN,1.26,1.74,2.04
Pandeglang,1.99,2.11,3.23
Lebak,1.8,2.14,2.04
Tangerang,1.41,1.46,1.38
Serang,0.91,1.75,1.51
Kota Tangerang,0.58,0.92,0.92
Kota Cilegon,0.57,1.59,0.81
Kota Serang,-,-,-
Kota Tangerang Selatan,-,-,-
BALI,0.92,1.07,0.74
Jembrana,1.31,1.06,1.29
Tabanan,1.05,1.1,0.74
Badung,0.7,0.81,0.52
Gianyar,0.76,0.69,0.84
Klungkung,1.1,1.46,1.25
Bangli,0.57,0.72,0.96
Karang Asem,1,0.9,1.32
Buleleng,1.29,1.94,1.08
Kota Denpasar,0.36,0.41,0.34
NUSA TENGGARA BARAT,4.35,4.45,4.3
Lombok Barat,6.12,7.21,5.55
Lombok Tengah,4.13,4.28,5.03
Lombok Timur,4.61,5.27,5.07
Sumbawa,5.1,5.82,8.19
Dompu,3.65,5.34,5.64
Bima,2.91,4.74,5.26
Sumbawa Barat,-,7.4,8.04
Lombok Utara,-,-,-
Kota Mataram,2.08,1.83,2.22
Kota Bima,1.75,2.65,1.72
NUSA TENGGARA TIMUR,5.12,5.91,5.74
Sumba Barat,10.32,11.19,9.37
Sumba Timur,6.96,8.52,6.72
Kupang,6.87,8.34,7.03
Timor Tengah Selatan,6.83,7.71,7.8
Timor Tengah Utara,5.38,6.56,7.1
Belu,3.88,2.9,3.37
Alor,7.08,7.76,5.98
Lembata,9.35,7.63,7.6
Flores Timur,1.81,2.72,2.75
Sikka,2.8,3.82,3.35
Ende,2.66,3.94,4.07
Ngada,1.68,5.62,2.99
Manggarai,4.06,6.68,5.09
Rote Ndao,5.77,6.71,5.26
Manggarai Barat,3.98,5.64,4.33
Sumba Tengah,-,-,-
Sumba Barat Daya,-,-,-
Nagekeo,-,-,-
Manggarai Timur,-,-,-
Sabu Raijua,-,-,-
Malaka,-,-,-
Kota Kupang,1.42,1.99,1.24
KALIMANTAN BARAT,2.28,2.44,2.47
Sambas,2.06,3.05,3.01
Bengkayang,2.97,2.37,2.31
Landak,5.26,4.57,3.68
Pontianak,1.52,1.49,1.72
Sanggau,1.51,1.7,1.86
Ketapang,3.13,3.59,3.7
Sintang,2.22,3.74,3.19
Kapuas Hulu,3.25,2.43,2.44
Sekadau,-,1.66,1.72
Melawi,-,3.07,3.27
Kayong Utara,-,-,-
Kubu Raya,-,-,-
Kota Pontianak,0.83,1.29,1.05
Kota Singkawang,1.91,1.92,1.11
KALIMANTAN TENGAH,1.98,1.77,1.68
Kotawaringin Barat,1.62,1.46,1.54
Kotawaringin Timur,3.04,1.52,1.43
Kapuas,1.64,1.86,1.64
Barito Selatan,1.45,1.69,1.46
