Nama Wilayah,,,
,Indeks Kedalaman Kemiskinan (P1) Menurut Kabupaten/Kota,,
Natuna,1.34,1.4,0.57
Lingga,5.94,4.73,2.78
Kepulauan Anambas,-,-,-
Kota Batam,2.04,1.42,1.55
Kota Tanjung Pinang,2.79,4.14,2.56
DKI JAKARTA,0.59,0.58,0.54
Kepulauan Seribu,2.48,2.05,1.71
Kota Jakarta Selatan,0.81,0.64,0.43
Kota Jakarta Timur,0.65,0.48,0.49
Kota Jakarta Pusat,1.01,0.44,0.67
Kota Jakarta Barat,0.44,0.49,0.36
Kota Jakarta Utara,1.2,0.87,0.85
JAWA BARAT,2.26,2.88,2.09
Bogor,2.53,3.23,1.69
Sukabumi,3,3.23,1.51
Cianjur,2.38,3.55,1.66
Bandung,2.12,2.27,1.14
Garut,2.66,4.24,2.17
Tasikmalaya,2.8,3.26,2.14
Ciamis,2.23,2.22,1.88
Kuningan,2.87,2.9,1.97
Cirebon,4.49,3.27,3.05
Majalengka,3.08,5.7,2.19
Sumedang,2.5,2.97,2.28
Indramayu,2.97,6.44,2.32
Subang,2.53,3.29,2.61
Purwakarta,2.58,2.08,1.74
Karawang,2.29,2.34,2.19
Bekasi,1.19,1.19,0.85
Bandung Barat,3.73,4.24,2.94
Pangandaran,-,-,-
Kota Bogor,1.66,1.73,1.23
Kota Sukabumi,0.94,2.01,1.94
Kota Bandung,0.66,0.78,0.55
Kota Cirebon,1.61,2.31,2.83
Kota Bekasi,0.97,1.57,0.91
Kota Depok,0.31,0.64,0.32
Kota Cimahi,1.23,1.8,1.21
Kota Tasikmalaya,1.44,5.02,4.57
Kota Banjar,1.22,3.28,0.86
JAWA TENGAH,3.84,4.25,2.89
Cilacap,3.48,4.67,2.76
Banyumas,3.25,3.95,3.21
Purbalingga,5.69,5.4,4.6
Banjarnegara,4.83,5.75,3.42
Kebumen,4.77,7.05,4.87
Purworejo,2.85,4.17,2.57
Wonosobo,6.44,8.07,5.14
Magelang,2.55,5.01,1.99
Boyolali,2.64,3.64,2.36
Klaten,3.71,7.09,3.12
Sukoharjo,2.03,2.63,1.45
Wonogiri,4.46,6.03,2.87
Karanganyar,2.46,3.02,1.84
Sragen,2.84,3.5,3.16
Grobogan,3.46,4.49,2.5
Blora,3.02,5.12,2.38
Rembang,4.83,5.48,3.66
Pati,2.47,6.01,2.22
Kudus,1.46,2.76,1.56
Jepara,0.94,1.99,1.14
Demak,3.65,3.86,3.68
Semarang,1.91,2.33,1.43
Temanggung,1.96,4.66,2.58
Kendal,3.18,4.02,2.88
Batang,1.9,5.41,2.66
Pekalongan,2.87,4.23,2.4
Pemalang,3.43,3.59,3.98
Tegal,2.91,2.7,2.44
Brebes,4.43,5.06,4.36
Kota Magelang,1.48,1.68,1.88
Kota Surakarta,2.4,2.71,2.67
Kota Salatiga,1.33,1.28,0.83
Kota Semarang,0.8,0.99,1.02
Kota Pekalongan,0.87,1.03,1.17
Kota Tegal,1.06,1.42,1.64
D I YOGYAKARTA,3.8,3.46,3.35
Kulon Progo,4.66,6.67,4
Bantul,2.77,3.27,3.37
Gunung Kidul,4.22,5.13,3.77
Sleman,2.7,1.97,2.01
Kota Yogyakarta,2.26,2.1,1.91
JAWA TIMUR,3.91,3.96,2.83
Pacitan,3.69,5.94,3.48
Ponorogo,2.24,4.38,2.05
Trenggalek,3.23,5.37,3.44
Tulungagung,2.4,1.83,1.81
Blitar,2.49,3.53,2.02
Kediri,2.94,4.03,2.82
Malang,2.69,4.07,2
Lumajang,2.68,5.73,2.22
Jember,2.6,4.68,2.33
Banyuwangi,2.13,2.92,1.94
Bondowoso,3.97,4.44,2.76
Situbondo,2.2,3.51,2.76
Probolinggo,4.11,4.78,4.74
Pasuruan,2.96,3.16,2.54
Sidoarjo,2.15,2.03,0.96
Mojokerto,1.92,2.4,2.13
Jombang,3.47,2.67,2.09
Nganjuk,3.92,3.21,2.92
Madiun,2.61,4.3,2.78
Magetan,2.41,3.31,1.94
Ngawi,3.68,3.38,3.27
Bojonegoro,4.06,4.98,3.49
Tuban,4.93,5.64,3.47
Lamongan,4.17,4.68,2.94
Gresik,3.43,6.88,3.13
Bangkalan,6.54,8.43,5.34
Sampang,6.15,7.44,5.67
Pamekasan,5.67,5.34,3.51
Sumenep,5.72,5.54,3.89
Kota Kediri,2.24,1.71,1.72
Kota Blitar,1.86,1.67,1.4
Kota Malang,1.07,1.54,1.14
Kota Probolinggo,2.69,5.14,3.03
Kota Pasuruan,1.71,2.41,1.55
Kota Mojokerto,1.54,1.35,0.81
Kota Madiun,0.94,1.01,0.68
Kota Surabaya,1.27,1.21,1.21
Kota Batu,1.58,1.61,0.78
BANTEN,1.4,1.55,1.23
Pandeglang,2.27,1.87,1.33
Lebak,1.76,1.68,1.29
Tangerang,1.29,1.61,1.02
Serang,1.25,1.36,0.64
Kota Tangerang,0.72,1.49,1.21
Kota Cilegon,1.09,0.62,0.48
Kota Serang,-,-,0.67
Kota Tangerang Selatan,-,-,-
BALI,0.94,1.29,0.82
Jembrana,1.44,1.31,0.93
Tabanan,0.97,2.38,0.55
Badung,0.46,1.01,0.35
Gianyar,0.8,1.07,0.67
Klungkung,1.4,1.66,0.87
Bangli,1.07,1.02,0.46
Karang Asem,0.75,1.9,0.81
Buleleng,0.97,1.36,1.2
Kota Denpasar,0.26,0.38,0.15
NUSA TENGGARA BARAT,5.13,4.95,3.72
Lombok Barat,5.07,4.88,4.38
Lombok Tengah,3.75,4.55,3.24
Lombok Timur,4.34,5.3,3.54
Sumbawa,5.8,6.49,4.59
Dompu,4.48,5.91,3.41
Bima,4.2,4.21,3.5
Sumbawa Barat,6.75,8.71,5.44
Lombok Utara,-,-,-
Kota Mataram,1.58,3.07,2.66
Kota Bima,1.54,3.16,2.97
NUSA TENGGARA TIMUR,4.87,8.27,4.47
Sumba Barat,7.93,13.19,7.23
Sumba Timur,7.58,12.74,6.21
Kupang,6.59,6.46,4.04
Timor Tengah Selatan,7.21,11.07,7.24
Timor Tengah Utara,4.76,9.02,4.92
Belu,4.29,7.5,3.47
Alor,6.21,7.75,3.79
Lembata,6.82,8.5,4.01
Flores Timur,2.07,4.11,1.19
Sikka,2.72,7.38,3.74
Ende,3.05,7.16,3.86
Ngada,2.6,4.61,1.98
Manggarai,4.8,7.66,4.09
Rote Ndao,4.75,10.7,6.09
Manggarai Barat,4.97,7.84,3.32
Sumba Tengah,7.36,7.88,8.34
Sumba Barat Daya,8.36,16.22,5.57
Nagekeo,2.37,3.32,1.7
Manggarai Timur,-,-,4.4
Sabu Raijua,-,-,-
Malaka,-,-,-
Kota Kupang,1.39,4.98,2.77
KALIMANTAN BARAT,1.79,2.38,1.29
Sambas,2.17,2.19,1.36
Bengkayang,1.91,1.8,1.07
Landak,4.67,3.85,2.83
Pontianak,0.75,1.51,0.9
Sanggau,1.02,1.39,0.66
Ketapang,2.61,3.47,1.86
Sintang,2.72,3.26,1.53
Kapuas Hulu,2.53,2.21,1.3
Sekadau,1.66,2.05,1.18
Melawi,2.3,6.04,2.27
Kayong Utara,3.54,3.48,1.42
Kubu Raya,-,1.06,1.05
Kota Pontianak,0.57,1.94,1.15
Kota Singkawang,0.76,1.33,1.23
KALIMANTAN TENGAH,1.68,1.47,0.94
Kotawaringin Barat,1.73,1.21,1.09
Kotawaringin Timur,1.58,2.1,1.22
Kapuas,1.01,1.34,0.98
Barito Selatan,1.33,1.53,1.02
Barito Utara,0.84,1.43,0.88
Sukamara,1.15,2.08,1
Lamandau,0.92,1.44,0.75
Seruyan,1.84,1.19,1.49
Katingan,0.94,1.03,0.6
Pulang Pisau,1.78,1.35,0.84
Gunung Mas,1.32,0.96,0.91
Barito Timur,1.8,2.97,1.55
Murung Raya,0.9,1.16,0.76
Kota Palangka Raya,0.73,1.05,0.79
KALIMANTAN SELATAN,0.81,1.2,0.8
Tanah Laut,1.21,1.54,0.61
Kota Baru,1.4,1.25,1.01
Banjar,0.52,0.59,0.45
Barito Kuala,0.98,1.15,0.99
Tapin,1.63,1.14,0.75
Hulu Sungai Selatan,1.26,2.55,1.03
Hulu Sungai Tengah,1.26,0.88,0.95
Hulu Sungai Utara,1.35,1.56,1.01
Tabalong,1.23,2.03,1.08
Tanah Bumbu,1.72,1.38,1.06
Balangan,1.53,1.35,0.74
Kota Banjarmasin,0.17,0.78,0.64
Kota Banjar Baru,0.56,1.03,0.84
KALIMANTAN TIMUR,1.81,2.03,1.41
Paser,2.53,2.82,1.45
Kutai Barat,2.68,2.4,1.54
Kutai Kartanegara,2.27,2.27,1.34
Kutai Timur,3.16,3.56,1.71
Berau,1.74,1.72,1.11
Penajam Paser Utara,2.92,3.1,1.8
Mahakam Hulu,-,-,-
Kota Balikpapan,0.39,0.7,0.53
Kota Samarinda,1.07,0.94,0.57
Kota Bontang,1.33,1.44,1.13
KALIMANTAN UTARA,1.81,2.03,1.41
Malinau,4.21,6.58,2.41
Bulungan,3.22,4.49,2.96
Tana Tidung,-,-,2.47
Nunukan,4.87,3.49,2.73
Kota Tarakan,1.35,1.91,1.23
SULAWESI UTARA,1.88,1.94,1.38
Bolaang Mongondow,2,1.9,1.49
Minahasa,1.5,1.74,1.45
Kepulauan Sangihe,2.92,2.45,2.3
Kepulauan Talaud,2.67,3.17,2.04
Minahasa Selatan,2.13,2.96,0.95
Minahasa Utara,1.79,1.37,1.11
Bolaang Mongondow Utara,1.5,2.21,1.29
Siau Tagulandang Biaro,2.48,1.8,1.78
Minahasa Tenggara,3.61,4.18,2.64
Bolaang Mongondow Selatan,-,-,-
Bolaang Mongondow Timur,-,-,-
Kota Manado,0.98,1.15,0.84
Kota Bitung,1.98,2.15,0.88
Kota Tomohon,1.18,1.57,0.84
Kota Kotamobagu,1.29,1.33,1.38
SULAWESI TENGAH,4.46,4.87,3.57
Banggai Kepulauan,5.3,5.01,4.48
Banggai,2.82,2.86,2.68
Morowali,4.39,7.54,4.9
Poso,5.24,7.14,4.69
Donggala,3.79,5,3.66
Toli-Toli,3.68,4.48,3.05
Buol,5.28,4.36,3.17
Parigi Moutong,4.35,5.07,3.45
Tojo Una-Una,5.15,8.13,3.78
Sigi,-,-,-
Banggai Laut,-,-,-
Morowali Utara,-,-,-
Kota Palu,1.6,2.08,1.6
SULAWESI SELATAN,2.6,3.46,2.03
Kepulauan Selayar,2.45,4.91,2.95
Bulukumba,2,3.69,1.45
Bantaeng,1.88,3.65,1.64
Jeneponto,3.63,5.31,3.42
Takalar,1.87,3.14,1.33
Gowa,1.89,3.36,1.76
Sinjai,1.97,4.57,1.56
Maros,3.6,5.48,2.81
Pangkajene Dan Kepulauan,5.47,6.74,3.03
Barru,2.12,3.27,1.86
Bone,2.71,4.84,2.31
Soppeng,0.83,1.3,1.39
Wajo,2,2.51,1.12
Sidenreng Rappang,0.7,1.75,0.84
Pinrang,0.85,3.29,1.36
Enrekang,3.59,4.99,3.42
Luwu,3.25,4.77,3.62
Tana Toraja,3.27,4.81,2.46
Luwu Utara,2,3.27,2.65
Luwu Timur,1.72,2.32,1.77
Toraja Utara,-,-,-
Kota Makassar,0.95,1,0.96
Kota Parepare,1.14,1.99,0.84
Kota Palopo,1.52,4,1.97
SULAWESI TENGGARA,4.33,5.05,2.56
Buton,3.53,6.1,3.61
Muna,4,5.67,3.13
Konawe,3.94,4.65,3.08
Kolaka,3.54,7.02,2.83
Konawe Selatan,2.82,4.57,2.15
Bombana,3.23,3.74,2.55
Wakatobi,3.67,5.5,3.76
Kolaka Utara,4.84,9.74,2.21
Buton Utara,4.37,4.4,3.03
Konawe Utara,2.66,2.88,1.98
Kolaka Timur,-,-,-
Konawe Kepulauan,-,-,-
Muna Barat,-,-,-
Buton Tengah,-,-,-
Buton Selatan,-,-,-
Kota Kendari,2.13,1.83,1.17
Kota Baubau,2.94,2.94,2.22
GORONTALO,5.57,3.67,3.46
Boalemo,4.58,4.54,3.53
Gorontalo,7.18,3.68,3.82
Pohuwato,6.14,4.87,3.99
Bone Bolango,6.69,4.76,4.05
Gorontalo Utara,5.3,4.37,3.43
Kota Gorontalo,1.35,0.87,0.67
SULAWESI BARAT,2.59,3.44,1.71
Majene,3.57,3.38,2.74
Polewali Mandar,4.4,4.84,3.51
Mamasa,4.16,4.48,2.73
Mamuju,1.69,2.14,0.99
Mamuju Utara,1.39,1.27,0.79
Mamuju Tengah,-,-,-
MALUKU,6.38,6.89,6.84
Maluku Tenggara Barat,8.99,7.71,7.82
Maluku Tenggara,9.45,9.16,6.92
Maluku Tengah,7.47,9.08,7.34
Buru,5.93,6.15,4.27
Kepulauan Aru,8.77,8.95,13.59
Seram Bagian Barat,9.67,8.17,7.97
Seram Bagian Timur,7.6,9.29,7.4
Maluku Barat Daya,-,-,-
Buru Selatan,-,-,-
Kota Ambon,-,-,0.97
Kota Tual,1.31,0.85,6.35
MALUKU UTARA,2.23,2.47,1.93
Halmahera Barat,3.07,3.28,3.21
Halmahera Tengah,5.58,5.9,5.3
Kepulauan Sula,2.03,2.16,2.31
Halmahera Selatan,1.94,1.82,1.68
Halmahera Utara,1.08,2.04,1.41
Halmahera Timur,3.03,9.61,3.02
Pulau Morotai,-,-,-
Pulau Taliabu,-,-,-
Kota Ternate,0.81,0.75,0.65
Kota Tidore Kepulauan,1.08,0.8,0.61
PAPUA BARAT,12.97,10.83,8.83
Fakfak,8.79,9.21,7.41
Kaimana,6.83,10.36,3.83
Teluk Wondama,12.75,14.21,10.66
Teluk Bintuni,7.31,5.58,13.83
Manokwari,7.48,9.31,14.18
Sorong Selatan,6.84,6.64,6.25
Sorong,14.59,16.29,10.61
Raja Ampat,13.02,13.02,2.86
Tambrauw,-,-,-
Maybrat,-,-,-
Manokwari Selatan,-,-,-
Pegunungan Arfak,-,-,-
Kota Sorong,9.41,7.93,2.76
PAPUA BARAT DAYA,-,-,-
Raja Ampat,-,-,-
Sorong,-,-,-
Sorong Selatan,-,-,-
Maybrat,-,-,-
Tambrauw,-,-,-
Kota Sorong,-,-,-
PAPUA,10.84,11.16,9.89
Merauke,8.23,3.54,2.95
Jayawijaya,13.99,10.16,8.4
Jayapura,7.59,6.31,4.68
Nabire,20.31,11.89,10.87
Kepulauan Yapen,8.76,14.23,9.66
Biak Numfor,11.81,11.97,9.06
Paniai,11.01,12.58,13.77
Puncak Jaya,-,8.91,10
Mimika,9.36,9.75,7.94
Boven Digoel,7.12,10.68,6.55
Mappi,6.01,8.12,8.43
Asmat,5.15,15.95,6.71
Yahukimo,13.92,22.68,7.57
Pegunungan Bintang,-,18.06,15.92
Tolikara,6.8,6.89,5.75
Sarmi,5.79,4.77,3.32
Keerom,6.21,10.39,6.38
Waropen,6.96,17.57,9.63
Supiori,12.36,7.72,13
Mamberamo Raya,-,-,8.62
Nduga *,-,-,3.89
Lanny Jaya,-,-,17.47
Mamberamo Tengah,-,-,15.73
Yalimo,-,-,5.98
Puncak,-,-,19.36
Dogiyai,-,-,7.78
Intan Jaya,-,-,-
Deiyai,-,-,-
Kota Jayapura,5.67,10.34,3.78
PAPUA SELATAN,-,-,-
Merauke,-,-,-
Boven Digoel,-,-,-
Mappi,-,-,-
Asmat,-,-,-
PAPUA TENGAH,-,-,-
Mimika,-,-,-
Dogiyai,-,-,-
Deiyai,-,-,-
Nabire,-,-,-
Paniai,-,-,-
Intan Jaya,-,-,-
Puncak,-,-,-
Puncak Jaya,-,-,-
PAPUA PEGUNUNGAN,-,-,-
Nduga,-,-,-
Jayawijaya,-,-,-
Lanny Jaya,-,-,-
Tolikara,-,-,-
Mamberamo Tengah,-,-,-
Yalimo,-,-,-
Yahukimo,-,-,-
Pegunungan Bintang,-,-,-
