Nama Wilayah,,,
,Indeks Kedalaman Kemiskinan (P1) Menurut Kabupaten/Kota,,
,2007,2008,2009
ACEH,5.41,5.18,3.88
Simeulue,5.24,4.51,3.95
Aceh Singkil,5.5,4.82,3.4
Aceh Selatan,4.57,3.62,2.44
Aceh Tenggara,3.8,2.83,2.79
Aceh Timur,6.87,5.29,3.49
Aceh Tengah,3.83,4.39,3.18
Aceh Barat,7.23,11.06,5.73
Aceh Besar,6.5,5.56,3.91
Pidie,5.16,6.33,4.07
Bireuen,5.2,5.21,4.24
Aceh Utara,6.55,5.61,4.51
Aceh Barat Daya,4.87,3.72,3.06
Gayo Lues,4.89,4.85,5.31
Aceh Tamiang,4.35,3.58,3.43
Nagan Raya,7.75,7.62,5.12
Aceh Jaya,5.46,5.79,4.49
Bener Meriah,4.34,5.13,4.14
Pidie Jaya,4.84,8.33,4.75
Kota Banda Aceh,0.93,3.44,1.55
Kota Sabang,5.23,6.16,3.81
Kota Langsa,2.33,3.88,2.92
Kota Lhokseumawe,3.2,2.77,1.78
Kota Subulussalam,4.64,5.11,4.97
SUMATERA UTARA,2.17,2.07,1.78
Nias,4.32,3.9,5.23
Mandailing Natal,2.75,2.17,1.95
Tapanuli Selatan,2.4,1.46,1.57
Tapanuli Tengah,5.05,3.96,2.8
Tapanuli Utara,2.83,1.73,1.5
Toba Samosir,2.13,2.35,1.19
Labuhan Batu,2.05,1.65,1.38
Asahan,2.2,2.03,1.96
Simalungun,2.4,2.39,1.93
Dairi,1.98,1.72,1.63
Karo,2.18,4.47,1.32
Deli Serdang,1.06,0.95,0.53
Langkat,3.31,2.97,1.67
Nias Selatan,5.72,2.78,3.48
Humbang Hasundutan,2.34,1.9,1.8
Pakpak Bharat,3.84,2.23,1.29
Samosir,4.29,2.72,2.02
Serdang Bedagai,1.43,1.87,1.25
Batu Bara,3.05,1.76,1.64
Padang Lawas Utara,-,-,1.93
Padang Lawas,-,-,1.67
Labuhan Batu Selatan,-,-,-
Labuhan Batu Utara,-,-,-
Nias Utara,-,-,-
Nias Barat,-,-,-
Kota Sibolga,1.85,2.46,2.36
Kota Tanjung Balai,1.51,2.2,3.42
Kota Pematang Siantar,0.89,2.19,1.53
Kota Tebing Tinggi,0.93,2.32,2.1
Kota Medan,1.39,1.87,1.4
Kota Binjai,0.94,1.17,1.08
Kota Padangsidimpuan,1.72,1.95,1.92
Kota Gunungsitoli,-,-,-
SUMATERA BARAT,1.84,1.73,1.52
Kepulauan Mentawai,2,3.41,4.82
Pesisir Selatan,1.67,1.97,1.43
Solok,3.38,2.74,1.57
Sijunjung,1.91,2.6,1.25
Tanah Datar,0.77,1.07,0.89
Padang Pariaman,3.07,3.09,1.82
Agam,1.95,1.59,1.35
Lima Puluh Kota,2.18,1.51,1.13
Pasaman,2.74,2.05,1.99
Solok Selatan,2.3,1.8,1.68
Dharmasraya,2.55,2.16,1.87
Pasaman Barat,1.9,1.75,1.23
Kota Padang,0.41,0.77,0.93
Kota Solok,0.55,1.15,1.04
Kota Sawah Lunto,0.24,0.45,0.25
Kota Padang Panjang,0.52,1.15,1.08
Kota Bukittinggi,0.92,0.83,0.91
Kota Payakumbuh,1.31,1.71,1.6
Kota Pariaman,0.66,0.79,0.84
RIAU,2.18,2.44,1.57
Kuantan Singingi,3.37,3.84,2.51
Indragiri Hulu,2.38,2.38,1.66
Indragiri Hilir,2.28,2.58,2.07
Pelalawan,3.25,6.23,3.33
Siak,0.86,0.98,1.01
Kampar,1.91,2,1.8
Rokan Hulu,4.35,6.44,2.77
Bengkalis,1.97,2.08,1.19
Rokan Hilir,1.62,1.96,1.38
Kepulauan Meranti,-,-,-
Kota Pekanbaru,0.3,0.54,0.46
Kota Dumai,0.86,0.81,0.69
JAMBI,1.88,1.91,0.92
Kerinci,1.76,1.76,0.75
Merangin,1.63,1.84,1.16
Sarolangun,2.46,4.61,1.38
Batang Hari,2.4,2.3,1
Muaro Jambi,0.9,0.65,0.56
Tanjung Jabung Timur,1.96,2.27,1.76
Tanjung Jabung Barat,1.61,2.5,1.66
Tebo,1.09,0.96,0.76
Bungo,1.1,1.18,0.75
Kota Jambi,0.85,1.91,1.17
Kota Sungai Penuh,-,-,-
SUMATERA SELATAN,3.84,3.92,2.32
Ogan Komering Ulu,1.83,2.92,1.9
Ogan Komering Ilir,3.8,3.25,2.43
Muara Enim,2.57,3.45,1.96
Lahat,4.19,6.67,3.8
Musi Rawas,5.75,6.12,3.14
Musi Banyuasin,5.61,7.87,4.05
Banyu Asin,2.55,3.67,1.99
Ogan Komering Ulu Selatan,2.27,2.82,1.88
Ogan Komering Ulu Timur,2.02,2.75,2.05
Ogan Ilir,2.42,3.88,2.32
Empat Lawang,3.89,3.02,2.89
Penukal Abab Lematang Ilir,-,-,-
Musi Rawas Utara,-,-,-
Kota Palembang,1.46,3.09,2.39
Kota Prabumulih,0.92,2.96,2.06
Kota Pagar Alam,1.46,1.79,1.32
Kota Lubuklinggau,2.21,3.82,2.46
BENGKULU,4.03,3.93,3.26
Bengkulu Selatan,6.85,7.19,5.19
Rejang Lebong,2.17,3.94,2.55
Bengkulu Utara,4.09,2.95,2.1
Kaur,5.6,4.48,4.93
Seluma,7.38,6.31,4.67
Mukomuko,3.3,2.53,2.71
Lebong,2.57,2.7,1.91
Kepahiang,2.48,2.39,2.36
Bengkulu Tengah,-,-,-
Kota Bengkulu,1.49,3.6,3.34
LAMPUNG,3.94,4.43,3.45
Lampung Barat,4.09,4.43,3.75
Tanggamus,3.74,4.19,3.54
Lampung Selatan,5.16,5.6,4.57
Lampung Timur,4.81,5.76,3.26
Lampung Tengah,3.61,3.81,3.18
Lampung Utara,5.49,6.49,4.99
Way Kanan,4.08,4.78,3.24
Tulangbawang,2,2.04,1.6
Pesawaran,-,-,3.77
Pringsewu,-,-,-
Mesuji,-,-,-
Tulang Bawang Barat,-,-,-
Pesisir Barat,-,-,-
Kota Bandar Lampung,1.14,2.96,2.1
Kota Metro,2.33,3.34,3.27
KEP. BANGKA BELITUNG,1.68,1.34,1.1
Bangka,1.33,1.39,1.56
Belitung,1.48,1.97,1.56
Bangka Barat,0.63,0.7,1.04
Bangka Tengah,1.59,1.42,1.01
Bangka Selatan,1.28,0.84,0.8
Belitung Timur,2.71,2.6,1.61
Kota Pangkal Pinang,0.52,1.05,0.92
KEPULAUAN RIAU,1.9,1.87,1.44
Karimun,0.88,1.15,0.81
Bintan,1.85,0.79,1.23
