Nama Wilayah,,,
,Indeks Keparahan Kemiskinan (P2) Menurut Kabupaten/Kota,,
RIAU,0.34,0.36,0.3
Kuantan Singingi,0.33,0.35,0.3
Indragiri Hulu,0.17,0.29,0.24
Indragiri Hilir,0.25,0.28,0.36
Pelalawan,0.47,0.35,0.22
Siak,0.11,0.25,0.15
Kampar,0.29,0.2,0.21
Rokan Hulu,0.34,0.47,0.53
Bengkalis,0.43,0.24,0.18
Rokan Hilir,0.12,0.38,0.18
Kepulauan Meranti,2.42,2.2,1.37
Kota Pekanbaru,0.08,0.16,0.12
Kota Dumai,0.13,0.25,0.07
JAMBI,0.37,0.29,0.32
Kerinci,0.2,0.51,0.12
Merangin,0.49,0.52,0.57
Sarolangun,0.29,0.69,0.39
Batang Hari,0.23,0.51,0.25
Muaro Jambi,0.08,0.07,0.21
Tanjung Jabung Timur,0.56,1.05,0.56
Tanjung Jabung Barat,0.36,0.67,0.42
Tebo,0.23,0.19,0.26
Bungo,0.22,0.29,0.13
Kota Jambi,0.43,0.27,0.28
Kota Sungai Penuh,0.04,0.03,0.03
SUMATERA SELATAN,0.42,0.6,0.6
Ogan Komering Ulu,0.29,0.68,0.75
Ogan Komering Ilir,0.7,0.78,0.78
Muara Enim,0.52,0.52,0.44
Lahat,0.62,0.61,0.73
Musi Rawas,0.42,0.67,0.62
Musi Banyuasin,0.54,0.44,1.02
Banyu Asin,0.29,0.49,0.62
Ogan Komering Ulu Selatan,0.11,0.42,0.22
Ogan Komering Ulu Timur,0.34,0.51,0.37
Ogan Ilir,0.4,0.37,0.51
Empat Lawang,0.22,0.23,0.39
Penukal Abab Lematang Ilir,0.35,0.48,0.61
Musi Rawas Utara,0.72,0.77,1.59
Kota Palembang,0.53,0.41,0.39
Kota Prabumulih,0.23,0.24,0.37
Kota Pagar Alam,0.15,0.2,0.2
Kota Lubuklinggau,0.55,0.56,0.57
BENGKULU,0.77,0.75,0.61
Bengkulu Selatan,1.3,0.79,0.57
Rejang Lebong,0.91,0.72,0.44
Bengkulu Utara,0.2,0.49,0.4
Kaur,0.75,1.27,0.62
Seluma,1.09,1.11,0.85
Mukomuko,0.42,0.48,0.44
Lebong,0.55,0.39,0.33
Kepahiang,0.3,0.36,0.57
Bengkulu Tengah,0.09,0.34,0.39
Kota Bengkulu,1.22,1.55,1.38
LAMPUNG,0.7,0.51,0.48
Lampung Barat,0.78,0.49,0.36
Tanggamus,0.43,0.35,0.62
Lampung Selatan,0.64,0.53,0.67
Lampung Timur,0.86,0.78,0.78
Lampung Tengah,0.58,0.45,0.32
Lampung Utara,1.37,1.15,0.63
Way Kanan,0.7,0.47,0.5
Tulangbawang,0.59,0.36,0.25
Pesawaran,0.74,0.87,0.72
Pringsewu,0.42,0.39,0.31
Mesuji,0.37,0.27,0.14
Tulang Bawang Barat,0.26,0.21,0.22
Pesisir Barat,0.72,0.48,0.59
Kota Bandar Lampung,0.47,0.36,0.36
Kota Metro,0.54,0.6,0.42
KEP. BANGKA BELITUNG,0.15,0.08,0.14
Bangka,0.16,0.06,0.17
Belitung,0.15,0.23,0.08
Bangka Barat,0.07,0.01,0.05
Bangka Tengah,0.1,0.1,0.06
Bangka Selatan,0.11,0.02,0.08
Belitung Timur,0.22,0.18,0.19
Kota Pangkal Pinang,0.16,0.11,0.11
KEPULAUAN RIAU,0.2,0.23,0.24
Karimun,0.22,0.15,0.13
Bintan,0.12,0.21,0.4
Natuna,0.02,0.06,0.14
Lingga,0.44,0.29,0.57
Kepulauan Anambas,0.08,0.32,0.32
Kota Batam,0.1,0.22,0.19
Kota Tanjung Pinang,0.29,0.48,0.38
DKI JAKARTA,0.08,0.1,0.11
Kepulauan Seribu,0.09,0.54,0.42
Kota Jakarta Selatan,0.04,0.07,0.05
Kota Jakarta Timur,0.04,0.1,0.06
Kota Jakarta Pusat,0.04,0.06,0.25
Kota Jakarta Barat,0.1,0.07,0.14
Kota Jakarta Utara,0.17,0.19,0.18
JAWA BARAT,0.37,0.37,0.33
Bogor,0.28,0.35,0.26
Sukabumi,0.3,0.24,0.19
Cianjur,0.49,0.32,0.27
Bandung,0.18,0.26,0.2
Garut,0.39,0.43,0.37
Tasikmalaya,0.42,0.29,0.23
Ciamis,0.27,0.27,0.26
Kuningan,0.59,0.44,0.4
Cirebon,0.5,0.5,0.55
Majalengka,0.52,0.45,0.51
Sumedang,0.35,0.54,0.47
Indramayu,0.37,0.66,0.6
Subang,0.47,0.67,0.51
Purwakarta,0.32,0.23,0.16
Karawang,0.53,0.32,0.3
Bekasi,0.23,0.22,0.15
Bandung Barat,0.51,0.71,0.35
Pangandaran,0.41,0.36,0.3
Kota Bogor,0.26,0.17,0.17
Kota Sukabumi,0.38,0.46,0.26
Kota Bandung,0.12,0.18,0.11
Kota Cirebon,0.49,0.43,0.19
Kota Bekasi,0.15,0.21,0.18
Kota Depok,0.06,0.06,0.06
Kota Cimahi,0.14,0.35,0.23
Kota Tasikmalaya,0.57,0.42,0.31
Kota Banjar,0.14,0.08,0.19
JAWA TENGAH,0.63,0.57,0.45
Cilacap,0.7,0.42,0.44
Banyumas,0.85,0.85,0.7
Purbalingga,1.2,0.68,0.74
Banjarnegara,0.8,0.84,0.45
Kebumen,1.11,0.99,0.55
Purworejo,0.76,0.54,0.36
Wonosobo,1.11,1.1,0.78
Magelang,0.44,0.31,0.34
Boyolali,0.81,0.53,0.25
Klaten,0.71,0.61,0.38
Sukoharjo,0.29,0.17,0.17
Wonogiri,0.38,0.43,0.41
Karanganyar,0.51,0.43,0.43
Sragen,0.99,0.42,0.59
Grobogan,0.38,0.56,0.35
Blora,0.54,0.31,0.37
Rembang,0.85,0.89,0.78
Pati,0.49,0.35,0.29
Kudus,0.21,0.21,0.19
Jepara,0.1,0.22,0.13
Demak,0.56,0.59,0.55
Semarang,0.45,0.25,0.45
Temanggung,0.39,0.43,0.29
Kendal,0.61,0.39,0.47
Batang,0.39,0.31,0.23
Pekalongan,0.49,0.36,0.31
Pemalang,0.8,1,0.83
Tegal,0.21,0.27,0.44
Brebes,1.16,0.78,1.04
Kota Magelang,0.23,0.32,0.21
Kota Surakarta,0.35,0.44,0.35
Kota Salatiga,0.11,0.21,0.13
Kota Semarang,0.18,0.12,0.12
Kota Pekalongan,0.13,0.2,0.22
Kota Tegal,0.21,0.38,0.3
D I YOGYAKARTA,0.59,0.55,0.5
Kulon Progo,1,0.64,0.56
Bantul,0.41,0.56,0.46
Gunung Kidul,1.3,0.79,1.16
Sleman,0.34,0.28,0.2
Kota Yogyakarta,0.19,0.48,0.34
JAWA TIMUR,0.47,0.45,0.5
Pacitan,0.79,0.48,0.32
Ponorogo,0.28,0.27,0.26
Trenggalek,0.37,0.4,0.42
Tulungagung,0.18,0.16,0.21
Blitar,0.35,0.22,0.28
Kediri,0.37,0.39,0.39
Malang,0.33,0.43,0.39
Lumajang,0.35,0.37,0.31
Jember,0.29,0.28,0.33
Banyuwangi,0.34,0.24,0.35
Bondowoso,0.64,0.48,0.51
Situbondo,0.39,0.38,0.31
Probolinggo,0.8,0.84,0.91
Pasuruan,0.33,0.44,0.37
Sidoarjo,0.23,0.25,0.31
Mojokerto,0.35,0.46,0.48
Jombang,0.25,0.39,0.3
Nganjuk,0.36,0.4,0.53
Madiun,0.56,0.78,0.34
Magetan,0.26,0.37,0.2
Ngawi,0.52,0.4,0.4
Bojonegoro,0.54,0.52,0.39
Tuban,0.82,0.91,0.65
Lamongan,0.66,0.66,0.86
Gresik,0.56,0.71,0.45
Bangkalan,1.13,0.91,1
Sampang,1.05,0.72,0.64
Pamekasan,0.54,0.33,0.32
Sumenep,0.75,0.23,1.15
Kota Kediri,0.2,0.19,0.18
Kota Blitar,0.2,0.24,0.31
Kota Malang,0.09,0.12,0.11
Kota Probolinggo,0.2,0.18,0.17
Kota Pasuruan,0.32,0.09,0.19
Kota Mojokerto,0.13,0.13,0.1
Kota Madiun,0.26,0.13,0.04
Kota Surabaya,0.25,0.33,0.2
Kota Batu,0.11,0.12,0.12
BANTEN,0.17,0.19,0.2
Pandeglang,0.24,0.25,0.29
Lebak,0.21,0.22,0.29
Tangerang,0.18,0.13,0.2
Serang,0.05,0.19,0.22
Kota Tangerang,0.1,0.17,0.24
Kota Cilegon,0.13,0.15,0.18
Kota Serang,0.11,0.16,0.1
Kota Tangerang Selatan,0.08,0.07,0.05
BALI,0.09,0.16,0.18
Jembrana,0.08,0.19,0.09
Tabanan,0.12,0.13,0.1
Badung,0.05,0.05,0.07
Gianyar,0.07,0.11,0.08
Klungkung,0.13,0.04,0.21
Bangli,0.12,0.1,0.1
Karang Asem,0.09,0.18,0.22
Buleleng,0.15,0.14,0.13
Kota Denpasar,0.03,0.12,0.07
NUSA TENGGARA BARAT,0.77,0.85,0.74
Lombok Barat,0.89,0.92,0.95
Lombok Tengah,0.64,0.75,0.54
Lombok Timur,0.68,0.79,0.64
Sumbawa,0.84,0.63,0.86
Dompu,0.3,0.39,0.34
Bima,0.52,0.58,0.35
Sumbawa Barat,1.7,1.22,0.5
Lombok Utara,2.22,2.57,2.56
Kota Mataram,0.43,0.47,0.22
Kota Bima,0.65,0.31,0.41
NUSA TENGGARA TIMUR,1.29,1.17,1.03
Sumba Barat,1.73,1.51,0.93
Sumba Timur,2.18,2.67,2.16
Kupang,0.8,1.3,0.87
Timor Tengah Selatan,1.4,2.15,1.96
Timor Tengah Utara,0.95,0.72,1.13
Belu,0.81,0.59,0.45
Alor,0.52,1.27,0.86
Lembata,2.26,1.37,1.09
Flores Timur,0.12,0.23,0.24
Sikka,0.32,0.3,0.29
Ende,1.64,1.71,1.68
Ngada,0.46,0.62,0.65
Manggarai,1.32,1.09,0.78
Rote Ndao,2.72,1.97,1.13
Manggarai Barat,0.85,1.09,1
Sumba Tengah,1.84,2.51,1.66
Sumba Barat Daya,1.22,1.02,1.49
Nagekeo,0.42,0.24,0.46
Manggarai Timur,1.35,1.17,1.02
Sabu Raijua,1.33,2.21,1.85
Malaka,0.87,0.32,0.43
Kota Kupang,0.3,0.41,0.39
KALIMANTAN BARAT,0.31,0.29,0.28
Sambas,0.3,0.24,0.21
Bengkayang,0.28,0.17,0.11
Landak,0.35,0.5,0.46
Pontianak,0.07,0.14,0.25
Sanggau,0.16,0.09,0.09
Ketapang,0.5,0.4,0.64
Sintang,0.26,0.34,0.58
Kapuas Hulu,0.34,0.27,0.29
Sekadau,0.22,0.26,0.08
Melawi,0.57,0.5,0.5
Kayong Utara,0.45,0.38,0.32
Kubu Raya,0.17,0.21,0.14
Kota Pontianak,0.16,0.35,0.14
Kota Singkawang,0.14,0.17,0.18
KALIMANTAN TENGAH,0.2,0.21,0.21
Kotawaringin Barat,0.16,0.11,0.12
Kotawaringin Timur,0.18,0.17,0.15
Kapuas,0.1,0.2,0.22
Barito Selatan,0.09,0.09,0.21
Barito Utara,0.15,0.1,0.1
Sukamara,0.19,0.08,0.11
Lamandau,0.21,0.09,0.06
Seruyan,0.33,0.2,0.27
Katingan,0.19,0.27,0.09
Pulang Pisau,0.14,0.18,0.09
Gunung Mas,0.13,0.12,0.24
Barito Timur,0.34,0.21,0.25
Murung Raya,0.23,0.09,0.34
Kota Palangka Raya,0.06,0.14,0.21
KALIMANTAN SELATAN,0.16,0.16,0.16
Tanah Laut,0.16,0.15,0.14
Kota Baru,0.11,0.23,0.14
Banjar,0.07,0.05,0.1
Barito Kuala,0.1,0.22,0.15
Tapin,0.03,0.08,0.06
Hulu Sungai Selatan,0.21,0.14,0.18
Hulu Sungai Tengah,0.1,0.15,0.12
Hulu Sungai Utara,0.17,0.28,0.27
Tabalong,0.24,0.23,0.34
Tanah Bumbu,0.31,0.11,0.14
Balangan,0.18,0.16,0.25
Kota Banjarmasin,0.13,0.25,0.21
Kota Banjar Baru,0.15,0.14,0.11
KALIMANTAN TIMUR,0.28,0.21,0.2
Paser,0.43,0.27,0.31
Kutai Barat,0.37,0.16,0.26
Kutai Kartanegara,0.28,0.44,0.2
Kutai Timur,0.65,0.25,0.41
Berau,0.23,0.07,0.11
Penajam Paser Utara,0.22,0.24,0.38
Mahakam Hulu,0.96,0.18,0.02
Kota Balikpapan,0.05,0.03,0.26
Kota Samarinda,0.21,0.13,0.09
Kota Bontang,0.2,0.25,0.26
KALIMANTAN UTARA,0.17,0.34,0.27
Malinau,0.12,0.27,0.15
Bulungan,0.28,0.43,0.26
Tana Tidung,0.09,0.08,0.03
Nunukan,0.16,0.18,0.24
Kota Tarakan,0.14,0.5,0.29
SULAWESI UTARA,0.46,0.35,0.3
Bolaang Mongondow,0.51,0.36,0.22
Minahasa,0.4,0.4,0.26
Kepulauan Sangihe,0.57,0.38,0.55
Kepulauan Talaud,0.51,0.33,0.26
Minahasa Selatan,0.57,0.48,0.43
Minahasa Utara,0.45,0.17,0.32
Bolaang Mongondow Utara,0.72,0.2,0.24
Siau Tagulandang Biaro,0.31,0.35,0.37
Minahasa Tenggara,0.8,0.6,0.63
Bolaang Mongondow Selatan,1.07,0.52,0.32
Bolaang Mongondow Timur,0.27,0.23,0.25
Kota Manado,0.13,0.2,0.15
Kota Bitung,0.13,0.39,0.22
Kota Tomohon,0.24,0.2,0.38
Kota Kotamobagu,0.12,0.17,0.09
SULAWESI TENGAH,0.73,0.72,0.74
Banggai Kepulauan,0.45,0.74,0.61
Banggai,0.3,0.64,0.52
Morowali,0.79,0.82,0.93
Poso,1.38,0.59,0.68
Donggala,0.9,1.05,0.86
Toli-Toli,0.27,0.68,0.76
Buol,0.69,0.65,0.54
Parigi Moutong,0.88,0.43,0.64
Tojo Una-Una,0.79,0.67,1.04
Sigi,0.23,0.85,0.38
Banggai Laut,0.58,0.79,0.53
Morowali Utara,0.6,0.63,0.43
Kota Palu,0.32,0.24,0.19
SULAWESI SELATAN,0.55,0.46,0.38
Kepulauan Selayar,0.65,1.42,0.89
Bulukumba,0.52,0.26,0.23
Bantaeng,0.59,0.33,0.52
Jeneponto,0.96,0.77,0.6
Takalar,0.35,0.4,0.39
Gowa,0.47,0.39,0.31
Sinjai,0.43,0.19,0.24
Maros,0.79,0.86,0.71
Pangkajene Dan Kepulauan,0.97,0.88,0.92
Barru,0.52,0.32,0.37
Bone,0.31,0.39,0.3
Soppeng,0.5,0.28,0.37
Wajo,0.3,0.47,0.3
Sidenreng Rappang,0.24,0.21,0.23
Pinrang,0.36,0.44,0.26
Enrekang,0.64,0.43,0.42
Luwu,0.61,0.92,0.55
Tana Toraja,0.98,0.53,0.55
Luwu Utara,0.6,0.46,0.67
Luwu Timur,0.23,0.5,0.28
Toraja Utara,1.34,0.52,0.3
Kota Makassar,0.16,0.13,0.38
Kota Parepare,0.19,0.24,0.17
Kota Palopo,0.28,0.6,0.26
SULAWESI TENGGARA,0.9,0.44,0.52
Buton,0.65,0.49,0.47
Muna,0.95,0.61,0.34
Konawe,0.65,0.98,0.65
Kolaka,0.81,0.75,0.96
Konawe Selatan,0.77,0.33,0.32
Bombana,0.82,0.66,0.73
Wakatobi,0.76,0.59,0.74
Kolaka Utara,1.11,0.7,0.74
Buton Utara,1.53,0.65,0.37
Konawe Utara,0.69,0.77,0.81
Kolaka Timur,1.82,1.02,1.22
Konawe Kepulauan,1.74,0.68,1.56
Muna Barat,-,0.32,0.4
Buton Tengah,-,0.56,0.25
Buton Selatan,-,0.59,1.31
Kota Kendari,0.17,0.16,0.21
Kota Baubau,0.32,0.34,0.22
GORONTALO,1.47,1.01,0.75
Boalemo,2.13,0.64,0.92
Gorontalo,1.5,1.42,0.52
Pohuwato,1.74,0.91,0.64
Bone Bolango,1.56,1.88,1.51
Gorontalo Utara,1.07,0.53,0.93
Kota Gorontalo,0.28,0.14,0.19
SULAWESI BARAT,0.48,0.48,0.44
Majene,0.43,0.56,0.67
Polewali Mandar,0.73,0.41,0.89
Mamasa,0.38,0.51,0.6
Mamuju,0.2,0.16,0.15
Mamuju Utara,0.14,0.19,0.1
Mamuju Tengah,0.2,0.04,0.24
MALUKU,0.99,0.99,0.99
Maluku Tenggara Barat,0.77,1.52,1.6
Maluku Tenggara,1.22,0.57,0.99
Maluku Tengah,0.86,1.25,0.97
Buru,1,0.69,0.62
Kepulauan Aru,1.36,1.69,1.89
Seram Bagian Barat,1.32,1.18,0.99
Seram Bagian Timur,1.2,1.57,0.98
Maluku Barat Daya,1.76,1.89,1.53
Buru Selatan,0.26,0.48,0.36
Kota Ambon,0.14,0.08,0.27
Kota Tual,1.03,1.22,0.75
MALUKU UTARA,0.18,0.2,0.19
Halmahera Barat,0.07,0.14,0.33
Halmahera Tengah,0.09,0.46,0.34
Kepulauan Sula,0.42,0.09,0.26
Halmahera Selatan,0.16,0.08,0.15
Halmahera Utara,0.05,0.14,0.08
Halmahera Timur,0.66,1.51,0.88
Pulau Morotai,0.06,0.17,0.24
Pulau Taliabu,0.4,0.18,0.14
Kota Ternate,0.03,0.09,0.05
Kota Tidore Kepulauan,0.02,0.04,0.14
PAPUA BARAT,2.82,2.45,2.38
Fakfak,2.14,0.86,2.43
Kaimana,1.38,0.48,1.04
Teluk Wondama,4.26,3.91,1.9
Teluk Bintuni,4.83,7.36,4.51
Manokwari,2.43,1.84,1.22
Sorong Selatan,1.35,1.56,0.44
Sorong,4.11,5.8,3.53
Raja Ampat,1.17,0.9,0.71
Tambrauw,0.88,1.61,2.48
Maybrat,4.17,2.25,4.67
Manokwari Selatan,4.94,4.06,3.47
Pegunungan Arfak,1.05,2.33,1.32
Kota Sorong,0.64,0.95,0.69
PAPUA BARAT DAYA,-,-,-
Raja Ampat,-,-,-
Sorong,-,-,-
Sorong Selatan,-,-,-
Maybrat,-,-,-
Tambrauw,-,-,-
Kota Sorong,-,-,-
PAPUA,4.19,2.82,2.28
Merauke,1.52,0.55,0.7
Jayawijaya,8.26,6.81,5.28
Jayapura,0.91,0.69,0.46
Nabire,3.81,5.57,3.15
Kepulauan Yapen,4.28,1.95,1.36
Biak Numfor,3.02,2.25,2.04
Paniai,3.38,3.41,5.43
Puncak Jaya,1.8,2.07,5.97
Mimika,1.51,2.36,1.69
Boven Digoel,1.3,0.93,1.51
Mappi,3.61,0.93,1.41
Asmat,2.5,0.84,0.87
Yahukimo,4.22,3.12,2.12
Pegunungan Bintang,1.83,2.89,1.57
Tolikara,3.06,1.05,1.6
Sarmi,0.75,0.92,0.3
Keerom,1.8,1.61,0.81
Waropen,7.09,6.03,4.52
Supiori,3.85,3.08,1.67
Mamberamo Raya,2.3,0.28,0.92
Nduga *,2.43,2.3,3.5
Lanny Jaya,5.39,4.93,8.3
Mamberamo Tengah,1.24,1.96,2.61
Yalimo,4.34,4.55,1.96
Puncak,1.15,3.28,3.86
Dogiyai,3.78,1.22,1.53
Intan Jaya,6.16,5.58,4.2
Deiyai,4.19,4.33,1.54
Kota Jayapura,0.45,1.25,0.89
PAPUA SELATAN,-,-,-
Merauke,-,-,-
Boven Digoel,-,-,-
Mappi,-,-,-
Asmat,-,-,-
PAPUA TENGAH,-,-,-
Mimika,-,-,-
Dogiyai,-,-,-
Deiyai,-,-,-
Nabire,-,-,-
Paniai,-,-,-
Intan Jaya,-,-,-
Puncak,-,-,-
Puncak Jaya,-,-,-
PAPUA PEGUNUNGAN,-,-,-
Nduga,-,-,-
Jayawijaya,-,-,-
Lanny Jaya,-,-,-
Tolikara,-,-,-
Mamberamo Tengah,-,-,-
Yalimo,-,-,-
Yahukimo,-,-,-
Pegunungan Bintang,-,-,-
