Nama Wilayah,,,
,Indeks Keparahan Kemiskinan (P2) Menurut Kabupaten/Kota,,
,2016,2017,2018
ACEH,1,0.81,0.75
Simeulue,0.97,0.63,0.68
Aceh Singkil,1.33,2.15,1.52
Aceh Selatan,0.35,0.64,0.37
Aceh Tenggara,0.62,0.37,0.51
Aceh Timur,0.53,0.79,0.41
Aceh Tengah,0.67,1.02,0.39
Aceh Barat,1.61,1.52,1.13
Aceh Besar,0.72,1.04,1.1
Pidie,1.54,1.21,1.2
Bireuen,0.84,0.81,0.53
Aceh Utara,0.66,0.83,0.87
Aceh Barat Daya,1.05,0.66,0.46
Gayo Lues,1.45,1.37,0.95
Aceh Tamiang,0.45,0.57,0.31
Nagan Raya,0.86,0.58,1.01
Aceh Jaya,0.87,0.5,0.73
Bener Meriah,0.85,0.83,0.75
Pidie Jaya,0.78,0.81,0.6
Kota Banda Aceh,0.56,0.48,0.31
Kota Sabang,0.88,0.76,0.64
Kota Langsa,0.55,0.41,0.28
Kota Lhokseumawe,0.59,0.4,0.39
Kota Subulussalam,0.98,0.94,0.56
SUMATERA UTARA,0.49,0.44,0.41
Nias,0.52,0.36,0.55
Mandailing Natal,0.3,0.4,0.33
Tapanuli Selatan,0.19,0.26,0.32
Tapanuli Tengah,0.21,0.5,0.4
Tapanuli Utara,0.36,0.48,0.16
Toba Samosir,0.24,0.49,0.31
Labuhan Batu,0.17,0.24,0.2
Asahan,0.51,0.52,0.33
Simalungun,0.4,0.39,0.41
Dairi,0.18,0.19,0.54
Karo,0.33,0.54,0.22
Deli Serdang,0.1,0.07,0.14
Langkat,0.41,0.39,0.41
Nias Selatan,0.84,0.67,0.66
Humbang Hasundutan,0.43,0.23,0.22
Pakpak Bharat,0.32,0.2,0.42
Samosir,0.44,0.61,0.35
Serdang Bedagai,0.41,0.28,0.22
Batu Bara,0.43,0.32,0.57
Padang Lawas Utara,0.37,0.34,0.32
Padang Lawas,0.3,0.32,0.23
Labuhan Batu Selatan,0.39,0.45,0.32
Labuhan Batu Utara,0.18,0.3,0.4
Nias Utara,1.79,1.38,1.4
Nias Barat,1.9,1.16,0.97
Kota Sibolga,0.83,0.54,0.56
Kota Tanjung Balai,0.99,0.49,0.49
Kota Pematang Siantar,0.3,0.28,0.53
Kota Tebing Tinggi,0.5,0.65,0.51
Kota Medan,0.43,0.41,0.39
Kota Binjai,0.45,0.34,0.18
Kota Padangsidimpuan,0.21,0.32,0.37
Kota Gunungsitoli,1.14,0.94,0.5
SUMATERA BARAT,0.24,0.23,0.24
Kepulauan Mentawai,0.6,0.7,0.61
Pesisir Selatan,0.27,0.25,0.13
Solok,0.25,0.2,0.35
Sijunjung,0.28,0.23,0.17
Tanah Datar,0.15,0.11,0.19
Padang Pariaman,0.38,0.23,0.29
Agam,0.19,0.2,0.31
Lima Puluh Kota,0.21,0.31,0.24
Pasaman,0.05,0.15,0.22
Solok Selatan,0.31,0.17,0.23
Dharmasraya,0.3,0.14,0.15
Pasaman Barat,0.23,0.27,0.3
Kota Padang,0.11,0.11,0.17
Kota Solok,0.01,0.23,0.09
Kota Sawah Lunto,0.01,0.07,0.07
Kota Padang Panjang,0.11,0.22,0.22
Kota Bukittinggi,0.3,0.1,0.06
Kota Payakumbuh,0.19,0.12,0.15
Kota Pariaman,0.22,0.14,0.16
