Provinsi/Kabupaten/Kota,,,,,,
,Pengeluaran per Kapita yang Disesuaikan menurut Jenis Kelamin (Ribu Rupiah/Orang/Tahun),,,,,
Tanjung Jabung Barat,12068.44,12438.06,12552.45,4840.31,5013.13,5052.69
Tebo,13403.29,13643.24,13696.05,6015.62,7574.7,7748.98
Bungo,15828.16,16004.03,16249.95,6655.97,7944.79,8054.38
Kota Jambi,13629.42,13813.32,14085.77,9198.14,10302.86,10405.93
Kota Sungai Penuh,11349.5,11420.49,11652.25,9168.9,9242.23,9391.44
SUMATERA SELATAN,12922,13021.67,13275.16,7914.57,8339.84,8479.04
Ogan Komering Ulu,12885.39,13361.17,13371.57,6824.05,8625.02,8677.85
Ogan Komering Ilir,14049.31,14517.63,14585.44,8219.07,8391.66,8544.1
Muara Enim,13272.25,13457.2,13475.26,6605.75,7308.54,7343.09
Lahat,11602.57,11753.69,11766.15,8097.35,8556.92,8691.09
Musi Rawas,13393.69,13482.95,13738.76,5426.76,5542.82,5606.72
Musi Banyuasin,13522.35,13969.17,14120.49,3672.72,4509.52,4557.88
Banyu Asin,12520.64,12561.14,12683.29,5974.04,6303.27,6404.99
Ogan Komering Ulu Selatan,10642.51,10827.12,10870.51,6049.19,6775.39,6820.45
Ogan Komering Ulu Timur,13098.37,13988.39,14135.36,9597.23,10606.97,10755.3
Ogan Ilir,9568.66,9633.17,9802.72,9310.43,10389.7,10394.7
Empat Lawang,12173.52,12328.38,12432.57,7715.65,8199.27,8286.8
Penukal Abab Lematang Ilir,9904.35,9908.91,10101.8,6774.15,6780.64,6829.52
Musi Rawas Utara,12897.12,12902.94,13049.67,8586.97,8749.38,8785.67
Kota Palembang,15496.73,15639.83,15816.09,12423.84,13608.16,13714.81
Kota Prabumulih,16300.03,17409.23,17645.38,10641.17,11392.12,11480.56
Kota Pagar Alam,9611.95,10035.7,10222.84,6781.79,7184.4,7217.66
Kota Lubuklinggau,14669.41,15649.15,15961.31,11240.82,12090.54,12130.84
BENGKULU,12493.33,12653.46,12753.06,7366.4,7489.39,7492.37
Bengkulu Selatan,11672.94,11954.27,12195.64,7956.27,8749.46,8796.72
Rejang Lebong,12247.52,12376.07,12555.63,8125.49,8447.12,8459.06
Bengkulu Utara,13146.5,13553.6,13645.26,7889.46,8046.67,8134.61
Kaur,10684.87,10884.02,10962.34,5286.71,5524.57,5560.83
Seluma,10250.59,10724.57,10918.01,4412.6,4577.53,4674.94
Mukomuko,14298.44,14303.44,14368.42,5207.1,5292.88,5378.41
Lebong,15705.19,15873.7,16030.98,8763.75,8846.88,8964.88
Kepahiang,10558.43,10630.78,10701.27,8305.52,8325.14,8411.43
Bengkulu Tengah,12151.8,12249.6,12383.88,4499.27,5543.84,5615.52
Kota Bengkulu,14828.14,14967.99,15127.33,10506.45,11716.41,11740.42
LAMPUNG,12068.24,12201.1,12458.87,6469.76,6761.94,6898.42
Lampung Barat,11373.28,11458.01,11469.02,7489.26,7557.69,7635.03
Tanggamus,11557.69,11851.05,11918.69,6282.72,6479.61,6537.45
Lampung Selatan,12133.8,12473.32,12601.11,6240.34,6456.41,6472
Lampung Timur,12893.1,13479.61,13680.53,6617.6,7113.28,7166.69
Lampung Tengah,14424.19,14540.99,14627.45,7605.89,7684.39,7704.43
Lampung Utara,10930.12,11259.05,11338.52,5502.96,5708.53,5757.91
Way Kanan,12323.58,12390.56,12511.34,6005.15,6036.44,6098.82
Tulangbawang,14542.24,14600.64,14642.65,6520.4,7140.52,7375.7
Pesawaran,9977.04,10479.52,10790.19,4726.06,5024.09,5028.66
Pringsewu,13457.86,13932.1,13964.46,8617.63,8685.57,8696.03
Mesuji,10116.46,10203.69,10374.47,3872.73,4177.92,4246.78
Tulang Bawang Barat,10304.62,10339.8,10402.7,4886.58,5133.37,5272.02
Pesisir Barat,8748.9,8849.21,8978.46,6120.51,7036.81,7112.86
Kota Bandar Lampung,14747.49,15414.61,15505.45,9918.08,10386.59,10577.17
Kota Metro,12882.34,13016.22,13160.99,10217.28,10507.24,10516.06
KEP. BANGKA BELITUNG,17464.28,17507.48,17669.74,7924.22,8085.2,8231.72
Bangka,15831.93,15936.78,16009.82,6823.31,7318.99,7345.24
Belitung,18223.32,18514.44,18527.48,7574.27,8091.12,8217.04
Bangka Barat,16552.53,16671.9,16701.83,7669.69,8298.81,8442.77
Bangka Tengah,17202.64,17636.42,17810.17,9209.88,9790.87,9934.01
Bangka Selatan,16861.34,17074.09,17165.17,5458.79,5609.61,5763.54
Belitung Timur,15828.94,16033.67,16333.73,5915.14,6241.01,6266.58
Kota Pangkal Pinang,20122.44,20187.69,20194.08,12834.06,13160.47,13344.5
KEPULAUAN RIAU,18453.58,18679.47,18921.21,11157.37,11625.05,11680.87
Karimun,16645.13,17224.24,17426.13,9181.34,9252,9341.18
Bintan,19791.57,19803.08,20045.89,10816.85,11414.22,11520.68
Natuna,19262.39,19458.05,19646.53,10566.18,10823.75,10833.3
Lingga,16221.44,16474.77,16544.2,8408.17,9104.67,9256.46
Kepulauan Anambas,16176.49,16280.47,16366.65,8259.22,8292.9,8613.87
Kota Batam,24083.44,24576.6,24691.65,14889.87,16031.85,16173.09
Kota Tanjung Pinang,16291.75,17141.32,17356.93,11665.69,14021.91,14196.51
DKI JAKARTA,20741.16,20757.69,20761.3,15598.35,15876.09,16080.73
Kep. Seribu,15349.92,16054.1,16107.58,10812.74,10887.55,11077.58
Kota Jakarta Selatan,25727.63,25883.64,25951.29,21318.53,22006.64,22090.31
Kota Jakarta Timur,20713.96,20727.59,20798.49,15036.95,16130.14,16176.57
Kota Jakarta Pusat,16319.77,16730.25,17719.16,15718.46,15830.89,16072.9
Kota Jakarta Barat,21217.2,21931.19,22029.25,18202.09,18328.2,18601.04
Kota Jakarta Utara,24004.17,24505.47,24673.7,16100.7,16226.84,16554.58
JAWA BARAT,13787.95,13820.73,13829.94,7147.48,7181.46,7343.01
Bogor,13151.51,13228.33,13354.43,7000.47,7526.71,7704.67
Sukabumi,11578.38,11862.57,11866.76,5414.98,5765.41,5854.15
Cianjur,10085.79,10115.47,10223.9,4103.42,4186.45,4238.67
Bandung,12287.68,12661.2,12760.38,8103.97,8126.94,8360.38
Garut,9489.43,9739.39,9874.35,3514.24,3884.41,3942.17
Tasikmalaya,10369.87,10382.84,10480.5,4118.66,4474.88,4550.79
Ciamis,12365.58,12713.09,12823.99,5041.29,5718.1,5726.65
Kuningan,11952.12,12535.77,12618.52,5692.59,5948.44,6051.31
Cirebon,13999.75,14359.74,14466.44,4401.1,4629.63,4719.12
Majalengka,12605.22,12637.44,12680.13,5078.84,5339.48,5505.33
Sumedang,12339.87,12361.16,12419.38,4704.63,8790.28,8854.14
Indramayu,12685,13014.41,13047.91,6184.53,6586,6597.78
Subang,13760.88,13790.72,13861.39,6671.02,7500.03,7599.26
Purwakarta,15841.91,16208.66,16323.64,6269.49,6658.68,6708.18
Karawang,13658.62,13887.71,13938,7561.23,7994.64,8041.99
Bekasi,15233.91,15817.66,15873.53,7288.04,7439.49,7569.59
Bandung Barat,11521.26,11605.86,11727.36,3183.05,3398.3,3421.44
Pangandaran,11931.78,11943.62,12062.78,5791.3,6239.06,6372.13
Kota Bogor,15160.72,15748.39,15864.87,8635.48,8836.15,8884.32
Kota Sukabumi,13480.68,13582.65,13615.92,8576.52,9209.72,9339.11
Kota Bandung,20421.85,20742.94,20846.81,14798.75,14944.94,15049.06
Kota Cirebon,14432.36,14526.84,14627.97,9097.04,10111.53,10317.34
Kota Bekasi,20081.45,20493.73,20574.12,14145.6,14244.55,14247.14
Kota Depok,20562.95,20998.56,21016.87,12032.29,12847.76,12902.4
Kota Cimahi,14624.95,14888.12,14949.85,8582.58,9676.8,9735.48
Kota Tasikmalaya,11405.01,11598.09,11634.7,6055.64,6815.76,6987.11
Kota Banjar,14701.49,14759.21,14826.75,6189.81,6487.68,6498.58
JAWA TENGAH,13285.55,13344.82,13469.18,8787.87,8944.66,9000.7
Cilacap,13596.83,13788.85,13864.81,6122.58,6642.28,6654.51
Banyumas,14302.59,14386.7,14554.11,6849.42,6950.1,7046.56
Purbalingga,11857.67,11862.27,12054.15,7468.5,8502.6,8600.23
Banjarnegara,8729.33,8787.2,8849.29,6073.43,7176.82,7266.1
Kebumen,10144.73,10305.6,10462.01,7315.12,7528.72,7595.78
Purworejo,9978.75,10168.8,10271.54,8703.65,9104.91,9247.27
Wonosobo,13103.39,13158.72,13285.5,8226.21,8421.04,8709.52
Magelang,11714.91,11799.03,11806.57,7378.24,7402.43,7557.08
Boyolali,15369.56,15755.07,15900.92,11142.15,11484.65,11635.43
Klaten,12113.86,12117.48,12213.94,10418.8,10894.16,10908.19
Sukoharjo,10957.72,11067.82,11169.75,9949.68,10102.46,10316.76
Wonogiri,11315.89,11393.9,11476.05,7487.45,7720.35,7733.72
Karanganyar,10782.78,10895.91,10921.85,9828.21,10307.67,10369.14
Sragen,14829.2,15131.5,15420.4,10301.07,10401.05,10551.38
Grobogan,13935.47,13985.65,14108.16,6798.24,6879.15,6951.94
Blora,12566.26,12744.32,12778.68,5328.67,5423.49,5534.1
Rembang,13304.99,13615.41,13747.92,6039.71,6350.23,6495.61
Pati,12719.21,12744.82,13040.22,8717.25,8738.84,8969.23
Kudus,13780.92,13910.57,13923.32,9257.38,9762.44,9824.76
Jepara,12791.36,13087.57,13133.01,7386.82,7760.47,7881.22
Demak,12855.47,13109.26,13166.36,7519.73,7890.84,7937.93
Semarang,11317.65,11341.66,11392.35,10512.07,10584.18,10742.13
Temanggung,9557.88,9666.01,9771.66,7985.77,8010.12,8132.84
Kendal,13387.13,13623.04,13660.43,9599,9866.66,9991.29
Batang,10924.3,11070.69,11130.17,6925.62,7130.57,7367.58
Pekalongan,12641.4,12825.83,12913.22,7660.65,7746.14,7849.55
Pemalang,10122.45,10457.86,10655.26,4864.61,5106.7,5161.34
Tegal,12409.9,12485.31,12722.54,6028.41,6527.49,6683.88
Brebes,12979.04,13124.39,13180.34,6024.03,6298.68,6340.31
Kota Magelang,11678.15,11867.86,12004.59,10123.44,10265.32,10651.35
Kota Surakarta,13173.3,13254.25,13694.44,12203.75,12546.85,12622.44
Kota Salatiga,17917.82,18270.64,18304.96,13504.79,14097.89,14376.75
Kota Semarang,14035.42,14429.26,14493.38,12584.76,12684.82,12852
Kota Pekalongan,14829.09,14931.57,14964,10686.74,10806.26,11001.23
Kota Tegal,16150.36,16368.38,16436.79,10216.84,11117.93,11192.89
D I YOGYAKARTA,14586.79,14635.44,15010.95,11725.13,12207.27,12293.83
Kulon Progo,11256.14,11424.48,11470.21,7979.16,8206.99,8395.91
Bantul,16405.54,16463.14,16548.62,13135.58,13547.77,13825.45
Gunung Kidul,13732.94,13969.77,14005.32,5295.6,5550.91,5610.38
Sleman,15115.63,15402.22,15462.1,13405.02,13978.82,14218.6
Kota Yogyakarta,15839.66,15892.87,16616.79,16981.16,18061.85,18087.96
JAWA TIMUR,14246.26,14286.6,14579.32,8678.09,9206.52,9264.48
Pacitan,11305.89,11875.76,11922.08,4329.92,5010.48,5078.38
Ponorogo,10758.02,10999.29,11229.28,7898.93,8138.68,8358.12
Trenggalek,12146.67,12358.03,12412.56,7705.21,8353.95,8403.67
Tulungagung,11396.42,11477.59,11507.49,9353.56,9473.15,9483.98
Blitar,13283.46,13492.9,13700.46,7394.58,8264.31,8426.17
Kediri,13918.02,13950.8,14103.61,8846.7,9317.45,9343.66
Malang,13021.8,13034.01,13092.61,6440.11,6515.65,6614.13
Lumajang,11918.18,11981.92,12074.98,5550.21,6447.61,6530.68
Jember,12352.54,12635.95,12772.82,5411.66,5567.28,5673.93
Banyuwangi,16180.42,16566.05,16785.13,6603.51,7018.57,7126.32
Bondowoso,12729.04,12917.86,12992.76,8221.51,8412.16,8623.95
Situbondo,12475.95,13003.62,13247.96,6281.19,6678.93,6782.12
Probolinggo,15239.36,15291.53,15478.3,6777.33,6961.64,6999.24
Pasuruan,11365.49,11553.03,11647.78,7241.07,7538.57,7575.48
Sidoarjo,17399.66,17805.77,17907.57,11934.37,12352.9,12563.85
Mojokerto,15837.73,15992.34,16190.21,9237.52,9838.33,10066.12
Jombang,14217.84,14221.73,14429.36,7553.39,7691.46,7914.56
Nganjuk,14896.19,14942.58,15179.25,10619.31,10619.31,10660.62
Madiun,14583.5,14759.97,14797.96,8801.63,8847.5,9034.81
Magetan,13223.31,13274.83,13415.83,10092.76,10185.48,10474.26
Ngawi,14317.89,14496.05,14703.22,8960.64,9026.74,9201.78
Bojonegoro,12678.16,12944.27,13013.45,7116.57,7395.94,7667.35
Tuban,13166.34,13236.35,13379.41,6658.74,6742.56,6775.36
Lamongan,14212.29,14417.71,14681.2,6642.36,7232.04,7363.55
Gresik,17169.33,17311.95,17573.72,8892.34,9258.97,9365.13
Bangkalan,10998.62,11035.07,11179.73,5395.14,5936.98,6135.45
Sampang,11568.97,11608.02,11632.92,5499.47,5997.7,6033.53
Pamekasan,10915.48,11123.85,11285.44,5437.28,5701.89,5822.74
Sumenep,10882.82,11327.3,11609.66,4039.7,4344.31,4378.4
Kota Kediri,13036.22,13215.57,13363.47,10262.29,10609,10711.53
Kota Blitar,12440.22,12717.09,12828.18,10480.55,11643.81,11946.96
Kota Malang,17949.52,18142.97,18261.27,15009.24,15225.76,15411.21
Kota Probolinggo,10113.69,10340.32,10568.44,9972.75,10130.74,10307.5
Kota Pasuruan,11746.3,11799.14,12167.54,10814.93,11404.71,11497.85
Kota Mojokerto,15387.94,15425.35,15534.44,11365.22,11466.6,11766.71
Kota Madiun,19433.72,19623.46,19798.18,14264.44,14264.95,14323.03
Kota Surabaya,18315.23,18405.14,19046.83,14547.89,14632.49,14655.99
Kota Batu,15642.59,16017.71,16484.17,7596.74,8387.41,8428.17
BANTEN,15838.25,15870.34,16092.55,9153.21,9651.11,9728.96
Pandeglang,11714.62,11895.32,12497.38,4731.77,5364.63,5457.79
Lebak,11758.49,11968.15,12210.09,3539.21,3739.06,3759.06
Tangerang,16233.71,16465.32,16971.72,9882.51,10159.85,10187.59
Serang,13812.16,13814.94,14304.39,8469.12,9134.04,9145.84
Kota Tangerang,17470.42,17643.8,17863.05,13293.83,13454.84,13542.66
Kota Cilegon,18758.94,19025.59,19233.27,7155.86,7157.17,7397.15
Kota Serang,17043.1,17263.01,17627.15,11274.31,11408.5,11658.43
Kota Tangerang Selatan,19942.65,20016.73,20498.17,13644.91,13834.05,13872.57
BALI,15361.97,15468.95,15751.16,12480.86,12804.89,12903.31
Jembrana,12782.56,12841.77,13029.71,10656.27,10887.06,10958.63
Tabanan,13736.07,13787.33,13808.32,12788.78,12905.11,12986.11
Badung,18093.34,18153.35,18272.27,15649.51,15984.14,16297.29
Gianyar,14333.31,14598.13,15357.01,12776.19,13071.07,13088.41
Klungkung,13484.36,13485.41,13563.72,9927.63,10171.17,10439.89
Bangli,13958.98,14019.04,14123.12,9768.13,10113.19,10266.59
Karangasem,13132.27,13567.83,13579.99,8121.03,8341.92,8375.59
Buleleng,17152.37,17401.99,17525.51,11392.57,11462.93,11820
Kota Denpasar,19687.74,19759.46,20366.37,17792.91,18469.7,18487.68
NUSA TENGGARA BARAT,12710.3,12762.41,12780.81,7965.76,8083.25,8321.2
Lombok Barat,14968.93,15796.02,15834.26,8794.96,9399.17,9622.32
Lombok Tengah,13074.07,13146.28,13210.77,6500.62,6872.95,7040.11
Lombok Timur,10225.16,10307.94,10328.4,7208.48,7248.96,7404.08
Sumbawa,9112.04,9229.03,9588.97,6936.05,7313.72,7609.48
Dompu,11078.64,11324.01,11361.79,6361.83,6767.11,6930.17
Bima,9445.07,9573.03,9640.21,6719.89,6924.96,6976.02
Sumbawa Barat,12984.5,13242.13,13826.82,7888.52,9915.86,10114.99
Lombok Utara,11164.41,11347.12,11676.88,5099.87,5563.88,5716.91
Kota Mataram,16523.84,16828.05,16935.56,11090.54,11881.51,12139.35
Kota Bima,10411.04,10498.51,10546.36,8701.05,9235.21,9359.65
NUSA TENGGARA TIMUR,9529.52,9576.65,9715.59,6365.15,6721.54,6783.16
Sumba Barat,7993.55,8177.97,8264.76,6377.12,6706.3,6766.04
Sumba Timur,10748.27,10775.66,10868.36,8068.17,8703.39,8879.81
Kupang,9971.8,10001.96,10070.47,4919.52,5086.91,5294.77
Timor Tengah Selatan,7826,7980.98,8202.12,5386.11,5482.87,5563.32
Timor Tengah Utara,6722.04,6782.49,6799.56,5087.42,5426.7,5443.73
Belu,7631.79,7703.77,7783.62,5699.88,7011.44,7032.73
Alor,8220.01,8278.45,8386.87,5827.13,6087.82,6169.21
Lembata,9329.81,9407.34,9447.91,6182.37,6482.23,6548.86
Flores Timur,9671.41,9677.19,9712.77,6404.52,6754.17,6826.52
Sikka,11515.86,11605.84,11698.7,5544.87,5921.86,5966.97
Ende,8953,9011.14,9215.89,7882.15,8339.66,8363.52
Ngada,9971.05,10061.37,10112.02,7604.04,7945.34,7985.19
Manggarai,9788.15,9830.86,10055.09,5305.85,5341.24,5366.72
Rote Ndao,8296.48,9089.49,9148.44,3926.51,4109.88,4201.68
Manggarai Barat,9804.07,10347.89,10544.14,5483.51,5557.29,5745.66
Sumba Tengah,7711.36,7802.63,7901.75,4586.92,4725.06,4775
Sumba Barat Daya,5860.17,5959,6085.04,5737.89,5792.1,5811.57
Nagekeo,7714.34,7755.34,7902.06,7995.75,8096.33,8104.14
Manggarai Timur,6811.39,7030.01,7079.86,3723.2,4558.79,4649.85
Sabu Raijua,5834.69,6141.42,6265.91,4035.68,4297.09,4378.58
Malaka,7682.87,7707.19,7768.91,4228.57,4572.29,4736.09
Kota Kupang,14775.99,14875.11,14967.01,11272.36,12401.27,12742.61
KALIMANTAN BARAT,12268.3,12340.72,12366.37,5307.62,5652.8,5680.09
Sambas,13390.25,13774.31,13818.6,6141.7,6628.5,6649.51
Bengkayang,12294.31,12137.24,12331.09,4270.67,4351.31,4381.9
Landak,9025.22,9120.32,9137.25,4947.73,5089.48,5158.17
Mempawah,10638.34,10792.84,11221.3,5110.85,5468.87,5495.49
Sanggau,11386.41,11505.07,11671.09,2213.04,4011.21,4054.3
Ketapang,11686.56,11705.22,11721,5075.91,6262.27,6276.46
Sintang,11888.32,11946.5,12061.77,5440.5,5600.7,5618.21
Kapuas Hulu,9322.96,9420.28,9557.67,4205.59,4576.47,4617.33
Sekadau,10197.82,10334.26,10489.32,3538.9,3952.16,4042.31
Melawi,12004.72,12301.37,12793.91,3596.43,3959.67,3992.83
Kayong Utara,9751.43,9873.17,9924.53,4720.22,4879.78,4930.04
Kubu Raya,12755.02,12816.51,12835.71,4813.29,4978.76,5034.86
Kota Pontianak,18238.44,18376.68,18446.14,12829.83,13062.01,13312.83
Kota Singkawang,15435.51,15684.22,15691.03,8216.45,9058,9278.05
KALIMANTAN TENGAH,14108.45,14167.65,14198.26,7080.64,7150.5,7326.75
Kotawaringin Barat,17313.57,17387.47,17452.95,8535.03,10626.33,10781.94
Kotawaringin Timur,16054.21,16189.78,16201.97,5546.68,7484.33,7694.56
Kapuas,11061.59,11162.96,11651.66,9254.43,9681.2,9698.71
Barito Selatan,14148.48,14350.49,14492.77,9145.85,9471.36,9535.35
Barito Utara,11183.32,12950.99,12978.33,5179.23,5787.93,5946.04
Sukamara,9946.63,10026.82,10093.84,6534.08,6848.34,6867.42
Lamandau,13841.67,13903.4,14045.17,7840.69,8235.08,8357.79
Seruyan,11977.84,12205.04,12255.56,5953.61,6096.64,6289.63
Katingan,14322.06,14739.16,14793.17,5474.08,5739.74,5781.1
Pulang Pisau,11908.71,11937.46,11941.97,6332.49,7023.62,7106.92
Gunung Mas,13683.73,14106.03,14169.32,7242.72,7660.28,7790.99
Barito Timur,15389.93,15411.07,15560.94,7713.11,8077.01,8111.84
Murung Raya,14434.67,14615.79,14710.3,4894.76,5322.94,5511.52
Kota Palangka Raya,16498.23,16665.33,16701.43,11966.27,12495.44,12542.84
KALIMANTAN SELATAN,16170.61,16311.16,16471.47,7840.28,7887.64,8170.24
Tanah Laut,15784.21,15891.94,16167.77,6907.7,7471.82,7523.47
