Provinsi/Kabupaten/Kota,,,,,,
,Pengeluaran per Kapita yang Disesuaikan menurut Jenis Kelamin (Ribu Rupiah/Orang/Tahun),,,,,
,Laki-laki,,,Perempuan,,
,2013,2014,2015,2013,2014,2015
ACEH,11795.15,11884.15,11936.79,6821.87,7269.08,7410.72
Simeulue,9469.57,10015.13,10150.47,2741.63,3006.92,3075.52
Aceh Singkil,12205.08,12768.2,12991.59,4631.43,5165.91,5252.24
Aceh Selatan,9746.18,9766.14,9836.99,6012.77,6206.89,6320.25
Aceh Tenggara,10088.14,10161.81,10236.23,6566.17,6810.15,6901.16
Aceh Timur,11825.98,11961.53,12048.36,4949.18,5007.55,5113.5
Aceh Tengah,9604.86,9643.3,9743.41,8383.03,8383.98,8495
Aceh Barat,11796.71,11921.36,12141.39,4939.37,5031.33,5099.58
Aceh Besar,11524.73,11160.68,11244.82,7931.41,8073.63,8193.82
Pidie,10994.49,11473.87,11704.21,7527.16,8267.36,8347.81
Bireuen,9943.8,10063.85,10091.31,6425.41,7069.61,7434.05
Aceh Utara,9176.66,9337.8,9464.35,6114.23,6245.79,6363.51
Aceh Barat Daya,11619.36,12662.94,12811.93,5444.43,6052.88,6143.27
Gayo Lues,11444.26,11718.01,11879.47,6330.31,6804.27,6894.48
Aceh Tamiang,13650.01,14444.1,14517.1,3929.9,4205.41,4337.85
Nagan Raya,10779.5,10879.42,11043.51,4885.69,5936.32,6044.67
Aceh Jaya,13826.88,13874.48,13952.96,5538.66,6779.26,6814.26
Bener Meriah,11687.03,11773.55,11800.02,9552.69,9638.51,9705.28
Pidie Jaya,11494.31,12083.53,12383.45,8642.94,9185.08,9275.97
Kota Banda Aceh,16981.51,17666.52,17916.41,13056.23,13673.65,14040.12
Kota Sabang,12053.94,12168.78,12295.23,8485.64,9630.71,9661.41
Kota Langsa,13429.91,13609.91,13775,9481.99,9574.68,9860.91
Kota Lhokseumawe,12416.95,13021.12,13042.17,8581.37,9514.97,9658.78
Kota Subulussalam,9564.54,10404.85,10498.62,4428.44,4468.87,4593.8
SUMATERA UTARA,13713.9,13796.54,13863.21,7505.84,7587.43,7718.99
Nias,6748.31,6814.01,7090.69,4767.22,5666.36,5771.48
Mandailing Natal,13773.75,13856.36,14004.49,8462.99,8650.77,8772.53
Tapanuli Selatan,15700.96,15923.29,16041.72,8282.52,8368.68,8423.97
Tapanuli Tengah,12466.47,12631.42,12652.62,9289.33,9102.64,9265.72
Tapanuli Utara,10891.56,10969.88,11683.33,10520.29,10946.11,10962.33
Toba Samosir / Toba,11213.88,11250.19,12060.81,10462.3,11025.89,11362.12
Labuhan Batu,16106.53,16336.18,16392.5,7615.74,8199.82,8244.47
Asahan,15091.98,15114.42,15137.28,6606.18,8197.19,8301.32
Simalungun,15401.92,15553.26,15660.8,8523.94,9115.57,9460.7
Dairi,9696.91,9752.74,10028.76,8983.22,9557.14,9618.12
Karo,13022.46,13343.44,13457.29,9621.38,9778.83,9839.54
Deli Serdang,16166.52,16880.42,17189.29,8757.02,8895.94,9335.12
Langkat,15462.69,15780.59,15896.61,6643.14,6812.44,7068.79
Nias Selatan,9771.86,9862.59,9912.98,5845.71,5906.86,5928.17
Humbang Hasundutan,6737.52,6796.55,7257.86,5813.26,6263.82,6321.73
Pakpak Bharat,7410.39,7925.16,7959.96,6850.2,7204.08,7301.31
Samosir,8615.49,8758.72,8899.5,7385.01,7511.58,7663.21
Serdang Bedagai,15361.05,15718.42,15806.57,6854.89,7150.3,7223.48
Batu Bara,15159.63,15292.23,15422.36,4340.35,4626.15,4838.38
Padang Lawas Utara,14600.07,14752.81,14898.06,4744.82,6093.26,6148.74
Padang Lawas,12163.69,12288.02,12441.86,4669.55,4759.02,4867.54
Labuhan Batu Selatan,17117.53,17216.35,17228.61,6725.35,6799.53,7001.39
Labuhan Batu Utara,16918.88,17105.59,17246.78,8147.8,8258.53,8280.15
Nias Utara,8695.15,8762.37,8831.99,3191.67,3494.95,3619.46
Nias Barat,6997.27,7464.73,7658.31,4403.38,4775.05,4903.52
Kota Sibolga,11839.86,11971.1,12381,9580.66,10426.93,10500.04
Kota Tanjung Balai,15933.71,16557.68,16657.93,6870.11,7443.55,7563.44
Kota Pematang Siantar,12682.45,12891.66,12966.6,10156.5,11091.88,11267.1
Kota Tebing Tinggi,15269.41,16024.15,16124.36,9793.95,10041.58,10321.62
Kota Medan,20189.99,20581.77,20732.15,12827.82,13306.36,13521.68
Kota Binjai,14760.69,14956.68,15122.85,7760.51,8131,8241.53
Kota Padangsidimpuan,11241.88,11570.03,11622.4,9171.41,9532.03,9642.8
Kota Gunungsitoli,9470.63,9727.72,10005.03,5828.11,6360.21,6464.58
SUMATERA BARAT,13500.6,13576.01,13631.01,8310.09,8988.62,9083.63
Kepulauan Mentawai,7523.44,7782.52,8287.12,4849.71,5271.81,5309.13
Pesisir Selatan,10629.81,10761.13,11061.65,7177.92,8209.57,8234.22
Solok,12342.02,12489.8,12984.54,8055.29,9099.49,9149.4
Sijunjung,14328.57,14734.93,14954.14,7839.83,8778.18,8903.97
Tanah Datar,11695.5,11841.33,11878.06,9520.82,9696.77,9718.44
Padang Pariaman,14867.47,15178.66,15303.06,9073.72,9234,9278.3
Agam,10711.69,10869.58,10922.65,8006.43,8384.27,8536.82
Lima Puluh Kota,11859.68,11950.04,12148.31,7247.42,8305.82,8459.86
Pasaman,10207.42,10331.71,10446.09,6227.48,6466.55,6517.87
Solok Selatan,12392.63,12807.23,12909.38,6959.7,8702.46,8736.95
Dharmasraya,15767.48,15777.84,16165,7081.52,7245.93,7283.81
Pasaman Barat,11658.17,11736.14,11908.74,5332.14,5786.77,5901.98
Kota Padang,19562.48,19805.19,19927.61,11583.76,12238.86,12287.15
Kota Solok,14015.1,14404.18,14469.19,10444.67,10568.31,10679.46
Kota Sawah Lunto,12203.32,12349.48,12522.05,8354.31,8660.91,8682.39
Kota Padang Panjang,9988.82,10039.59,10123.63,8122.32,8219.89,8360.91
Kota Bukittinggi,13078.87,13140.24,13191.74,11215.58,12015.13,12100.94
Kota Payakumbuh,13630.67,14107.14,14162.83,11596.2,12293.71,12485.31
Kota Pariaman,12712.34,12973.25,13126.06,10890.82,11077.3,11339.98
RIAU,15433.53,15447.17,15794.26,6618.77,6926.38,6956.46
Kuantan Singingi,14360.4,14423.67,14492.25,6811.65,7390.35,7414.74
Indragiri Hulu,15397.09,15429.32,15511.79,5461.61,6074.27,6140.78
Indragiri Hilir,15613.87,15952.02,16156.35,4688.38,4884.36,4893.94
Pelalawan,17730.64,18083.2,18354.8,6538.34,7941.03,7965.25
Siak,16981.71,18074.94,18155.83,7805.42,7937.24,8089.41
Kampar,16227.89,16255.86,16274.46,7653.6,7917.34,7938.68
Rokan Hulu,15312.24,15449.56,15843.97,4752.95,4838.58,4887.54
Bengkalis,16710.2,16797.49,16892.54,7004.99,7614.1,7700.26
Rokan Hilir,13904.06,14003.41,14627.67,5032.68,5335.58,5338.99
Kepulauan Meranti,10219.02,10684.87,10940.06,4646.3,4821.82,4904.49
Kota Pekanbaru,20173,20363.34,20444.15,11330.77,12405.83,12492.95
Kota Dumai,15922.01,16428.15,16663.28,7694.8,8073.97,8149.4
JAMBI,13710.95,13933.38,14013.26,6579.62,6822.35,6841.43
Kerinci,13212.85,13758.15,13842.16,6154.42,6420.04,6502.05
Merangin,13288.01,13483.34,13525.79,6374.69,6427.79,6456.57
Sarolangun,15434.03,15572.53,15843.51,8052.9,9435.81,9501.41
Batang Hari,14524.03,14656.7,14764.38,5199.81,5489.52,5550.29
Muaro Jambi,11639.55,11710.04,11845.85,3384.36,3410.44,3480.46
Tanjung Jabung Timur,12050.58,12445.39,12736.4,4651.85,5506.4,5521.79
