Provinsi/Kabupaten/Kota,,,,
,Pengeluaran per Kapita yang Disesuaikan menurut Jenis Kelamin (Ribu Rupiah/Orang/Tahun),,,
,Laki-laki,,Perempuan,
KEP. BANGKA BELITUNG,19736,20054,9378,9527
Bangka,18961,19244,8628,8765
Belitung,20771,21110,9235,9411
Bangka Barat,18934,19249,9546,9768
Bangka Tengah,19453,19700,10689,10841
Bangka Selatan,19089,19649,6513,6681
Belitung Timur,18949,19129,7317,7426
Kota Pangkal Pinang,22724,23152,14743,15102
KEPULAUAN RIAU,20614,21223,12651,13019
Karimun,18830,19509,9947,10240
Bintan,21839,22036,12600,12707
Natuna,21240,21878,11612,12007
Lingga,17971,18428,9957,10233
Kepulauan Anambas,17338,17907,9304,9646
Kota Batam,27027,27715,17748,18193
Kota Tanjung Pinang,19173,19715,15391,15413
DKI JAKARTA,23432,24024,17318,17597
Kep. Seribu,17804,18385,12587,13041
Kota Jakarta Selatan,28077,28976,23626,23967
Kota Jakarta Timur,22926,23631,17759,18271
Kota Jakarta Pusat,20087,20619,17107,17510
Kota Jakarta Barat,24729,25138,20208,20469
Kota Jakarta Utara,27065,27691,18798,19126
JAWA BARAT,15933,16512,8235,8509
Bogor,15407,15974,8747,8962
Sukabumi,13527,13917,6967,7163
Cianjur,11722,12257,5170,5401
Bandung,14223,14682,9261,9516
Garut,11694,12306,4523,4753
Tasikmalaya,12167,12748,5505,5746
Ciamis,14473,14958,6477,6688
Kuningan,14226,14794,6777,7042
Cirebon,16240,16736,5667,5905
Majalengka,14423,14978,6509,6754
Sumedang,14261,14749,10260,10592
Indramayu,15003,15603,7465,7758
Subang,15458,15779,8833,9042
Purwakarta,18455,19087,7913,8187
Karawang,16067,16706,9568,9929
Bekasi,17460,17956,8716,8862
Bandung Barat,13723,14242,4173,4373
Pangandaran,13268,13293,7379,7393
Kota Bogor,17885,18739,9906,10385
Kota Sukabumi,15618,16399,10384,10809
Kota Bandung,23491,24304,16702,17109
Kota Cirebon,15869,16432,11634,12025
Kota Bekasi,22326,22892,14872,15095
Kota Depok,22791,23370,14497,14822
Kota Cimahi,17158,17551,10716,10931
Kota Tasikmalaya,13921,14570,8124,8485
Kota Banjar,16297,16864,7586,7844
JAWA TENGAH,15606,16102,10098,10513
Cilacap,15956,16507,7442,7781
Banyumas,17352,17955,8173,8583
Purbalingga,13810,14502,9741,10231
Banjarnegara,11081,11601,8735,9077
Kebumen,12153,12675,8528,8934
Purworejo,11865,12368,10256,10667
Wonosobo,15192,15742,9754,10124
Magelang,14154,14715,9084,9481
Boyolali,17910,18396,12776,13172
Klaten,13797,14301,12011,12426
Sukoharjo,12819,13349,11237,11658
Wonogiri,13474,13997,8739,9158
Karanganyar,12379,12876,11343,11755
Sragen,17574,18109,11571,11891
Grobogan,15914,16422,7704,8006
Blora,14804,15400,6163,6464
Rembang,16150,16621,7576,7865
Pati,15243,15800,10046,10436
Kudus,15725,16212,10823,11227
Jepara,15018,15570,8779,9084
Demak,15481,16067,9077,9463
Semarang,13435,13942,12211,12619
Temanggung,11538,11924,9081,9372
Kendal,15574,16368,11060,11554
Batang,13581,14109,8611,9011
Pekalongan,14922,15586,8954,9416
Pemalang,13254,14037,6295,6700
Tegal,15018,15602,7749,8138
Brebes,15330,16047,7238,7607
Kota Magelang,14341,14896,12254,12584
Kota Surakarta,15715,16265,14115,14471
