Nama Wilayah,,,
,Indeks Keparahan Kemiskinan (P2) Menurut Kabupaten/Kota,,
Sekadau,0.17,0.11,0.07
Melawi,0.37,0.43,0.74
Kayong Utara,0.23,0.28,0.21
Kubu Raya,0.24,0.08,0.12
Kota Pontianak,0.33,0.2,0.14
Kota Singkawang,0.13,0.19,0.22
KALIMANTAN TENGAH,0.3,0.28,0.27
Kotawaringin Barat,0.46,0.16,0.26
Kotawaringin Timur,0.31,0.12,0.07
Kapuas,0.48,0.27,0.08
Barito Selatan,0.34,0.12,0.13
Barito Utara,0.14,0.24,0.12
Sukamara,0.2,0.13,0.16
Lamandau,0.14,0.13,0.05
Seruyan,0.32,0.28,0.31
Katingan,0.36,0.32,0.32
Pulang Pisau,0.08,0.17,0.2
Gunung Mas,0.16,0.19,0.59
Barito Timur,0.4,0.35,0.41
Murung Raya,0.05,0.17,0.12
Kota Palangka Raya,0.16,0.17,0.1
KALIMANTAN SELATAN,0.17,0.22,0.17
Tanah Laut,0.13,0.17,0.07
Kota Baru,0.18,0.06,0.06
Banjar,0.11,0.1,0.08
Barito Kuala,0.12,0.16,0.23
Tapin,0.18,0.13,0.08
Hulu Sungai Selatan,0.18,0.23,0.13
Hulu Sungai Tengah,0.28,0.21,0.1
Hulu Sungai Utara,0.11,0.22,0.29
Tabalong,0.17,0.16,0.27
Tanah Bumbu,0.22,0.33,0.13
Balangan,0.21,0.24,0.32
Kota Banjarmasin,0.14,0.07,0.21
Kota Banjar Baru,0.42,0.2,0.08
KALIMANTAN TIMUR,0.39,0.25,0.25
Paser,0.95,0.24,0.33
Kutai Barat,0.51,0.31,0.17
Kutai Kartanegara,0.32,0.13,0.17
Kutai Timur,0.64,0.36,0.25
Berau,0.17,0.1,0.21
Penajam Paser Utara,0.63,0.21,0.26
Mahakam Hulu,-,-,-
Kota Balikpapan,0.25,0.03,0.24
Kota Samarinda,0.21,0.11,0.08
Kota Bontang,0.2,0.15,0.12
KALIMANTAN UTARA,0.39,0.25,0.25
Malinau,0.67,0.71,0.47
Bulungan,0.59,0.4,0.13
Tana Tidung,0.6,0.71,0.14
Nunukan,0.57,0.59,0.2
Kota Tarakan,0.49,0.28,0.33
SULAWESI UTARA,0.39,0.28,0.3
Bolaang Mongondow,0.23,0.25,0.45
Minahasa,0.5,0.2,0.12
Kepulauan Sangihe,0.59,0.32,0.34
Kepulauan Talaud,0.57,0.2,0.22
Minahasa Selatan,0.35,0.24,0.18
Minahasa Utara,0.2,0.19,0.23
Bolaang Mongondow Utara,0.48,0.22,0.2
Siau Tagulandang Biaro,0.38,0.27,0.22
Minahasa Tenggara,0.71,0.66,0.71
Bolaang Mongondow Selatan,1.46,0.67,0.64
Bolaang Mongondow Timur,0.23,0.24,0.11
Kota Manado,0.2,0.16,0.14
Kota Bitung,0.58,0.19,0.31
Kota Tomohon,0.25,0.24,0.31
Kota Kotamobagu,0.16,0.32,0.16
SULAWESI TENGAH,0.91,0.78,0.82
Banggai Kepulauan,0.64,1.05,0.87
Banggai,0.77,0.43,0.55
Morowali,1.02,1.46,0.78
Poso,1.31,0.86,1.15
Donggala,1.5,0.87,0.51
Toli-Toli,0.51,0.7,0.6
Buol,0.8,0.68,0.5
Parigi Moutong,0.9,0.87,0.67
Tojo Una-Una,1.21,1.37,1.07
Sigi,1.12,0.59,0.42
Banggai Laut,-,-,-
Morowali Utara,-,-,-
Kota Palu,0.47,0.28,0.22
SULAWESI SELATAN,0.5,0.39,0.42
Kepulauan Selayar,0.63,0.59,0.61
Bulukumba,0.37,0.22,0.18
Bantaeng,0.48,0.31,0.45
Jeneponto,0.74,0.75,0.68
Takalar,0.38,0.34,0.48
Gowa,0.33,0.32,0.64
Sinjai,0.28,0.27,0.26
Maros,0.57,0.69,0.6
Pangkajene Dan Kepulauan,0.68,0.46,0.77
Barru,0.31,0.35,0.37
Bone,0.8,0.47,0.51
Soppeng,0.4,0.18,0.21
Wajo,0.43,0.23,0.16
Sidenreng Rappang,0.23,0.38,0.14
Pinrang,0.37,0.27,0.4
Enrekang,0.57,0.55,0.38
Luwu,0.62,0.42,0.47
Tana Toraja,1.35,0.28,0.46
Luwu Utara,0.75,0.64,0.75
Luwu Timur,0.32,0.37,0.29
Toraja Utara,0.9,0.43,0.52
Kota Makassar,0.32,0.17,0.17
Kota Parepare,0.16,0.07,0.21
Kota Palopo,0.42,0.37,0.44
SULAWESI TENGGARA,0.67,0.63,0.49
Buton,0.65,0.6,0.55
Muna,0.56,0.57,0.63
Konawe,1.05,0.74,0.42
Kolaka,0.53,1.17,1.01
Konawe Selatan,0.58,0.53,0.38
Bombana,0.62,0.81,0.48
Wakatobi,0.96,0.61,0.25
Kolaka Utara,0.43,0.96,0.61
Buton Utara,0.58,0.63,0.47
Konawe Utara,0.53,0.26,0.3
Kolaka Timur,-,-,-
Konawe Kepulauan,-,-,-
Muna Barat,-,-,-
Buton Tengah,-,-,-
Buton Selatan,-,-,-
Kota Kendari,0.84,0.2,0.21
Kota Baubau,0.62,0.45,0.5
GORONTALO,0.71,1.01,0.84
Boalemo,0.93,0.76,1.09
Gorontalo,0.64,1.23,0.56
Pohuwato,0.99,0.94,0.74
Bone Bolango,1.03,0.83,0.69
Gorontalo Utara,0.78,0.87,0.9
Kota Gorontalo,0.2,0.26,0.08
SULAWESI BARAT,0.62,0.57,0.4
Majene,0.68,0.64,0.47
Polewali Mandar,0.58,0.71,0.56
Mamasa,0.5,0.37,0.47
Mamuju,0.84,0.24,0.24
Mamuju Utara,0.22,0.35,0.17
Mamuju Tengah,-,-,-
MALUKU,1.66,1.34,1.31
Maluku Tenggara Barat,2.35,0.93,1
Maluku Tenggara,1.78,1.72,1.96
Maluku Tengah,1.78,1.63,1.49
Buru,1.33,1.47,1.6
Kepulauan Aru,2.31,1.62,2.12
Seram Bagian Barat,1.73,1.71,1.42
Seram Bagian Timur,2.49,1.88,1.18
Maluku Barat Daya,1.78,2.1,1.25
Buru Selatan,3.18,0.51,0.63
Kota Ambon,0.3,0.16,0.18
Kota Tual,3.79,1.96,1.26
MALUKU UTARA,0.43,0.67,0.14
Halmahera Barat,0.73,0.35,0.16
Halmahera Tengah,1.12,1.03,0.77
Kepulauan Sula,0.19,0.46,0.39
Halmahera Selatan,0.31,0.12,0.18
Halmahera Utara,0.18,0.29,0.26
Halmahera Timur,2.05,0.91,0.72
Pulau Morotai,0.61,0.2,0.3
Pulau Taliabu,-,-,-
Kota Ternate,0.08,0.08,0.02
Kota Tidore Kepulauan,0.17,0.2,0.13
PAPUA BARAT,2.77,2.74,1.7
Fakfak,2.14,2.22,1.61
Kaimana,1.16,0.69,0.93
Teluk Wondama,5.57,3.18,4.94
Teluk Bintuni,7.37,7.64,3.28
Manokwari,3.93,4.95,3.17
Sorong Selatan,1.19,1.22,1.14
Sorong,3.18,2.39,2.45
Raja Ampat,1.29,0.88,1.27
Tambrauw,3.43,3.73,4.53
Maybrat,3,3.05,1.69
Manokwari Selatan,-,-,-
Pegunungan Arfak,-,-,-
Kota Sorong,1,0.96,1.45
PAPUA BARAT DAYA,-,-,-
Raja Ampat,-,-,-
Sorong,-,-,-
Sorong Selatan,-,-,-
Maybrat,-,-,-
Tambrauw,-,-,-
Kota Sorong,-,-,-
PAPUA,3.07,2.76,2.44
Merauke,1.49,0.63,0.64
Jayawijaya,2.88,2.22,1.56
Jayapura,1.7,1.14,1.12
Nabire,2.55,2.77,3.38
Kepulauan Yapen,3.41,2.59,2.41
Biak Numfor,4.48,1.86,2.02
Paniai,3.76,3.18,2.85
Puncak Jaya,8.18,3.92,2.06
Mimika,3.54,3.19,2.53
Boven Digoel,0.56,1.29,1.58
Mappi,1.07,2.04,1.48
Asmat,4.45,1.68,1.68
Yahukimo,1.2,2.36,6.11
Pegunungan Bintang,2.39,0.84,0.8
Tolikara,2.3,1.33,0.56
Sarmi,0.6,0.98,2.02
Keerom,1.81,1.21,0.75
Waropen,4.02,2.23,4.88
Supiori,9.43,1.37,2.17
Mamberamo Raya,5.84,3.36,3.9
Nduga *,1.19,1.02,0.6
Lanny Jaya,10.15,1.67,2.23
Mamberamo Tengah,0.24,1.4,0.98
Yalimo,3.11,1.79,2.16
Puncak,3.28,2.19,1.38
Dogiyai,3.58,1.58,0.64
Intan Jaya,5.05,2.8,8.85
Deiyai,1.5,4.75,8.44
Kota Jayapura,0.79,0.92,0.94
PAPUA SELATAN,-,-,-
Merauke,-,-,-
Boven Digoel,-,-,-
Mappi,-,-,-
Asmat,-,-,-
PAPUA TENGAH,-,-,-
Mimika,-,-,-
Dogiyai,-,-,-
Deiyai,-,-,-
Nabire,-,-,-
Paniai,-,-,-
Intan Jaya,-,-,-
Puncak,-,-,-
Puncak Jaya,-,-,-
PAPUA PEGUNUNGAN,-,-,-
Nduga,-,-,-
Jayawijaya,-,-,-
Lanny Jaya,-,-,-
Tolikara,-,-,-
Mamberamo Tengah,-,-,-
Yalimo,-,-,-
Yahukimo,-,-,-
Pegunungan Bintang,-,-,-
