Nama Wilayah,,,
,Indeks Keparahan Kemiskinan (P2) Menurut Kabupaten/Kota,,
,2010,2011,2012
ACEH,0.96,0.94,0.83
Simeulue,1.19,1.37,1.04
Aceh Singkil,0.65,0.75,0.37
Aceh Selatan,0.91,0.57,0.59
Aceh Tenggara,0.75,0.52,0.75
Aceh Timur,0.71,0.52,0.67
Aceh Tengah,0.62,0.67,0.56
Aceh Barat,1.53,1.07,0.75
Aceh Besar,1.04,1.13,0.62
Pidie,0.74,0.94,0.58
Bireuen,1.31,1,0.69
Aceh Utara,1.38,0.96,0.82
Aceh Barat Daya,0.84,0.58,0.46
Gayo Lues,0.8,0.73,0.63
Aceh Tamiang,0.64,0.49,0.62
Nagan Raya,1.15,0.95,1.07
Aceh Jaya,1.09,1.06,1.11
Bener Meriah,0.79,0.99,0.94
Pidie Jaya,0.8,1.73,0.94
Kota Banda Aceh,0.36,0.31,0.44
Kota Sabang,1.4,1.03,1.17
Kota Langsa,1.11,0.64,0.36
Kota Lhokseumawe,0.83,0.52,0.24
Kota Subulussalam,1.43,1.15,1.11
SUMATERA UTARA,0.46,0.47,0.5
Nias,1.27,0.64,0.49
Mandailing Natal,0.32,0.27,0.36
Tapanuli Selatan,0.2,0.37,0.25
Tapanuli Tengah,0.75,0.86,0.44
Tapanuli Utara,0.5,0.27,0.29
Toba Samosir,0.38,0.31,0.32
Labuhan Batu,0.62,0.44,0.23
Asahan,0.35,0.33,0.24
Simalungun,0.49,0.25,0.21
Dairi,0.26,0.17,0.24
Karo,0.31,0.38,0.22
Deli Serdang,0.07,0.17,0.21
Langkat,0.51,0.48,0.39
Nias Selatan,0.48,0.4,0.43
Humbang Hasundutan,0.41,0.28,0.2
Pakpak Bharat,0.2,0.19,0.28
Samosir,0.66,0.64,0.34
Serdang Bedagai,0.39,0.33,0.33
Batu Bara,0.48,0.26,0.29
Padang Lawas Utara,0.43,0.32,0.24
Padang Lawas,0.27,0.31,0.26
Labuhan Batu Selatan,0.64,0.79,0.39
Labuhan Batu Utara,0.55,0.44,0.2
Nias Utara,1.35,1.32,1.93
Nias Barat,2.52,1.28,1
Kota Sibolga,0.36,0.51,0.64
Kota Tanjung Balai,0.72,0.48,0.39
Kota Pematang Siantar,0.31,0.46,0.67
Kota Tebing Tinggi,0.41,0.56,0.51
Kota Medan,0.42,0.49,0.37
Kota Binjai,0.27,0.25,0.09
Kota Padangsidimpuan,0.5,0.38,0.24
Kota Gunungsitoli,5.06,2.15,1.39
SUMATERA BARAT,0.39,0.43,0.31
Kepulauan Mentawai,1.77,1.37,1.1
Pesisir Selatan,0.48,0.45,0.23
Solok,0.42,0.37,0.22
Sijunjung,0.7,0.26,0.25
Tanah Datar,0.16,0.1,0.18
Padang Pariaman,0.26,0.4,0.36
Agam,0.3,0.28,0.12
Lima Puluh Kota,0.51,0.24,0.22
Pasaman,0.27,0.32,0.2
Solok Selatan,0.29,0.31,0.23
Dharmasraya,0.5,0.2,0.33
Pasaman Barat,0.33,0.2,0.16
Kota Padang,0.4,0.17,0.24
Kota Solok,0.37,0.26,0.15
Kota Sawah Lunto,0.02,0.05,0.05
Kota Padang Panjang,0.26,0.15,0.3
Kota Bukittinggi,0.13,0.26,0.28
Kota Payakumbuh,0.43,0.3,0.32
Kota Pariaman,0.22,0.08,0.23
RIAU,0.49,0.39,0.25
Kuantan Singingi,0.47,0.36,0.38
Indragiri Hulu,0.31,0.24,0.41
Indragiri Hilir,0.43,0.32,0.32
Pelalawan,0.69,0.66,0.46
Siak,0.13,0.41,0.11
Kampar,0.29,0.36,0.21
Rokan Hulu,0.47,0.52,0.35
Bengkalis,0.52,0.14,0.23
Rokan Hilir,0.4,0.17,0.22
Kepulauan Meranti,3.81,2.58,2.26
Kota Pekanbaru,0.29,0.1,0.1
Kota Dumai,0.26,0.13,0.29
JAMBI,0.3,0.35,0.44
Kerinci,0.3,0.21,0.21
Merangin,0.13,0.19,0.31
Sarolangun,0.43,0.32,0.32
Batang Hari,0.23,0.27,0.28
Muaro Jambi,0.14,0.07,0.06
Tanjung Jabung Timur,0.23,0.49,0.36
Tanjung Jabung Barat,0.67,0.34,0.28
Tebo,0.17,0.17,0.23
Bungo,0.17,0.09,0.14
Kota Jambi,0.49,0.27,0.44
Kota Sungai Penuh,0.11,0.04,0.14
SUMATERA SELATAN,0.6,0.65,0.43
Ogan Komering Ulu,0.5,0.65,0.67
Ogan Komering Ilir,0.78,0.57,0.66
Muara Enim,0.33,0.51,0.41
Lahat,1,0.87,0.48
Musi Rawas,0.97,0.65,0.52
Musi Banyuasin,0.52,0.68,0.61
Banyu Asin,0.37,0.51,0.26
Ogan Komering Ulu Selatan,0.65,0.3,0.15
Ogan Komering Ulu Timur,0.36,0.25,0.18
Ogan Ilir,0.38,0.49,0.31
Empat Lawang,0.64,0.26,0.4
Penukal Abab Lematang Ilir,-,-,-
Musi Rawas Utara,-,-,-
Kota Palembang,0.74,0.85,0.6
Kota Prabumulih,0.47,0.32,0.44
Kota Pagar Alam,0.22,0.22,0.09
Kota Lubuklinggau,0.96,0.72,0.28
BENGKULU,0.7,0.74,0.8
Bengkulu Selatan,0.9,1.41,1.24
Rejang Lebong,0.69,0.37,0.6
Bengkulu Utara,0.52,0.34,0.63
Kaur,1.06,0.8,1.22
Seluma,0.82,0.87,0.97
Mukomuko,0.63,0.89,0.88
Lebong,0.46,0.27,0.87
Kepahiang,0.51,0.48,0.67
Bengkulu Tengah,0.13,0.16,0.1
Kota Bengkulu,0.94,1.14,1.1
LAMPUNG,0.8,0.79,0.62
Lampung Barat,0.71,0.79,0.56
Tanggamus,0.64,0.71,0.59
Lampung Selatan,0.88,0.72,0.79
Lampung Timur,0.79,0.88,0.92
Lampung Tengah,0.6,0.75,0.63
Lampung Utara,1.57,1.81,1.19
Way Kanan,0.93,0.75,0.54
Tulangbawang,0.34,0.32,0.28
Pesawaran,1.1,1,0.67
Pringsewu,0.68,0.44,0.19
Mesuji,0.19,0.17,0.18
Tulang Bawang Barat,0.32,0.24,0.18
Pesisir Barat,-,-,-
Kota Bandar Lampung,0.97,0.5,0.4
Kota Metro,0.72,0.63,0.25
KEP. BANGKA BELITUNG,0.24,0.23,0.14
Bangka,0.19,0.13,0.14
Belitung,0.25,0.13,0.12
Bangka Barat,0.3,0.13,0.11
Bangka Tengah,0.27,0.19,0.15
Bangka Selatan,0.23,0.11,0.06
Belitung Timur,0.32,0.24,0.12
Kota Pangkal Pinang,0.21,0.1,0.07
KEPULAUAN RIAU,0.36,0.3,0.19
Karimun,0.14,0.22,0.12
Bintan,0.39,0.2,0.14
Natuna,0.17,0.22,0.21
Lingga,1,0.6,0.64
Kepulauan Anambas,0.2,0.09,0.03
Kota Batam,0.25,0.17,0.18
Kota Tanjung Pinang,0.92,0.61,0.3
DKI JAKARTA,0.17,0.1,0.15
Kepulauan Seribu,0.17,0.21,0.35
Kota Jakarta Selatan,0.18,0.05,0.13
Kota Jakarta Timur,0.07,0.07,0.07
Kota Jakarta Pusat,0.31,0.13,0.19
Kota Jakarta Barat,0.18,0.11,0.06
Kota Jakarta Utara,0.26,0.17,0.29
JAWA BARAT,0.42,0.43,0.42
Bogor,0.43,0.41,0.29
Sukabumi,0.3,0.43,0.29
Cianjur,0.38,0.64,0.48
Bandung,0.24,0.5,0.37
Garut,0.34,0.47,0.4
Tasikmalaya,0.36,0.26,0.62
Ciamis,0.4,0.27,0.46
Kuningan,0.34,0.39,0.48
Cirebon,0.58,0.51,0.51
Majalengka,0.67,0.46,0.69
Sumedang,0.47,0.5,0.44
Indramayu,0.51,0.6,0.44
Subang,0.52,0.33,0.3
Purwakarta,0.55,0.44,0.39
Karawang,0.78,0.41,0.39
Bekasi,0.18,0.25,0.24
Bandung Barat,0.57,0.48,0.38
Pangandaran,-,-,-
Kota Bogor,0.48,0.26,0.3
Kota Sukabumi,0.52,0.26,0.18
Kota Bandung,0.29,0.2,0.12
Kota Cirebon,0.51,0.64,0.38
Kota Bekasi,0.39,0.07,0.24
Kota Depok,0.14,0.14,0.04
Kota Cimahi,0.42,0.19,0.32
Kota Tasikmalaya,1.17,0.94,1.18
Kota Banjar,0.25,0.14,0.13
JAWA TENGAH,0.68,0.66,0.57
Cilacap,0.81,0.6,0.5
Banyumas,0.99,0.99,0.91
Purbalingga,1.08,0.67,0.96
Banjarnegara,0.92,0.74,0.94
Kebumen,0.92,0.96,0.75
Purworejo,0.65,0.74,0.65
Wonosobo,1.09,1.25,1.04
Magelang,0.46,0.44,0.48
Boyolali,0.71,0.49,0.51
Klaten,0.75,0.99,0.47
Sukoharjo,0.34,0.35,0.49
Wonogiri,0.92,0.89,0.33
Karanganyar,0.5,0.41,0.5
Sragen,0.66,0.73,0.55
Grobogan,0.52,0.63,0.61
Blora,0.61,0.51,0.47
Rembang,0.83,0.58,0.6
Pati,0.68,0.47,0.35
Kudus,0.16,0.2,0.19
Jepara,0.22,0.25,0.18
Demak,1.14,0.75,0.68
Semarang,0.31,0.44,0.38
Temanggung,0.34,0.45,0.41
Kendal,1.3,0.59,0.3
Batang,0.54,0.5,0.43
Pekalongan,0.53,0.42,0.24
Pemalang,0.8,0.71,0.5
Tegal,0.35,0.46,0.23
Brebes,1.17,1.23,0.77
Kota Magelang,0.39,0.36,0.33
Kota Surakarta,0.53,0.46,0.28
Kota Salatiga,0.16,0.33,0.13
Kota Semarang,0.25,0.18,0.19
Kota Pekalongan,0.19,0.32,0.19
Kota Tegal,0.44,0.51,0.15
D I YOGYAKARTA,0.57,0.59,0.75
Kulon Progo,1.08,0.91,1
Bantul,0.73,0.82,0.81
Gunung Kidul,0.57,0.98,0.89
Sleman,0.34,0.45,0.73
Kota Yogyakarta,0.36,0.24,0.37
JAWA TIMUR,0.59,0.46,0.44
Pacitan,0.76,0.59,0.42
Ponorogo,0.43,0.29,0.38
Trenggalek,0.59,0.7,0.42
Tulungagung,0.26,0.26,0.2
Blitar,0.74,0.35,0.35
Kediri,0.5,0.49,0.34
Malang,0.52,0.35,0.25
Lumajang,0.5,0.31,0.38
Jember,0.52,0.38,0.34
Banyuwangi,0.37,0.27,0.29
Bondowoso,0.57,0.56,0.58
Situbondo,0.64,0.49,0.56
Probolinggo,1.12,0.98,0.81
Pasuruan,0.58,0.42,0.31
Sidoarjo,0.21,0.16,0.14
Mojokerto,0.3,0.29,0.24
Jombang,0.42,0.48,0.34
Nganjuk,0.41,0.41,0.46
Madiun,0.52,0.57,0.4
Magetan,0.49,0.26,0.25
Ngawi,0.57,0.52,0.41
Bojonegoro,0.95,0.75,0.64
Tuban,0.87,0.4,0.56
Lamongan,0.64,0.45,0.36
Gresik,0.41,0.61,0.59
Bangkalan,1.57,0.94,0.81
Sampang,1.34,1.37,1.19
Pamekasan,0.92,0.99,0.39
Sumenep,1.35,0.56,0.7
Kota Kediri,0.29,0.45,0.14
Kota Blitar,0.26,0.38,0.12
Kota Malang,0.34,0.17,0.27
Kota Probolinggo,0.84,1.07,0.21
Kota Pasuruan,0.41,0.19,0.3
Kota Mojokerto,0.28,0.3,0.16
Kota Madiun,0.26,0.13,0.11
Kota Surabaya,0.41,0.26,0.25
Kota Batu,0.18,0.1,0.13
BANTEN,0.28,0.32,0.28
Pandeglang,0.23,0.36,0.3
Lebak,0.27,0.37,0.24
Tangerang,0.36,0.29,0.21
Serang,0.13,0.12,0.15
Kota Tangerang,0.45,0.18,0.13
Kota Cilegon,0.22,0.09,0.14
Kota Serang,0.23,0.17,0.16
Kota Tangerang Selatan,0.11,0.01,0.03
BALI,0.18,0.13,0.07
Jembrana,0.17,0.13,0.19
Tabanan,0.31,0.12,0.05
Badung,0.06,0.05,0.08
Gianyar,0.17,0.06,0.08
Klungkung,0.26,0.11,0.16
Bangli,0.27,0.14,0.1
Karang Asem,0.3,0.22,0.15
Buleleng,0.24,0.11,0.11
Kota Denpasar,0.03,0.08,0.04
NUSA TENGGARA BARAT,1,0.89,0.83
Lombok Barat,0.78,0.75,0.83
Lombok Tengah,0.85,0.63,0.68
Lombok Timur,0.81,0.76,0.77
Sumbawa,1.32,1.41,1.23
Dompu,0.81,0.7,0.55
Bima,1.42,0.52,0.39
Sumbawa Barat,1.62,2.32,1.14
Lombok Utara,2.73,2.36,2.23
Kota Mataram,0.6,0.64,0.56
Kota Bima,0.69,0.42,0.48
NUSA TENGGARA TIMUR,1.14,0.91,0.91
Sumba Barat,1.88,1.29,1.51
Sumba Timur,1.18,2.74,2.4
Kupang,1.12,1.37,0.85
Timor Tengah Selatan,2.02,1.46,1.04
Timor Tengah Utara,1.24,0.76,0.37
Belu,0.66,0.41,0.54
Alor,1.36,0.61,0.42
Lembata,1.86,1.05,0.75
Flores Timur,0.25,0.41,0.1
Sikka,0.88,0.33,0.31
Ende,1.08,0.97,0.86
Ngada,0.29,0.3,0.4
Manggarai,0.85,0.72,0.86
Rote Ndao,2.17,2.57,1.38
Manggarai Barat,0.82,0.73,0.71
Sumba Tengah,1.07,1.17,1.46
Sumba Barat Daya,1.11,1.12,0.97
Nagekeo,0.88,0.52,0.49
Manggarai Timur,1.4,0.81,0.88
Sabu Raijua,3.28,2.08,1.2
Malaka,-,-,-
Kota Kupang,0.58,0.54,0.31
KALIMANTAN BARAT,0.33,0.39,0.33
Sambas,0.3,0.37,0.22
Bengkayang,0.36,0.14,0.22
Landak,0.45,0.35,0.3
Pontianak,0.18,0.12,0.22
Sanggau,0.15,0.14,0.07
Ketapang,0.69,0.34,0.61
Sintang,0.31,0.28,0.32
Kapuas Hulu,0.55,0.47,0.51
