Nama Wilayah,,,
,Garis Kemiskinan Menurut Kabupaten/Kota (Rupiah/kapita/bulan),,
,2013,2014,2015
ACEH,348172,377049,390150
Simeulue,305600,307596,311351
Aceh Singkil,316319,322413,351409
Aceh Selatan,283446,285301,288619
Aceh Tenggara,206797,209811,212025
Aceh Timur,319392,322385,328048
Aceh Tengah,370670,374989,380858
Aceh Barat,413061,417641,424227
Aceh Besar,352451,352751,366676
Pidie,361707,363791,374031
Bireuen,292308,295294,301027
Aceh Utara,274799,276137,280683
Aceh Barat Daya,283117,288713,292323
Gayo Lues,279420,281178,286882
Aceh Tamiang,331218,336767,343246
Nagan Raya,353231,356221,361359
Aceh Jaya,303209,308891,316304
Bener Meriah,327652,329550,338719
Pidie Jaya,373497,376795,380371
Kota Banda Aceh,493558,500768,523444
Kota Sabang,451218,457242,475111
Kota Langsa,298749,301089,307260
Kota Lhokseumawe,293788,297189,303155
Kota Subulussalam,241189,242054,244628
SUMATERA UTARA,311063,330663,347953
Nias,276654,280008,287527
Mandailing Natal,265043,268034,280506
Tapanuli Selatan,288154,293441,300449
Tapanuli Tengah,288774,298573,307710
Tapanuli Utara,276803,283464,291893
Toba Samosir,278478,282744,292695
Labuhan Batu,285004,289625,298650
Asahan,251914,254253,262464
Simalungun,270588,274867,283234
Dairi,251813,255130,263359
Karo,337578,343225,357954
Deli Serdang,288770,293551,304183
Langkat,289396,294175,304825
Nias Selatan,213412,215835,220455
Humbang Hasundutan,247658,254633,262317
Pakpak Bharat,207796,212009,217919
Samosir,228767,235355,242263
Serdang Bedagai,288126,291732,301639
Batu Bara,303019,310494,320422
Padang Lawas Utara,243213,246951,256219
Padang Lawas,237735,240131,247594
Labuhan Batu Selatan,290734,294334,304632
Labuhan Batu Utara,316418,321487,332815
Nias Utara,309886,316674,326303
Nias Barat,294770,299555,307907
Kota Sibolga,333923,342384,355225
Kota Tanjung Balai,306029,311787,322324
Kota Pematang Siantar,379314,387899,403918
Kota Tebing Tinggi,337049,342964,355621
Kota Medan,396112,401417,420208
Kota Binjai,305596,310384,322091
Kota Padangsidimpuan,300280,304508,315547
Kota Gunungsitoli,284492,288112,289428
SUMATERA BARAT,336606,365827,384277
Kepulauan Mentawai,217773,223814,235987
Pesisir Selatan,308472,322425,333243
Solok,316756,329385,339088
Sijunjung,290564,300544,309209
Tanah Datar,291848,302268,306560
Padang Pariaman,309999,320367,331676
Agam,267436,275748,279590
Lima Puluh Kota,300037,311404,314949
Pasaman,262825,269271,272779
Solok Selatan,268902,279597,292292
Dharmasraya,309661,320644,335151
Pasaman Barat,311657,324051,329051
Kota Padang,377943,395785,414612
Kota Solok,342001,356078,370229
Kota Sawah Lunto,267079,283470,293725
Kota Padang Panjang,354955,378852,384969
Kota Bukittinggi,356752,372696,379445
Kota Payakumbuh,366691,385693,390151
Kota Pariaman,331511,347107,359965
RIAU,350129,379223,399211
Kuantan Singingi,378811,422691,441315
Indragiri Hulu,369210,387172,396088
Indragiri Hilir,282361,289780,295781
Pelalawan,406420,438949,451528
Siak,336671,351610,363879
Kampar,336681,348373,360324
