Nama Wilayah,,,
,Garis Kemiskinan Menurut Kabupaten/Kota (Rupiah/kapita/bulan),,
Rokan Hulu,358295,370540,384226
Bengkalis,388671,405945,420733
Rokan Hilir,296770,308248,317220
Kepulauan Meranti,375063,397937,403535
Kota Pekanbaru,381287,399451,416479
Kota Dumai,328158,341525,353079
JAMBI,307885,329181,343935
Kerinci,262679,268285,275265
Merangin,284393,296348,310997
Sarolangun,336577,363909,370205
Batang Hari,306054,317870,328769
Muaro Jambi,233773,238617,245123
Tanjung Jabung Timur,283415,293057,301563
Tanjung Jabung Barat,270069,279000,286671
Tebo,294410,306494,315053
Bungo,257567,265054,272254
Kota Jambi,346099,359686,372600
Kota Sungai Penuh,274586,287101,295969
SUMATERA SELATAN,291058,307488,326905
Ogan Komering Ulu,308219,315518,328496
Ogan Komering Ilir,257481,263395,274843
Muara Enim,275302,281242,294595
Lahat,313687,320716,332943
Musi Rawas,326798,334592,342956
Musi Banyuasin,347046,357567,381154
Banyu Asin,281336,287842,311716
Ogan Komering Ulu Selatan,235288,240610,247779
Ogan Komering Ulu Timur,227516,232073,241731
Ogan Ilir,313725,322325,338911
Empat Lawang,234158,237756,243132
Penukal Abab Lematang Ilir,-,-,298117
Musi Rawas Utara,-,-,358721
Kota Palembang,392560,405037,431242
Kota Prabumulih,399934,412418,441420
Kota Pagar Alam,249089,261261,268636
Kota Lubuklinggau,362872,375338,393365
BENGKULU,327358,356554,380029
Bengkulu Selatan,278823,287029,294328
Rejang Lebong,320366,334237,346981
Bengkulu Utara,284806,292684,302989
Kaur,248571,256321,262881
Seluma,284599,294016,303713
Mukomuko,307670,321002,333767
Lebong,286581,298264,308004
Kepahiang,274671,285124,293731
Bengkulu Tengah,286493,297163,308010
Kota Bengkulu,433081,468880,494825
LAMPUNG,295395,318822,337996
Lampung Barat,310126,320724,335500
Tanggamus,287560,299051,309569
Lampung Selatan,295601,307546,319448
Lampung Timur,291405,301339,307944
Lampung Tengah,313940,326613,336449
Lampung Utara,322835,338032,346393
Way Kanan,276091,286518,291207
Tulangbawang,295738,307349,337167
Pesawaran,284897,294603,305540
Pringsewu,315779,329405,350883
Mesuji,296102,308295,328859
Tulang Bawang Barat,291721,303252,329796
Pesisir Barat,-,-,342310
Kota Bandar Lampung,429146,450014,476055
Kota Metro,293994,305748,314891
KEP. BANGKA BELITUNG,427081,469814,488701
Bangka,360715,375653,385899
Belitung,523846,563475,580050
Bangka Barat,366365,388493,399401
Bangka Tengah,479479,512240,528720
Bangka Selatan,350691,364504,374778
Belitung Timur,464590,492652,504668
Kota Pangkal Pinang,475480,509246,527668
KEPULAUAN RIAU,398903,425967,448652
Karimun,288856,299538,309558
Bintan,298916,301829,313277
Natuna,264855,267150,276828
Lingga,338049,342359,354916
Kepulauan Anambas,268570,271539,313042
Kota Batam,482567,497415,525452
Kota Tanjung Pinang,498800,514741,542857
DKI JAKARTA,434322,459560,487388
Kepulauan Seribu,455049,474862,500171
Kota Jakarta Selatan,507665,533347,567685
Kota Jakarta Timur,381984,391205,412515
Kota Jakarta Pusat,436869,458388,484526
Kota Jakarta Barat,377884,387242,408818
Kota Jakarta Utara,387901,402391,423828
JAWA BARAT,276825,291474,306876
Bogor,271970,280312,290874
Sukabumi,240188,247800,260068
Cianjur,264580,273506,287939
Bandung,256733,264129,275562
Garut,226308,234661,241068
Tasikmalaya,237114,246796,255540
Ciamis,270515,283227,296647
Kuningan,261858,271015,276154
Cirebon,300990,312194,327032
Majalengka,353727,368900,379354
Sumedang,260160,265495,281649
Indramayu,350455,364360,379088
Subang,272854,280501,295174
Purwakarta,271270,281524,296477
Karawang,335273,344477,363105
Bekasi,361510,374255,394513
Bandung Barat,256789,264244,275327
Pangandaran,-,-,303646
Kota Bogor,360518,372886,392405
Kota Sukabumi,380856,395131,421908
Kota Bandung,340355,353423,376311
Kota Cirebon,334439,349599,358654
Kota Bekasi,449026,466851,497343
Kota Depok,443302,462069,496747
Kota Cimahi,347234,361794,386513
Kota Tasikmalaya,337841,351718,367673
Kota Banjar,250311,260742,271017
JAWA TENGAH,261881,281570,297851
Cilacap,256615,265714,273828
Banyumas,295742,309106,320585
Purbalingga,265262,275022,283366
Banjarnegara,221056,229718,236399
Kebumen,267763,277280,292177
Purworejo,273481,284409,294158
Wonosobo,258522,267548,275180
Magelang,235430,246292,253866
Boyolali,247845,255391,263734
Klaten,315566,327231,340484
Sukoharjo,279400,291949,303030
Wonogiri,235728,244761,252903
Karanganyar,275865,288814,303056
Sragen,247495,255550,263199
Grobogan,278786,290827,303455
Blora,237850,248903,257581
Rembang,284160,299503,314596
Pati,314609,332228,347575
Kudus,299097,314211,328404
Jepara,285287,299914,314422
Demak,299773,315570,328529
Semarang,263352,275612,286918
Temanggung,229548,240845,248866
Kendal,275016,289486,301449
Batang,208671,216952,224437
Pekalongan,293039,306281,317796
Pemalang,271861,287358,298622
Tegal,258366,271875,282861
Brebes,307238,327452,340538
Kota Magelang,350554,376143,405228
Kota Surakarta,371918,385467,406840
Kota Salatiga,302884,320204,337511
Kota Semarang,328271,348824,368477
Kota Pekalongan,322313,338398,352717
Kota Tegal,333553,353301,371528
D I YOGYAKARTA,303843,321056,335886
Kulon Progo,259945,265575,273436
Bantul,292639,301986,312514
Gunung Kidul,238056,243847,250630
Sleman,297170,306961,318312
Kota Yogyakarta,353602,366520,383966
JAWA TIMUR,273758,289945,305171
Pacitan,215482,220810,228573
Ponorogo,239963,247368,251525
Trenggalek,243665,250666,260133
Tulungagung,269290,277707,292483
Blitar,236381,244382,255966
Kediri,245287,251547,261088
Malang,245120,254380,265629
Lumajang,228796,234728,245806
Jember,260106,267962,283510
Banyuwangi,276648,285004,295185
Bondowoso,290792,299819,313734
Situbondo,240085,246483,254656
Probolinggo,328407,340539,355051
Pasuruan,274486,283327,292281
Sidoarjo,329946,346538,371947
Mojokerto,280779,293609,311022
Jombang,289841,301162,316922
Nganjuk,295806,308506,322820
Madiun,256567,265310,277092
Magetan,253040,262069,272972
Ngawi,233596,240780,250008
Bojonegoro,263439,272886,284319
Tuban,256900,265659,277599
Lamongan,279166,289403,303780
Gresik,331296,348888,372661
Bangkalan,291529,305174,319120
Sampang,261972,272900,284928
Pamekasan,256586,266953,278093
Sumenep,259046,270890,284756
Kota Kediri,349925,366788,386521
Kota Blitar,304224,319177,338532
Kota Malang,362162,381400,411709
Kota Probolinggo,364317,383673,403037
Kota Pasuruan,316862,328648,343392
Kota Mojokerto,312919,328250,348670
Kota Madiun,320210,338609,359771
Kota Surabaya,372511,393151,418930
Kota Batu,336844,355317,380393
BANTEN,288733,315819,336483
Pandeglang,230364,237111,247073
Lebak,214047,219177,228146
Tangerang,335291,351789,372431
Serang,218862,223190,232856
Kota Tangerang,398513,421554,455228
Kota Cilegon,295100,306253,323935
Kota Serang,236039,242977,255614
Kota Tangerang Selatan,378303,401696,433967
BALI,284009,301747,321834
Jembrana,298003,306586,330073
Tabanan,329226,338299,365022
Badung,406408,423568,454916
Gianyar,279742,298465,320805
Klungkung,246615,253717,264866
Bangli,258538,265603,283849
Karang Asem,248379,254805,269866
Buleleng,295912,306221,327357
Kota Denpasar,407191,426513,463271
NUSA TENGGARA BARAT,278514,297907,314238
Lombok Barat,313632,328402,353667
Lombok Tengah,306311,319518,335286
Lombok Timur,321249,335651,359235
Sumbawa,259474,268326,272274
Dompu,233213,239936,243467
Bima,243339,252628,255962
Sumbawa Barat,379222,395832,408991
Lombok Utara,332073,347150,363367
Kota Mataram,359651,376178,397468
Kota Bima,262967,270037,274394
NUSA TENGGARA TIMUR,251080,268536,297864
Sumba Barat,257372,269793,274779
Sumba Timur,260247,269680,274969
Kupang,252934,264554,282496
Timor Tengah Selatan,235956,246276,254454
Timor Tengah Utara,261995,274564,290296
Belu,252005,263659,279442
Alor,232406,244431,250327
Lembata,267510,282591,288970
Flores Timur,214010,222207,226252
Sikka,231250,242968,247641
Ende,271888,286028,291770
Ngada,248760,263194,271299
Manggarai,246366,259244,264012
Rote Ndao,235613,244901,255551
Manggarai Barat,245425,259004,263746
Sumba Tengah,216218,227297,233078
Sumba Barat Daya,272036,286490,287622
Nagekeo,252083,268750,274620
Manggarai Timur,245077,258623,260411
Sabu Raijua,277403,291669,310381
Malaka,-,-,279799
Kota Kupang,400641,413905,455924
KALIMANTAN BARAT,270306,298212,323615
Sambas,278704,314144,329993
Bengkayang,240704,261184,273629
Landak,252336,277718,287822
Pontianak,240081,253170,268242
Sanggau,222877,235298,250928
Ketapang,310504,330763,356319
Sintang,358693,389160,421877
Kapuas Hulu,304138,323786,346335
Sekadau,229464,240819,256452
Melawi,340889,378309,408635
Kayong Utara,207989,217147,230320
Kubu Raya,269835,286612,305859
Kota Pontianak,341422,369079,403905
Kota Singkawang,320211,355133,376797
KALIMANTAN TENGAH,307698,330869,349727
Kotawaringin Barat,273467,279080,293436
Kotawaringin Timur,300929,312363,325234
Kapuas,235187,246679,252866
Barito Selatan,311166,322062,333917
Barito Utara,355065,385348,408241
Sukamara,344545,362337,384739
Lamandau,312204,328293,350294
Seruyan,321392,338969,357090
Katingan,325773,341896,356695
Pulang Pisau,294250,308323,314673
Gunung Mas,317979,341141,356866
Barito Timur,373579,401513,415710
Murung Raya,328986,364994,378062
Kota Palangka Raya,281323,299328,307796
KALIMANTAN SELATAN,300329,323594,341348
Tanah Laut,317127,335160,354481
Kota Baru,294832,309142,325061
Banjar,296791,313769,327970
Barito Kuala,227692,237711,246397
Tapin,295353,314696,330033
Hulu Sungai Selatan,332312,351691,365097
Hulu Sungai Tengah,257580,268522,279530
Hulu Sungai Utara,312537,331299,346066
Tabalong,330764,350737,368924
Tanah Bumbu,332406,353313,370670
Balangan,284378,299080,312445
Kota Banjarmasin,346466,366788,384659
Kota Banjar Baru,408649,436795,463579
KALIMANTAN TIMUR,417902,444248,473710
Paser,329478,348444,363060
Kutai Barat,364224,385008,410307
Kutai Kartanegara,362637,371791,389195
Kutai Timur,397482,408224,431328
Berau,396593,404665,426681
Penajam Paser Utara,333861,341499,360245
Mahakam Hulu,-,-,449981
Kota Balikpapan,425146,460297,485665
Kota Samarinda,460975,493763,533401
Kota Bontang,422951,454392,479060
KALIMANTAN UTARA,417902,444248,475620
Malinau,428015,448944,473906
Bulungan,322878,333804,352063
Tana Tidung,301852,317128,326201
Nunukan,304856,312412,327515
Kota Tarakan,422050,443192,485447
SULAWESI UTARA,250249,266528,295365
Bolaang Mongondow,241743,244173,257170
Minahasa,216181,217891,234223
Kepulauan Sangihe,201184,202201,215355
Kepulauan Talaud,211224,212477,228813
Minahasa Selatan,244813,246563,262940
Minahasa Utara,241801,243645,261951
Bolaang Mongondow Utara,194554,195957,207328
Siau Tagulandang Biaro,231807,234440,245388
Minahasa Tenggara,257210,258986,277491
Bolaang Mongondow Selatan,237554,239055,256141
Bolaang Mongondow Timur,237317,238422,261715
Kota Manado,279910,286498,313597
Kota Bitung,291316,295822,321549
Kota Tomohon,285307,287381,313236
Kota Kotamobagu,235763,237521,255330
SULAWESI TENGAH,301000,328063,338443
Banggai Kepulauan,244977,256341,260814
Banggai,287513,304907,311258
Morowali,316400,335484,343269
Poso,343385,368562,378190
Donggala,233991,247348,251529
Toli-Toli,230115,240276,244472
Buol,253185,266475,271525
Parigi Moutong,291697,309687,318088
Tojo Una-Una,332065,356790,362840
Sigi,235599,247413,251721
Banggai Laut,-,-,274333
Morowali Utara,-,-,347848
Kota Palu,378455,405195,416596
SULAWESI SELATAN,217547,229222,248391
Kepulauan Selayar,261261,276769,286032
Bulukumba,249131,260236,272703
Bantaeng,200302,209080,217595
Jeneponto,265921,277413,291408
Takalar,253415,262202,278538
Gowa,278068,290592,306328
Sinjai,215481,222751,231732
Maros,278520,286937,307717
Pangkajene Dan Kepulauan,235875,243054,251700
Barru,246303,253904,263210
Bone,233943,244415,252392
Soppeng,202666,207084,213164
Wajo,238194,244212,253164
Sidenreng Rappang,235406,242303,255135
Pinrang,221717,228150,234897
Enrekang,235269,244643,258472
Luwu,229799,239157,252549
Tana Toraja,217981,226762,238838
Luwu Utara,240721,251627,265822
Luwu Timur,231447,240729,254957
Toraja Utara,316276,341070,367325
Kota Makassar,288040,297197,321094
Kota Parepare,248270,256303,270508
Kota Palopo,224562,228881,246727
SULAWESI TENGGARA,226990,243036,257553
Buton,188775,189228,198183
Muna,253043,253795,269838
Konawe,230486,230759,241617
Kolaka,275682,277220,292370
Konawe Selatan,175092,175544,181796
Bombana,235920,236688,246908
Wakatobi,206570,207228,218939
Kolaka Utara,324985,336384,356680
Buton Utara,242884,243172,258425
Konawe Utara,207521,208232,216578
Kolaka Timur,-,-,291862
Konawe Kepulauan,-,-,240679
Muna Barat,-,-,-
Buton Tengah,-,-,-
Buton Selatan,-,-,-
Kota Kendari,255229,256535,270861
Kota Baubau,257174,258075,274066
GORONTALO,233942,247611,263652
Boalemo,269570,292557,309227
Gorontalo,295852,323578,343373
Pohuwato,212629,214146,222996
Bone Bolango,265208,288741,304627
Gorontalo Utara,212360,213613,222054
Kota Gorontalo,332241,376010,404620
SULAWESI BARAT,228944,246524,261881
Majene,263402,278049,290568
Polewali Mandar,277609,293073,305462
Mamasa,197930,207126,213369
Mamuju,187013,195991,202167
Mamuju Utara,262374,279940,294156
Mamuju Tengah,-,-,203120
MALUKU,346599,361022,399632
Maluku Tenggara Barat,269495,275291,301424
Maluku Tenggara,292513,299603,331518
Maluku Tengah,355246,362542,391011
Buru,347690,355985,383904
Kepulauan Aru,277924,282440,312520
Seram Bagian Barat,295465,301802,320963
Seram Bagian Timur,287989,293745,311770
Maluku Barat Daya,289248,298825,329863
Buru Selatan,404982,458139,500864
Kota Ambon,417789,430697,473236
Kota Tual,291769,297378,328247
MALUKU UTARA,291352,316160,344088
Halmahera Barat,251447,258965,269068
Halmahera Tengah,335139,346751,361983
Kepulauan Sula,264258,275479,284471
Halmahera Selatan,230667,236969,245113
Halmahera Utara,184492,188471,195091
Halmahera Timur,383015,419734,441911
Pulau Morotai,200015,205115,211627
Pulau Taliabu,-,-,286373
Kota Ternate,418472,434061,459551
Kota Tidore Kepulauan,314328,325399,340912
PAPUA BARAT,397003,428608,441569
Fakfak,394248,419644,433491
Kaimana,309655,327197,336596
Teluk Wondama,403964,431100,446542
Teluk Bintuni,492193,521639,541295
Manokwari,475559,497067,502049
Sorong Selatan,255932,261095,263877
Sorong,279725,286937,290375
Raja Ampat,273436,279642,282739
Tambrauw,281586,287577,290732
Maybrat,283440,289229,292468
Manokwari Selatan,-,-,506558
Pegunungan Arfak,-,-,530286
Kota Sorong,536584,557832,570657
PAPUA BARAT DAYA,-,-,-
Raja Ampat,-,-,-
Sorong,-,-,-
Sorong Selatan,-,-,-
Maybrat,-,-,-
Tambrauw,-,-,-
Kota Sorong,-,-,-
PAPUA,339096,358204,402031
Merauke,261300,275008,294257
Jayawijaya,307760,317168,349878
Jayapura,404404,419312,454989
Nabire,423864,441408,486456
Kepulauan Yapen,435185,457488,512934
Biak Numfor,409164,422155,466074
Paniai,331280,341762,388098
Puncak Jaya,428465,449832,497583
Mimika,510154,535342,597620
Boven Digoel,331147,348780,379630
Mappi,240527,248690,260880
Asmat,271053,280854,299893
Yahukimo,274781,286300,303586
Pegunungan Bintang,362626,374249,405665
Tolikara,199192,203714,218759
Sarmi,333493,348720,377926
Keerom,406808,423918,460199
Waropen,448507,477672,536760
Supiori,325385,338029,381346
Mamberamo Raya,498326,538203,569859
Nduga *,235439,239201,239201
Lanny Jaya,338536,351597,383166
Mamberamo Tengah,289262,297215,316341
Yalimo,246035,253293,270455
Puncak,438789,461014,517396
Dogiyai,345421,349727,385923
Intan Jaya,418057,453388,501749
Deiyai,408519,430883,483206
Kota Jayapura,643498,657702,763326
PAPUA SELATAN,-,-,-
Merauke,-,-,-
Boven Digoel,-,-,-
Mappi,-,-,-
Asmat,-,-,-
PAPUA TENGAH,-,-,-
Mimika,-,-,-
Dogiyai,-,-,-
Deiyai,-,-,-
Nabire,-,-,-
Paniai,-,-,-
Intan Jaya,-,-,-
Puncak,-,-,-
Puncak Jaya,-,-,-
PAPUA PEGUNUNGAN,-,-,-
Nduga,-,-,-
Jayawijaya,-,-,-
Lanny Jaya,-,-,-
Tolikara,-,-,-
Mamberamo Tengah,-,-,-
Yalimo,-,-,-
Yahukimo,-,-,-
Pegunungan Bintang,-,-,-
