Nama Wilayah,,,
,Indeks Kedalaman Kemiskinan (P1) Menurut Kabupaten/Kota,,
,2019,2020,2021
ACEH,2.64,2.72,2.86
Simeulue,3.05,2.21,2.37
Aceh Singkil,3.83,3.55,3.67
Aceh Selatan,1.58,2.13,1.69
Aceh Tenggara,2.37,1.62,2.51
Aceh Timur,1.89,2.29,2.31
Aceh Tengah,2.08,2.89,2.88
Aceh Barat,3.53,2.74,3.82
Aceh Besar,2.56,2.4,2.32
Pidie,2.99,2.2,3.04
Bireuen,1.77,1.95,2.07
Aceh Utara,2.44,2.6,2.17
Aceh Barat Daya,1.97,3.41,2.88
Gayo Lues,3.95,2.44,2.76
Aceh Tamiang,1.65,1.61,1.67
Nagan Raya,3.17,3.33,3.5
Aceh Jaya,2.49,2.19,2.06
Bener Meriah,3.09,3.52,4.62
Pidie Jaya,2.85,3.08,3.61
Kota Banda Aceh,1.34,1,1.12
Kota Sabang,2.71,1.94,2.8
Kota Langsa,1.78,1.6,1.53
Kota Lhokseumawe,1.51,1.56,1.87
Kota Subulussalam,3.15,2.27,2.29
SUMATERA UTARA,1.37,1.51,1.52
Nias,2.53,1.91,2.21
Mandailing Natal,1.01,1.14,1.44
Tapanuli Selatan,0.87,0.87,1.53
Tapanuli Tengah,1.64,1.84,2.04
Tapanuli Utara,1.6,1.18,1.21
Toba Samosir,1.21,1,1.34
Labuhan Batu,0.87,0.98,1.32
Asahan,1.24,1.37,1.9
Simalungun,0.99,1.47,1.12
Dairi,0.96,1.09,1.24
Karo,0.88,1.39,1.23
Deli Serdang,0.47,0.55,0.56
Langkat,0.9,1.52,1.17
Nias Selatan,2.28,2.82,2.38
Humbang Hasundutan,0.96,1.29,1.25
Pakpak Bharat,0.92,1.38,1.05
Samosir,1.63,1.84,2.2
Serdang Bedagai,1.32,0.98,0.87
Batu Bara,1.63,1.61,1.99
Padang Lawas Utara,1.18,1.2,1.29
Padang Lawas,1.64,1.19,1.33
Labuhan Batu Selatan,1.12,0.99,1.22
Labuhan Batu Utara,1.66,1.87,1.07
Nias Utara,4.38,4.12,4.24
Nias Barat,3.34,3.21,3.32
Kota Sibolga,1.26,1.49,2.04
Kota Tanjung Balai,1.69,1.69,1.72
Kota Pematang Siantar,0.7,1.1,1.12
Kota Tebing Tinggi,1.47,1.74,1.37
Kota Medan,1.16,1.08,1.1
Kota Binjai,0.27,0.59,0.59
Kota Padangsidimpuan,0.65,1.26,1.17
Kota Gunungsitoli,2.59,1.74,2.66
SUMATERA BARAT,0.94,0.92,1.04
Kepulauan Mentawai,1.87,2.84,2.43
Pesisir Selatan,0.76,0.81,0.87
Solok,0.71,1.16,0.91
Sijunjung,0.94,0.97,0.86
Tanah Datar,0.42,0.42,0.64
Padang Pariaman,1.02,0.67,0.81
Agam,0.82,0.79,0.98
Lima Puluh Kota,0.51,0.78,1.21
Pasaman,0.59,0.7,0.67
Solok Selatan,0.84,0.79,1.28
Dharmasraya,0.89,0.71,0.75
Pasaman Barat,0.81,0.62,1.24
Kota Padang,0.63,0.45,0.67
Kota Solok,0.29,0.27,0.28
Kota Sawah Lunto,0.23,0.07,0.33
Kota Padang Panjang,0.53,0.46,0.76
Kota Bukittinggi,0.56,0.56,0.8
Kota Payakumbuh,0.46,0.71,0.82
Kota Pariaman,0.49,0.49,0.36
RIAU,1.13,1.14,1.06
Kuantan Singingi,1.28,1.44,1.14
Indragiri Hulu,0.84,0.78,0.81
Indragiri Hilir,1.24,0.96,0.9
Pelalawan,1.44,1.31,1.45
Siak,0.64,1.27,0.61
Kampar,0.93,0.77,0.99
Rokan Hulu,1.87,2.04,1.51
Bengkalis,0.5,0.72,0.73
Rokan Hilir,0.86,1.1,0.79
Kepulauan Meranti,5.97,4.32,4.46
Kota Pekanbaru,0.31,0.48,0.19
Kota Dumai,0.28,0.31,0.4
JAMBI,1.23,1.1,1.29
Kerinci,0.59,1.05,0.81
Merangin,1.39,0.94,1.25
Sarolangun,1.17,1.08,1.13
Batang Hari,1.29,1.28,1.27
Muaro Jambi,0.39,0.31,0.47
Tanjung Jabung Timur,1.75,1.45,2.07
Tanjung Jabung Barat,1.68,1.58,1.96
Tebo,1.07,0.7,0.99
Bungo,0.81,0.72,0.92
Kota Jambi,1.52,1.47,1.42
Kota Sungai Penuh,0.25,0.62,0.43
SUMATERA SELATAN,2.12,2.08,2.26
Ogan Komering Ulu,1.79,1.91,1.83
Ogan Komering Ilir,2.67,2.98,3.52
Muara Enim,2.1,1.94,1.66
Lahat,2.66,2.64,3.14
Musi Rawas,2.21,2.05,2.43
Musi Banyuasin,3.37,3.67,3.1
Banyu Asin,1.57,1.14,2
Ogan Komering Ulu Selatan,1.34,1.17,1.28
Ogan Komering Ulu Timur,1.51,1.02,1.3
Ogan Ilir,1.82,2.15,2.55
Empat Lawang,1.87,1.89,1.84
Penukal Abab Lematang Ilir,1.86,1.4,1.84
Musi Rawas Utara,3.27,3.24,3.02
Kota Palembang,1.86,1.67,1.86
Kota Prabumulih,1.37,1.27,1.2
Kota Pagar Alam,0.9,0.99,1.03
Kota Lubuklinggau,2.21,2.2,1.97
BENGKULU,2.48,2.4,2.57
Bengkulu Selatan,3.32,3.29,3.28
Rejang Lebong,1.47,1.79,2.04
Bengkulu Utara,1.61,1.58,2.67
Kaur,4.14,2.77,4.09
Seluma,2.71,2.87,2.7
Mukomuko,2.19,1.52,1.88
Lebong,1.27,1.45,1.42
Kepahiang,2.54,1.9,1.62
Bengkulu Tengah,1.29,1.25,1.19
