Nama Wilayah,,,
,Indeks Kedalaman Kemiskinan (P1) Menurut Kabupaten/Kota,,
Kota Bengkulu,3.89,3.51,3.31
LAMPUNG,1.93,1.9,1.88
Lampung Barat,1.86,2.01,2.69
Tanggamus,1.24,1.36,1.26
Lampung Selatan,2.32,2.52,2.37
Lampung Timur,2.5,2.5,2.45
Lampung Tengah,2.09,1.63,1.76
Lampung Utara,3.72,2.88,3.3
Way Kanan,2.04,1.9,2.12
Tulangbawang,1.43,1.24,1.15
Pesawaran,2.69,2.18,2.3
Pringsewu,1.13,1.2,1.38
Mesuji,0.93,0.88,0.83
Tulang Bawang Barat,0.77,0.92,0.68
Pesisir Barat,1.6,1.8,2.39
Kota Bandar Lampung,1.49,1.61,1.52
Kota Metro,1.14,0.94,1.27
KEP. BANGKA BELITUNG,0.51,0.6,0.61
Bangka,0.65,0.47,0.39
Belitung,0.69,0.74,0.51
Bangka Barat,0.31,0.23,0.25
Bangka Tengah,0.52,0.72,0.63
Bangka Selatan,0.48,0.53,0.35
Belitung Timur,0.81,0.7,1.15
Kota Pangkal Pinang,0.59,0.6,0.57
KEPULAUAN RIAU,0.69,1.11,1.07
Karimun,0.6,0.59,1.14
Bintan,0.63,0.81,0.65
Natuna,0.49,0.4,0.44
Lingga,1.97,2.32,2.98
Kepulauan Anambas,1.14,0.96,0.87
Kota Batam,0.53,0.7,0.89
Kota Tanjung Pinang,1.15,1.58,1.75
DKI JAKARTA,0.5,0.59,0.64
Kepulauan Seribu,1.95,2.1,2.61
Kota Jakarta Selatan,0.39,0.47,0.62
Kota Jakarta Timur,0.33,0.35,0.56
Kota Jakarta Pusat,0.33,0.6,0.53
Kota Jakarta Barat,0.46,0.61,0.56
Kota Jakarta Utara,0.63,0.99,0.72
JAWA BARAT,1.09,1.13,1.47
Bogor,0.83,0.83,1.36
Sukabumi,0.66,0.8,1.04
Cianjur,0.74,1.38,1.83
Bandung,1.04,0.92,1.23
Garut,0.87,0.97,1.4
Tasikmalaya,0.84,0.83,1.57
Ciamis,0.76,0.92,0.88
Kuningan,1.24,2.41,2.02
Cirebon,1.29,1.3,1.94
Majalengka,1.39,1.41,2.44
Sumedang,1.05,1.72,1.72
Indramayu,1.66,2.18,2.46
Subang,1.39,1.29,1.93
Purwakarta,1.24,1.04,1.31
Karawang,1.06,1.28,1.27
Bekasi,0.6,0.72,0.91
Bandung Barat,1.54,1.4,1.62
Pangandaran,0.9,1.32,1.25
Kota Bogor,0.72,1.08,1.1
Kota Sukabumi,1.08,1.17,1.39
Kota Bandung,0.53,0.61,0.78
Kota Cirebon,1.23,1.68,2.22
Kota Bekasi,0.47,0.6,0.66
Kota Depok,0.24,0.29,0.34
Kota Cimahi,0.6,0.75,0.93
Kota Tasikmalaya,1.98,1.75,2.42
Kota Banjar,0.57,0.7,1.19
JAWA TENGAH,1.53,1.72,1.91
Cilacap,1.28,0.95,1.48
Banyumas,2.52,2.25,2.36
Purbalingga,2.24,2.32,2.1
Banjarnegara,2.38,2.47,2.97
Kebumen,2.58,2.62,3.24
Purworejo,0.84,0.98,1.36
Wonosobo,2.44,2.43,2.75
Magelang,0.98,1.23,1.63
Boyolali,1.02,1.3,1.76
Klaten,1.46,1.66,1.79
Sukoharjo,0.87,0.97,0.91
Wonogiri,0.82,1.08,1.58
Karanganyar,1.45,1.56,1.61
Sragen,2.31,2.18,2.39
Grobogan,0.9,1.17,1.66
Blora,1.59,1.39,1.82
Rembang,2.32,2.44,2.77
Pati,1.47,1.37,1.69
Kudus,0.83,1.01,1.23
Jepara,0.64,0.6,0.88
Demak,1.61,1.97,2.32
Semarang,0.63,0.96,0.95
Temanggung,0.51,0.86,1.57
Kendal,1.47,1.37,1.52
Batang,0.69,1.43,1.76
Pekalongan,1.17,1.42,1.75
Pemalang,2.55,2.86,2.92
Tegal,0.64,1.08,1
Brebes,2.31,3.01,3.04
Kota Magelang,0.99,1.12,0.85
Kota Surakarta,1.6,1.51,1.83
Kota Salatiga,0.83,0.53,0.8
Kota Semarang,0.57,0.68,0.67
Kota Pekalongan,0.92,1.28,1.51
Kota Tegal,1.15,1.38,1.04
D I YOGYAKARTA,1.74,1.94,2.42
Kulon Progo,2.72,3.22,3.01
Bantul,1.87,1.85,2.24
Gunung Kidul,2.58,2.68,2.98
Sleman,1.13,1.37,1.26
Kota Yogyakarta,0.85,1.19,1.07
JAWA TIMUR,1.8,1.82,1.84
Pacitan,1.75,2.68,1.66
Ponorogo,1.7,1.44,1.08
Trenggalek,1.37,1.48,1.46
Tulungagung,0.84,0.72,0.94
Blitar,1.13,1.35,0.85
Kediri,1.24,1.55,1.35
Malang,1.57,1.37,1.41
Lumajang,1.09,1.14,1.57
Jember,1.22,1.42,1.58
Banyuwangi,1.29,1.3,1.32
Bondowoso,1.67,2.16,2.19
Situbondo,1.49,1.91,2.08
Probolinggo,3.2,3.12,3.26
Pasuruan,1.56,1.15,1.17
Sidoarjo,1.22,0.96,0.95
Mojokerto,1.29,1.95,1.59
Jombang,1.77,1.73,1.55
Nganjuk,1.22,1.62,1.56
Madiun,1.53,1.63,1.65
Magetan,1.56,1.2,1.54
Ngawi,2.65,2.37,2.23
Bojonegoro,1.95,1.72,1.88
Tuban,2.84,2.27,3.26
Lamongan,2.53,2.71,2.7
Gresik,2.21,2.51,2.15
Bangkalan,4,4.25,3.51
Sampang,3.2,2.93,3.66
Pamekasan,1.85,1.89,1.9
Sumenep,3.03,4.33,4.73
Kota Kediri,1.23,0.96,1.03
Kota Blitar,1.14,0.98,1.06
Kota Malang,0.55,0.66,0.87
Kota Probolinggo,1.04,1.19,0.9
Kota Pasuruan,0.91,0.78,1.15
Kota Mojokerto,0.59,0.64,0.84
Kota Madiun,0.5,0.77,0.67
Kota Surabaya,0.62,0.87,0.75
Kota Batu,0.3,0.59,0.39
BANTEN,0.76,1,1.09
Pandeglang,1.33,1,1.49
Lebak,0.97,1.14,1.66
Tangerang,0.69,0.95,1.21
Serang,0.65,0.4,0.61
Kota Tangerang,0.64,0.74,1.08
Kota Cilegon,0.34,0.39,0.5
Kota Serang,0.51,0.57,0.92
Kota Tangerang Selatan,0.27,0.31,0.34
BALI,0.53,0.52,0.68
Jembrana,0.59,0.39,0.63
Tabanan,0.26,0.58,0.82
Badung,0.16,0.31,0.43
Gianyar,0.27,0.57,0.51
Klungkung,0.62,0.67,0.82
Bangli,0.24,0.3,0.56
Karang Asem,0.75,0.52,0.64
Buleleng,0.72,0.53,0.74
Kota Denpasar,0.29,0.25,0.37
NUSA TENGGARA BARAT,2.33,2.58,2.24
Lombok Barat,3.42,2.91,1.7
Lombok Tengah,1.56,1.42,1.69
Lombok Timur,1.48,1.84,2.88
Sumbawa,2.56,2.22,1.78
Dompu,1.62,1.65,1.33
Bima,2.18,2.41,1.32
Sumbawa Barat,2.83,2.81,2.68
Lombok Utara,7.39,7.09,5.69
Kota Mataram,1.55,1.86,0.93
Kota Bima,1.58,0.6,1.12
NUSA TENGGARA TIMUR,4.15,4.02,3.96
Sumba Barat,5.11,5.56,6.77
Sumba Timur,8.57,6.2,7.98
Kupang,4.48,4.36,3.71
Timor Tengah Selatan,6.68,5.86,5.08
Timor Tengah Utara,4.05,3.75,3.77
Belu,2.66,2.68,3.13
Alor,4.13,2.92,3.31
Lembata,5.03,4.77,5.64
Flores Timur,1.16,1.61,1.32
Sikka,2.11,1.89,1.26
Ende,4.22,4.54,6.39
Ngada,2.37,2.4,2.89
Manggarai,3.48,4.53,4.83
Rote Ndao,5.08,5.36,5.82
Manggarai Barat,3.39,3.09,3.55
Sumba Tengah,7.57,6.57,8.65
Sumba Barat Daya,4.35,4.5,4.6
Nagekeo,1.93,1.7,1.73
Manggarai Timur,4.74,4.5,4.96
Sabu Raijua,6.2,5.88,8.12
Malaka,2.81,2.48,2.04
Kota Kupang,1.6,1.6,0.9
KALIMANTAN BARAT,1.14,1.01,1.03
Sambas,1.28,0.83,0.76
Bengkayang,1.22,1.06,0.8
Landak,1.71,1.54,1.29
Pontianak,0.8,0.41,0.52
Sanggau,0.48,0.82,0.62
Ketapang,1.51,1.61,1.42
Sintang,1.32,1.03,1.47
Kapuas Hulu,0.94,1.52,0.94
Sekadau,0.5,0.58,0.78
Melawi,2.24,1.63,2.21
Kayong Utara,1.69,1.13,1.78
Kubu Raya,0.75,0.62,0.47
Kota Pontianak,0.7,0.5,0.68
Kota Singkawang,0.53,0.48,0.73
KALIMANTAN TENGAH,0.7,0.8,0.71
Kotawaringin Barat,0.55,0.4,0.48
Kotawaringin Timur,0.92,0.87,0.89
Kapuas,0.56,0.78,0.55
Barito Selatan,0.39,0.89,0.35
Barito Utara,0.76,0.67,0.59
Sukamara,0.51,0.3,0.79
Lamandau,0.22,0.36,0.56
Seruyan,1.26,0.87,1.12
Katingan,0.94,0.51,0.47
Pulang Pisau,0.54,0.73,0.58
Gunung Mas,0.99,0.75,0.53
Barito Timur,0.72,0.55,0.82
Murung Raya,0.69,0.87,1.09
Kota Palangka Raya,0.43,0.44,0.4
KALIMANTAN SELATAN,0.7,0.7,0.67
Tanah Laut,0.58,0.58,0.68
Kota Baru,0.72,0.6,0.37
Banjar,0.26,0.26,0.36
Barito Kuala,0.44,0.81,0.57
Tapin,0.46,0.45,0.28
Hulu Sungai Selatan,0.72,0.51,0.45
Hulu Sungai Tengah,0.85,0.43,0.53
Hulu Sungai Utara,0.66,0.85,0.76
Tabalong,1.04,0.72,1.08
Tanah Bumbu,0.79,0.69,0.65
Balangan,0.87,0.88,0.79
Kota Banjarmasin,0.81,0.54,0.56
Kota Banjar Baru,0.86,0.48,0.46
KALIMANTAN TIMUR,0.91,1.02,1.22
Paser,1.57,1.04,1.37
Kutai Barat,1.48,1.23,1.07
Kutai Kartanegara,0.95,0.91,1.22
Kutai Timur,1.9,2.02,1.64
Berau,0.66,0.7,0.95
Penajam Paser Utara,1,0.87,1.18
Mahakam Hulu,1.94,1.46,1.77
Kota Balikpapan,0.26,0.38,0.5
Kota Samarinda,0.57,0.72,1.07
Kota Bontang,0.42,0.54,0.47
KALIMANTAN UTARA,1.16,0.84,0.87
Malinau,0.85,1.16,0.85
Bulungan,1.64,1.32,1.56
Tana Tidung,0.32,0.33,0.89
Nunukan,1.32,0.87,0.68
Kota Tarakan,0.7,0.77,1.01
SULAWESI UTARA,1.18,1.14,1.24
Bolaang Mongondow,1.26,0.87,1.14
Minahasa,1.02,0.82,1.31
Kepulauan Sangihe,1.52,1.29,1.74
Kepulauan Talaud,1,1.26,1.34
Minahasa Selatan,1.31,1.02,1.19
Minahasa Utara,0.87,0.98,0.85
Bolaang Mongondow Utara,1.32,0.83,1.18
Siau Tagulandang Biaro,1.52,0.83,0.97
Minahasa Tenggara,1.7,2.27,2.39
Bolaang Mongondow Selatan,1.13,1.65,1.47
Bolaang Mongondow Timur,0.7,0.94,0.66
Kota Manado,0.89,1.25,1.23
Kota Bitung,0.89,0.86,0.95
Kota Tomohon,0.78,0.96,0.94
Kota Kotamobagu,0.68,0.84,1.32
SULAWESI TENGAH,2.33,2.58,2.43
Banggai Kepulauan,1.98,1.99,1.89
Banggai,1.15,1.05,1.09
Morowali,2.12,2.48,2.11
Poso,2.87,2.53,2.57
Donggala,2.86,3.01,2.76
Toli-Toli,1.89,2.33,1.66
Buol,2.89,1.97,2.01
Parigi Moutong,3.06,3.49,3.26
Tojo Una-Una,1.76,3.27,3.25
Sigi,2.17,1.96,1.7
Banggai Laut,2.49,1.59,2.93
Morowali Utara,2.9,2.95,2.35
Kota Palu,0.99,0.97,0.86
SULAWESI SELATAN,1.45,1.53,1.49
Kepulauan Selayar,2.87,2.25,2.09
Bulukumba,0.6,0.71,1
Bantaeng,1.35,0.97,1.23
Jeneponto,2.02,2.6,1.64
Takalar,1.08,1.09,1.03
Gowa,0.92,1.18,1.38
Sinjai,1.08,1.34,1.45
Maros,2.5,1.45,1.61
Pangkajene Dan Kepulauan,1.81,2.52,2.78
Barru,1.07,1.31,1.52
Bone,1.35,1.59,1.67
Soppeng,0.69,0.83,1.24
Wajo,1.06,0.98,0.79
Sidenreng Rappang,0.6,0.82,0.64
Pinrang,1.54,1.27,1.77
Enrekang,1.7,1.61,1.35
Luwu,2.71,2.12,1.77
Tana Toraja,3.1,2.32,1.66
Luwu Utara,2.55,2.29,2.07
Luwu Timur,1.11,1.05,1.09
Toraja Utara,1.99,1.75,1.83
Kota Makassar,0.6,0.58,0.76
Kota Parepare,0.71,0.94,0.72
Kota Palopo,1.15,0.95,1.17
SULAWESI TENGGARA,2.23,2.04,2.16
Buton,1.87,1.94,1.84
Muna,1.71,1.86,1.9
Konawe,2.23,1.71,2.67
Kolaka,1.79,1.99,3.02
Konawe Selatan,1.65,1.77,1.98
Bombana,1.01,1.35,1.94
Wakatobi,2.19,2.73,2.37
Kolaka Utara,3.2,2.28,2.52
Buton Utara,1.63,2.34,2.46
Konawe Utara,2.66,2.92,2.4
Kolaka Timur,2.25,2.18,2.18
Konawe Kepulauan,3.73,2.56,4.05
Muna Barat,2.2,1.98,2.03
Buton Tengah,1.64,1.91,2.14
Buton Selatan,2.38,1.82,1.87
Kota Kendari,0.8,0.67,0.84
Kota Baubau,1.05,1.05,1.05
GORONTALO,2.64,2.67,2.87
Boalemo,2.92,2.79,2.77
Gorontalo,3.27,3.95,4.43
Pohuwato,3.27,2.64,2.64
Bone Bolango,4.15,2.99,3.23
Gorontalo Utara,2.24,2.09,2.32
Kota Gorontalo,0.68,0.61,0.79
SULAWESI BARAT,1.75,1.89,1.76
Majene,1.99,2.21,2.03
Polewali Mandar,3,2.74,2.52
Mamasa,2.19,1.71,2.25
Mamuju,0.84,1.06,1.08
Mamuju Utara,0.46,0.36,0.55
Mamuju Tengah,1.37,0.88,1.15
MALUKU,3.32,3.47,3.58
Maluku Tenggara Barat,3.92,5.9,5.1
Maluku Tenggara,3.78,4.26,3.23
Maluku Tengah,3.67,4.05,4.03
Buru,3.39,2.91,3.52
Kepulauan Aru,4.14,4.47,4.73
Seram Bagian Barat,4.86,4.46,4.34
Seram Bagian Timur,4.35,4.44,3.79
Maluku Barat Daya,5.41,5.46,5.7
Buru Selatan,2.07,2.14,2.36
Kota Ambon,0.77,0.41,0.64
Kota Tual,3.39,3.67,4.03
MALUKU UTARA,0.89,0.94,0.97
Halmahera Barat,0.87,0.86,1.19
Halmahera Tengah,1.42,1.73,1.99
Kepulauan Sula,0.93,0.88,1.22
Halmahera Selatan,0.43,0.45,0.61
Halmahera Utara,0.38,0.38,0.48
Halmahera Timur,1.93,1.9,2.62
Pulau Morotai,1.5,1.05,0.72
Pulau Taliabu,0.82,0.89,0.57
Kota Ternate,0.62,0.38,0.53
Kota Tidore Kepulauan,0.4,0.6,0.82
PAPUA BARAT,5.6,5.79,5.49
Fakfak,4.87,5.87,6.11
Kaimana,4.02,2.36,2.83
Teluk Wondama,8.76,10.04,6.48
Teluk Bintuni,10.68,8.31,9.15
Manokwari,6.41,5.87,4.96
Sorong Selatan,3.63,3.12,4.89
Sorong,8.24,5.97,7.76
Raja Ampat,2.61,3.06,2.82
Tambrauw,5.28,8.99,6.79
Maybrat,9.67,8.01,9.09
Manokwari Selatan,7.77,8.61,8.92
Pegunungan Arfak,7.7,5.53,5.28
Kota Sorong,3.13,2.81,3.64
PAPUA BARAT DAYA,-,-,-
Raja Ampat,-,-,-
Sorong,-,-,-
Sorong Selatan,-,-,-
Maybrat,-,-,-
Tambrauw,-,-,-
Kota Sorong,-,-,-
PAPUA,7.17,6.16,5.6
Merauke,2.4,1.53,1.46
Jayawijaya,15.11,12.54,12.89
Jayapura,2.67,2.04,2.42
Nabire,9.93,9.26,8.41
Kepulauan Yapen,6.4,6.63,4.85
Biak Numfor,5.15,6.33,6.01
Paniai,6.52,6.23,4.6
Puncak Jaya,9.49,13.41,12.4
Mimika,5.51,3.59,2.53
Boven Digoel,4.52,3.54,3.67
Mappi,4.66,4.99,4.46
Asmat,4.9,3.54,4.08
Yahukimo,9.3,7.41,7.38
Pegunungan Bintang,9.02,4.91,3.69
Tolikara,5.95,6.7,3.34
Sarmi,3.01,1.56,2.33
Keerom,2.99,2.79,3.16
Waropen,6.25,9.9,4.72
Supiori,7.35,10.52,8.45
Mamberamo Raya,6.87,4.12,3.53
Nduga *,7.07,7.57,11.89
Lanny Jaya,16.35,13.87,14.87
Mamberamo Tengah,14.5,9.11,6.51
Yalimo,12.23,11.47,13.86
Puncak,9.7,8.61,9.92
Dogiyai,6.3,5.55,3.68
Intan Jaya,8.73,8,5.92
Deiyai,7.79,11.44,3.79
Kota Jayapura,2.27,1.98,2.53
PAPUA SELATAN,-,-,-
Merauke,-,-,-
Boven Digoel,-,-,-
Mappi,-,-,-
Asmat,-,-,-
PAPUA TENGAH,-,-,-
Mimika,-,-,-
Dogiyai,-,-,-
Deiyai,-,-,-
Nabire,-,-,-
Paniai,-,-,-
Intan Jaya,-,-,-
Puncak,-,-,-
Puncak Jaya,-,-,-
PAPUA PEGUNUNGAN,-,-,-
Nduga,-,-,-
Jayawijaya,-,-,-
Lanny Jaya,-,-,-
Tolikara,-,-,-
Mamberamo Tengah,-,-,-
Yalimo,-,-,-
Yahukimo,-,-,-
Pegunungan Bintang,-,-,-
