Provinsi/Kabupaten/Kota,,,
,[Metode Baru] Pengeluaran per Kapita Disesuaikan (Ribu Rupiah/Orang/Tahun),,
Bangka Tengah,13422,13643,13677
Bangka Selatan,12341,12627,12718
Belitung Timur,12357,12536,12610
Kota Pangkal Pinang,16307,16734,16750
KEPULAUAN RIAU,14469,14998,15573
Karimun,12304,12756,13287
Bintan,14739,14882,15078
Natuna,14834,15409,15560
Lingga,12134,12485,12906
Kepulauan Anambas,12137,12495,12983
Kota Batam,18506,18990,19668
Kota Tanjung Pinang,15864,16213,16663
DKI JAKARTA,18927,19373,19953
Kep. Seribu,12999,13523,14110
Kota Jakarta Selatan,24221,24975,25573
Kota Jakarta Timur,18199,18712,19193
Kota Jakarta Pusat,17765,18202,18661
Kota Jakarta Barat,21357,21709,22119
Kota Jakarta Utara,19201,19617,20032
JAWA BARAT,11277,11695,12157
Bogor,10860,11153,11563
Sukabumi,9210,9482,9815
Cianjur,8244,8626,9026
Bandung,10588,11018,11392
Garut,8227,8685,9168
Tasikmalaya,8177,8562,8965
Ciamis,9428,9750,10085
Kuningan,9620,10011,10418
Cirebon,10791,11128,11529
Majalengka,9950,10340,10842
Sumedang,10776,11136,11589
Indramayu,10166,10580,11010
Subang,11294,11537,11894
Purwakarta,12193,12619,13099
Karawang,11927,12392,12942
Bekasi,11757,12123,12500
Bandung Barat,9044,9392,9583
Pangandaran,9389,9406,9654
Kota Bogor,12058,12656,13154
Kota Sukabumi,11229,11799,12252
Kota Bandung,17639,18236,18795
Kota Cirebon,12087,12506,12869
Kota Bekasi,16239,16479,16775
Kota Depok,15926,16279,16640
Kota Cimahi,12500,12883,13278
Kota Tasikmalaya,10578,11063,11431
Kota Banjar,10967,11356,11811
JAWA TENGAH,11377,11835,12276
Cilacap,10904,11432,11868
Banyumas,11905,12492,12960
Purbalingga,10277,10964,11343
Banjarnegara,9776,10226,10595
Kebumen,9282,9734,10176
Purworejo,10671,11110,11584
Wonosobo,11108,11577,11980
Magelang,10011,10493,10926
Boyolali,13250,13716,14195
Klaten,12522,12968,13513
Sukoharjo,11841,12319,12758
Wonogiri,9780,10283,10634
Karanganyar,11798,12260,12732
Sragen,13052,13439,13890
Grobogan,10610,11083,11548
Blora,10067,10541,10926
Rembang,10937,11399,11830
Pati,10948,11385,11829
Kudus,11609,12088,12533
Jepara,10913,11306,11729
Demak,10698,11166,11591
Semarang,12448,12943,13377
Temanggung,9773,10108,10519
Kendal,11999,12755,13277
Batang,9972,10470,10919
Pekalongan,10707,11297,11701
Pemalang,8994,9587,10017
Tegal,10020,10537,10972
Brebes,10514,10993,11389
Kota Magelang,12816,13175,13619
Kota Surakarta,15463,15870,16291
Kota Salatiga,16351,16650,17096
Kota Semarang,16047,16420,16990
Kota Pekalongan,13158,14056,14547
Kota Tegal,13455,14013,14358
D I YOGYAKARTA,14482,14924,15361
Kulon Progo,10511,10723,10990
Bantul,16002,16524,16851
Gunung Kidul,9874,10065,10630
Sleman,16438,16976,17586
Kota Yogyakarta,19319,19920,20603
JAWA TIMUR,11992,12421,12852
Pacitan,9184,9681,10099
Ponorogo,10199,10658,11065
Trenggalek,10042,10465,10872
Tulungagung,11162,11565,11966
Blitar,11001,11499,12020
Kediri,11565,11952,12388
Malang,10326,10791,11190
Lumajang,9466,9720,10124
Jember,9840,10277,10700
Banyuwangi,12320,12820,13320
Bondowoso,10851,11255,11689
Situbondo,10263,10702,11216
Probolinggo,11254,11756,12258
Pasuruan,10726,11239,11617
Sidoarjo,14808,15311,15710
Mojokerto,13051,13467,13903
Jombang,11579,11999,12454
Nganjuk,12349,12821,13376
Madiun,11848,12259,12668
Magetan,12031,12495,12915
Ngawi,11563,11897,12414
Bojonegoro,10323,10776,11204
Tuban,10703,11174,11579
Lamongan,11648,12019,12419
Gresik,13384,13870,14356
Bangkalan,8971,9438,9841
Sampang,8944,9363,9782
Pamekasan,8967,9420,9811
Sumenep,9388,9807,10156
Kota Kediri,12762,13276,13670
Kota Blitar,14058,14548,14933
Kota Malang,16897,17222,17791
Kota Probolinggo,12571,12999,13405
Kota Pasuruan,13803,14250,14664
Kota Mojokerto,14054,14422,14842
Kota Madiun,16503,17115,17518
Kota Surabaya,18345,18977,19666
Kota Batu,13094,13603,14253
BANTEN,12216,12601,13097
Pandeglang,8827,9151,9574
Lebak,8854,9130,9631
Tangerang,12427,12749,13254
Serang,10916,11320,11767
Kota Tangerang,14909,15377,15641
Kota Cilegon,13185,13663,14294
Kota Serang,13709,14088,14603
Kota Tangerang Selatan,15997,16225,17028
BALI,13942,14382,14920
Jembrana,11915,12236,12638
Tabanan,14475,14832,15297
Badung,17445,17915,18556
Gianyar,14630,15047,15577
Klungkung,11500,11760,12358
Bangli,11424,11670,12148
Karangasem,10278,10753,11176
Buleleng,13529,13987,14377
Kota Denpasar,19850,20128,20763
NUSA TENGGARA BARAT,10681,11095,11606
Lombok Barat,11754,11960,12431
Lombok Tengah,10470,10948,11531
Lombok Timur,9631,10152,10571
Sumbawa,9598,9981,10349
Dompu,9203,9404,9971
Bima,8699,8963,9418
Sumbawa Barat,11987,12214,12841
Lombok Utara,9433,9785,10272
Kota Mataram,15416,15894,16514
Kota Bima,11395,11740,12362
NUSA TENGGARA TIMUR,7877,8248,8534
Sumba Barat,7627,7993,8243
Sumba Timur,9641,10008,10280
Kupang,7776,8220,8508
Timor Tengah Selatan,7118,7450,7755
Timor Tengah Utara,6559,6889,7242
Belu,7593,7907,8159
Alor,7198,7565,7806
Lembata,7622,7962,8238
Flores Timur,7918,8223,8505
Sikka,8362,8678,9019
Ende,9413,9739,10009
Ngada,8997,9350,9585
Manggarai,7580,7903,8204
Rote Ndao,6719,7061,7365
Manggarai Barat,7636,7913,8195
Sumba Tengah,6288,6484,6743
Sumba Barat Daya,6779,7080,7358
Nagekeo,8433,8706,8986
Manggarai Timur,6145,6276,6561
Sabu Raijua,5558,5899,6207
Malaka,6250,6569,6879
Kota Kupang,13513,13762,14001
KALIMANTAN BARAT,9355,9810,10321
Sambas,10462,11057,11538
Bengkayang,9484,9859,10208
Landak,7969,8423,8868
Mempawah,8049,8690,9163
Sanggau,8782,9213,9728
Ketapang,9426,9984,10472
Sintang,8858,9128,9657
Kapuas Hulu,7668,8055,8470
Sekadau,7566,7981,8511
Melawi,8830,9155,9596
Kayong Utara,8234,8594,9016
Kubu Raya,9142,9605,10132
Kota Pontianak,15141,15632,16212
Kota Singkawang,12089,12457,12945
KALIMANTAN TENGAH,11458,11878,12303
Kotawaringin Barat,13352,13798,14095
Kotawaringin Timur,12048,12546,13042
Kapuas,11377,11829,12265
Barito Selatan,11780,12067,12508
Barito Utara,10182,10720,11150
Sukamara,9225,9494,9809
Lamandau,11559,12050,12278
Seruyan,9821,10157,10474
Katingan,11036,11399,11691
Pulang Pisau,10273,10752,11207
Gunung Mas,10990,11462,11902
Barito Timur,11710,12083,12576
Murung Raya,10697,11053,11503
Kota Palangka Raya,14345,14727,15188
KALIMANTAN SELATAN,12469,12953,13399
Tanah Laut,11703,12198,12595
Kotabaru,12191,12480,12929
Banjar,12871,13301,13683
Barito Kuala,10230,10750,11168
Tapin,12247,12776,13163
Hulu Sungai Selatan,13157,13743,14150
Hulu Sungai Tengah,12448,12782,13176
Hulu Sungai Utara,10132,10491,10981
Tabalong,11914,12507,13097
Tanah Bumbu,12217,12516,13026
Balangan,11659,11888,12325
Kota Banjarmasin,14770,15280,15714
Kota Banjar Baru,14136,14524,14927
KALIMANTAN TIMUR,12641,13202,13793
Paser,11181,11651,12181
Kutai Barat,10740,11291,11903
Kutai Kartanegara,11677,12323,12957
Kutai Timur,11322,11961,12490
Berau,13095,13620,14101
Penajam Paser Utara,11890,12517,13100
Mahakam Ulu,8215,8696,9126
Kota Balikpapan,15455,16195,16854
Kota Samarinda,15162,15610,16160
Kota Bontang,17327,17659,18394
KALIMANTAN UTARA,9350,9734,10197
Malinau,10304,10708,11190
Bulungan,9641,10205,10581
Tana Tidung,8012,8386,8707
Nunukan,7446,7787,8265
Kota Tarakan,11596,11992,12451
SULAWESI UTARA,11179,11497,11998
Bolaang Mongondow,10614,10915,11507
Minahasa,12690,13027,13681
Kepulauan Sangihe,11631,11946,12409
Kepulauan Talaud,8869,9146,9512
Minahasa Selatan,11717,12090,12529
Minahasa Utara,11593,11958,12412
Bolaang Mongondow Utara,9285,9652,10170
Siau Tagulandang Biaro,8401,8742,9062
Minahasa Tenggara,10753,11034,11511
Bolaang Mongondow Selatan,9238,9593,10114
Bolaang Mongondow Timur,9390,9741,10191
Kota Manado,14399,14822,15301
Kota Bitung,12665,12954,13539
Kota Tomohon,12268,12488,13045
Kota Kotamobagu,11151,11452,12074
SULAWESI TENGAH,9696,10149,10536
Banggai Kepulauan,7712,8066,8375
Banggai,9963,10400,10772
Morowali,11291,11708,12281
Poso,9218,9622,9948
Donggala,8303,8766,9117
Toli-Toli,8191,8665,8918
Buol,8176,8678,9051
Parigi Moutong,10063,10471,10846
Tojo Una-Una,8096,8550,8863
Sigi,8498,8891,9254
Banggai Laut,8037,8470,8776
Morowali Utara,9242,9623,10032
Kota Palu,15162,15501,15941
SULAWESI SELATAN,11430,11841,12275
Kepulauan Selayar,9446,9830,10235
Bulukumba,10941,11392,11807
Bantaeng,12133,12304,12719
Jeneponto,9425,9781,10158
Takalar,10746,11239,11679
Gowa,9812,10233,10700
Sinjai,9726,10180,10665
Maros,11403,11795,12209
Pangkajene dan Kepulauan,11817,12241,12643
Barru,11275,11712,12058
Bone,9277,9682,10084
Soppeng,9756,10098,10547
Wajo,12729,13192,13608
Sidenreng Rappang,12379,12739,13209
Pinrang,12102,12559,13010
Enrekang,11183,11636,12138
Luwu,10308,10691,11121
Tana Toraja,7584,8017,8319
Luwu Utara,12105,12513,12866
Luwu Timur,13058,13451,13867
Toraja Utara,8494,8871,9292
Kota Makasar,17406,17889,18386
Kota Parepare,14027,14495,14928
Kota Palopo,13404,13892,14369
SULAWESI TENGGARA,9708,10117,10606
Buton,7594,7995,8401
Muna,8328,8703,9107
Konawe,10552,10963,11415
Kolaka,12639,13055,13534
Konawe Selatan,9347,9753,10250
Bombana,8680,9132,9692
Wakatobi,9758,10240,10739
Kolaka Utara,10721,11020,11650
Buton Utara,7935,8289,8746
Konawe Utara,9666,10113,10658
Kolaka Timur,8155,8520,9012
Konawe Kepulauan,7192,7564,7996
Muna Barat,7668,8076,8458
Buton Tengah,7670,8003,8434
Buton Selatan,7476,7936,8386
Kota Kendari,14765,15116,15651
Kota Baubau,10835,11207,11755
GORONTALO,10687,11069,11539
Boalemo,9543,9941,10401
Gorontalo,9850,10336,10645
Pohuwato,10913,11018,11618
Bone Bolango,10676,11114,11717
Gorontalo Utara,9636,10037,10476
Kota Gorontalo,13077,13351,13860
SULAWESI BARAT,9358,9718,10208
Majene,10152,10462,10909
Polewali Mandar,8726,9096,9536
Mamasa,7837,8108,8415
Mamuju,9668,10075,10440
Mamuju Utara / Pasangkayu,11330,11649,12190
Mamuju Tengah,8633,8821,9250
MALUKU,8876,9278,9684
Maluku Tenggara Barat / Kepulauan Tanimbar,6473,6722,7091
Maluku Tenggara,7795,8174,8553
Maluku Tengah,10406,10788,11183
Buru,10414,10879,11261
Kepulauan Aru,7733,8133,8488
Seram Bagian Barat,8890,9324,9706
Seram Bagian Timur,9591,10020,10049
Maluku Barat Daya,7010,7223,7600
Buru Selatan,7716,8108,8474
Kota Ambon,14405,14692,15196
Kota Tual,7519,7825,8238
MALUKU UTARA,8398,8834,9320
Halmahera Barat,7636,8046,8426
Halmahera Tengah,8212,8675,9140
Kepulauan Sula,7417,7718,8020
Halmahera Selatan,7479,7883,8210
Halmahera Utara,7774,8152,8607
Halmahera Timur,8230,8650,8999
Pulau Morotai,6767,7141,7523
Pulau Taliabu,6623,6939,7226
Kota Ternate,13586,14042,14731
Kota Tidore Kepulauan,8586,9034,9269
PAPUA BARAT,8101,8404,8805
Fakfak,7678,7851,8159
Kaimana,8453,8749,9242
Teluk Wondama,8177,8490,8887
Teluk Bintuni,9979,10324,10592
Manokwari,12179,12566,13008
Sorong Selatan,6342,6727,-
Sorong,7607,7984,-
Raja Ampat,8187,8483,-
Tambrauw,5084,5302,-
Maybrat,5425,5669,-
Manokwari Selatan,5691,5948,6139
Pegunungan Arfak,5204,5438,5722
Kota Sorong,13874,14133,-
PAPUA BARAT DAYA,-,-,8733
Raja Ampat,-,-,8761
Sorong,-,-,8283
Sorong Selatan,-,-,6928
Maybrat,-,-,5824
Tambrauw,-,-,5489
Kota Sorong,-,-,14368
PAPUA,7146,7562,11037
Merauke,10424,10747,-
Jayawijaya,7765,8159,-
Jayapura,10230,10671,10848
Nabire,9040,9381,-
Kepulauan Yapen,7685,8091,8409
Biak Numfor,9788,10229,10600
Paniai,6554,6977,-
Puncak Jaya,5422,5731,-
Mimika,11647,12076,-
Boven Digoel,8086,8396,-
Mappi,6550,6821,-
Asmat,5860,6057,-
Yahukimo,5101,5351,-
Pegunungan Bintang,5618,5849,-
Tolikara,5079,5397,-
Sarmi,6864,7204,7499
Keerom,9153,9545,9967
Waropen,6919,7335,7569
Supiori,5904,6259,6474
Mamberamo Raya,4806,5105,5298
Nduga,4190,4352,-
Lanny Jaya,4559,4751,-
Mamberamo Tengah,4630,4855,-
Yalimo,4802,5015,-
Puncak,5583,5975,-
Dogiyai,5705,6182,-
Intan Jaya,5624,6140,-
Deiyai,4808,5104,-
Kota Jayapura,15189,15272,15408
PAPUA SELATAN,-,-,9756
Merauke,-,-,11077
Boven Digoel,-,-,8616
Mappi,-,-,7068
Asmat,-,-,6262
PAPUA TENGAH,-,-,7809
Mimika,-,-,12487
Dogiyai,-,-,6755
Deiyai,-,-,5509
Nabire,-,-,9856
Paniai,-,-,7470
Intan Jaya,-,-,6463
Puncak,-,-,6363
Puncak Jaya,-,-,6091
PAPUA PEGUNUNGAN,-,-,5707
Nduga,-,-,4597
Jayawijaya,-,-,8534
Lanny Jaya,-,-,5026
Tolikara,-,-,5653
Mamberamo Tengah,-,-,4943
Yalimo,-,-,5226
Yahukimo,-,-,5747
Pegunungan Bintang,-,-,6196
INDONESIA,11479,11899,12341
