Nama Wilayah,,,
,Garis Kemiskinan Menurut Kabupaten/Kota (Rupiah/kapita/bulan),,
,2007,2008,2009
ACEH,218143,248627,272155
Simeulue,216518,253123,255471
Aceh Singkil,208087,213997,257778
Aceh Selatan,196167,203761,236741
Aceh Tenggara,155423,165925,170569
Aceh Timur,221862,256739,264671
Aceh Tengah,246435,283307,305619
Aceh Barat,297287,335955,341606
Aceh Besar,266749,285876,308440
Pidie,249440,277688,312476
Bireuen,200060,214801,242576
Aceh Utara,186286,218970,229559
Aceh Barat Daya,198562,231460,231758
Gayo Lues,203848,231260,232481
Aceh Tamiang,206110,240753,274295
Nagan Raya,257193,288593,294493
Aceh Jaya,212762,215382,254156
Bener Meriah,252495,272217,274560
Pidie Jaya,228601,274078,309857
Kota Banda Aceh,346750,362992,414172
Kota Sabang,300351,310697,368637
Kota Langsa,175149,199628,248283
Kota Lhokseumawe,177523,194884,246539
Kota Subulussalam,166693,168953,201149
SUMATERA UTARA,178132,203514,230624
Nias,163308,203882,214244
Mandailing Natal,166287,180164,210060
Tapanuli Selatan,175724,188158,221497
Tapanuli Tengah,179440,210534,216405
Tapanuli Utara,168539,183605,211814
Toba Samosir,191574,209255,213848
Labuhan Batu,184401,193743,223935
Asahan,161480,174787,202180
Simalungun,169699,201811,210265
Dairi,154046,165193,196523
Karo,223830,236371,257833
Deli Serdang,156821,182786,216408
Langkat,186595,216320,221625
Nias Selatan,128852,164154,170227
Humbang Hasundutan,162593,184341,187938
Pakpak Bharat,121844,142420,159142
Samosir,153888,156352,181619
Serdang Bedagai,172585,194387,223753
Batu Bara,164931,189552,232538
Padang Lawas Utara,-,-,191446
Padang Lawas,-,-,191357
Labuhan Batu Selatan,-,-,-
Labuhan Batu Utara,-,-,-
Nias Utara,-,-,-
Nias Barat,-,-,-
Kota Sibolga,179033,224259,258135
Kota Tanjung Balai,178698,233772,234091
Kota Pematang Siantar,199185,241238,285863
Kota Tebing Tinggi,189744,237294,254387
Kota Medan,201330,240319,297478
Kota Binjai,173323,223697,229639
Kota Padangsidimpuan,191064,228382,229921
Kota Gunungsitoli,-,-,-
SUMATERA BARAT,180669,205240,230683
Kepulauan Mentawai,104192,129094,165814
Pesisir Selatan,152190,184077,223328
Solok,161746,192928,233097
Sijunjung,176492,216938,216968
Tanah Datar,162283,179321,216986
Padang Pariaman,182772,222744,231533
Agam,155561,193185,201074
Lima Puluh Kota,163783,190249,222435
Pasaman,164333,199846,202452
Solok Selatan,165708,194363,195997
Dharmasraya,175577,184683,229181
Pasaman Barat,178498,205682,229667
Kota Padang,197554,237999,272329
Kota Solok,170082,202368,247635
Kota Sawah Lunto,138108,175434,184976
Kota Padang Panjang,177861,214562,244490
Kota Bukittinggi,213155,245094,257496
Kota Payakumbuh,182906,220889,257805
Kota Pariaman,191549,238384,239204
RIAU,214034,240811,270504
Kuantan Singingi,218852,242455,299369
Indragiri Hulu,201855,231894,269484
Indragiri Hilir,188063,217031,219841
Pelalawan,263948,286761,331024
Siak,206507,245192,247965
Kampar,219449,241279,257508
Rokan Hulu,254183,288961,289554
Bengkalis,186670,255670,295967
Rokan Hilir,165850,185264,227571
Kepulauan Meranti,-,-,-
Kota Pekanbaru,198631,241428,300852
Kota Dumai,223133,256806,261859
JAMBI,172349,197089,217161
Kerinci,160018,178622,203288
Merangin,181158,190659,208179
Sarolangun,220848,253474,259262
Batang Hari,177632,196903,224597
Muaro Jambi,158962,165606,182534
Tanjung Jabung Timur,158909,191981,213056
Tanjung Jabung Barat,160161,202450,202609
Tebo,182438,190657,215442
Bungo,157134,162179,195773
Kota Jambi,161089,231149,254649
Kota Sungai Penuh,-,-,-
SUMATERA SELATAN,178209,210893,235560
Ogan Komering Ulu,168892,189810,236085
Ogan Komering Ilir,162533,173700,199024
Muara Enim,182844,210095,210454
Lahat,182003,208836,242534
Musi Rawas,206649,220070,250018
Musi Banyuasin,213120,238773,257055
Banyu Asin,171338,212328,219424
Ogan Komering Ulu Selatan,151093,162100,185711
Ogan Komering Ulu Timur,162262,177015,178230
Ogan Ilir,197403,205432,235867
Empat Lawang,175268,185394,187578
Penukal Abab Lematang Ilir,-,-,-
Musi Rawas Utara,-,-,-
Kota Palembang,188046,244223,294174
Kota Prabumulih,176460,240418,296865
Kota Pagar Alam,137667,163329,199053
Kota Lubuklinggau,183984,265922,268986
BENGKULU,170802,202428,231990
Bengkulu Selatan,152335,178157,210781
Rejang Lebong,172551,238072,239407
Bengkulu Utara,171744,177042,207952
Kaur,148526,159641,189746
Seluma,184488,210229,216250
Mukomuko,174677,183293,215021
Lebong,155040,173299,197915
Kepahiang,163052,176807,203162
Bengkulu Tengah,-,-,-
Kota Bengkulu,193546,257536,325600
LAMPUNG,157052,186290,212755
Lampung Barat,156280,171768,211568
Tanggamus,154645,169690,198076
Lampung Selatan,154976,186242,202179
Lampung Timur,180012,201239,202700
Lampung Tengah,163694,172667,212964
Lampung Utara,164829,197195,215244
Way Kanan,144223,159311,185827
Tulangbawang,156265,165055,198679
Pesawaran,-,-,201750
Pringsewu,-,-,-
Mesuji,-,-,-
Tulang Bawang Barat,-,-,-
Pesisir Barat,-,-,-
Kota Bandar Lampung,202474,239808,283496
Kota Metro,149345,168835,197240
KEP. BANGKA BELITUNG,235379,254112,280862
Bangka,221655,243483,254400
Belitung,269924,293222,334165
Bangka Barat,206514,225307,246853
Bangka Tengah,258815,281739,311419
Bangka Selatan,208921,213756,249001
Belitung Timur,250523,289369,305974
Kota Pangkal Pinang,234580,262302,303694
KEPULAUAN RIAU,248241,276400,332602
Karimun,174936,236708,237250
Bintan,208350,251976,260143
Natuna,127742,172104,205825
Lingga,237538,282552,289115
Kepulauan Anambas,-,-,-
Kota Batam,255845,316740,374186
Kota Tanjung Pinang,294233,363831,412718
DKI JAKARTA,266874,298237,320333
Kepulauan Seribu,292173,314358,345933
Kota Jakarta Selatan,293628,334173,372659
Kota Jakarta Timur,248622,303390,305674
Kota Jakarta Pusat,230452,262251,322184
Kota Jakarta Barat,232735,275759,300134
Kota Jakarta Utara,240830,292656,296947
JAWA BARAT,165734,190788,220068
Bogor,152483,173281,197319
Sukabumi,145733,157804,174793
Cianjur,152748,162645,192176
Bandung,167065,189998,203702
Garut,134031,154245,167190
Tasikmalaya,138129,137271,172491
Ciamis,165414,163495,193652
Kuningan,163317,160274,183795
Cirebon,170979,199046,211501
Majalengka,210295,210526,241830
Sumedang,184226,186166,216053
Indramayu,194069,212616,242931
Subang,197500,184075,219956
Purwakarta,177322,173986,211820
Karawang,190712,187037,239832
Bekasi,185900,191737,244603
Bandung Barat,147512,167326,202705
Pangandaran,-,-,-
Kota Bogor,200888,223218,256414
Kota Sukabumi,208913,253697,269925
Kota Bandung,181142,209171,262093
Kota Cirebon,166309,202383,230810
Kota Bekasi,233535,265446,299432
Kota Depok,238774,269527,283218
Kota Cimahi,216894,258213,262440
Kota Tasikmalaya,162362,221105,243897
Kota Banjar,120736,162152,179144
JAWA TENGAH,154111,181877,201651
Cilacap,141840,161646,191167
Banyumas,164111,189735,208583
Purbalingga,148735,164046,194529
Banjarnegara,146531,158702,160345
Kebumen,162301,188042,195589
Purworejo,148607,156632,194292
Wonosobo,144809,147687,187932
Magelang,126638,146910,169158
Boyolali,152169,161660,195538
Klaten,203205,240551,241608
Sukoharjo,161638,182624,211928
Wonogiri,144144,155000,182083
