Nama Wilayah,,,
,Garis Kemiskinan Menurut Kabupaten/Kota (Rupiah/kapita/bulan),,
Karanganyar,164134,173222,202500
Sragen,168185,166014,192530
Grobogan,163581,165302,205468
Blora,132933,144710,174951
Rembang,163449,172010,200216
Pati,185490,220352,224390
Kudus,172683,217005,218411
Jepara,170338,201625,206549
Demak,167405,173075,210260
Semarang,156597,164333,189612
Temanggung,129495,146268,164343
Kendal,171598,182113,199020
Batang,133680,151411,155558
Pekalongan,172110,205028,210168
Pemalang,160105,185526,198295
Tegal,159988,180878,187048
Brebes,165893,192162,219119
Kota Magelang,177920,228385,237967
Kota Surakarta,196959,236751,286158
Kota Salatiga,171722,211260,221701
Kota Semarang,171875,221357,226271
Kota Pekalongan,151517,223167,231562
Kota Tegal,197683,244380,248173
D I YOGYAKARTA,184965,202362,220830
Kulon Progo,173738,197507,205585
Bantul,189152,196509,224373
Gunung Kidul,158152,157071,186232
Sleman,198907,212031,226256
Kota Yogyakarta,249318,263996,265168
JAWA TIMUR,153145,179819,202208
Pacitan,144900,150734,162568
Ponorogo,135551,150572,177006
Trenggalek,130617,138454,179204
Tulungagung,174692,174251,196550
Blitar,159736,162667,176518
Kediri,141496,164818,182474
Malang,143218,171080,180749
Lumajang,125749,147758,168586
Jember,132240,158377,183768
Banyuwangi,159467,169520,200161
Bondowoso,149323,160958,208999
Situbondo,143857,173795,175446
Probolinggo,154458,178717,225151
Pasuruan,155491,175195,200282
Sidoarjo,200367,222101,228178
Mojokerto,181803,187127,201780
Jombang,173564,184252,210867
Nganjuk,175927,176322,211670
Madiun,161792,163321,187639
Magetan,140574,152841,185286
Ngawi,144611,147918,174195
Bojonegoro,145238,149846,192476
Tuban,148665,151582,188304
Lamongan,176738,177003,201771
Gresik,218085,225554,235399
Bangkalan,165483,193525,207836
Sampang,154536,147399,191138
Pamekasan,144286,150523,187128
Sumenep,159014,161732,187184
Kota Kediri,192843,234709,244167
Kota Blitar,181173,213578,213589
Kota Malang,201031,249320,252024
Kota Probolinggo,208272,262053,340435
Kota Pasuruan,175427,212149,224124
Kota Mojokerto,180370,222410,224439
Kota Madiun,178335,216127,220079
Kota Surabaya,207508,250015,255875
Kota Batu,207166,229474,231877
BANTEN,169485,191943,222292
Pandeglang,151763,162905,190256
Lebak,129911,160190,174367
Tangerang,203283,208859,241607
Serang,139429,159848,180526
Kota Tangerang,230829,236094,284093
Kota Cilegon,186161,195864,230354
Kota Serang,-,-,185597
Kota Tangerang Selatan,-,-,-
BALI,165954,197325,232234
Jembrana,189393,193490,220457
Tabanan,209553,239670,243951
Badung,221695,234959,282559
Gianyar,172865,185670,215040
Klungkung,163286,175268,186830
Bangli,151360,172536,194886
Karang Asem,131745,157223,186076
Buleleng,154142,170448,215158
Kota Denpasar,220728,221165,279911
NUSA TENGGARA BARAT,150026,182024,213007
Lombok Barat,153893,194190,212630
Lombok Tengah,160661,178740,211004
Lombok Timur,156509,183325,218854
Sumbawa,171244,176586,203436
Dompu,143213,151445,182699
Bima,148018,159066,190501
Sumbawa Barat,212859,217218,269356
Lombok Utara,-,-,-
Kota Mataram,179019,202868,242244
Kota Bima,141188,172255,206165
NUSA TENGGARA TIMUR,126389,161639,167492
Sumba Barat,142042,159963,174315
Sumba Timur,137123,175986,176438
Kupang,135118,155718,156269
Timor Tengah Selatan,108836,145298,148332
Timor Tengah Utara,125983,153615,161964
Belu,109619,149814,153931
Alor,117417,141085,155095
Lembata,138074,167998,176992
Flores Timur,122671,146947,147023
Sikka,110833,147940,154559
Ende,122705,156772,182813
Ngada,120704,146513,163486
Manggarai,121699,157795,168898
Rote Ndao,106273,146831,147436
Manggarai Barat,115702,145329,161737
Sumba Tengah,116754,144672,145321
Sumba Barat Daya,123370,179317,184198
Nagekeo,142728,158294,160331
Manggarai Timur,-,-,161358
Sabu Raijua,-,-,-
Malaka,-,-,-
Kota Kupang,169511,252195,255060
KALIMANTAN BARAT,142529,168942,189184
Sambas,151593,163773,184496
Bengkayang,127347,146825,168633
Landak,136398,163954,170610
Pontianak,138910,154362,162518
Sanggau,128112,141341,150982
Ketapang,162412,178060,203276
Sintang,169606,182626,228791
Kapuas Hulu,149409,163380,199981
Sekadau,121997,137343,156290
Melawi,178205,204947,227859
Kayong Utara,113215,136037,143177
Kubu Raya,-,174092,177219
Kota Pontianak,169342,193984,218802
Kota Singkawang,164997,194818,215275
KALIMANTAN TENGAH,162266,197325,212268
Kotawaringin Barat,166497,186618,212060
Kotawaringin Timur,173717,217684,219104
Kapuas,125410,166944,169307
Barito Selatan,179841,213197,227118
Barito Utara,177714,206022,232267
Sukamara,207268,230697,240051
Lamandau,188940,214994,219016
Seruyan,147397,178657,225683
Katingan,165750,192808,234586
Pulang Pisau,155334,205288,210428
Gunung Mas,182124,190043,216805
Barito Timur,190296,232539,250920
Murung Raya,164753,210392,236786
Kota Palangka Raya,164665,191951,193662
KALIMANTAN SELATAN,161514,190067,212343
Tanah Laut,177557,215687,216687
Kota Baru,159304,183271,202613
Banjar,142893,164654,202784
Barito Kuala,140589,160183,162845
Tapin,158375,181842,193902
Hulu Sungai Selatan,166073,223001,225737
Hulu Sungai Tengah,155030,181999,183902
Hulu Sungai Utara,150275,182758,216012
Tabalong,171912,213778,220762
Tanah Bumbu,171554,210113,219492
Balangan,160617,171662,198968
Kota Banjarmasin,149229,192280,235341
Kota Banjar Baru,164111,218949,267867
KALIMANTAN TIMUR,220368,244084,269275
Paser,162996,182782,223208
Kutai Barat,212225,239906,245687
Kutai Kartanegara,217131,247848,248209
Kutai Timur,232968,257155,273021
Berau,218137,259227,279428
Penajam Paser Utara,180452,225972,234325
Mahakam Hulu,-,-,-
Kota Balikpapan,226599,251490,281245
Kota Samarinda,218940,249006,306730
Kota Bontang,215107,240748,285402
KALIMANTAN UTARA,220368,244084,269275
Malinau,281406,285195,289548
Bulungan,179744,199736,229979
Tana Tidung,-,-,217458
Nunukan,169476,198096,211809
Kota Tarakan,228142,296000,300459
SULAWESI UTARA,156550,180744,208822
Bolaang Mongondow,148009,164398,206029
Minahasa,160732,163527,185723
Kepulauan Sangihe,152482,168309,173929
Kepulauan Talaud,143102,158347,182194
Minahasa Selatan,181500,206890,210706
Minahasa Utara,165803,167806,207593
Bolaang Mongondow Utara,135433,155068,167549
Siau Tagulandang Biaro,158410,173926,200972
Minahasa Tenggara,172393,191315,220945
Bolaang Mongondow Selatan,-,-,-
Bolaang Mongondow Timur,-,-,-
Kota Manado,189167,196092,226206
Kota Bitung,190776,211753,248786
Kota Tomohon,195438,201975,242577
Kota Kotamobagu,158122,167618,202539
SULAWESI TENGAH,154006,179137,209328
Banggai Kepulauan,142621,177909,182783
Banggai,160117,185738,207199
Morowali,166794,178115,226762
Poso,191006,211960,239875
Donggala,139281,161079,173004
Toli-Toli,149045,161407,173876
Buol,140732,156692,186798
Parigi Moutong,153336,166570,211586
Tojo Una-Una,171532,201786,234677
Sigi,-,-,-
Banggai Laut,-,-,-
Morowali Utara,-,-,-
Kota Palu,185191,206207,266407
SULAWESI SELATAN,126623,157761,187108
Kepulauan Selayar,152648,158050,180355
Bulukumba,121137,146960,177859
Bantaeng,90258,119072,142972
Jeneponto,137626,150069,188731
Takalar,144065,163645,179994
Gowa,131123,162063,195452
Sinjai,106827,133706,169415
Maros,151717,173632,212544
Pangkajene Dan Kepulauan,156835,173668,185923
Barru,148023,161450,194138
Bone,127752,149108,167601
Soppeng,123988,149012,170178
Wajo,154522,165120,196543
Sidenreng Rappang,141588,155743,185330
Pinrang,117099,145880,176376
Enrekang,137249,153691,190151
Luwu,152443,159560,184095
Tana Toraja,113876,136634,172445
Luwu Utara,147862,160517,192085
Luwu Timur,148230,158892,184242
Toraja Utara,-,-,-
Kota Makassar,131584,177064,209582
Kota Parepare,118039,154868,188525
Kota Palopo,135096,154518,185464
SULAWESI TENGGARA,130625,168947,200787
Buton,118898,150109,165198
Muna,155351,179090,217599
Konawe,157390,167403,203631
Kolaka,191722,194030,228060
Konawe Selatan,104637,130089,151038
Bombana,163488,171860,196935
Wakatobi,125417,151202,179390
Kolaka Utara,198691,212357,269339
Buton Utara,159777,162080,209000
Konawe Utara,139639,151129,172276
Kolaka Timur,-,-,-
Konawe Kepulauan,-,-,-
Muna Barat,-,-,-
Buton Tengah,-,-,-
Buton Selatan,-,-,-
Kota Kendari,178760,178943,211670
Kota Baubau,167668,173833,217430
GORONTALO,138181,162325,203418
Boalemo,133508,154672,200692
Gorontalo,151432,166222,212815
Pohuwato,147750,158393,183215
Bone Bolango,141685,150238,190732
Gorontalo Utara,142683,155679,178512
Kota Gorontalo,175545,176302,224387
SULAWESI BARAT,135242,159585,184301
Majene,135568,158716,204699
Polewali Mandar,140796,179438,213942
Mamasa,121214,149221,158068
Mamuju,119031,137055,147699
Mamuju Utara,166638,170212,197015
Mamuju Tengah,-,-,-
MALUKU,179552,200665,233062
Maluku Tenggara Barat,150560,165371,193729
Maluku Tenggara,174889,199218,204461
Maluku Tengah,190324,226279,252393
Buru,176085,211436,243741
Kepulauan Aru,157799,203915,204195
Seram Bagian Barat,159116,177247,210595
Seram Bagian Timur,151145,163645,206480
Maluku Barat Daya,-,-,-
Buru Selatan,-,-,-
Kota Ambon,-,-,268913
Kota Tual,160798,208216,206352
MALUKU UTARA,165039,194262,217349
Halmahera Barat,142708,167364,193436
Halmahera Tengah,163618,197098,255844
Kepulauan Sula,148239,191633,198491
Halmahera Selatan,138083,177239,177674
Halmahera Utara,107690,139961,151693
Halmahera Timur,205514,276959,282667
Pulau Morotai,-,-,-
Pulau Taliabu,-,-,-
Kota Ternate,228202,253491,313322
Kota Tidore Kepulauan,169856,204196,250690
PAPUA BARAT,205998,270990,309933
Fakfak,270365,245342,289107
Kaimana,160706,213899,226850
Teluk Wondama,278175,289442,296732
Teluk Bintuni,211324,216657,350817
Manokwari,165792,204720,341271
Sorong Selatan,217042,220837,209315
Sorong,247951,274014,223625
Raja Ampat,186128,227686,221776
Tambrauw,-,-,-
Maybrat,-,-,-
Manokwari Selatan,-,-,-
Pegunungan Arfak,-,-,-
Kota Sorong,392698,387984,402953
PAPUA BARAT DAYA,-,-,-
Raja Ampat,-,-,-
Sorong,-,-,-
Sorong Selatan,-,-,-
Maybrat,-,-,-
Tambrauw,-,-,-
Kota Sorong,-,-,-
PAPUA,202379,254663,282776
Merauke,184048,189428,212148
Jayawijaya,177486,184745,223114
Jayapura,281731,281326,290401
Nabire,255521,256072,307257
Kepulauan Yapen,299111,297755,307044
Biak Numfor,307550,308763,317590
Paniai,218221,231989,260417
Puncak Jaya,-,237588,305754
Mimika,297276,279520,354241
Boven Digoel,189335,193418,234964
Mappi,173622,183312,184264
Asmat,175119,195389,203821
Yahukimo,120864,196411,198511
Pegunungan Bintang,-,229905,284051
Tolikara,114063,117439,155394
Sarmi,188962,199459,237225
Keerom,205320,237125,298989
Waropen,306235,309470,309954
Supiori,168048,174192,229260
Mamberamo Raya,-,-,323282
Nduga *,-,-,194643
Lanny Jaya,-,-,233929
Mamberamo Tengah,-,-,219167
Yalimo,-,-,185425
Puncak,-,-,315061
Dogiyai,-,-,278520
Intan Jaya,-,-,-
Deiyai,-,-,-
Kota Jayapura,454145,457338,463629
PAPUA SELATAN,-,-,-
Merauke,-,-,-
Boven Digoel,-,-,-
Mappi,-,-,-
Asmat,-,-,-
PAPUA TENGAH,-,-,-
Mimika,-,-,-
Dogiyai,-,-,-
Deiyai,-,-,-
Nabire,-,-,-
Paniai,-,-,-
Intan Jaya,-,-,-
Puncak,-,-,-
Puncak Jaya,-,-,-
PAPUA PEGUNUNGAN,-,-,-
Nduga,-,-,-
Jayawijaya,-,-,-
Lanny Jaya,-,-,-
Tolikara,-,-,-
Mamberamo Tengah,-,-,-
Yalimo,-,-,-
Yahukimo,-,-,-
Pegunungan Bintang,-,-,-
