Nama Wilayah,,,
,Indeks Keparahan Kemiskinan (P2) Menurut Kabupaten/Kota,,
Rejang Lebong,0.67,0.79,0.38
Bengkulu Utara,0.34,0.26,0.18
Kaur,1.23,1.05,0.61
Seluma,0.77,1.15,0.49
Mukomuko,0.57,0.39,0.32
Lebong,0.22,0.31,0.27
Kepahiang,0.5,0.42,0.49
Bengkulu Tengah,0.39,0.3,0.2
Kota Bengkulu,0.9,0.79,0.71
LAMPUNG,0.41,0.36,0.33
Lampung Barat,0.45,0.8,0.4
Tanggamus,0.29,0.24,0.35
Lampung Selatan,0.41,0.55,0.46
Lampung Timur,0.56,0.46,0.29
Lampung Tengah,0.35,0.34,0.4
Lampung Utara,0.72,0.57,0.51
Way Kanan,0.5,0.42,0.36
Tulangbawang,0.26,0.23,0.17
Pesawaran,0.42,0.32,0.36
Pringsewu,0.19,0.19,0.16
Mesuji,0.11,0.26,0.16
Tulang Bawang Barat,0.16,0.24,0.19
Pesisir Barat,0.53,0.45,0.49
Kota Bandar Lampung,0.35,0.27,0.21
Kota Metro,0.16,0.24,0.15
KEP. BANGKA BELITUNG,0.13,0.13,0.16
Bangka,0.15,0.04,0.14
Belitung,0.26,0.2,0.24
Bangka Barat,0.06,0.09,0.16
Bangka Tengah,0.14,0.12,0.17
Bangka Selatan,0.03,0.04,0.07
Belitung Timur,0.19,0.23,0.15
Kota Pangkal Pinang,0.21,0.17,0.19
KEPULAUAN RIAU,0.25,0.18,0.15
Karimun,0.13,0.09,0.21
Bintan,0.16,0.14,0.13
Natuna,0.25,0.14,0.03
Lingga,0.64,0.43,0.37
Kepulauan Anambas,0.22,0.12,0.18
Kota Batam,0.17,0.13,0.12
Kota Tanjung Pinang,0.44,0.33,0.14
DKI JAKARTA,0.19,0.18,0.13
Kepulauan Seribu,0.37,0.33,0.13
Kota Jakarta Selatan,0.26,0.09,0.05
Kota Jakarta Timur,0.13,0.2,0.07
Kota Jakarta Pusat,0.15,0.18,0.12
Kota Jakarta Barat,0.14,0.12,0.04
Kota Jakarta Utara,0.3,0.39,0.26
JAWA BARAT,0.33,0.27,0.29
Bogor,0.45,0.21,0.26
Sukabumi,0.19,0.23,0.2
Cianjur,0.27,0.26,0.41
Bandung,0.21,0.29,0.09
Garut,0.45,0.23,0.29
Tasikmalaya,0.28,0.42,0.15
Ciamis,0.24,0.17,0.2
Kuningan,0.53,0.42,0.53
Cirebon,0.59,0.53,0.36
Majalengka,0.36,0.26,0.45
Sumedang,0.53,0.35,0.45
Indramayu,0.48,0.62,0.54
Subang,0.41,0.55,0.46
Purwakarta,0.25,0.36,0.35
Karawang,0.41,0.22,0.28
Bekasi,0.18,0.2,0.17
Bandung Barat,0.41,0.34,0.23
Pangandaran,0.26,0.27,0.29
Kota Bogor,0.29,0.2,0.24
Kota Sukabumi,0.38,0.31,0.18
Kota Bandung,0.17,0.15,0.14
Kota Cirebon,0.3,0.29,0.25
Kota Bekasi,0.27,0.13,0.21
Kota Depok,0.1,0.03,0.07
Kota Cimahi,0.14,0.1,0.21
Kota Tasikmalaya,0.65,0.32,0.26
Kota Banjar,0.28,0.12,0.29
JAWA TENGAH,0.42,0.42,0.37
Cilacap,0.33,0.35,0.35
Banyumas,0.35,0.41,0.5
Purbalingga,0.48,0.58,0.5
Banjarnegara,0.48,0.56,0.61
Kebumen,1.02,0.75,0.48
Purworejo,0.24,0.43,0.18
Wonosobo,0.86,0.63,0.6
Magelang,0.41,0.41,0.23
Boyolali,0.2,0.18,0.4
Klaten,0.44,0.38,0.27
Sukoharjo,0.14,0.31,0.31
Wonogiri,0.29,0.25,0.33
Karanganyar,0.37,0.24,0.41
Sragen,0.47,0.54,0.67
Grobogan,0.45,0.28,0.43
Blora,0.42,0.25,0.32
Rembang,0.59,0.73,0.84
Pati,0.25,0.42,0.25
Kudus,0.19,0.22,0.24
Jepara,0.3,0.26,0.15
Demak,0.35,0.43,0.56
Semarang,0.22,0.16,0.18
Temanggung,0.19,0.17,0.18
Kendal,0.39,0.25,0.15
Batang,0.29,0.6,0.27
Pekalongan,0.43,0.31,0.23
Pemalang,0.57,0.6,0.61
Tegal,0.17,0.17,0.22
Brebes,0.66,0.87,0.55
Kota Magelang,0.06,0.12,0.19
Kota Surakarta,0.27,0.2,0.26
Kota Salatiga,0.15,0.17,0.11
Kota Semarang,0.11,0.1,0.12
Kota Pekalongan,0.17,0.21,0.17
Kota Tegal,0.28,0.13,0.32
D I YOGYAKARTA,0.51,0.38,0.45
Kulon Progo,0.56,0.61,0.62
Bantul,0.5,0.44,0.56
Gunung Kidul,0.67,0.6,0.65
Sleman,0.27,0.32,0.27
Kota Yogyakarta,0.13,0.18,0.14
JAWA TIMUR,0.38,0.37,0.31
Pacitan,0.23,0.32,0.25
Ponorogo,0.16,0.2,0.17
Trenggalek,0.28,0.21,0.28
Tulungagung,0.09,0.17,0.1
Blitar,0.3,0.24,0.12
Kediri,0.41,0.34,0.24
Malang,0.18,0.17,0.16
Lumajang,0.31,0.3,0.26
Jember,0.22,0.22,0.18
Banyuwangi,0.25,0.18,0.06
Bondowoso,0.33,0.51,0.28
Situbondo,0.27,0.3,0.18
Probolinggo,0.59,0.7,0.6
Pasuruan,0.29,0.26,0.21
Sidoarjo,0.18,0.16,0.18
Mojokerto,0.29,0.4,0.19
Jombang,0.23,0.24,0.17
Nganjuk,0.31,0.31,0.18
Madiun,0.37,0.31,0.25
Magetan,0.34,0.19,0.2
Ngawi,0.31,0.56,0.61
Bojonegoro,0.4,0.49,0.48
Tuban,0.81,0.42,0.39
Lamongan,0.53,0.38,0.44
Gresik,0.89,0.38,0.33
Bangkalan,0.73,0.82,0.39
Sampang,0.53,0.57,0.57
Pamekasan,0.41,0.24,0.14
Sumenep,1.16,1.42,1.53
Kota Kediri,0.41,0.23,0.25
Kota Blitar,0.19,0.12,0.24
Kota Malang,0.34,0.18,0.08
Kota Probolinggo,0.23,0.24,0.21
Kota Pasuruan,0.22,0.33,0.12
Kota Mojokerto,0.18,0.16,0.13
Kota Madiun,0.06,0.16,0.09
Kota Surabaya,0.18,0.16,0.16
Kota Batu,0.16,0.06,0.09
BANTEN,0.27,0.36,0.25
Pandeglang,0.33,0.38,0.35
Lebak,0.33,0.51,0.23
Tangerang,0.26,0.39,0.34
Serang,0.11,0.15,0.2
Kota Tangerang,0.13,0.19,0.23
Kota Cilegon,0.09,0.1,0.07
Kota Serang,0.17,0.16,0.16
Kota Tangerang Selatan,0.07,0.12,0.05
BALI,0.13,0.1,0.09
Jembrana,0.15,0.04,0.05
Tabanan,0.13,0.09,0.19
Badung,0.05,0.01,0.08
Gianyar,0.21,0.06,0.09
Klungkung,0.08,0.09,0.03
Bangli,0.15,0.17,0.23
Karang Asem,0.18,0.09,0.1
Buleleng,0.09,0.08,0.14
Kota Denpasar,0.05,0.1,0.08
NUSA TENGGARA BARAT,0.67,0.59,0.61
Lombok Barat,0.4,0.4,0.43
Lombok Tengah,0.44,0.52,0.27
Lombok Timur,0.85,1.16,0.77
Sumbawa,0.71,0.56,0.53
Dompu,0.32,0.39,0.32
Bima,0.65,0.49,0.41
Sumbawa Barat,0.73,0.48,0.65
Lombok Utara,1.97,1.24,1.35
Kota Mataram,0.26,0.58,0.68
Kota Bima,0.27,0.33,0.39
NUSA TENGGARA TIMUR,0.93,0.8,0.85
Sumba Barat,1.5,2.3,1.43
Sumba Timur,1.71,2.78,2.18
Kupang,1.01,0.91,1.45
Timor Tengah Selatan,1.83,1.72,1.23
Timor Tengah Utara,0.52,0.9,0.94
Belu,0.86,0.48,0.51
Alor,0.72,0.63,0.49
Lembata,1.48,1.19,1.06
Flores Timur,0.39,0.37,0.25
Sikka,0.4,0.29,0.31
Ende,1.51,0.96,1.18
Ngada,0.55,0.36,0.55
Manggarai,0.83,1.48,0.66
Rote Ndao,1.47,1.24,1.41
Manggarai Barat,1.36,1.05,0.96
Sumba Tengah,2.62,3.03,2.36
Sumba Barat Daya,0.93,1.55,0.85
Nagekeo,0.24,0.18,0.26
Manggarai Timur,1.5,1.49,1.49
Sabu Raijua,1.26,1.6,1.67
Malaka,0.56,0.48,0.37
Kota Kupang,0.39,0.22,0.43
KALIMANTAN BARAT,0.24,0.24,0.18
Sambas,0.16,0.26,0.19
Bengkayang,0.15,0.26,0.13
Landak,0.32,0.28,0.38
Pontianak,0.06,0.08,0.09
Sanggau,0.24,0.11,0.08
Ketapang,0.66,0.5,0.41
Sintang,0.44,0.31,0.16
Kapuas Hulu,0.37,0.46,0.11
Sekadau,0.13,0.19,0.1
Melawi,0.49,0.83,0.49
Kayong Utara,0.27,0.47,0.47
Kubu Raya,0.09,0.15,0.05
Kota Pontianak,0.09,0.08,0.14
Kota Singkawang,0.27,0.18,0.1
KALIMANTAN TENGAH,0.27,0.14,0.19
Kotawaringin Barat,0.09,0.13,0.1
Kotawaringin Timur,0.58,0.15,0.24
Kapuas,0.21,0.22,0.14
Barito Selatan,0.1,0.06,0.03
Barito Utara,0.25,0.13,0.22
Sukamara,0.11,0.05,0.04
Lamandau,0.06,0.07,0.15
Seruyan,0.36,0.1,0.19
Katingan,0.11,0.16,0.1
Pulang Pisau,0.21,0.09,0.19
Gunung Mas,0.26,0.06,0.09
Barito Timur,0.23,0.16,0.19
Murung Raya,0.31,0.17,0.35
Kota Palangka Raya,0.19,0.04,0.08
KALIMANTAN SELATAN,0.13,0.16,0.12
Tanah Laut,0.06,0.07,0.21
Kota Baru,0.12,0.22,0.08
Banjar,0.04,0.09,0.07
Barito Kuala,0.17,0.4,0.16
Tapin,0.07,0.08,0.03
Hulu Sungai Selatan,0.09,0.21,0.05
Hulu Sungai Tengah,0.15,0.14,0.14
Hulu Sungai Utara,0.15,0.13,0.08
Tabalong,0.15,0.09,0.2
Tanah Bumbu,0.07,0.07,0.14
Balangan,0.12,0.13,0.2
Kota Banjarmasin,0.18,0.09,0.08
Kota Banjar Baru,0.02,0.14,0.07
KALIMANTAN TIMUR,0.23,0.14,0.15
Paser,0.29,0.19,0.17
Kutai Barat,0.42,0.23,0.24
Kutai Kartanegara,0.26,0.17,0.1
Kutai Timur,0.78,0.28,0.24
Berau,0.22,0.01,0.07
Penajam Paser Utara,0.25,0.14,0.12
Mahakam Hulu,0.58,0.14,0.43
Kota Balikpapan,0.02,0.04,0.01
Kota Samarinda,0.13,0.16,0.11
Kota Bontang,0.05,0.05,0.04
KALIMANTAN UTARA,0.19,0.11,0.19
Malinau,0.11,0.06,0.06
Bulungan,0.41,0.13,0.35
Tana Tidung,0.07,0.02,0.07
Nunukan,0.18,0.09,0.23
Kota Tarakan,0.13,0.19,0.08
SULAWESI UTARA,0.26,0.26,0.24
Bolaang Mongondow,0.31,0.11,0.15
Minahasa,0.22,0.48,0.41
Kepulauan Sangihe,0.27,0.54,0.13
Kepulauan Talaud,0.16,0.28,0.28
Minahasa Selatan,0.13,0.22,0.11
Minahasa Utara,0.26,0.29,0.11
Bolaang Mongondow Utara,0.17,0.14,0.22
Siau Tagulandang Biaro,0.09,0.16,0.19
Minahasa Tenggara,0.42,0.29,0.3
Bolaang Mongondow Selatan,0.46,0.28,0.24
Bolaang Mongondow Timur,0.1,0.11,0.07
Kota Manado,0.29,0.23,0.3
Kota Bitung,0.12,0.25,0.25
Kota Tomohon,0.13,0.21,0.22
Kota Kotamobagu,0.11,0.12,0.08
SULAWESI TENGAH,0.68,0.54,0.53
Banggai Kepulauan,0.35,0.63,0.22
Banggai,0.28,0.17,0.17
Morowali,0.54,0.32,0.43
Poso,0.66,0.63,0.45
Donggala,0.72,0.63,0.75
Toli-Toli,0.3,0.36,0.42
Buol,0.34,0.32,0.47
Parigi Moutong,1.37,0.64,1.08
Tojo Una-Una,0.78,0.52,0.4
Sigi,0.48,0.64,0.7
Banggai Laut,0.61,0.44,0.35
Morowali Utara,0.65,0.71,0.39
Kota Palu,0.25,0.19,0.09
SULAWESI SELATAN,0.32,0.41,0.34
Kepulauan Selayar,0.57,0.68,0.38
Bulukumba,0.22,0.24,0.16
Bantaeng,0.38,0.27,0.16
Jeneponto,0.7,0.62,0.29
Takalar,0.15,0.11,0.29
Gowa,0.32,0.12,0.11
Sinjai,0.25,0.16,0.25
Maros,0.44,0.47,0.19
Pangkajene Dan Kepulauan,0.49,0.5,0.38
Barru,0.15,0.45,0.22
Bone,0.26,0.26,0.19
Soppeng,0.21,0.4,0.15
Wajo,0.21,0.43,0.22
Sidenreng Rappang,0.2,0.1,0.08
Pinrang,0.2,0.28,0.34
Enrekang,0.49,0.43,0.44
Luwu,0.39,0.55,0.53
Tana Toraja,0.22,0.4,0.25
Luwu Utara,0.55,0.63,0.58
Luwu Timur,0.16,0.41,0.39
Toraja Utara,0.36,0.7,0.24
Kota Makassar,0.19,0.15,0.18
Kota Parepare,0.09,0.12,0.14
Kota Palopo,0.35,0.25,0.19
SULAWESI TENGGARA,0.42,0.48,0.56
Buton,0.24,0.37,0.35
Muna,0.3,0.5,0.36
Konawe,0.85,0.6,0.65
Kolaka,0.31,0.5,0.47
Konawe Selatan,0.57,0.55,0.34
Bombana,0.27,0.55,0.21
Wakatobi,0.46,1.22,0.83
Kolaka Utara,0.82,0.9,0.66
Buton Utara,0.72,0.48,0.94
Konawe Utara,0.69,0.63,0.76
Kolaka Timur,0.46,0.64,0.44
Konawe Kepulauan,0.9,0.73,0.76
Muna Barat,0.47,0.37,0.45
Buton Tengah,0.34,0.34,0.32
Buton Selatan,0.43,0.44,0.38
Kota Kendari,0.15,0.13,0.14
Kota Baubau,0.17,0.38,0.48
GORONTALO,0.85,0.74,0.78
Boalemo,0.77,0.81,1.12
Gorontalo,1.01,1.23,0.89
Pohuwato,0.82,0.6,0.7
Bone Bolango,0.61,0.52,0.72
Gorontalo Utara,0.78,0.59,1.02
Kota Gorontalo,0.15,0.11,0.12
SULAWESI BARAT,0.58,0.42,0.45
Majene,0.61,0.35,0.41
Polewali Mandar,0.94,0.58,0.88
Mamasa,0.52,0.45,0.33
Mamuju,0.18,0.13,0.26
Mamuju Utara,0.27,0.16,0.11
Mamuju Tengah,0.24,0.18,0.19
MALUKU,0.8,0.86,0.89
Maluku Tenggara Barat,1.23,0.92,1.03
Maluku Tenggara,1.13,1.06,0.59
Maluku Tengah,0.63,0.74,1.31
Buru,1.15,0.84,0.58
Kepulauan Aru,0.56,1.26,1.23
Seram Bagian Barat,1.77,1.43,0.81
Seram Bagian Timur,0.7,0.78,0.78
Maluku Barat Daya,0.7,1.58,0.63
Buru Selatan,0.52,0.51,0.46
Kota Ambon,0.09,0.14,0.16
Kota Tual,0.93,0.67,0.65
MALUKU UTARA,0.2,0.23,0.19
Halmahera Barat,0.27,0.43,0.36
Halmahera Tengah,0.27,0.52,0.41
Kepulauan Sula,0.12,0.09,0.2
Halmahera Selatan,0.17,0.17,0.08
Halmahera Utara,0.11,0.05,0.07
Halmahera Timur,0.41,0.71,0.33
Pulau Morotai,0.13,0.16,0.14
Pulau Taliabu,0.17,0.12,0.3
Kota Ternate,0.1,0.13,0.25
Kota Tidore Kepulauan,0.16,0.23,0.21
PAPUA BARAT,1.6,1.71,1.28
Fakfak,1.92,1.62,1.35
Kaimana,1,0.91,1.01
Teluk Wondama,1.56,2.01,1.15
Teluk Bintuni,4.11,2.66,2.25
Manokwari,0.95,1.31,0.82
Sorong Selatan,1.65,0.89,-
Sorong,1.97,2.58,-
Raja Ampat,0.81,0.62,-
Tambrauw,1.54,1.34,-
Maybrat,3.79,2.95,-
Manokwari Selatan,3.64,2.53,1.54
Pegunungan Arfak,1.66,1.7,1.38
Kota Sorong,0.88,1.53,-
PAPUA BARAT DAYA,-,-,1.59
Raja Ampat,-,-,0.87
Sorong,-,-,2.35
Sorong Selatan,-,-,1.07
Maybrat,-,-,1.08
Tambrauw,-,-,1.09
Kota Sorong,-,-,1.01
PAPUA,2.1,2.15,1.25
Merauke,0.56,0.55,-
Jayawijaya,4.93,3.75,-
Jayapura,1.24,0.57,1.24
Nabire,2.49,3.34,-
Kepulauan Yapen,2.45,2.09,2.78
Biak Numfor,1.45,1.83,2.13
Paniai,0.62,0.79,-
Puncak Jaya,6.76,2.36,-
Mimika,1.55,1.74,-
Boven Digoel,1.4,1.46,-
Mappi,0.81,0.66,-
Asmat,0.81,0.89,-
Yahukimo,1.92,1.04,-
Pegunungan Bintang,1.5,2.68,-
Tolikara,1.49,1.26,-
Sarmi,0.37,0.41,0.41
Keerom,0.61,1.25,0.82
Waropen,2.23,2.35,1.69
Supiori,4.81,4.14,5.35
Mamberamo Raya,2.09,1.85,0.55
Nduga *,2.68,4.09,-
Lanny Jaya,7.59,6.58,-
Mamberamo Tengah,2.53,2.62,-
Yalimo,4.22,6.94,-
Puncak,2.56,3.34,-
Dogiyai,1.72,1.3,-
Intan Jaya,1.06,6.08,-
Deiyai,1.62,1.44,-
Kota Jayapura,0.73,0.68,0.79
PAPUA SELATAN,-,-,1.08
Merauke,-,-,0.67
Boven Digoel,-,-,1.17
Mappi,-,-,1.2
Asmat,-,-,1.04
PAPUA TENGAH,-,-,1.84
Mimika,-,-,1.42
Dogiyai,-,-,1.59
Deiyai,-,-,1.01
Nabire,-,-,2.08
Paniai,-,-,1.82
Intan Jaya,-,-,4.66
Puncak,-,-,1.22
Puncak Jaya,-,-,3.48
PAPUA PEGUNUNGAN,-,-,1.62
Nduga,-,-,1.22
Jayawijaya,-,-,2.6
Lanny Jaya,-,-,2.01
Tolikara,-,-,0.42
Mamberamo Tengah,-,-,1.31
Yalimo,-,-,4.26
Yahukimo,-,-,0.93
Pegunungan Bintang,-,-,1.83
