Provinsi/Kabupaten/Kota,,,,,,
,Pengeluaran per Kapita yang Disesuaikan menurut Jenis Kelamin (Ribu Rupiah/Orang/Tahun),,,,,
,Laki-laki,,,Perempuan,,
KALIMANTAN SELATAN,15194.58,15601.25,15697.38,7441.12,7623,7792.97
Tanah Laut,15451.59,15561.68,15672.55,4673.32,5422.15,6191.38
Kotabaru,14484.14,15496.29,16508.43,4772.3,4853.93,5114.51
Banjar,16864.41,16995.21,17105.42,8847.91,9305.94,9768.13
Barito Kuala,12186.22,12536.83,12887.43,5003.41,5087.23,6591.54
Tapin,15578.47,15814.78,16054.68,5374.83,5581.08,5795.24
Hulu Sungai Selatan,16049.43,16198.05,16348.04,5915.32,6566.63,6942.84
Hulu Sungai Tengah,10761.9,11085.07,11417.95,7969.12,8651.19,9391.64
Hulu Sungai Utara,10838.98,11025.28,11211.59,6931.41,7082.15,7186.54
Tabalong,15017.01,15151.62,15424.46,5444.84,5500.21,5555.68
Tanah Bumbu,16923.02,17064.52,17078.48,4921.82,4926.85,5176.54
Balangan,14227.3,14247.46,14600.48,4782.12,8636.59,9092.81
Kota Banjarmasin,15605.52,15734.01,15863.56,9404.31,9795.75,10978.63
Kota Banjar Baru,15984.61,16227.68,17301.96,9653.27,9805.99,10606.59
KALIMANTAN TIMUR,16361.26,16547.02,16734.9,5562.44,5650.58,6159.67
Paser,14393.66,14947.59,14966.29,2260.35,2305.17,2353.01
Kutai Barat,13719.21,13806.68,13894.7,3985.77,4051.58,4756.98
Kutai Kartanegara,14166.81,14664.74,15162.67,3212.89,3303.43,3648.66
Kutai Timur,13486.07,14011.41,14557.21,3070.03,3138,3252.08
Berau,16439.67,16574.15,16854.86,5091.48,5828.69,6584.35
Penajam Paser Utara,14464.39,15810.42,15883.31,4797.14,5137.6,5502.22
Mahakam Ulu,0,0,0,0,0,0
Kota Balikpapan,19369.27,20370.56,20493.65,7067.63,7625.19,8190.48
Kota Samarinda,19179.57,19412.37,19645.17,8003.69,8278.96,8555.97
Kota Bontang,23801.68,24078.61,24142.67,5452.22,6577.95,7742.64
KALIMANTAN UTARA,0,0,0,0,0,0
Malinau,12097.8,10859.4,13379.17,4119.9,4310.99,4510.95
Bulungan,11913.42,12525.57,13790.15,3102.69,3117.97,3622.24
Tana Tidung,8843.15,9384.17,9545.93,2972.35,3127.12,3243.83
Nunukan,8480.92,8519.97,8677.2,2403.01,3110.03,3341.76
Kota Tarakan,13725.49,14048.35,14378.79,6371.68,7294.02,7474.57
SULAWESI UTARA,12162.36,12268.9,13150.67,7411.72,7723.39,8048.16
Bolaang Mongondow,13461.73,13518.66,13575.84,4907.08,5116.59,5335.04
Minahasa,13188.25,13441.91,13700.46,8262.47,8842.26,9462.73
Kepulauan Sangihe,12464.63,12773.86,13090.75,7441.26,7802.96,8092.68
Kepulauan Talaud,7516.79,7755.47,8204.35,6306.15,6818.88,7373.29
Minahasa Selatan,14195.23,14999.58,15093.69,6404.45,6461.31,6518.67
Minahasa Utara,11223.49,11715.42,12228.92,8113.97,8432.91,8764.38
Bolaang Mongondow Utara,11780.97,12252.59,12743.09,2662.39,3100.93,3611.7
Siau Tagulandang Biaro,10352.91,10406.44,10806.64,4235.68,4439.39,4652.89
Minahasa Tenggara,11997.53,12381.39,12777.54,4453.51,5081.27,5797.51
Bolaang Mongondow Selatan,8891.19,11066.31,11938.71,1406.63,1792.06,2283.11
Bolaang Mongondow Timur,10618.94,10765.7,10991.62,5183.07,5348.53,5492.17
Kota Manado,12978.87,13564.64,14176.85,9567.56,10447.94,11409.33
Kota Bitung,15473.59,15606.09,15739.74,9100.7,9249.43,9400.59
Kota Tomohon,10538.33,10648.45,11064.46,8368.76,9200.15,9490.47
Kota Kotamobagu,13394.01,12507.44,12086.42,8302.51,8302.51,8727.19
SULAWESI TENGAH,10466.77,10505.43,11538.09,6425.49,6680.45,6945.53
Banggai Kepulauan,9289.95,9349.88,9409.81,5074.15,5294.94,5517.46
Banggai,11883.09,11933.32,12324.06,6410.08,6724.21,7041.08
Morowali,14493.14,14648.04,14804.59,5274.14,5446.7,5624.91
Poso,7821.35,8290.43,8758.12,5503.71,5810.53,6119.43
Donggala,9823.26,9857.68,9892.21,4135.51,4202.91,4495.27
Toli-Toli,9319.79,9524.78,9734.29,3401.9,3859.42,4378.48
Buol,10221.24,10384.72,10740.59,4334.8,4872.88,4927.66
Parigi Moutong,9271.42,9768.15,10291.5,5014.38,5504.87,6043.35
Tojo Una-Una,7732.92,8232.19,9216.27,4476.87,4839.99,5232.55
Sigi,8354.46,8725.32,9325.21,5553.35,5949.36,6157.82
Banggai Laut,0,0,0,0,0,0
Morowali Utara,0,0,0,0,0,0
Kota Palu,14596.78,14763.83,14790.99,11965.06,12488.9,13035.68
SULAWESI SELATAN,13491.68,13520.2,13548.79,7949.89,8191.98,8441.44
Kepulauan Selayar,9413.7,10330.45,10862.25,5259.93,5786.11,6165.83
Bulukumba,11133.44,11321.1,11511.91,6068.88,6795.76,7534.58
Bantaeng,9876.37,10060.25,10127.19,8030.29,8123.89,8148.08
Jeneponto,12128.99,12248.56,12254.88,6532.2,6672.54,6815.9
Takalar,12981.23,13275.16,13575.75,4552.71,4924.06,5325.7
Gowa,11723.33,11928.92,12138.11,3699.29,4156.42,4670.04
Sinjai,8304.2,8433.03,8630.01,6892.53,7302.12,7754.47
Maros,12696.63,13225.5,13754.36,6367.35,6610.32,6854.99
Pangkajene dan Kepulauan,14512.07,14753.39,15232.8,6545.63,6740.59,6941.35
Barru,9553.51,10764.29,11272.04,6949.84,8089.64,8727.83
Bone,10532.28,10695.43,10858.58,5806.49,5925.01,6295.26
Soppeng,8825.32,9331.3,9372.97,7407.33,7922.51,8049.85
Wajo,16036.02,16436.06,16846.09,6857.96,7042.84,7137.14
Sidenreng Rappang,15360.48,15662.99,15971.46,7682.85,7974.16,8062.67
Pinrang,12610.49,12881.3,13157.93,8260.66,8787.33,9063.12
Enrekang,9032.98,9116.7,9372.55,7871.33,8244.79,8635.97
Luwu,11969.98,12143.37,12482.76,6266.3,6448.22,6541.16
Tana Toraja,8716.46,8801.7,8887.77,4075.72,4305.51,4318.65
Luwu Utara,13924.5,14124.34,14327.06,6160.66,6532.25,6765.87
Luwu Timur,17686.45,17736.79,17787.12,7760.58,7885,8011.41
Toraja Utara,8752.48,8898.84,9047.64,3795,3971.54,4156.29
Kota Makasar,18506.47,18516.61,18526.76,10984.93,11477.06,11870.57
Kota Parepare,13722.21,13864.61,14008.49,11002.77,11859.49,12312.55
Kota Palopo,13682.51,13780.2,13878.59,7457.11,8767.16,9775.07
SULAWESI TENGGARA,11204.28,11334.04,12224.88,5982.82,6198.4,6421.75
Buton,10131.82,10491.34,10850.85,3421.48,3582.82,3745.74
Muna,10182.81,10440.45,10618.11,4780.82,4994.49,5137.19
Konawe,11241.42,11571.11,12289.23,7453.62,7581.66,7844.37
Kolaka,16466.66,16626.79,16786.92,6614.82,7137.76,7668.03
Konawe Selatan,11294.51,11502.95,11711.38,4607.38,4616.94,4626.49
Bombana,10499.21,10510.09,10630.53,3836.53,4000.58,4056.81
Wakatobi,11243.19,11704.7,12223.98,4933.35,5490.63,5792.45
Kolaka Utara,8772.19,9801.7,9817.96,7412.82,8162.1,8260.94
Buton Utara,8040.19,8303.44,8575.31,3707.65,4036.41,4394.31
Konawe Utara,10350.71,11204.63,11386.46,4503.06,5044.27,5238.76
Kolaka Timur,0,0,0,0,0,0
Konawe Kepulauan,0,0,0,0,0,0
Muna Barat,0,0,0,0,0,0
Buton Tengah,0,0,0,0,0,0
Buton Selatan,0,0,0,0,0,0
Kota Kendari,15377.84,15454.92,15532.39,10140.05,10738.62,11372.51
Kota Baubau,11309.79,12936.25,13417,6355.09,7274.27,7609.3
GORONTALO,10640.31,11184.17,11755.83,3704.89,3894.26,4093.31
Boalemo,10816.02,10754.2,10816.02,2134.25,2360.34,2610.37
Gorontalo,11892.49,11259.83,11892.49,2025.57,2292.84,2595.37
Pohuwato,10938.37,10789.11,10938.37,4543.28,4898.19,5280.83
Bone Bolango,11944.3,11569.95,11944.3,2944.73,3269.08,3629.16
Gorontalo Utara,11610.11,11168.7,11610.11,1992.93,2251.47,2543.55
Kota Gorontalo,15845.58,15635.63,15845.58,4192.57,4489.39,4807.22
SULAWESI BARAT,11672.43,11764.63,11857.55,5963.9,6043.14,6123.44
Majene,10469.69,10530.19,10633.39,6775.6,7518.22,7919.51
Polewali Mandar,9506.42,9809.2,9848.1,5900.49,6062.62,6229.22
Mamasa,7094.91,7099.42,7103.94,5240.33,5744.69,6253.59
Mamuju,10844.1,10883.04,10922.12,5390.63,5514.89,5642.01
Mamuju Utara / Pasangkayu,11557.42,14849.81,15526.62,2348.04,3012.59,3865.22
Mamuju Tengah,0,0,0,0,0,0
MALUKU,10732.92,10773,10813.24,6717.03,6798.24,6880.44
Maluku Tenggara Barat / Kepulauan Tanimbar,6620.73,6846.7,7080.39,2947.34,3151.96,3370.8
Maluku Tenggara,6680.05,6889.46,7098.54,5515.07,5670.48,5830.26
Maluku Tengah,9698.86,9977.67,10110.88,7679.17,8538.48,8690.77
Buru,13328.66,14023.33,14718.01,5243.41,5607.92,6720.55
Kepulauan Aru,8329.04,9918.13,10032.24,2556.41,3091.76,3739.23
Seram Bagian Barat,7475.01,7552.86,7673.03,6090.05,6562.78,7072.22
Seram Bagian Timur,10493.61,10790.41,11095.6,4366.17,4783.65,5241.04
Maluku Barat Daya,7129.9,7482.36,7834.81,2305.03,2785.12,3365.21
Buru Selatan,9832.39,10386.23,10971.27,2569.18,3106.84,3757.01
Kota Ambon,14684.97,14809.29,14934.67,10611.58,10976.82,11354.63
Kota Tual,8657.25,8964.82,9256.64,4418.18,4538.02,4593.57
MALUKU UTARA,9543.33,10137.25,10475.3,4539.44,4834.75,5362.73
Halmahera Barat,7826.98,8105.27,8383.56,3567.63,3947.36,4367.51
Halmahera Tengah,8880.36,9444.75,9859.33,4297.2,4639.34,4797.13
Kepulauan Sula,7629.38,7849.58,8076.15,3908.34,4291.88,4713.06
Halmahera Selatan,9713,9787.16,9861.88,4714.55,4720.07,4841.6
Halmahera Utara,8961.91,9064,9726.12,4508.14,4808.74,5129.39
Halmahera Timur,9436.19,10882.31,11029.34,2525.99,2860.56,3239.43
Pulau Morotai,0,8314.32,8422,0,1806.38,1830.19
Pulau Taliabu,0,0,0,0,0,0
Kota Ternate,16507.64,16567.28,16777.71,9415.73,9510.46,9529.53
Kota Tidore Kepulauan,7871.01,7993.07,8117.03,4345.4,5547.78,5751.26
PAPUA BARAT,9457.37,9658.81,9835.11,4646.71,4660.86,4675.05
Fakfak,6612.98,7424.31,8235.63,3269.61,3473.46,3679.76
Kaimana,9346.08,9559.57,9777.93,3958.09,4219.61,4498.42
Teluk Wondama,10169.48,10825.85,10950.94,2613.39,2953.99,3303.17
Teluk Bintuni,11899.38,12064.12,12228.86,3962.43,4367.52,4814.01
Manokwari,13431.72,14752.22,14879.84,5800.77,6223.73,6522.7
Sorong Selatan,6532.88,6630.3,6729.17,2197.95,2379.02,3016.74
Sorong,8488.27,8736.57,8984.87,2712.66,3092.3,3525.07
Raja Ampat,8423.9,9200.62,10664.81,2305.98,2561.05,2844.34
Tambrauw,0,6355.86,6542.29,0,1854.25,1915.33
Maybrat,0,5263.19,5467.48,0,2370.18,2468.92
Manokwari Selatan,0,0,0,0,0,0
Pegunungan Arfak,0,0,0,0,0,0
Kota Sorong,16461.08,17169.18,17360.84,8385.82,8793.46,9220.92
PAPUA BARAT DAYA,-,-,-,-,-,-
Raja Ampat,-,-,-,-,-,-
Sorong,-,-,-,-,-,-
Sorong Selatan,-,-,-,-,-,-
Maybrat,-,-,-,-,-,-
Tambrauw,-,-,-,-,-,-
Kota Sorong,-,-,-,-,-,-
PAPUA,9277.16,9474.9,9672.64,3076.12,3220.16,3370.96
Merauke,13886.14,14091.45,14296.76,5802.95,6337.11,6920.44
Jayawijaya,7103.25,6891.36,7314.33,4187.9,4351.02,4514.65
Jayapura,12841.61,13006.92,13172.23,8611.46,8637.56,8663.74
Nabire,12715.98,12788.11,13579.77,6066.98,6570.89,7116.65
Kepulauan Yapen,9881.44,10195.22,10509,5572.82,5777.4,5989.49
Biak Numfor,12779.5,13055.1,13195.11,7220.5,7515.7,7822.98
Paniai,8926.01,9039.54,9270.93,1751.7,1945.32,2160.34
Puncak Jaya,7508.77,7558.73,7609.02,1708.47,1769.11,1831.89
Mimika,17385.01,17437.97,17491.17,3472.99,3573.05,3781.9
Boven Digoel,11631.29,11635.8,11640.32,3242.71,3416.52,3534.98
Mappi,8327.49,8487.05,8649.66,3330.17,3543.66,3759.75
Asmat,8424.34,9059.51,9228.02,1312.13,1324.79,1337.56
Yahukimo,5038.28,6141.47,7271.26,1641.76,1925.21,2257.6
Pegunungan Bintang,6522.1,6687.37,6871.98,3742.86,3850.15,3960.52
Tolikara,7797.4,7802.28,7807.16,1715.49,1717,1718.5
Sarmi,9121.12,9150.37,9179.72,2610.1,3782.25,3782.42
Keerom,11447.36,12214.85,12279.65,4146.99,4399.61,5253.63
Waropen,7568.22,8236.87,9293.92,2003.15,2029.86,2145.01
Supiori,6913.53,7076.76,7243.84,1866.18,2065.49,2286.09
Mamberamo Raya,5402.23,5629.68,5866.72,2467.97,2561.18,2862.46
Nduga,3119.18,3137.07,3140.66,3299.05,3469.25,4134.92
Lanny Jaya,3650.96,3693.96,3737.47,4450.45,4606.52,4660.78
Mamberamo Tengah,3393.51,3448.31,3451.97,3917.65,3967.89,4018.77
Yalimo,4969.6,5327.27,5710.69,1376.67,1716.71,2140.75
Puncak,4952.21,5000.1,5048.45,3986.3,4086.81,4126.33
Dogiyai,7209.07,7308.58,7409.46,2184.36,2395.4,2626.82
Intan Jaya,0,6730.98,6776.69,0,2750,2783
Deiyai,0,5935.74,5954.84,0,1758.23,1936.17
Kota Jayapura,15787.59,16160.17,16541.54,11706.78,12136.07,12595.23
PAPUA SELATAN,-,-,-,-,-,-
Merauke,-,-,-,-,-,-
Boven Digoel,-,-,-,-,-,-
Mappi,-,-,-,-,-,-
Asmat,-,-,-,-,-,-
PAPUA TENGAH,-,-,-,-,-,-
Mimika,-,-,-,-,-,-
Dogiyai,-,-,-,-,-,-
Deiyai,-,-,-,-,-,-
Nabire,-,-,-,-,-,-
Paniai,-,-,-,-,-,-
Intan Jaya,-,-,-,-,-,-
Puncak,-,-,-,-,-,-
Puncak Jaya,-,-,-,-,-,-
PAPUA PEGUNUNGAN,-,-,-,-,-,-
Nduga,-,-,-,-,-,-
Jayawijaya,-,-,-,-,-,-
Lanny Jaya,-,-,-,-,-,-
Tolikara,-,-,-,-,-,-
Mamberamo Tengah,-,-,-,-,-,-
Yalimo,-,-,-,-,-,-
Yahukimo,-,-,-,-,-,-
Pegunungan Bintang,-,-,-,-,-,-
INDONESIA,13856.37,13984.25,14113.32,7570.96,7688.35,8062.86
