Provinsi/Kabupaten/Kota,,,,,,
,Pengeluaran per Kapita yang Disesuaikan menurut Jenis Kelamin (Ribu Rupiah/Orang/Tahun),,,,,
,Laki-laki,,,Perempuan,,
Indragiri Hulu,13542.81,14452.19,14482.45,4493.8,4634.09,4862.05
Indragiri Hilir,14879.01,14958.92,15282.89,4202.92,4439.02,4500.27
Pelalawan,16700.44,17039.26,17384.95,6027.78,6109.77,6362.49
Siak,16021.84,16339.73,16657.63,7383.86,7527.54,7674.02
Kampar,15780.72,15787.51,15814.72,6683.63,7152.19,7398.65
Rokan Hulu,14645.04,14842.15,15041.92,4217.97,4367.26,4517.63
Bengkalis,16537.73,16580.32,16622.9,4694.01,5893.31,6444.61
Rokan Hilir,12568.29,13181.62,13804.71,4397.42,4647.06,4733.37
Kepulauan Meranti,0,9645.83,9739.08,0,4314.19,4477.16
Kota Pekanbaru,19873.63,20020.14,20167.72,10270.82,10612.63,10965.82
Kota Dumai,14994.41,15049.97,15661.81,5687.81,7228.37,7448.22
JAMBI,12063.98,13276.69,13492.07,4751.46,5295.58,5902.01
Kerinci,12436.81,12977.78,13095.32,5405.6,5647.29,5899.79
Merangin,12615.92,12854.3,13092.68,4304.13,4475.95,6293.75
Sarolangun,13988.67,14642.1,15295.53,7044.37,7369.6,7709.84
Batang Hari,12615.92,13504.24,14392.56,4386.75,4642.56,4913.29
Muaro Jambi,10526,11035.21,11569.05,2942.64,3079.6,3273.47
Tanjung Jabung Timur,11215.15,11489.16,11769.87,3423.55,3619.78,3827.27
Tanjung Jabung Barat,10852.16,11267.54,11698.81,4077.16,4148.01,4729.51
Tebo,11046.67,12918.27,13167.56,5546.38,5771.25,5781.23
Bungo,14678.97,14798.21,15534.29,4588.19,4648.48,5809.69
Kota Jambi,13089.8,13268.92,13447.96,7044.71,7894.12,8542.31
Kota Sungai Penuh,10137.42,10568.24,11039.31,6096.06,6795.2,7503.35
SUMATERA SELATAN,12870.82,12896.39,12909.2,7116.02,7504.68,7614.11
Ogan Komering Ulu,12063.36,12237.03,12591.9,5396.73,5542.29,5688.55
Ogan Komering Ilir,12429.26,13602.41,13825.86,5894.13,6676.84,7563.49
Muara Enim,11761.39,12271.01,12771.63,5063.24,5242.94,5916.89
Lahat,11156.9,11304.18,11453.39,6824.84,7231.54,7641.97
Musi Rawas,11549.44,12382.04,13305.03,4679.61,4986.32,5313.13
Musi Banyuasin,12630.42,12736.96,13075.53,2954.78,3011.82,3631.53
Banyu Asin,11097.95,11230.78,11875.71,4676.91,4934.66,5662.01
Ogan Komering Ulu Selatan,9396.8,9800.48,10221.5,4726.82,5126.4,5338.68
Ogan Komering Ulu Timur,11915.74,12077.92,12577.8,7227.6,8244.97,9282.49
Ogan Ilir,8885.58,9130.33,9440.92,6967.57,7405.35,8910.8
Empat Lawang,11716.72,11867.69,12020.6,6716.76,7038.5,7375.65
Penukal Abab Lematang Ilir,0,0,0,0,0,0
Musi Rawas Utara,0,0,0,0,0,0
Kota Palembang,14692.69,15020.16,15354.93,10644.54,11004.53,11314.09
Kota Prabumulih,16129.89,16154.19,16275.51,6714.85,8766.4,9385.04
Kota Pagar Alam,7803.03,8504.85,9206.09,5152.54,6042.99,6401.74
Kota Lubuklinggau,13554.41,13608.95,13940.81,7671.23,8932.3,10400.69
BENGKULU,12334.86,12335.04,12335.21,6604.59,6975.11,6975.11
Bengkulu Selatan,10517.28,10568.73,11391.53,7095.85,7136.11,7176.41
Rejang Lebong,11624.51,11869.81,12120.3,6691.97,7232.23,7816.11
Bengkulu Utara,11722.09,12233.54,12612.36,6793.43,7185.36,7599.9
Kaur,10109.03,10297.44,10489.37,4166.84,4518.39,4899.6
Seluma,10084.48,10149.21,10214.35,3906.36,4223.41,4381.28
Mukomuko,13924.58,14048.46,14173.45,4958.01,5039.69,5122.71
Lebong,13573.39,13719.03,15538.47,7239.77,7707.14,8232.31
Kepahiang,9625.02,10490.05,10524.24,6465.42,7214.13,8049.53
Bengkulu Tengah,11084.74,11569.76,12054.78,3886.59,3933.62,4445.48
Kota Bengkulu,13114.8,13519.92,14174.5,7902.49,8689.5,9554.88
LAMPUNG,11894.06,11915.42,11936.82,5684.99,5935.39,6196.82
Lampung Barat,11122.84,11205.71,11289.18,6534.07,6900.58,7287.65
Tanggamus,9078.53,10639.77,11264.33,4651.13,5363.1,5897.32
Lampung Selatan,11619.24,11789.1,11961.45,5696.5,5848.7,6001.66
Lampung Timur,10951.79,11233.48,12085.41,5328.33,5727.44,6156.45
Lampung Tengah,13149.04,13728.68,14308.33,6933.24,7243.97,7557.23
Lampung Utara,9086.98,10849.29,10889.7,4379.14,5113.77,5304.8
Way Kanan,12124.81,12190.71,12256.96,3815.92,4831.13,5889.28
Tulangbawang,12493.07,14426.12,14484.06,5037.7,5457.1,5911.42
Pesawaran,9095.63,9383.36,9680.2,4039.04,4265.1,4445.72
Pringsewu,0,12557.24,12999.75,0,8029.51,8351.1
Mesuji,0,9710.28,9794.01,0,3642.64,3755.92
Tulang Bawang Barat,0,10234.63,10269.57,0,3913.91,4111.58
Pesisir Barat,0,0,0,0,0,0
Kota Bandar Lampung,13441.7,14407.47,14470.76,8246.06,9043.51,9470.7
Kota Metro,12488.9,12618.69,12749.83,8446.79,8541.87,8908.06
KEP. BANGKA BELITUNG,16214.23,16619.84,17035.59,7023.48,7311.73,7611.82
Bangka,15545.77,15636.16,15727.08,5459.42,5880.71,6334.5
Belitung,16553.32,17368.26,17932.19,7090.43,7483.9,7528.95
Bangka Barat,16528.57,16536.55,16544.54,7088.26,7520,7594.48
Bangka Tengah,15964.27,16366.82,16779.53,7665.71,8149.29,8663.37
Bangka Selatan,16182.83,16406.93,16634.13,5030.23,5169.21,5312.03
Belitung Timur,14959.72,15025.64,15427.29,4956,5300.75,5606.29
Kota Pangkal Pinang,19074.31,19456.62,19789.53,11991.84,12405.81,12515.75
KEPULAUAN RIAU,17792.17,18009.96,18230.42,9864.21,10490.88,10708.5
Karimun,16609.11,16621.12,16633.13,8972.14,9041.63,9111.21
Bintan,19757.05,19768.55,19780.06,10195.8,10223.24,10250.75
Natuna,18687.15,18876.96,19068.7,9144.51,10069.29,10314.75
Lingga,15246.5,15484.6,15726.42,7920.99,8080.16,8242.54
Kepulauan Anambas,14694.14,15172.51,15666.46,7490.69,7801.82,8125.87
Kota Batam,23541.59,23565.92,23590.29,12378.25,13829.24,14527.58
Kota Tanjung Pinang,15172.63,15327.67,15484.29,10631.15,11573.85,11655.45
DKI JAKARTA,19429.05,19494.92,19561.01,14999.55,15031.72,15312.41
Kep. Seribu,14205.05,14333.79,14860.52,7529.79,7755.59,8563.69
Kota Jakarta Selatan,23649.97,24234,24832.44,17841.69,18823.44,20633.4
Kota Jakarta Timur,19006.77,20038.99,20700.33,13299.12,14265.96,14775.43
Kota Jakarta Pusat,14909.53,15457.45,15882.76,11770.6,13214.27,14835
Kota Jakarta Barat,18553.71,19696.84,20442.89,15314.55,17341.11,18074.57
Kota Jakarta Utara,21692.87,22445.88,23225.03,14191.79,15336.55,15456.7
JAWA BARAT,13020.01,13369.68,13719.36,6499.4,6708.37,6918.59
Bogor,12947.7,12959.42,13017.6,6348.05,6743.48,6751.31
Sukabumi,11235.98,11254.11,11418.61,4486.4,4776.74,5085.86
Cianjur,7965.16,9318.68,10079.4,2824.47,3070.32,3628.08
Bandung,12246.06,12252,12269.84,7553.06,7823.67,7989.37
Garut,9071.9,9211.08,9352.39,2689.95,2919.06,3151.93
Tasikmalaya,10330.78,10343.79,10356.82,3365.37,3531.11,3565.51
Ciamis,11838.33,11934.25,12018.07,4136.18,4628.4,4833.98
Kuningan,11542.83,11679.26,11817.3,4435.22,4452.67,5438.96
Cirebon,12549.46,13032.89,13534.95,4152.36,4166.32,4174.98
Majalengka,11416.63,12142.56,12572.99,4489.62,4775.15,4820.85
Sumedang,11854.26,12056.04,12257.66,4404.56,4436.97,4670.26
Indramayu,12365.97,12410.87,12422.92,5558.11,5656.78,5807.52
Subang,13282.98,13393.96,13493.16,5688.69,6149.54,6616.96
Purwakarta,12784.8,14129.99,15475.17,5226.05,5513.03,6104.13
Karawang,13110.15,13159.08,13406.53,5638.35,5977.32,7132.43
Bekasi,14974.22,14975.75,14986.46,6423.36,6772.04,7139.66
Bandung Barat,10566.06,10777.29,11436.67,2772.4,2869.92,2970.86
Pangandaran,0,0,0,0,0,0
Kota Bogor,13927.4,14936.3,14963.27,7419.26,7981.35,8586.03
Kota Sukabumi,12832.59,13322.61,13378.71,6926.34,7437.72,7986.85
Kota Bandung,20131.03,20229.1,20315.29,12648.36,13613.75,14652.83
Kota Cirebon,14001.96,14145.43,14290.36,7678.75,7721.17,8102.64
Kota Bekasi,19220.99,19660.14,19939.99,12219.28,12830.32,13471.92
Kota Depok,19858.23,20445.86,20527.66,10261.45,10990.87,11772.14
Kota Cimahi,13766.39,14046.83,14332.97,7184.42,7239.06,7968.32
Kota Tasikmalaya,10778.79,10983.61,11192.33,5088.02,5152.94,5600.89
