Nama Wilayah,,,
,Persentase Penduduk Miskin (P0) Menurut Kabupaten/Kota (Persen),,
,2010,2011,2012
ACEH,19.95,19.48,18.58
Simeulue,23.61,22.96,21.88
Aceh Singkil,19.38,18.93,17.92
Aceh Selatan,15.93,15.52,14.8
Aceh Tenggara,16.78,16.39,15.63
Aceh Timur,18.42,18.01,17.19
Aceh Tengah,20.09,19.58,18.77
Aceh Barat,24.42,23.81,22.76
Aceh Besar,18.8,18.36,17.5
Pidie,23.8,23.19,22.12
Bireuen,19.5,19.06,18.21
Aceh Utara,23.43,22.89,21.89
Aceh Barat Daya,19.93,19.49,18.51
Gayo Lues,23.9,23.38,22.3
Aceh Tamiang,17.98,17.49,16.7
Nagan Raya,24.06,23.38,22.27
Aceh Jaya,20.17,19.8,18.3
Bener Meriah,26.22,25.5,24.5
Pidie Jaya,26.07,25.43,24.35
Kota Banda Aceh,9.19,9.08,8.65
Kota Sabang,21.68,21.31,20.51
Kota Langsa,15.01,14.66,13.93
Kota Lhokseumawe,14.07,13.73,13.06
Kota Subulussalam,24.33,23.85,22.63
SUMATERA UTARA,11.36,10.83,10.41
Nias,19.97,19.11,18.67
Mandailing Natal,12.6,11.98,11.58
Tapanuli Selatan,11.96,11.4,11.1
Tapanuli Tengah,16.73,15.96,15.03
Tapanuli Utara,12.49,11.89,11.55
Toba Samosir,10.15,9.67,9.43
Labuhan Batu,10.67,10.15,9.61
Asahan,11.42,10.85,10.52
Simalungun,10.73,10.21,9.97
Dairi,9.97,9.48,9.28
Karo,11.02,10.49,9.93
Deli Serdang,5.34,5.1,4.78
Langkat,10.84,10.31,10.02
Nias Selatan,20.72,19.71,19.05
Humbang Hasundutan,10.6,10.09,9.73
Pakpak Bharat,13.78,13.16,12.4
Samosir,16.5,15.67,15.17
Serdang Bedagai,10.59,10.07,9.89
Batu Bara,12.28,11.67,11.24
Padang Lawas Utara,11.19,10.64,9.98
Padang Lawas,11.13,10.56,9.8
Labuhan Batu Selatan,15.58,14.86,13.96
Labuhan Batu Utara,12.32,11.77,11.34
Nias Utara,31.9,30.44,29.5
Nias Barat,30.89,29.32,28.57
Kota Sibolga,13.9,13.18,13
Kota Tanjung Balai,16.31,15.52,14.86
Kota Pematang Siantar,11.72,11.15,10.79
Kota Tebing Tinggi,13.04,12.44,11.93
Kota Medan,10.05,9.63,9.33
Kota Binjai,7.33,7,6.72
Kota Padangsidimpuan,10.53,10.08,9.6
Kota Gunungsitoli,33.86,32.12,30.85
SUMATERA BARAT,9.44,8.99,8
Kepulauan Mentawai,19.74,18.85,16.7
Pesisir Selatan,10.22,9.75,8.68
Solok,11.74,11.19,10.03
Sijunjung,10.45,9.94,8.79
Tanah Datar,6.9,6.57,5.95
Padang Pariaman,11.86,11.26,10.12
Agam,9.84,9.39,8.43
Lima Puluh Kota,10.47,9.96,8.89
Pasaman,10.96,10.42,9.31
Solok Selatan,11.11,10.61,9.37
Dharmasraya,10.56,10.09,8.82
Pasaman Barat,9.59,9.14,8.04
Kota Padang,6.31,6.02,5.3
Kota Solok,6.99,6.72,5.87
Kota Sawah Lunto,2.47,2.34,2.17
Kota Padang Panjang,7.6,7.25,6.5
Kota Bukittinggi,6.82,6.49,5.73
Kota Payakumbuh,10.58,10.09,9
Kota Pariaman,5.9,5.66,5.02
RIAU,10.01,8.17,8.05
Kuantan Singingi,12.57,10.19,10.29
Indragiri Hulu,8.9,7.25,7.17
Indragiri Hilir,9.41,7.65,7.81
Pelalawan,14.51,11.93,11.11
Siak,6.49,5.29,5.17
Kampar,10.47,8.52,8.36
Rokan Hulu,13.03,10.66,10.13
Bengkalis,8.25,6.72,6.76
Rokan Hilir,9.3,7.58,7.38
Kepulauan Meranti,42.56,34.53,35.89
Kota Pekanbaru,4.2,3.45,3.38
Kota Dumai,6.45,5.27,5.24
JAMBI,8.4,7.9,8.28
Kerinci,7.83,7.36,7.71
Merangin,8.07,7.68,8.08
Sarolangun,9.66,9.1,9.45
Batang Hari,10.19,9.56,10.13
Muaro Jambi,5.29,4.98,5.08
Tanjung Jabung Timur,12.4,11.6,12.5
Tanjung Jabung Barat,11.08,10.43,10.91
Tebo,6.42,6.05,6.34
Bungo,5.7,5.35,5.54
Kota Jambi,9.9,9.27,9.8
Kota Sungai Penuh,3.64,3.42,3.66
SUMATERA SELATAN,14.8,13.95,13.48
Ogan Komering Ulu,12.28,11.58,11.19
Ogan Komering Ilir,15.98,15.06,14.54
Muara Enim,14.51,13.71,13.21
Lahat,19.02,17.92,17.46
Musi Rawas,19.38,18.25,17.67
Musi Banyuasin,20.06,18.99,18.29
Banyu Asin,12.39,11.66,11.27
Ogan Komering Ulu Selatan,11.53,10.84,10.49
Ogan Komering Ulu Timur,9.81,9.23,8.98
Ogan Ilir,13.97,13.18,12.79
Empat Lawang,14.73,13.82,13.37
Penukal Abab Lematang Ilir,-,-,-
Musi Rawas Utara,-,-,-
Kota Palembang,15,14.13,13.59
Kota Prabumulih,12.93,12.19,11.71
Kota Pagar Alam,9.81,9.24,9
Kota Lubuklinggau,15.3,14.43,13.89
BENGKULU,16.37,17.36,17.51
Bengkulu Selatan,22.62,22.55,22.97
Rejang Lebong,15.11,16.79,17.3
Bengkulu Utara,14.75,14.4,14.4
Kaur,21.22,22.26,22.65
Seluma,20.81,20.9,21.19
Mukomuko,14.06,13.28,13.21
Lebong,13.01,12.43,12.47
Kepahiang,14.78,15.02,15.34
Bengkulu Tengah,6.42,6.49,6.52
Kota Bengkulu,17.69,22.23,22.1
LAMPUNG,17.76,16.58,15.65
Lampung Barat,17.12,15.99,15.13
Tanggamus,18.3,17.06,16.1
Lampung Selatan,20.61,19.23,18.19
Lampung Timur,21.06,19.66,18.59
Lampung Tengah,16.88,15.76,14.96
Lampung Utara,28.19,26.33,25.16
Way Kanan,18.81,17.63,16.54
Tulangbawang,10.8,10.11,9.43
Pesawaran,20.48,19.06,18.01
Pringsewu,12.45,11.62,11.01
Mesuji,8.65,8.07,7.69
Tulang Bawang Barat,7.63,7.11,6.73
Pesisir Barat,-,-,-
Kota Bandar Lampung,14.58,13.61,12.65
Kota Metro,13.77,12.9,12.09
KEP. BANGKA BELITUNG,7.51,5.16,5.37
Bangka,7.81,5.36,5.58
Belitung,10.13,6.97,7.27
Bangka Barat,5.25,3.59,3.72
Bangka Tengah,8.07,5.56,5.78
Bangka Selatan,6.18,4.23,4.41
Belitung Timur,10.36,7.13,7.44
Kota Pangkal Pinang,6.02,4.15,4.29
KEPULAUAN RIAU,8.13,6.79,6.83
Karimun,7.21,5.93,6.37
Bintan,7.33,6.04,6.29
Natuna,4.83,4.06,4.25
Lingga,15.81,12.98,14.15
Kepulauan Anambas,4.8,3.95,4.17
Kota Batam,7.26,6.11,5.89
Kota Tanjung Pinang,12.6,10.52,11.03
DKI JAKARTA,4.04,3.64,3.7
Kepulauan Seribu,13.01,11.53,11.62
Kota Jakarta Selatan,3.81,3.43,3.49
Kota Jakarta Timur,3.41,3.06,3.12
Kota Jakarta Pusat,3.97,3.56,3.72
Kota Jakarta Barat,3.81,3.44,3.47
Kota Jakarta Utara,5.62,5.07,5.14
JAWA BARAT,10.93,10.57,9.88
Bogor,9.97,9.65,8.83
Sukabumi,10.65,10.28,9.79
Cianjur,14.32,13.82,13.18
Bandung,9.29,8.99,8.33
Garut,13.94,13.47,12.72
Tasikmalaya,12.78,12.36,11.76
Ciamis,10.34,9.98,9.63
Kuningan,14.68,14.2,13.7
Cirebon,16.12,15.56,14.96
Majalengka,15.51,14.98,14.46
Sumedang,12.94,12.48,11.87
Indramayu,16.58,16.01,15.44
Subang,13.54,13.06,12.49
Purwakarta,10.57,10.22,9.57
Karawang,12.21,11.8,11.11
Bekasi,6.11,5.93,5.25
Bandung Barat,14.68,14.22,13.35
Pangandaran,-,-,-
Kota Bogor,9.47,9.16,8.48
Kota Sukabumi,9.24,8.95,8.42
Kota Bandung,4.95,4.78,4.55
Kota Cirebon,12,11.56,11.1
Kota Bekasi,6.3,6.12,5.56
Kota Depok,2.84,2.75,2.46
Kota Cimahi,7.4,7.15,6.68
Kota Tasikmalaya,20.71,19.98,18.94
Kota Banjar,8.47,8.21,7.79
JAWA TENGAH,16.11,16.21,14.98
Cilacap,18.11,17.15,15.92
Banyumas,20.2,21.11,19.44
Purbalingga,24.58,23.06,21.19
Banjarnegara,19.17,20.38,18.87
Kebumen,22.7,24.06,22.4
Purworejo,16.61,17.51,16.32
Wonosobo,23.15,24.21,22.5
Magelang,14.14,15.18,13.97
Boyolali,13.72,14.97,13.88
Klaten,17.47,17.95,16.71
Sukoharjo,10.94,11.13,10.15
Wonogiri,15.67,15.74,14.67
Karanganyar,13.98,15.29,14.07
Sragen,17.49,17.95,16.72
Grobogan,17.86,17.38,16.13
Blora,16.27,16.24,15.1
Rembang,23.4,23.71,21.88
Pati,14.48,14.69,13.61
Kudus,9.01,9.45,8.63
Jepara,10.18,10.32,9.38
Demak,18.76,18.21,16.73
Semarang,10.5,10.3,9.4
Temanggung,13.46,13.38,12.32
Kendal,14.47,14.26,13.17
Batang,14.67,13.47,12.4
Pekalongan,16.29,15,13.85
Pemalang,19.96,20.68,19.27
Tegal,13.11,11.54,10.75
Brebes,23.01,22.72,21.12
Kota Magelang,10.51,11.06,10.31
Kota Surakarta,13.96,12.9,12
Kota Salatiga,8.28,7.8,7.11
Kota Semarang,5.12,5.68,5.13
Kota Pekalongan,9.36,10.04,9.47
Kota Tegal,10.62,10.81,10.04
D I YOGYAKARTA,15.63,16.14,15.88
Kulon Progo,23.15,23.62,23.31
Bantul,16.09,17.28,16.97
Gunung Kidul,22.05,23.03,22.71
Sleman,10.7,10.61,10.44
Kota Yogyakarta,9.75,9.62,9.38
JAWA TIMUR,14.87,13.85,13.08
Pacitan,19.5,18.13,17.29
Ponorogo,13.22,12.29,11.76
Trenggalek,16,14.9,14.21
Tulungagung,10.64,9.9,9.4
Blitar,12.13,11.29,10.74
Kediri,15.52,14.44,13.71
Malang,12.54,11.67,11.04
Lumajang,13.98,13.01,12.4
Jember,13.27,12.44,11.81
Banyuwangi,11.25,10.47,9.97
Bondowoso,17.89,16.66,15.81
Situbondo,16.23,15.11,14.34
Probolinggo,25.22,23.48,22.22
Pasuruan,13.18,12.26,11.58
Sidoarjo,7.45,6.97,6.44
Mojokerto,12.23,11.38,10.71
Jombang,13.84,12.88,12.23
Nganjuk,14.91,13.88,13.22
Madiun,15.45,14.37,13.7
Magetan,12.94,12.01,11.5
Ngawi,18.26,16.74,15.99
Bojonegoro,18.78,17.47,16.66
Tuban,20.19,18.78,17.84
Lamongan,18.7,17.41,16.7
Gresik,16.42,15.33,14.35
Bangkalan,28.12,26.22,24.7
Sampang,32.47,30.21,27.97
Pamekasan,22.47,20.94,19.61
Sumenep,24.61,23.1,21.96
Kota Kediri,9.31,8.63,8.14
Kota Blitar,7.63,7.12,6.75
Kota Malang,5.9,5.5,5.21
Kota Probolinggo,19.03,17.74,10.92
Kota Pasuruan,9,8.39,7.9
Kota Mojokerto,7.41,6.89,6.48
Kota Madiun,6.11,5.66,5.37
Kota Surabaya,7.07,6.58,6.25
Kota Batu,5.08,4.74,4.47
BANTEN,7.02,6.26,5.71
Pandeglang,11.14,9.8,9.28
Lebak,10.38,9.2,8.63
Tangerang,7.18,6.42,5.71
Serang,6.34,5.63,5.28
Kota Tangerang,6.88,6.14,5.56
Kota Cilegon,4.46,3.98,3.82
Kota Serang,7.02,6.25,5.7
Kota Tangerang Selatan,1.67,1.5,1.33
BALI,5.67,4.59,3.95
Jembrana,8.11,6.56,5.74
Tabanan,6.96,5.62,4.9
Badung,3.23,2.62,2.16
Gianyar,6.68,5.4,4.69
Klungkung,7.58,6.1,5.37
Bangli,6.41,5.16,4.52
Karang Asem,7.95,6.43,5.63
Buleleng,7.35,5.93,5.19
Kota Denpasar,2.21,1.79,1.52
NUSA TENGGARA BARAT,21.58,19.67,18.02
Lombok Barat,21.59,19.7,17.91
Lombok Tengah,19.92,18.14,16.72
Lombok Timur,23.82,21.71,20.08
Sumbawa,21.74,19.82,18.26
Dompu,19.89,18.17,16.58
Bima,19.41,17.66,16.23
Sumbawa Barat,21.81,19.88,17.61
Lombok Utara,43.12,39.27,35.99
Kota Mataram,14.44,13.18,11.88
Kota Bima,12.81,11.69,10.54
NUSA TENGGARA TIMUR,21.76,20.48,20.41
Sumba Barat,31.71,29.84,29.35
Sumba Timur,32.41,30.63,30.08
Kupang,20.78,19.54,19.96
Timor Tengah Selatan,28.7,26.96,27.3
Timor Tengah Utara,22.72,21.33,21.37
Belu,15.48,14.61,14.42
Alor,21.16,19.97,19.88
Lembata,26.74,25.17,24.56
Flores Timur,9.61,9.06,9.06
Sikka,13.38,12.63,12.72
Ende,21.64,20.37,20.53
Ngada,12.05,11.36,11.25
Manggarai,22.9,21.39,21.33
Rote Ndao,32.79,30.99,28.86
Manggarai Barat,20.39,19.27,18.74
Sumba Tengah,34.02,32.1,31.82
Sumba Barat Daya,29.87,27.93,27.47
Nagekeo,12.7,12.01,12.08
Manggarai Timur,25.93,24.52,24.38
Sabu Raijua,41.13,39.49,32.37
Malaka,-,-,-
Kota Kupang,10.56,9.88,9.33
KALIMANTAN BARAT,9.1,8.48,7.96
Sambas,10.08,9.38,8.87
Bengkayang,7.81,7.25,6.73
Landak,14.05,13.13,12.4
Pontianak,6.41,5.97,5.64
Sanggau,5.02,4.67,4.4
Ketapang,13.67,12.75,11.9
Sintang,9.76,9.07,8.55
Kapuas Hulu,11.39,10.61,9.94
Sekadau,6.77,6.3,5.93
Melawi,13.76,12.93,12.09
Kayong Utara,11.68,10.91,10.15
Kubu Raya,7.14,6.67,6.27
Kota Pontianak,6.62,6.15,5.76
Kota Singkawang,6.12,5.69,5.31
