Nama Wilayah,,,
,Persentase Penduduk Miskin (P0) Menurut Kabupaten/Kota (Persen),,
KALIMANTAN TENGAH,7.52,6.64,6.19
Kotawaringin Barat,6.97,6.19,5.63
Kotawaringin Timur,8.36,7.43,6.9
Kapuas,7.11,6.28,6.1
Barito Selatan,8.56,7.56,7.25
Barito Utara,7.18,6.33,6.1
Sukamara,6.63,5.9,5.36
Lamandau,5.81,5.18,4.66
Seruyan,9.98,8.82,7.91
Katingan,7.56,6.47,6.1
Pulang Pisau,6.18,5.45,5.24
Gunung Mas,8.06,7.12,6.56
Barito Timur,10.5,9.27,8.52
Murung Raya,7.05,6.3,5.78
Kota Palangka Raya,5.31,4.69,4.24
KALIMANTAN SELATAN,5.65,5.35,5.01
Tanah Laut,5.12,4.85,4.55
Kota Baru,5.45,5.18,4.85
Banjar,3.34,3.17,2.97
Barito Kuala,5.72,5.41,5.12
Tapin,5.57,5.29,4.99
Hulu Sungai Selatan,7.66,7.25,6.9
Hulu Sungai Tengah,6.31,5.98,5.68
Hulu Sungai Utara,7.76,7.31,6.94
Tabalong,6.53,6.22,5.83
Tanah Bumbu,6.48,6.17,5.47
Balangan,7.74,7.31,6.85
Kota Banjarmasin,5.04,4.77,4.51
Kota Banjar Baru,5.98,5.68,5.16
KALIMANTAN TIMUR,8,6.63,6.38
Paser,9.48,7.91,7.65
Kutai Barat,9.9,8.25,8.3
Kutai Kartanegara,8.68,7.21,6.95
Kutai Timur,11.38,9.43,8.79
Berau,6.6,5.46,5.25
Penajam Paser Utara,10.46,8.67,8.59
Mahakam Hulu,-,-,-
Kota Balikpapan,4.07,3.39,3.31
Kota Samarinda,5.21,4.31,4.19
Kota Bontang,6.67,5.4,5.21
KALIMANTAN UTARA,8,6.63,6.38
Malinau,15.29,12.67,11.71
Bulungan,14.57,12.14,11.76
Tana Tidung,13.89,11.41,9.83
Nunukan,12.45,10.38,9.62
Kota Tarakan,10.23,8.41,7.97
SULAWESI UTARA,9.59,8.46,7.63
Bolaang Mongondow,9.7,8.6,7.68
Minahasa,8.99,7.93,7.16
Kepulauan Sangihe,13.21,11.69,10.66
Kepulauan Talaud,11.37,10.05,9.06
Minahasa Selatan,10.74,9.48,8.61
Minahasa Utara,8.38,7.38,6.69
Bolaang Mongondow Utara,10.23,8.98,8.01
Siau Tagulandang Biaro,11.79,10.38,9.48
Minahasa Tenggara,17.64,15.35,14.24
Bolaang Mongondow Selatan,18.81,16.57,15.07
Bolaang Mongondow Timur,7.81,6.93,6.2
Kota Manado,6.15,5.4,4.91
Kota Bitung,9.52,8.46,7.45
Kota Tomohon,7.39,6.56,5.82
Kota Kotamobagu,7.57,6.64,5.85
SULAWESI TENGAH,17.24,16.04,14.94
Banggai Kepulauan,19.47,18.08,17.03
Banggai,12.06,11.25,10.48
Morowali,20.27,18.85,17.25
Poso,21.42,20.1,18.46
Donggala,19.42,18.03,17.03
Toli-Toli,16.16,15.03,14.12
Buol,18.67,17.4,15.99
Parigi Moutong,20.11,18.7,17.36
Tojo Una-Una,24.06,22.37,20.98
Sigi,15.09,14.03,13.2
Banggai Laut,-,-,-
Morowali Utara,-,-,-
Kota Palu,9.98,9.24,8.58
SULAWESI SELATAN,11.4,10.27,9.82
Kepulauan Selayar,14.98,13.49,12.87
Bulukumba,9.02,8.12,7.83
Bantaeng,10.24,9.21,8.9
Jeneponto,19.09,17.16,16.59
Takalar,11.16,10.04,9.6
Gowa,9.49,8.55,8.06
Sinjai,10.68,9.63,9.29
Maros,14.62,13.14,12.56
Pangkajene Dan Kepulauan,19.26,17.36,16.63
Barru,10.68,9.59,9.28
Bone,14.08,12.67,12.25
Soppeng,10.41,9.36,9.12
Wajo,8.96,8.06,7.83
Sidenreng Rappang,6.99,6.29,6
Pinrang,9.01,8.12,7.83
Enrekang,16.84,15.18,14.45
Luwu,15.43,13.93,13.34
Tana Toraja,14.61,13.22,12.73
Luwu Utara,16.24,14.64,14.03
Luwu Timur,9.18,8.29,7.72
Toraja Utara,19.08,17.06,16.28
Kota Makassar,5.86,5.29,5.02
Kota Parepare,6.53,5.91,5.58
Kota Palopo,11.28,10.22,9.47
SULAWESI TENGGARA,15.69,14.61,13.05
Buton,17.95,16.64,15.46
Muna,17.35,16.14,14.64
Konawe,17.45,16.24,14.62
Kolaka,18.9,17.62,15.55
Konawe Selatan,13.49,12.57,11.22
Bombana,15.7,14.68,12.81
Wakatobi,18.49,17.1,15.99
Kolaka Utara,20.04,18.76,16.39
Buton Utara,18.78,17.34,15.74
Konawe Utara,13.69,12.8,11.78
Kolaka Timur,-,-,-
Konawe Kepulauan,-,-,-
Muna Barat,-,-,-
Buton Tengah,-,-,-
Buton Selatan,-,-,-
Kota Kendari,8.02,7.46,6.39
Kota Baubau,12.06,11.24,10.02
GORONTALO,16.55,18.02,17.22
Boalemo,19.82,21.9,20.42
Gorontalo,18.87,21.31,20.79
Pohuwato,18.73,21.58,20.18
Bone Bolango,17.64,17.39,16.67
Gorontalo Utara,19.58,19.22,18.54
Kota Gorontalo,5.49,5.97,5.61
SULAWESI BARAT,14.71,13.64,13.01
Majene,18.41,17.06,16.51
Polewali Mandar,21.24,19.66,19.09
Mamasa,16.24,15.04,14.38
Mamuju,8.16,7.59,7.11
Mamuju Utara,6.2,5.77,5.3
Mamuju Tengah,-,-,-
MALUKU,25.32,22.45,20.76
Maluku Tenggara Barat,33.93,30.13,28.45
Maluku Tenggara,30.7,27.16,26.03
Maluku Tengah,28.41,25.15,24.05
Buru,24.82,22,19.78
Kepulauan Aru,34.96,30.96,28.57
Seram Bagian Barat,30.08,26.7,25.35
Seram Bagian Timur,31.44,27.94,25.92
Maluku Barat Daya,39.22,34.49,32.55
Buru Selatan,21.82,19.33,18.29
Kota Ambon,7.67,6.83,5.98
Kota Tual,32.01,28.17,25.66
MALUKU UTARA,9.79,10,8.05
Halmahera Barat,13.3,12.93,10.61
Halmahera Tengah,24.56,22.68,18.4
Kepulauan Sula,8.98,10.42,8.5
Halmahera Selatan,9.51,8.11,6.56
Halmahera Utara,7.82,8.46,6.72
Halmahera Timur,19.3,20.72,16.34
Pulau Morotai,10.59,11.61,9.45
Pulau Taliabu,-,-,-
Kota Ternate,4.53,5.16,4
Kota Tidore Kepulauan,7.08,7.34,6
PAPUA BARAT,28.59,28.53,27.04
Fakfak,33.25,33.18,29.22
Kaimana,20.89,20.84,17.97
Teluk Wondama,44.25,43.86,38.35
Teluk Bintuni,47.53,47.44,40.53
Manokwari,34,33.95,29.37
Sorong Selatan,23.02,22.93,19.96
Sorong,33.43,33.38,33.63
Raja Ampat,23.58,23.5,21.01
Tambrauw,44.71,43.77,38.68
Maybrat,40.13,40.16,34.92
Manokwari Selatan,-,-,-
Pegunungan Arfak,-,-,-
Kota Sorong,14.04,14.04,19.32
PAPUA BARAT DAYA,-,-,-
Raja Ampat,-,-,-
Sorong,-,-,-
Sorong Selatan,-,-,-
Maybrat,-,-,-
Tambrauw,-,-,-
Kota Sorong,-,-,-
PAPUA,34.1,31.25,30.66
Merauke,14.54,13.22,12.95
Jayawijaya,41.84,39.03,39.05
Jayapura,18.64,17.3,17.08
Nabire,33.68,30.86,30.65
Kepulauan Yapen,33.54,30.76,30.35
Biak Numfor,33.61,30.31,29.84
Paniai,43.47,37.18,38.69
Puncak Jaya,43.8,40.25,38.21
Mimika,22.57,20.78,20.09
Boven Digoel,25.79,23.52,22.79
Mappi,33.11,30.14,29.3
Asmat,35.4,32.38,30.57
Yahukimo,46.21,42.49,41.98
Pegunungan Bintang,40.08,36.23,35.63
Tolikara,41.17,37.81,36.3
Sarmi,21.09,19.42,18.82
Keerom,24.12,21.98,21.65
Waropen,39.88,36.23,36.63
Supiori,45.75,42.73,41.58
Mamberamo Raya,39.98,36.38,35.21
Nduga *,42.53,39.49,38.14
Lanny Jaya,46.55,43.68,42.33
Mamberamo Tengah,43.15,43.69,42.84
Yalimo,44.13,40.65,39.49
Puncak,44.65,40.77,39.38
Dogiyai,33.96,30.4,30.08
Intan Jaya,47.82,41.53,40.65
Deiyai,49.58,46.76,45.93
Kota Jayapura,17.31,16.03,15.77
PAPUA SELATAN,-,-,-
Merauke,-,-,-
Boven Digoel,-,-,-
Mappi,-,-,-
Asmat,-,-,-
PAPUA TENGAH,-,-,-
Mimika,-,-,-
Dogiyai,-,-,-
Deiyai,-,-,-
Nabire,-,-,-
Paniai,-,-,-
Intan Jaya,-,-,-
Puncak,-,-,-
Puncak Jaya,-,-,-
PAPUA PEGUNUNGAN,-,-,-
Nduga,-,-,-
Jayawijaya,-,-,-
Lanny Jaya,-,-,-
Tolikara,-,-,-
Mamberamo Tengah,-,-,-
Yalimo,-,-,-
Yahukimo,-,-,-
Pegunungan Bintang,-,-,-
