Nama Wilayah,,,
,Indeks Keparahan Kemiskinan (P2) Menurut Kabupaten/Kota,,
,2013,2014,2015
ACEH,0.83,0.86,0.83
Simeulue,0.91,0.56,0.64
Aceh Singkil,0.66,0.68,1.84
Aceh Selatan,0.44,0.42,0.42
Aceh Tenggara,0.37,0.58,0.83
Aceh Timur,0.8,0.82,0.59
Aceh Tengah,0.39,0.43,0.6
Aceh Barat,0.85,1.18,1.38
Aceh Besar,0.76,0.69,0.55
Pidie,0.67,0.75,1.41
Bireuen,0.67,0.53,0.47
Aceh Utara,0.54,0.74,0.82
Aceh Barat Daya,0.63,0.57,0.61
Gayo Lues,1.06,1.2,1.07
Aceh Tamiang,0.56,0.37,0.44
Nagan Raya,0.87,1.17,1.06
Aceh Jaya,0.83,0.71,0.55
Bener Meriah,0.73,0.79,0.83
Pidie Jaya,0.83,0.57,1.06
Kota Banda Aceh,0.35,0.23,0.5
Kota Sabang,1.2,0.89,0.85
Kota Langsa,0.39,0.39,0.57
Kota Lhokseumawe,0.49,0.46,0.62
Kota Subulussalam,0.42,0.67,0.91
SUMATERA UTARA,0.46,0.45,0.42
Nias,0.33,0.31,1.01
Mandailing Natal,0.39,0.34,0.3
Tapanuli Selatan,0.47,0.21,0.22
Tapanuli Tengah,0.65,0.45,0.45
Tapanuli Utara,0.39,0.27,0.35
Toba Samosir,0.38,0.26,0.21
Labuhan Batu,0.31,0.38,0.2
Asahan,0.46,0.42,0.36
Simalungun,0.34,0.22,0.26
Dairi,0.26,0.25,0.15
Karo,0.35,0.18,0.34
Deli Serdang,0.13,0.07,0.09
Langkat,0.31,0.26,0.42
Nias Selatan,0.33,0.54,0.62
Humbang Hasundutan,0.26,0.18,0.27
Pakpak Bharat,0.24,0.24,0.18
Samosir,0.16,0.4,0.3
Serdang Bedagai,0.25,0.2,0.3
Batu Bara,0.67,0.38,0.31
Padang Lawas Utara,0.35,0.27,0.22
Padang Lawas,0.33,0.27,0.18
Labuhan Batu Selatan,0.38,0.3,0.29
Labuhan Batu Utara,0.38,0.34,0.36
Nias Utara,1.31,1.07,1.6
Nias Barat,1.19,0.95,1.72
Kota Sibolga,0.32,0.38,0.69
Kota Tanjung Balai,0.64,0.4,0.46
Kota Pematang Siantar,0.48,0.28,0.32
Kota Tebing Tinggi,0.17,0.24,0.29
Kota Medan,0.34,0.28,0.24
Kota Binjai,0.21,0.13,0.17
Kota Padangsidimpuan,0.14,0.44,0.53
Kota Gunungsitoli,1.53,1.02,1.16
SUMATERA BARAT,0.3,0.15,0.21
Kepulauan Mentawai,0.46,0.55,0.71
Pesisir Selatan,0.14,0.13,0.15
Solok,0.29,0.2,0.3
Sijunjung,0.41,0.22,0.25
Tanah Datar,0.04,0.08,0.06
Padang Pariaman,0.23,0.25,0.2
Agam,0.18,0.14,0.17
Lima Puluh Kota,0.25,0.16,0.18
Pasaman,0.22,0.27,0.2
Solok Selatan,0.26,0.1,0.22
Dharmasraya,0.25,0.2,0.25
Pasaman Barat,0.13,0.13,0.32
Kota Padang,0.11,0.08,0.09
Kota Solok,0.1,0.11,0.08
Kota Sawah Lunto,0.08,0.04,0.03
Kota Padang Panjang,0.15,0.16,0.08
Kota Bukittinggi,0.23,0.28,0.23
Kota Payakumbuh,0.04,0.15,0.13
Kota Pariaman,0.1,0.2,0.09
RIAU,0.24,0.29,0.36
Kuantan Singingi,0.51,0.31,0.36
Indragiri Hulu,0.23,0.39,0.36
Indragiri Hilir,0.29,0.24,0.4
Pelalawan,0.61,0.61,0.65
Siak,0.14,0.12,0.12
Kampar,0.15,0.3,0.32
Rokan Hulu,0.34,0.26,0.34
Bengkalis,0.15,0.24,0.25
Rokan Hilir,0.26,0.17,0.34
Kepulauan Meranti,1.51,1.93,2.03
Kota Pekanbaru,0.07,0.04,0.08
Kota Dumai,0.16,0.06,0.11
JAMBI,0.26,0.23,0.35
Kerinci,0.3,0.26,0.36
Merangin,0.37,0.33,0.32
Sarolangun,0.41,0.17,0.18
Batang Hari,0.14,0.14,0.54
Muaro Jambi,0.1,0.07,0.13
Tanjung Jabung Timur,0.36,0.44,0.45
Tanjung Jabung Barat,0.53,0.45,0.61
Tebo,0.1,0.12,0.11
Bungo,0.13,0.1,0.12
Kota Jambi,0.26,0.2,0.25
Kota Sungai Penuh,0.07,0.07,0.12
SUMATERA SELATAN,0.73,0.62,0.64
Ogan Komering Ulu,0.48,0.45,0.47
Ogan Komering Ilir,0.52,0.56,0.85
Muara Enim,0.76,0.63,0.54
Lahat,0.7,0.56,0.7
Musi Rawas,0.44,0.47,0.4
Musi Banyuasin,0.83,0.7,0.65
Banyu Asin,0.55,0.53,0.75
Ogan Komering Ulu Selatan,0.34,0.52,0.34
Ogan Komering Ulu Timur,0.23,0.27,0.34
Ogan Ilir,0.36,0.54,0.73
Empat Lawang,0.38,0.43,0.38
Penukal Abab Lematang Ilir,-,-,0.5
Musi Rawas Utara,-,-,0.73
Kota Palembang,0.46,0.57,0.49
Kota Prabumulih,0.41,0.53,0.47
Kota Pagar Alam,0.16,0.32,0.4
Kota Lubuklinggau,0.6,0.5,0.57
BENGKULU,0.89,0.75,0.97
Bengkulu Selatan,1.1,1.24,1.34
Rejang Lebong,0.66,0.6,0.74
Bengkulu Utara,0.67,0.39,0.56
Kaur,0.98,1.13,0.83
Seluma,1.53,1.11,1.32
Mukomuko,0.34,0.37,0.74
Lebong,0.55,0.31,0.42
Kepahiang,0.56,0.63,0.67
Bengkulu Tengah,0.14,0.25,0.27
Kota Bengkulu,0.98,0.91,1.42
LAMPUNG,0.59,0.56,0.59
Lampung Barat,0.46,0.36,0.56
Tanggamus,0.34,0.6,0.46
Lampung Selatan,0.74,0.47,0.71
Lampung Timur,0.6,0.72,0.63
Lampung Tengah,0.57,0.41,0.59
Lampung Utara,0.75,0.98,1.14
Way Kanan,0.42,0.42,0.49
Tulangbawang,0.17,0.46,0.51
Pesawaran,0.66,0.64,0.75
Pringsewu,0.15,0.21,0.25
Mesuji,0.12,0.17,0.24
Tulang Bawang Barat,0.25,0.14,0.36
Pesisir Barat,-,-,0.64
Kota Bandar Lampung,0.43,0.38,0.24
Kota Metro,0.3,0.46,0.37
KEP. BANGKA BELITUNG,0.12,0.12,0.14
Bangka,0.24,0.19,0.1
Belitung,0.1,0.24,0.23
Bangka Barat,0.04,0.04,0.05
Bangka Tengah,0.22,0.09,0.2
Bangka Selatan,0.06,0.07,0.07
Belitung Timur,0.19,0.25,0.18
Kota Pangkal Pinang,0.07,0.08,0.07
KEPULAUAN RIAU,0.26,0.18,0.25
Karimun,0.16,0.2,0.2
Bintan,0.22,0.15,0.19
Natuna,0.11,0.14,0.07
Lingga,0.51,0.53,0.46
Kepulauan Anambas,0.18,0.08,0.26
Kota Batam,0.16,0.1,0.14
Kota Tanjung Pinang,0.29,0.35,0.27
DKI JAKARTA,0.07,0.13,0.1
Kepulauan Seribu,0.02,0.53,0.29
Kota Jakarta Selatan,0.08,0.11,0.07
Kota Jakarta Timur,0.11,0.06,0.12
Kota Jakarta Pusat,0.07,0.08,0.02
Kota Jakarta Barat,0.13,0.15,0.03
Kota Jakarta Utara,0.13,0.15,0.19
JAWA BARAT,0.44,0.33,0.43
Bogor,0.33,0.29,0.46
Sukabumi,0.38,0.34,0.25
Cianjur,0.39,0.35,0.45
Bandung,0.25,0.12,0.43
Garut,0.41,0.38,0.54
Tasikmalaya,0.28,0.21,0.45
Ciamis,0.29,0.31,0.3
Kuningan,0.47,0.53,0.62
Cirebon,0.46,0.56,0.57
Majalengka,0.55,0.48,0.6
Sumedang,0.32,0.26,0.45
Indramayu,0.47,0.44,0.62
Subang,0.41,0.24,0.81
Purwakarta,0.32,0.33,0.37
Karawang,0.36,0.37,0.34
Bekasi,0.18,0.12,0.16
Bandung Barat,0.64,0.39,0.59
Pangandaran,-,-,0.43
Kota Bogor,0.21,0.23,0.33
Kota Sukabumi,0.25,0.11,0.41
Kota Bandung,0.08,0.17,0.19
Kota Cirebon,0.2,0.18,0.26
Kota Bekasi,0.16,0.19,0.15
Kota Depok,0.06,0.09,0.06
Kota Cimahi,0.29,0.21,0.21
Kota Tasikmalaya,0.63,0.86,0.69
Kota Banjar,0.31,0.19,0.11
JAWA TENGAH,0.59,0.51,0.65
Cilacap,0.45,0.61,0.76
Banyumas,0.83,0.56,0.71
Purbalingga,0.73,0.8,0.85
Banjarnegara,0.77,0.73,0.93
Kebumen,0.91,0.61,1.19
Purworejo,0.43,0.42,0.63
Wonosobo,1.25,1.09,1.6
Magelang,0.34,0.47,0.32
Boyolali,0.56,0.32,0.5
Klaten,0.55,0.45,0.72
Sukoharjo,0.14,0.14,0.25
Wonogiri,0.37,0.34,0.5
Karanganyar,0.61,0.48,0.4
Sragen,0.52,0.45,0.76
Grobogan,0.53,0.59,0.65
Blora,0.59,0.5,0.54
Rembang,0.88,0.65,0.99
Pati,0.41,0.32,0.55
Kudus,0.12,0.15,0.17
Jepara,0.25,0.23,0.28
Demak,0.47,0.4,0.6
Semarang,0.17,0.29,0.3
Temanggung,0.26,0.3,0.47
Kendal,0.46,0.41,0.57
Batang,0.49,0.29,0.43
Pekalongan,0.39,0.42,0.46
Pemalang,0.61,0.53,1.24
Tegal,0.42,0.32,0.36
Brebes,0.76,0.66,0.93
Kota Magelang,0.37,0.2,0.31
Kota Surakarta,0.34,0.3,0.4
Kota Salatiga,0.18,0.21,0.26
Kota Semarang,0.13,0.08,0.09
Kota Pekalongan,0.16,0.26,0.15
Kota Tegal,0.18,0.38,0.35
D I YOGYAKARTA,0.46,0.61,0.83
Kulon Progo,0.51,0.69,1.24
Bantul,0.69,0.59,0.89
Gunung Kidul,0.86,1.03,1.33
Sleman,0.3,0.22,0.37
Kota Yogyakarta,0.27,0.26,0.23
JAWA TIMUR,0.5,0.45,0.52
Pacitan,0.55,0.54,0.9
Ponorogo,0.36,0.3,0.33
Trenggalek,0.35,0.44,0.59
Tulungagung,0.24,0.24,0.3
Blitar,0.38,0.23,0.38
Kediri,0.43,0.49,0.45
Malang,0.43,0.4,0.55
Lumajang,0.18,0.41,0.41
Jember,0.22,0.31,0.33
Banyuwangi,0.37,0.25,0.2
Bondowoso,0.5,0.6,0.39
Situbondo,0.51,0.76,0.59
Probolinggo,0.81,0.74,0.97
Pasuruan,0.45,0.46,0.31
Sidoarjo,0.22,0.15,0.14
Mojokerto,0.29,0.23,0.43
