Nama Wilayah,,,
,Indeks Keparahan Kemiskinan (P2) Menurut Kabupaten/Kota,,
Jombang,0.28,0.27,0.39
Nganjuk,0.44,0.36,0.42
Madiun,0.31,0.33,0.46
Magetan,0.16,0.31,0.38
Ngawi,0.36,0.64,0.59
Bojonegoro,0.6,0.68,0.42
Tuban,0.71,0.6,0.79
Lamongan,0.4,0.55,0.58
Gresik,0.72,0.66,0.67
Bangkalan,0.98,0.7,0.78
Sampang,0.97,0.79,1.44
Pamekasan,0.7,0.57,0.88
Sumenep,0.9,0.91,0.45
Kota Kediri,0.47,0.17,0.43
Kota Blitar,0.2,0.16,0.18
Kota Malang,0.07,0.12,0.11
Kota Probolinggo,0.19,0.18,0.37
Kota Pasuruan,0.26,0.3,0.44
Kota Mojokerto,0.15,0.14,0.26
Kota Madiun,0.23,0.16,0.1
Kota Surabaya,0.13,0.16,0.15
Kota Batu,0.07,0.05,0.13
BANTEN,0.29,0.18,0.23
Pandeglang,0.33,0.28,0.37
Lebak,0.24,0.34,0.34
Tangerang,0.18,0.12,0.18
Serang,0.1,0.11,0.15
Kota Tangerang,0.1,0.13,0.26
Kota Cilegon,0.05,0.31,0.07
Kota Serang,0.14,0.15,0.26
Kota Tangerang Selatan,0.04,0.04,0.05
BALI,0.16,0.26,0.14
Jembrana,0.13,0.08,0.19
Tabanan,0.19,0.14,0.09
Badung,0.06,0.06,0.02
Gianyar,0.09,0.11,0.1
Klungkung,0.14,0.36,0.22
Bangli,0.04,0.21,0.17
Karang Asem,0.2,0.19,0.2
Buleleng,0.17,0.17,0.14
Kota Denpasar,0.08,0.04,0.04
NUSA TENGGARA BARAT,0.66,0.72,0.91
Lombok Barat,0.72,0.85,0.77
Lombok Tengah,0.5,0.48,0.87
Lombok Timur,0.54,0.61,0.87
Sumbawa,0.61,0.76,0.63
Dompu,0.45,0.42,0.61
Bima,0.54,0.66,0.57
Sumbawa Barat,1.47,0.58,0.81
Lombok Utara,2.37,2.26,2.61
Kota Mataram,0.5,0.52,0.38
Kota Bima,0.34,0.26,0.49
NUSA TENGGARA TIMUR,0.69,0.79,1.07
Sumba Barat,0.93,1.01,1.19
Sumba Timur,1.72,1.2,1.4
Kupang,0.78,0.98,1.5
Timor Tengah Selatan,0.99,1.25,1.74
Timor Tengah Utara,0.51,0.72,0.98
Belu,0.37,0.38,0.65
Alor,0.66,0.66,0.81
Lembata,0.84,1.03,1.59
Flores Timur,0.11,0.3,0.14
Sikka,0.42,0.4,0.44
Ende,0.83,0.82,0.74
Ngada,0.28,0.19,0.6
Manggarai,0.64,0.52,1.17
Rote Ndao,1.8,1.63,2.13
Manggarai Barat,1.15,0.63,0.79
Sumba Tengah,1.83,1.64,1.34
Sumba Barat Daya,1.17,0.68,1.12
Nagekeo,0.55,0.25,0.47
Manggarai Timur,0.68,0.69,1.09
Sabu Raijua,1.19,1.32,1.81
Malaka,-,-,0.36
Kota Kupang,0.21,0.22,0.29
KALIMANTAN BARAT,0.32,0.35,0.32
Sambas,0.39,0.24,0.33
Bengkayang,0.23,0.23,0.22
Landak,0.83,0.82,0.57
Pontianak,0.19,0.17,0.1
Sanggau,0.1,0.09,0.2
Ketapang,0.45,0.77,0.43
Sintang,0.22,0.37,0.27
Kapuas Hulu,0.19,0.5,0.49
Sekadau,0.17,0.13,0.13
Melawi,0.29,0.63,0.68
Kayong Utara,0.22,0.37,0.16
Kubu Raya,0.06,0.1,0.16
Kota Pontianak,0.18,0.18,0.1
Kota Singkawang,0.11,0.24,0.14
KALIMANTAN TENGAH,0.3,0.25,0.21
Kotawaringin Barat,0.1,0.06,0.11
Kotawaringin Timur,0.12,0.11,0.1
Kapuas,0.28,0.17,0.21
Barito Selatan,0.21,0.22,0.15
Barito Utara,0.08,0.13,0.25
Sukamara,0.17,0.12,0.11
Lamandau,0.17,0.21,0.23
Seruyan,0.19,0.27,0.16
Katingan,0.19,0.27,0.22
Pulang Pisau,0.3,0.09,0.15
Gunung Mas,0.13,0.07,0.31
Barito Timur,0.38,0.41,0.15
Murung Raya,0.21,0.09,0.25
Kota Palangka Raya,0.09,0.09,0.11
KALIMANTAN SELATAN,0.11,0.15,0.18
Tanah Laut,0.09,0.12,0.18
Kota Baru,0.22,0.17,0.17
Banjar,0.17,0.13,0.06
Barito Kuala,0.08,0.07,0.35
Tapin,0.05,0.17,0.08
Hulu Sungai Selatan,0.17,0.22,0.09
Hulu Sungai Tengah,0.17,0.09,0.15
Hulu Sungai Utara,0.11,0.14,0.29
Tabalong,0.09,0.13,0.13
Tanah Bumbu,0.19,0.16,0.13
Balangan,0.23,0.42,0.22
Kota Banjarmasin,0.11,0.21,0.15
Kota Banjar Baru,0.04,0.22,0.1
KALIMANTAN TIMUR,0.39,0.18,0.22
Paser,0.32,0.18,0.29
Kutai Barat,0.36,0.46,0.41
Kutai Kartanegara,0.17,0.2,0.25
Kutai Timur,0.3,0.65,0.28
Berau,0.12,0.11,0.27
Penajam Paser Utara,0.19,0.32,0.24
Mahakam Hulu,-,-,0.47
Kota Balikpapan,0.05,0.04,0.03
Kota Samarinda,0.1,0.07,0.12
Kota Bontang,0.19,0.1,0.12
KALIMANTAN UTARA,0.39,0.18,0.18
Malinau,0.55,0.34,0.15
Bulungan,0.55,0.36,0.33
Tana Tidung,0.05,0.47,0.26
Nunukan,0.29,0.27,0.1
Kota Tarakan,0.33,0.1,0.02
SULAWESI UTARA,0.28,0.3,0.33
Bolaang Mongondow,0.22,0.14,0.33
Minahasa,0.26,0.29,0.37
Kepulauan Sangihe,0.32,0.46,0.5
Kepulauan Talaud,0.35,0.18,0.43
Minahasa Selatan,0.46,0.19,0.37
Minahasa Utara,0.13,0.25,0.2
Bolaang Mongondow Utara,0.42,0.31,0.23
Siau Tagulandang Biaro,0.24,0.51,0.22
Minahasa Tenggara,0.98,0.34,0.79
Bolaang Mongondow Selatan,0.3,0.74,0.98
Bolaang Mongondow Timur,0.1,0.14,0.1
Kota Manado,0.17,0.17,0.25
Kota Bitung,0.2,0.29,0.11
Kota Tomohon,0.42,0.29,0.46
Kota Kotamobagu,0.05,0.08,0.1
SULAWESI TENGAH,0.53,0.55,0.66
Banggai Kepulauan,0.56,0.59,0.77
Banggai,0.26,0.25,0.35
Morowali,0.59,0.71,0.42
Poso,0.78,0.44,0.69
Donggala,0.98,0.7,0.89
Toli-Toli,0.53,0.46,0.45
Buol,0.42,0.67,0.81
Parigi Moutong,0.53,0.78,0.88
Tojo Una-Una,1.08,0.44,0.86
Sigi,0.41,0.78,0.51
Banggai Laut,-,-,1.55
Morowali Utara,-,-,0.79
Kota Palu,0.32,0.23,0.27
SULAWESI SELATAN,0.4,0.32,0.45
Kepulauan Selayar,0.54,0.44,0.54
Bulukumba,0.17,0.3,0.26
Bantaeng,0.49,0.59,0.26
Jeneponto,0.61,0.43,1.01
Takalar,0.35,0.25,0.34
Gowa,0.25,0.25,0.46
Sinjai,0.33,0.32,0.46
Maros,0.63,0.49,0.69
Pangkajene Dan Kepulauan,0.85,0.72,1.11
Barru,0.26,0.25,0.37
Bone,0.47,0.25,0.4
Soppeng,0.15,0.21,0.19
Wajo,0.35,0.31,0.32
Sidenreng Rappang,0.23,0.34,0.13
Pinrang,0.22,0.25,0.52
Enrekang,0.44,0.18,0.52
Luwu,0.52,0.5,0.69
Tana Toraja,0.38,0.26,0.91
Luwu Utara,0.43,0.42,0.8
Luwu Timur,0.32,0.32,0.35
Toraja Utara,0.86,0.77,0.39
Kota Makassar,0.24,0.17,0.12
Kota Parepare,0.18,0.28,0.16
Kota Palopo,0.3,0.26,0.52
SULAWESI TENGGARA,0.43,0.52,0.79
Buton,0.73,0.37,0.4
Muna,0.74,0.57,0.76
Konawe,0.43,0.5,0.98
Kolaka,1.16,0.59,0.74
Konawe Selatan,0.31,0.39,0.4
Bombana,0.59,0.39,0.69
Wakatobi,0.37,0.17,1.08
Kolaka Utara,0.95,0.58,0.8
Buton Utara,1.34,0.64,0.88
Konawe Utara,0.13,0.11,0.3
Kolaka Timur,-,-,0.78
Konawe Kepulauan,-,-,1.91
Muna Barat,-,-,-
Buton Tengah,-,-,-
Buton Selatan,-,-,-
Kota Kendari,0.13,0.28,0.19
Kota Baubau,0.5,0.73,0.41
GORONTALO,0.85,0.83,1.24
Boalemo,0.77,1.31,1.45
Gorontalo,1.13,0.9,1.4
Pohuwato,1.46,0.77,1.41
Bone Bolango,0.67,0.52,1.1
Gorontalo Utara,0.81,0.8,1.25
Kota Gorontalo,0.18,0.19,0.15
SULAWESI BARAT,0.27,0.51,0.46
Majene,0.56,0.36,0.54
Polewali Mandar,0.76,0.7,0.56
Mamasa,0.58,0.39,0.31
Mamuju,0.17,0.12,0.18
Mamuju Utara,0.14,0.2,0.25
Mamuju Tengah,-,-,0.25
MALUKU,0.93,1.37,0.92
Maluku Tenggara Barat,1.03,1.17,0.9
Maluku Tenggara,1.07,1.2,0.82
Maluku Tengah,1.13,1.38,1.51
Buru,0.58,0.61,0.67
Kepulauan Aru,0.88,0.81,1.48
Seram Bagian Barat,1.33,1.58,1.25
Seram Bagian Timur,0.77,0.87,0.69
Maluku Barat Daya,1.48,1.24,1.5
Buru Selatan,0.25,0.27,0.52
Kota Ambon,0.09,0.12,0.06
Kota Tual,0.86,1.17,0.46
MALUKU UTARA,0.16,0.24,0.13
Halmahera Barat,0.21,0.28,0.09
Halmahera Tengah,0.32,0.61,0.47
Kepulauan Sula,0.26,0.44,0.21
Halmahera Selatan,0.14,0.19,0.09
Halmahera Utara,0.1,0.12,0.06
Halmahera Timur,0.54,0.31,0.84
Pulau Morotai,0.08,0.04,0.04
Pulau Taliabu,-,-,0.17
Kota Ternate,0,0.05,0.02
Kota Tidore Kepulauan,0.08,0.09,0.12
PAPUA BARAT,1.84,1.88,2.33
Fakfak,1.3,1.63,1.99
Kaimana,0.46,1.02,0.75
Teluk Wondama,2.77,4.18,5.36
Teluk Bintuni,3.12,5.24,6.38
Manokwari,4.16,1.81,1.35
Sorong Selatan,0.56,1.3,0.86
Sorong,1.87,2.58,2.38
Raja Ampat,0.68,1.1,1.02
Tambrauw,2.15,2.55,2.1
Maybrat,2.63,1.34,2.14
Manokwari Selatan,-,-,4.4
Pegunungan Arfak,-,-,1.35
Kota Sorong,1.35,1.06,0.76
PAPUA BARAT DAYA,-,-,-
Raja Ampat,-,-,-
Sorong,-,-,-
Sorong Selatan,-,-,-
Maybrat,-,-,-
Tambrauw,-,-,-
Kota Sorong,-,-,-
PAPUA,2.01,2.18,3.78
Merauke,0.71,0.45,0.53
Jayawijaya,2.42,7.11,4.39
Jayapura,1.31,0.85,1.34
Nabire,2.7,1.76,1.95
Kepulauan Yapen,1.74,1.97,3.77
Biak Numfor,0.94,2.07,1.85
Paniai,4.08,1.62,7.25
Puncak Jaya,0.55,1.24,1.7
Mimika,2.44,0.77,2
Boven Digoel,0.87,1.04,3.82
Mappi,1.65,1.12,1.37
Asmat,2.01,1.1,1.18
Yahukimo,3.43,1.95,2.46
Pegunungan Bintang,0.38,0.49,2.35
Tolikara,0.93,1.07,4.52
Sarmi,1.37,1.03,0.23
Keerom,0.67,1.02,1.31
Waropen,4.68,1.68,2.6
Supiori,1.93,1.51,4.21
Mamberamo Raya,1.36,2.2,2.99
Nduga *,1.47,1.1,1.1
Lanny Jaya,2.19,3.33,4.66
Mamberamo Tengah,0.75,0.36,0.41
Yalimo,2.05,1.72,1.06
Puncak,0.57,7.77,1.72
Dogiyai,0.94,1.12,3
Intan Jaya,8.62,3.61,6.96
Deiyai,7.27,5.26,6.17
Kota Jayapura,1.14,0.87,0.47
PAPUA SELATAN,-,-,-
Merauke,-,-,-
Boven Digoel,-,-,-
Mappi,-,-,-
Asmat,-,-,-
PAPUA TENGAH,-,-,-
Mimika,-,-,-
Dogiyai,-,-,-
Deiyai,-,-,-
Nabire,-,-,-
Paniai,-,-,-
Intan Jaya,-,-,-
Puncak,-,-,-
Puncak Jaya,-,-,-
PAPUA PEGUNUNGAN,-,-,-
Nduga,-,-,-
Jayawijaya,-,-,-
Lanny Jaya,-,-,-
Tolikara,-,-,-
Mamberamo Tengah,-,-,-
Yalimo,-,-,-
Yahukimo,-,-,-
Pegunungan Bintang,-,-,-
