Provinsi,Rencana Jumlah Keluarga Penerima Manfaat (KPM) Bantuan Sosial Pangan (BANSOS PANGAN),Realisasi Jumlah Keluarga Penerima Manfaat (KPM) Bantuan Sosial Pangan (BANSOS PANGAN),Rencana Anggaran Bantuan Sosial Pangan (BANSOS PANGAN) (Rp),Realisasi Anggaran Bantuan Sosial Pangan (BANSOS PANGAN) (Rp),Tahun
Kalimantan Timur,128355,125079,25671000000,25015800000,2020
Kalimantan Utara,26106,28641,5221200000,5728200000,2020
Sulawesi Utara,156915,164371,31383000000,32874200000,2020
Sulawesi Tengah,210400,221982,42080000000,44396400000,2020
Sulawesi Selatan,597844,647922,119569000000,129584000000,2020
Sulawesi Tenggara,181271,199591,36254200000,39918200000,2020
Gorontalo,117664,113750,23532800000,22750000000,2020
Sulawesi Barat,94570,101617,18914000000,20323400000,2020
Maluku,114961,122879,22992200000,24575800000,2020
Maluku Utara,50522,51252,10104400000,10250400000,2020
Papua Barat,76343,75822,15268600000,15164400000,2020
Papua,185606,326408,37121200000,65281600000,2020
Indonesia,20000000,18997348,4000000000000,3799470000000,2020
Aceh,428504,388854,1239760000000,1062150000000,2021
Sumatera Utara,728629,789834,2102280000000,1934370000000,2021
Sumatera Barat,276782,298621,807517000000,739701000000,2021
Riau,265006,259290,779850000000,682679000000,2021
Jambi,176026,171970,519521000000,448409000000,2021
Sumatera Selatan,489532,489642,1434910000000,1279590000000,2021
Bengkulu,141533,138977,406209000000,353292000000,2021
Lampung,718887,715565,2100830000000,1861760000000,2021
Kepulauan Bangka Belitung,51644,53248,152302000000,135539000000,2021
Kepulauan Riau,64390,59911,180572000000,156540000000,2021
DKI Jakarta,187962,224107,541384000000,531316000000,2021
Jawa Barat,4389031,4220864,11043500000000,10300200000000,2021
Jawa Tengah,3438486,3282992,9587730000000,8822860000000,2021
DI Yogyakarta,354996,336898,1027860000000,907719000000,2021
Jawa Timur,3113547,3068572,8902550000000,8281080000000,2021
Banten,487056,537221,1459930000000,1348940000000,2021
Bali,167283,154970,476111000000,429749000000,2021
Nusa Tenggara Barat,469099,473816,1464640000000,1289220000000,2021
Nusa Tenggara Timur,411815,424085,1274180000000,1142990000000,2021
Kalimantan Barat,280641,290042,836756000000,753734000000,2021
Kalimantan Tengah,86948,86319,280740000000,229386000000,2021
Kalimantan Selatan,168415,165801,505132000000,450132000000,2021
Kalimantan Timur,111646,110490,332368000000,299270000000,2021
Kalimantan Utara,25896,25907,81460800000,68671600000,2021
Sulawesi Utara,131668,132042,396790000000,353144000000,2021
Sulawesi Tengah,184985,187427,539966000000,495119000000,2021
Sulawesi Selatan,559094,569335,1612080000000,1507680000000,2021
Sulawesi Tenggara,173097,169843,503333000000,461953000000,2021
Gorontalo,103016,99289,292845000000,271835000000,2021
Sulawesi Barat,97551,94456,272874000000,254504000000,2021
Maluku,102061,97879,301604000000,262072000000,2021
Maluku Utara,48810,45980,136085000000,121793000000,2021
Papua Barat,69596,62756,199741000000,169728000000,2021
Papua,296368,330603,846622000000,829188000000,2021
Indonesia,18800000,18557606,52640000000000,48236300000000,2021
Aceh,3407828,3323087,1172440000000,1146180000000,2022
Sumatera Utara,4502886,4173274,1810200000000,1721290000000,2022
Sumatera Barat,1931362,1793037,767604000000,730855000000,2022
Riau,1899585,1720257,655731000000,608237000000,2022
Jambi,1068156,976860,432568000000,410323000000,2022
Sumatera Selatan,3347182,3023782,1153250000000,1076540000000,2022
Bengkulu,1032894,936300,355631000000,332635000000,2022
Lampung,4866705,4504276,1674840000000,1587840000000,2022
Kepulauan Bangka Belitung,238464,220955,118283000000,112220000000,2022
Kepulauan Riau,447530,394277,156231000000,142301000000,2022
DKI Jakarta,1705446,1523154,573692000000,528960000000,2022
Jawa Barat,27538567,26184572,9469880000000,9150840000000,2022
Jawa Tengah,22617515,21394777,7768650000000,7477230000000,2022
DI Yogyakarta,2379560,2272724,817485000000,790794000000,2022
Jawa Timur,21815543,20862092,7489730000000,7236110000000,2022
Banten,3749967,3225853,1288500000000,1161350000000,2022
Bali,1171652,1076773,402678000000,380848000000,2022
Nusa Tenggara Barat,3295693,2907199,1130920000000,1046010000000,2022
Nusa Tenggara Timur,2682765,2356889,1019640000000,944207000000,2022
Kalimantan Barat,2057626,1889356,763905000000,720239000000,2022
Kalimantan Tengah,584058,527945,229384000000,212466000000,2022
Kalimantan Selatan,1138777,1001571,407910000000,372601000000,2022
Kalimantan Timur,766007,643543,267428000000,235307000000,2022
Kalimantan Utara,182955,160360,63124600000,56845800000,2022
Sulawesi Utara,983976,858621,339174000000,308569000000,2022
Sulawesi Tengah,1466193,1321210,504486000000,468545000000,2022
Sulawesi Selatan,4187296,3867489,1462540000000,1376420000000,2022
Sulawesi Tenggara,1345717,1204426,462357000000,427742000000,2022
Gorontalo,799363,708365,274310000000,253421000000,2022
Sulawesi Barat,716754,649584,248567000000,232952000000,2022
Maluku,642091,551155,240662000000,214279000000,2022
Maluku Utara,367665,299945,133850000000,116302000000,2022
Papua Barat,282975,258720,169506000000,155061000000,2022
Papua,1500427,1205586,899933000000,723130000000,2022
Indonesia,126721180,118018014,44725100000000,42458700000000,2022
Aceh,2836431,2780856,1148840000000,1125970000000,2023
Sumatera Utara,4032602,3921537,1856430000000,1807640000000,2023
Sumatera Barat,1690918,1648519,767793000000,749225000000,2023
Riau,1581499,1516642,647289000000,620175000000,2023
Jambi,911976,885167,418025000000,406598000000,2023
Sumatera Selatan,2780093,2706411,1134160000000,1103550000000,2023
Bengkulu,844224,819660,344977000000,334749000000,2023
Lampung,4132087,4060111,1688320000000,1658070000000,2023
Kepulauan Bangka Belitung,207326,200624,108366000000,105160000000,2023
Kepulauan Riau,362279,340268,153123000000,143861000000,2023
DKI Jakarta,1214775,1150459,497487000000,470877000000,2023
Jawa Barat,22544043,22178797,9378430000000,9224720000000,2023
Jawa Tengah,18324332,18023086,7595520000000,7468470000000,2023
DI Yogyakarta,1978336,1943250,804433000000,789653000000,2023
Jawa Timur,17532809,17198004,7271280000000,7128410000000,2023
Banten,2910539,2847802,1316260000000,1290190000000,2023
Bali,916993,889385,389464000000,378092000000,2023
Nusa Tenggara Barat,2886174,2803629,1188830000000,1154710000000,2023
Nusa Tenggara Timur,2774169,2665239,1290040000000,1237490000000,2023
Kalimantan Barat,1734405,1678082,747314000000,723501000000,2023
Kalimantan Tengah,498179,472280,228965000000,217174000000,2023
Kalimantan Selatan,915416,890269,383357000000,372566000000,2023
Kalimantan Timur,554184,506308,228820000000,209033000000,2023
Kalimantan Utara,146836,135374,59973800000,55234600000,2023
Sulawesi Utara,801469,774603,325523000000,314486000000,2023
Sulawesi Tengah,1225743,1188537,504183000000,488540000000,2023
Sulawesi Selatan,3545017,3448517,1468810000000,1427780000000,2023
Sulawesi Tenggara,1107968,1071020,453887000000,438506000000,2023
Gorontalo,668950,656150,272318000000,266996000000,2023
Sulawesi Barat,612864,594010,251188000000,243430000000,2023
Maluku,551488,523857,240767000000,229135000000,2023
Maluku Utara,316119,289715,135891000000,124682000000,2023
Papua Barat,188142,162705,112878000000,97623000000,2023
Papua Barat Daya,197764,177382,118646000000,106429000000,2023
Papua,287256,255228,172335000000,153137000000,2023
Papua Selatan,228347,226433,137005000000,135860000000,2023
Papua Tengah,848653,817781,509171000000,490669000000,2023
Papua Pegunungan,659084,655047,395449000000,393028000000,2023
Indonesia,105549489,103102744,44745500000000,43685400000000,2023
