Nama Wilayah,,,
,Indeks Keparahan Kemiskinan (P2) Menurut Kabupaten/Kota,,
Bintan,0.53,1.56,0.71
Natuna,0.22,0.73,0.3
Lingga,-,2.53,1.97
Kepulauan Anambas,-,-,-
Kota Batam,0.32,0.37,0.56
Kota Tanjung Pinang,0.52,0.82,1.09
DKI JAKARTA,0.09,0.2,0.19
Kepulauan Seribu,0.33,0.8,0.44
Kota Jakarta Selatan,0.08,0.17,0.16
Kota Jakarta Timur,0.09,0.17,0.16
Kota Jakarta Pusat,0.12,0.19,0.14
Kota Jakarta Barat,0.08,0.12,0.17
Kota Jakarta Utara,0.11,0.45,0.31
JAWA BARAT,0.48,0.51,0.62
Bogor,0.62,0.86,0.8
Sukabumi,0.68,1.27,1.01
Cianjur,0.52,0.73,0.82
Bandung,0.47,0.73,0.62
Garut,0.58,0.99,0.81
Tasikmalaya,0.58,1.03,0.85
Ciamis,0.8,0.68,0.58
Kuningan,0.81,0.71,0.72
Cirebon,0.63,1.39,1.18
Majalengka,0.87,0.87,0.66
Sumedang,0.33,0.53,0.63
Indramayu,0.37,0.84,0.57
Subang,0.39,0.82,1.45
Purwakarta,0.49,0.49,0.7
Karawang,0.28,0.96,0.84
Bekasi,0.41,0.49,0.3
Bandung Barat,-,-,-
Pangandaran,-,-,-
Kota Bogor,0.2,0.35,0.44
Kota Sukabumi,0.56,0.26,0.27
Kota Bandung,0.08,0.15,0.24
Kota Cirebon,0.24,0.63,0.28
Kota Bekasi,0.15,0.16,0.19
Kota Depok,0.24,0.13,0.09
Kota Cimahi,0.38,0.69,0.34
Kota Tasikmalaya,0.36,0.4,0.37
Kota Banjar,0.56,0.52,0.28
JAWA TENGAH,0.96,0.93,0.94
Cilacap,0.83,1.33,1.08
Banyumas,1.05,1.53,1.13
Purbalingga,1.86,2.33,1.48
Banjarnegara,1.3,1.15,1.21
Kebumen,1.41,1.87,1.66
Purworejo,0.76,1.12,0.96
Wonosobo,2.04,1.86,2.05
Magelang,0.43,0.91,0.59
Boyolali,0.61,1.59,0.61
Klaten,0.95,1.51,0.83
Sukoharjo,0.5,0.67,0.58
Wonogiri,1.25,1.52,1.13
Karanganyar,1.07,0.59,0.53
Sragen,1.64,1.14,1.25
Grobogan,1.07,1.2,0.78
Blora,0.62,0.85,0.65
Rembang,1.32,1.68,0.99
Pati,0.86,0.86,0.66
Kudus,0.31,0.56,0.24
Jepara,0.28,0.57,0.4
Demak,0.75,1.89,1.46
Semarang,0.53,0.55,0.53
Temanggung,0.35,0.72,0.67
Kendal,0.92,0.72,0.74
Batang,0.59,0.94,0.9
Pekalongan,1.37,0.64,0.76
Pemalang,1.41,1.23,0.9
Tegal,0.74,1.23,0.62
Brebes,1.95,1.84,1.19
Kota Magelang,0.57,0.99,0.63
Kota Surakarta,0.45,1.12,0.81
Kota Salatiga,0.33,0.67,0.43
Kota Semarang,0.27,0.18,0.25
Kota Pekalongan,0.11,0.29,0.3
Kota Tegal,0.24,0.45,0.36
D I YOGYAKARTA,0.96,1.17,1.11
Kulon Progo,1.31,1.92,1.34
Bantul,0.98,1.23,1.08
Gunung Kidul,1.08,1.46,1.21
Sleman,0.76,1.17,1.03
Kota Yogyakarta,0.96,0.63,0.46
JAWA TIMUR,0.92,0.99,1.09
Pacitan,1.44,1.49,0.82
Ponorogo,0.58,1.12,0.72
Trenggalek,1.1,2.15,1.01
Tulungagung,0.7,0.6,0.66
Blitar,0.42,0.61,0.73
Kediri,0.7,0.95,0.87
Malang,0.62,0.74,0.74
Lumajang,0.67,0.93,1.17
Jember,0.78,0.4,0.69
Banyuwangi,0.41,0.57,0.69
Bondowoso,1.33,0.9,1.52
Situbondo,0.64,1.07,0.61
Probolinggo,1.33,1.25,1.2
Pasuruan,1.24,1.31,1.16
Sidoarjo,0.45,0.87,0.47
Mojokerto,0.77,0.85,0.75
Jombang,0.94,1.76,1.1
