Nama Wilayah,,,
,Persentase Penduduk Miskin (P0) Menurut Kabupaten/Kota (Persen),,
,2016,2017,2018
ACEH,16.73,16.89,15.97
Simeulue,19.93,20.2,19.78
Aceh Singkil,21.6,22.11,21.25
Aceh Selatan,13.48,14.07,14.01
Aceh Tenggara,14.46,14.86,14.29
Aceh Timur,15.06,15.25,14.49
Aceh Tengah,16.64,16.84,15.58
Aceh Barat,20.38,20.28,19.31
Aceh Besar,15.55,15.41,14.47
Pidie,21.25,21.43,20.47
Bireuen,15.95,15.87,14.31
Aceh Utara,19.46,19.78,18.27
Aceh Barat Daya,18.03,18.31,17.1
Gayo Lues,21.86,21.97,20.7
Aceh Tamiang,14.51,14.69,14.21
Nagan Raya,19.25,19.34,18.97
Aceh Jaya,15.01,14.85,14.16
Bener Meriah,21.43,21.14,20.13
Pidie Jaya,21.18,21.82,20.17
Kota Banda Aceh,7.41,7.44,7.25
Kota Sabang,17.33,17.66,16.31
Kota Langsa,11.09,11.24,10.79
Kota Lhokseumawe,11.98,12.32,11.81
Kota Subulussalam,19.57,19.71,18.51
SUMATERA UTARA,10.35,10.22,9.22
Nias,17.64,18.11,16.37
Mandailing Natal,10.98,11.02,9.58
Tapanuli Selatan,11.15,10.6,9.16
Tapanuli Tengah,14.58,14.66,13.17
Tapanuli Utara,11.25,11.35,9.75
Toba Samosir,10.08,10.19,8.67
Labuhan Batu,8.95,8.89,8.61
Asahan,11.86,11.67,10.25
Simalungun,10.81,10.65,9.31
Dairi,8.9,8.87,8.2
Karo,9.81,9.97,8.67
Deli Serdang,4.86,4.62,4.13
Langkat,11.36,11.15,10.2
Nias Selatan,18.6,18.48,16.65
Humbang Hasundutan,9.78,9.85,9
Pakpak Bharat,10.72,10.53,9.74
Samosir,14.4,14.72,13.38
Serdang Bedagai,9.53,9.3,8.22
Batu Bara,12.24,12.48,12.57
Padang Lawas Utara,10.87,10.7,10.06
Padang Lawas,8.69,9.1,8.41
Labuhan Batu Selatan,11.49,11.63,10
Labuhan Batu Utara,10.97,11.28,10.12
Nias Utara,30.92,29.06,26.56
Nias Barat,28.36,27.23,26.72
Kota Sibolga,13.3,13.69,12.38
Kota Tanjung Balai,14.49,14.46,14.64
Kota Pematang Siantar,9.99,10.1,8.7
Kota Tebing Tinggi,11.7,11.9,10.27
Kota Medan,9.3,9.11,8.25
Kota Binjai,6.67,6.75,5.88
Kota Padangsidimpuan,8.32,8.25,7.69
Kota Gunungsitoli,23.43,21.66,18.44
SUMATERA BARAT,7.09,6.87,6.65
Kepulauan Mentawai,15.12,14.67,14.44
Pesisir Selatan,7.92,7.79,7.59
Solok,9.32,9.06,8.88
Sijunjung,7.6,7.35,7.11
Tanah Datar,5.68,5.56,5.32
Padang Pariaman,8.91,8.46,8.04
Agam,7.83,7.59,6.76
Lima Puluh Kota,7.59,7.15,6.99
Pasaman,7.65,7.41,7.31
Solok Selatan,7.35,7.21,7.07
Dharmasraya,7.16,6.68,6.42
Pasaman Barat,7.4,7.26,7.34
Kota Padang,4.68,4.74,4.7
Kota Solok,3.86,3.66,3.3
Kota Sawah Lunto,2.21,2.01,2.39
Kota Padang Panjang,6.75,6.17,5.88
Kota Bukittinggi,5.48,5.35,4.92
Kota Payakumbuh,6.46,5.88,5.77
Kota Pariaman,5.23,5.2,5.03
RIAU,7.98,7.78,7.39
Kuantan Singingi,9.85,9.97,9.92
Indragiri Hulu,7.15,6.94,6.3
Indragiri Hilir,7.99,7.7,7.05
Pelalawan,11,10.25,9.73
Siak,5.52,5.8,5.44
Kampar,8.38,8.02,8.18
Rokan Hulu,11.05,10.91,10.95
Bengkalis,6.82,6.85,6.22
Rokan Hilir,7.97,7.88,7.06
Kepulauan Meranti,30.89,28.99,27.79
Kota Pekanbaru,3.07,3.05,2.85
Kota Dumai,4.74,4.57,3.71
JAMBI,8.41,8.19,7.92
Kerinci,7.48,7.45,7.07
Merangin,9.95,9.43,8.88
Sarolangun,9.33,8.87,8.73
Batang Hari,10.79,10.33,10.23
Muaro Jambi,4.3,4.37,4.05
Tanjung Jabung Timur,12.76,12.58,12.38
Tanjung Jabung Barat,11.81,11.32,11.1
Tebo,6.87,6.79,6.58
Bungo,5.99,5.82,5.78
Kota Jambi,8.87,8.84,8.49
Kota Sungai Penuh,3.13,2.78,2.76
SUMATERA SELATAN,13.54,13.19,12.8
Ogan Komering Ulu,13.29,12.95,12.61
Ogan Komering Ilir,16.03,15.75,15.28
Muara Enim,13.56,13.19,12.56
Lahat,17.11,16.81,16.15
Musi Rawas,14.3,14.24,13.76
Musi Banyuasin,17.27,16.75,16.52
Banyu Asin,11.72,11.47,11.32
Ogan Komering Ulu Selatan,10.95,10.98,10.64
Ogan Komering Ulu Timur,11.29,11,10.57
Ogan Ilir,13.8,13.58,13.19
Empat Lawang,12.54,12.44,12.25
Penukal Abab Lematang Ilir,14.26,14.53,13.81
Musi Rawas Utara,20,19.49,19.12
Kota Palembang,12.04,11.4,10.95
Kota Prabumulih,11.44,11.42,11.39
Kota Pagar Alam,9.19,8.89,8.77
Kota Lubuklinggau,13.99,13.12,13.02
BENGKULU,17.32,16.45,15.43
Bengkulu Selatan,22.1,21.06,18.65
Rejang Lebong,17.81,16.97,16.23
Bengkulu Utara,13.67,13.11,11.81
Kaur,22.36,21.54,19.4
Seluma,21.68,20.73,19.6
Mukomuko,13.01,12.2,11.4
Lebong,12.26,11.83,11.59
Kepahiang,16.31,15.95,14.42
Bengkulu Tengah,8.71,8.41,8.2
Kota Bengkulu,20.72,19.18,18.82
LAMPUNG,14.29,13.69,13.14
Lampung Barat,15.06,14.32,13.54
Tanggamus,14.05,13.25,12.48
Lampung Selatan,16.16,15.16,14.86
Lampung Timur,16.98,16.35,15.76
Lampung Tengah,13.28,12.9,12.62
Lampung Utara,22.92,21.55,20.85
Way Kanan,14.58,14.06,13.52
Tulangbawang,10.2,10.09,9.7
Pesawaran,17.31,16.48,15.97
Pringsewu,11.73,11.3,10.5
Mesuji,8,7.66,7.55
Tulang Bawang Barat,8.4,8.11,8.1
Pesisir Barat,15.91,15.61,14.98
Kota Bandar Lampung,10.15,9.94,9.04
Kota Metro,10.15,9.89,9.14
KEP. BANGKA BELITUNG,5.22,5.2,5.25
Bangka,5.52,5.1,5.47
Belitung,7.85,7.77,7.56
Bangka Barat,2.74,2.98,3.05
Bangka Tengah,5.64,6.07,5.81
Bangka Selatan,3.62,3.92,3.7
Belitung Timur,6.99,6.81,7.06
Kota Pangkal Pinang,5.02,4.8,4.95
KEPULAUAN RIAU,5.98,6.06,6.2
Karimun,6.77,7.41,6.9
Bintan,6.43,6.01,6.61
Natuna,4.33,4.64,4.68
Lingga,14.36,13.84,13.55
Kepulauan Anambas,6.73,6.87,6.93
Kota Batam,4.68,4.81,5.11
Kota Tanjung Pinang,9.34,9.29,9.24
DKI JAKARTA,3.75,3.77,3.57
Kepulauan Seribu,12.58,12.98,11.98
Kota Jakarta Selatan,3.27,3.14,2.83
Kota Jakarta Timur,3.19,3.31,3.14
Kota Jakarta Pusat,3.91,3.78,3.59
Kota Jakarta Barat,3.38,3.45,3.39
Kota Jakarta Utara,5.57,5.59,5.35
JAWA BARAT,8.95,8.71,7.45
Bogor,8.83,8.57,7.14
Sukabumi,8.13,8.04,6.76
Cianjur,11.62,11.41,9.81
Bandung,7.61,7.36,6.65
Garut,11.64,11.27,9.27
Tasikmalaya,11.24,10.84,9.85
Ciamis,8.42,8.2,7.22
Kuningan,13.59,13.27,12.22
Cirebon,13.49,12.97,10.7
Majalengka,12.85,12.6,10.79
Sumedang,10.57,10.53,9.76
Indramayu,13.95,13.67,11.89
Subang,11.05,10.77,8.67
Purwakarta,8.98,9.06,7.99
Karawang,10.07,10.25,8.06
Bekasi,4.92,4.73,4.37
Bandung Barat,11.71,11.49,10.06
Pangandaran,10.23,10,8.12
Kota Bogor,7.29,7.11,5.93
Kota Sukabumi,8.59,8.48,7.12
Kota Bandung,4.32,4.17,3.57
Kota Cirebon,9.73,9.66,8.88
Kota Bekasi,5.06,4.79,4.11
Kota Depok,2.34,2.34,2.14
Kota Cimahi,5.92,5.76,4.94
Kota Tasikmalaya,15.6,14.8,12.71
Kota Banjar,7.01,7.06,5.7
JAWA TENGAH,13.27,13.01,11.32
Cilacap,14.12,13.94,11.25
Banyumas,17.23,17.05,13.5
Purbalingga,18.98,18.8,15.62
Banjarnegara,17.46,17.21,15.46
Kebumen,19.86,19.6,17.47
Purworejo,13.91,13.81,11.67
Wonosobo,20.53,20.32,17.58
Magelang,12.67,12.42,11.23
Boyolali,12.09,11.96,10.04
Klaten,14.46,14.15,12.96
Sukoharjo,9.07,8.75,7.41
Wonogiri,13.12,12.9,10.75
Karanganyar,12.49,12.28,10.01
Sragen,14.38,14.02,13.12
Grobogan,13.57,13.27,12.31
Blora,13.33,13.04,11.9
Rembang,18.54,18.35,15.41
Pati,11.65,11.38,9.9
Kudus,7.65,7.59,6.98
Jepara,8.35,8.12,7
Demak,14.1,13.41,12.54
Semarang,7.99,7.78,7.29
Temanggung,11.6,11.46,9.87
Kendal,11.37,11.1,9.84
Batang,11.04,10.8,8.69
Pekalongan,12.9,12.61,10.06
Pemalang,17.58,17.37,16.04
Tegal,10.1,9.9,7.94
Brebes,19.47,19.14,17.17
Kota Magelang,8.79,8.75,7.87
Kota Surakarta,10.88,10.65,9.08
Kota Salatiga,5.24,5.07,4.84
Kota Semarang,4.85,4.62,4.14
Kota Pekalongan,7.92,7.47,6.75
Kota Tegal,8.2,8.11,7.81
D I YOGYAKARTA,13.34,13.02,12.13
Kulon Progo,20.3,20.03,18.3
Bantul,14.55,14.07,13.43
Gunung Kidul,19.34,18.65,17.12
Sleman,8.21,8.13,7.65
Kota Yogyakarta,7.7,7.64,6.98
JAWA TIMUR,12.05,11.77,10.98
Pacitan,15.49,15.42,14.19
Ponorogo,11.75,11.39,10.36
Trenggalek,13.24,12.96,12.02
Tulungagung,8.23,8.04,7.27
Blitar,9.88,9.8,9.72
Kediri,12.72,12.25,11.31
Malang,11.49,11.04,10.37
Lumajang,11.22,10.87,9.98
Jember,10.97,11,9.98
Banyuwangi,8.79,8.64,7.8
Bondowoso,15,14.54,14.39
Situbondo,13.34,13.05,11.82
Probolinggo,20.98,20.52,18.71
Pasuruan,10.57,10.34,9.45
Sidoarjo,6.39,6.23,5.69
Mojokerto,10.61,10.19,10.08
Jombang,10.7,10.48,9.56
Nganjuk,12.25,11.98,12.11
Madiun,12.69,12.28,11.42
Magetan,11.03,10.48,10.31
Ngawi,15.27,14.91,14.83
Bojonegoro,14.6,14.34,13.16
Tuban,17.14,16.87,15.31
Lamongan,14.89,14.42,13.8
Gresik,13.19,12.8,11.89
Bangkalan,21.41,21.32,19.59
Sampang,24.11,23.56,21.21
Pamekasan,16.7,16,14.47
Sumenep,20.09,19.62,20.16
Kota Kediri,8.4,8.49,7.68
Kota Blitar,7.18,8.03,7.44
Kota Malang,4.33,4.17,4.1
Kota Probolinggo,7.97,7.84,7.2
Kota Pasuruan,7.62,7.53,6.77
Kota Mojokerto,5.73,5.73,5.5
Kota Madiun,5.16,4.94,4.49
Kota Surabaya,5.63,5.39,4.88
Kota Batu,4.48,4.31,3.89
BANTEN,5.42,5.45,5.24
Pandeglang,9.67,9.74,9.61
Lebak,8.71,8.64,8.41
Tangerang,5.29,5.39,5.18
Serang,4.58,4.63,4.3
Kota Tangerang,4.94,4.95,4.76
Kota Cilegon,3.57,3.52,3.25
Kota Serang,5.58,5.57,5.36
Kota Tangerang Selatan,1.67,1.76,1.68
BALI,4.25,4.25,4.01
Jembrana,5.33,5.38,5.2
Tabanan,5,4.92,4.46
Badung,2.06,2.06,1.98
Gianyar,4.44,4.46,4.19
Klungkung,6.35,6.29,5.86
Bangli,5.22,5.23,4.89
Karang Asem,6.61,6.55,6.28
Buleleng,5.79,5.74,5.36
Kota Denpasar,2.15,2.27,2.24
