Nama Wilayah,,,
,Persentase Penduduk Miskin (P0) Menurut Kabupaten/Kota (Persen),,
NUSA TENGGARA BARAT,16.48,16.07,14.75
Lombok Barat,16.73,16.46,15.2
Lombok Tengah,15.8,15.31,13.87
Lombok Timur,18.46,18.28,16.55
Sumbawa,16.12,15.31,14.08
Dompu,14.23,13.43,12.4
Bima,15.31,15.1,14.84
Sumbawa Barat,16.5,15.96,14.17
Lombok Utara,33.21,32.06,28.83
Kota Mataram,9.8,9.55,8.96
Kota Bima,9.51,9.27,8.79
NUSA TENGGARA TIMUR,22.19,21.85,21.35
Sumba Barat,29.34,29.28,28.51
Sumba Timur,31.43,31.03,30.13
Kupang,23.43,22.91,23.1
Timor Tengah Selatan,29.89,29.44,28.06
Timor Tengah Utara,24.07,23.52,22.31
Belu,15.82,15.95,15.7
Alor,22.35,21.67,21.63
Lembata,26.26,26.48,26.45
Flores Timur,10.31,10.75,11.05
Sikka,14.33,14.2,13.82
Ende,23.89,23.95,24.2
Ngada,12.69,12.77,12.94
Manggarai,22.5,21.91,20.83
Rote Ndao,29.6,28.81,28.08
Manggarai Barat,19.35,18.86,18.14
Sumba Tengah,36.55,36.01,34.85
Sumba Barat Daya,30.63,30.13,28.88
Nagekeo,13.61,13.48,12.98
Manggarai Timur,27.71,26.8,26.5
Sabu Raijua,32.44,31.07,30.83
Malaka,16.66,16.52,16.34
Kota Kupang,9.97,9.81,9.61
KALIMANTAN BARAT,7.87,7.88,7.77
Sambas,8.54,8.59,8.55
Bengkayang,7.46,7.51,7.17
Landak,12.32,12.23,11.77
Pontianak,5.75,5.94,5.61
Sanggau,4.51,4.52,4.67
Ketapang,10.99,11.02,10.93
Sintang,10.07,10.2,10.35
Kapuas Hulu,9.82,9.45,9.6
Sekadau,6.14,6.46,6.17
Melawi,12.63,12.54,12.83
Kayong Utara,10.19,9.89,10.08
Kubu Raya,5.04,5.26,5.07
Kota Pontianak,5.55,5.31,5
Kota Singkawang,5.33,5.42,5.12
KALIMANTAN TENGAH,5.66,5.37,5.17
Kotawaringin Barat,4.96,4.52,4.27
Kotawaringin Timur,6.32,6.24,6.21
Kapuas,5.7,5.32,5.2
Barito Selatan,4.58,4.44,4.55
Barito Utara,5.38,5.21,5
Sukamara,3.73,3.36,3.19
Lamandau,3.8,3.52,3.15
Seruyan,8.08,7.46,7.43
Katingan,6.23,5.78,5.22
Pulang Pisau,5.49,5.19,4.51
Gunung Mas,5.85,5.83,5.1
Barito Timur,7.64,7.17,6.56
Murung Raya,6.32,5.88,6.28
Kota Palangka Raya,3.75,3.62,3.47
KALIMANTAN SELATAN,4.85,4.73,4.54
Tanah Laut,4.65,4.6,4.4
Kota Baru,4.56,4.38,4.52
Banjar,3.1,2.96,2.7
Barito Kuala,5.22,5.13,4.56
Tapin,3.7,3.77,3.7
Hulu Sungai Selatan,6.29,5.8,5.21
Hulu Sungai Tengah,6.18,6.09,6.01
Hulu Sungai Utara,6.76,6.65,6.38
Tabalong,6.35,6.09,5.95
Tanah Bumbu,5.27,4.99,4.88
Balangan,5.67,5.68,5.59
Kota Banjarmasin,4.22,4.19,4.18
Kota Banjar Baru,4.62,4.68,4.19
KALIMANTAN TIMUR,6.11,6.19,6.03
Paser,8.68,9.28,9.03
Kutai Barat,8.65,8.72,9.15
Kutai Kartanegara,7.63,7.57,7.41
Kutai Timur,9.16,9.29,9.22
Berau,5.37,5.41,5.04
Penajam Paser Utara,7.49,7.63,7.4
Mahakam Hulu,10.65,11.29,11.62
Kota Balikpapan,2.81,2.82,2.64
Kota Samarinda,4.72,4.77,4.59
Kota Bontang,5.18,5.16,4.67
KALIMANTAN UTARA,6.23,7.22,7.09
Malinau,7.15,8.06,7.68
Bulungan,8.99,9.93,9.44
Tana Tidung,6.11,6.63,5.08
Nunukan,5.25,6.22,6.71
Kota Tarakan,5.17,6.32,6.15
SULAWESI UTARA,8.34,8.1,7.8
Bolaang Mongondow,8.34,8.02,7.67
Minahasa,8.36,7.9,7.3
Kepulauan Sangihe,12.28,11.8,11.82
Kepulauan Talaud,10.29,9.77,9.5
Minahasa Selatan,9.92,9.78,9.34
Minahasa Utara,7.9,7.46,6.99
Bolaang Mongondow Utara,9.38,8.89,8.64
Siau Tagulandang Biaro,10.58,10.33,9.87
Minahasa Tenggara,14.71,14.08,13.29
Bolaang Mongondow Selatan,14.85,14.16,13.6
Bolaang Mongondow Timur,6.77,6.2,6.03
Kota Manado,5.24,5.46,5.38
Kota Bitung,6.57,6.62,6.67
Kota Tomohon,6.56,6.47,5.95
Kota Kotamobagu,6.01,5.9,5.96
SULAWESI TENGAH,14.45,14.14,14.01
Banggai Kepulauan,16.18,15.92,15.65
Banggai,9.47,9.2,9.12
Morowali,15.13,14.55,14.34
Poso,17.71,17.16,16.71
Donggala,18.59,18.17,18.03
Toli-Toli,13.47,13.3,13.66
Buol,16.68,16.65,16.08
Parigi Moutong,17.8,17.55,17.41
Tojo Una-Una,18.56,18.15,18.27
Sigi,12.76,12.66,12.6
Banggai Laut,16.6,16.17,16.32
Morowali Utara,16.07,15.73,15.53
Kota Palu,7.06,6.74,6.58
SULAWESI SELATAN,9.4,9.38,9.06
Kepulauan Selayar,13.11,13.28,13.13
Bulukumba,8.06,7.97,7.48
Bantaeng,9.51,9.66,9.23
Jeneponto,15.49,15.4,15.48
Takalar,9.35,9.24,9
Gowa,8.4,8.42,7.83
Sinjai,9.41,9.24,9.28
Maros,11.41,11.14,10.31
Pangkajene Dan Kepulauan,16.22,16.22,15.1
Barru,9.45,9.71,9.04
Bone,10.07,10.28,10.55
Soppeng,8.45,8.29,7.5
Wajo,7.47,7.38,7.5
Sidenreng Rappang,5.45,5.32,5.16
Pinrang,8.48,8.46,8.81
Enrekang,13.41,13.16,12.49
Luwu,14.35,14.01,13.36
Tana Toraja,12.36,12.62,12.75
Luwu Utara,14.36,14.33,13.69
Luwu Timur,7.52,7.66,7.23
Toraja Utara,14.57,14.41,13.37
Kota Makassar,4.56,4.59,4.41
Kota Parepare,5.73,5.7,5.59
Kota Palopo,8.74,8.78,7.94
SULAWESI TENGGARA,12.88,12.81,11.63
Buton,13.22,13.46,13.67
Muna,15.22,14.85,13.19
Konawe,16.09,15.65,13.48
Kolaka,15.05,13.78,12.51
Konawe Selatan,11.36,11.14,10.95
Bombana,13.06,12.36,11.05
Wakatobi,16.46,16.19,14.85
Kolaka Utara,17.11,16.24,14.3
Buton Utara,15.78,15.58,14.93
Konawe Utara,9.75,13.93,14.22
Kolaka Timur,15.71,15.64,13.82
Konawe Kepulauan,17.72,18.1,17.48
Muna Barat,15.77,16.24,14.17
Buton Tengah,13.69,18.35,14.88
Buton Selatan,13.74,15.99,14.82
Kota Kendari,5.51,5.01,4.69
Kota Baubau,8.81,8.39,7.57
GORONTALO,17.72,17.65,16.81
Boalemo,21.11,21.85,20.33
Gorontalo,21.03,20.55,19.84
Pohuwato,21.17,21.27,19.4
Bone Bolango,17.97,17.81,17.4
Gorontalo Utara,18.51,19.23,18.54
Kota Gorontalo,6.05,5.7,5.57
SULAWESI BARAT,11.74,11.3,11.25
Majene,14.89,13.94,13.79
Polewali Mandar,17.06,16.05,15.97
Mamasa,13.9,13.51,13.38
Mamuju,6.48,6.88,7.18
Mamuju Utara,4.82,4.84,4.53
Mamuju Tengah,6.83,6.95,7.14
MALUKU,19.18,18.45,18.12
Maluku Tenggara Barat,28.31,27.47,28.08
Maluku Tenggara,24.81,23.87,23.27
Maluku Tengah,21.68,21.2,20.11
Buru,18.02,17.4,17.03
Kepulauan Aru,28.71,27.13,27.12
Seram Bagian Barat,26.5,25.49,25.62
Seram Bagian Timur,24.53,23.59,23.62
Maluku Barat Daya,31.01,30.18,30.2
Buru Selatan,16.86,16.83,16.31
Kota Ambon,4.64,4.46,4.72
Kota Tual,24.74,24,23.42
MALUKU UTARA,6.33,6.35,6.64
Halmahera Barat,8.77,8.74,8.74
Halmahera Tengah,14.03,14.15,13.94
Kepulauan Sula,8.63,8.59,8.89
Halmahera Selatan,4.11,4.1,4.8
Halmahera Utara,4.19,4.22,4.51
Halmahera Timur,15.48,15.25,15.02
Pulau Morotai,7.08,7.07,7.16
Pulau Taliabu,7.29,7.17,7.35
Kota Ternate,2.67,2.73,3
Kota Tidore Kepulauan,5.07,5.45,5.95
PAPUA BARAT,25.43,25.1,23.01
Fakfak,26.66,25.96,24.31
Kaimana,17.44,17.22,16.65
Teluk Wondama,36.37,36.37,33.32
Teluk Bintuni,34.72,34.32,31.3
Manokwari,24.93,24.32,22.21
Sorong Selatan,19.92,19.66,19.14
Sorong,33.25,32.86,30.19
Raja Ampat,20.5,20,17.8
Tambrauw,36.67,35.99,34.59
Maybrat,34.65,34.87,32.89
Manokwari Selatan,34.15,34.02,30.87
Pegunungan Arfak,39.46,39.23,35.72
Kota Sorong,17.85,17.78,15.85
PAPUA BARAT DAYA,-,-,-
Raja Ampat,-,-,-
Sorong,-,-,-
Sorong Selatan,-,-,-
Maybrat,-,-,-
Tambrauw,-,-,-
Kota Sorong,-,-,-
PAPUA,28.54,27.62,27.74
Merauke,11.08,10.81,10.54
Jayawijaya,39.66,38.62,38.66
Jayapura,13.49,13.01,13.44
Nabire,26.03,25.38,25.17
Kepulauan Yapen,27.54,26.82,27.17
Biak Numfor,26.99,25.44,25.72
Paniai,39.13,37.4,37.35
Puncak Jaya,37.31,36.01,36.27
Mimika,14.72,14.89,14.55
Boven Digoel,20.82,19.9,20.35
Mappi,26.64,25.75,25.64
Asmat,27.79,27.16,27.41
Yahukimo,40.62,39.33,39.25
Pegunungan Bintang,31.52,30.6,30.75
Tolikara,33.63,32.73,33.14
Sarmi,13.74,13.75,14.51
Keerom,17.15,16.69,16.9
Waropen,31.25,30.82,30.53
Supiori,37.99,37.4,39.22
Mamberamo Raya,29.52,29.88,30.1
Nduga *,38.47,37.29,38.13
Lanny Jaya,41.68,39.6,40.06
Mamberamo Tengah,38.36,36.38,37.02
Yalimo,35.8,34.97,35.45
Puncak,38.58,37.46,38.15
Dogiyai,31.21,30.36,30.48
Intan Jaya,43.73,42.23,42.71
Deiyai,45.11,43.63,43.49
Kota Jayapura,12.06,11.46,11.37
PAPUA SELATAN,-,-,-
Merauke,-,-,-
Boven Digoel,-,-,-
Mappi,-,-,-
Asmat,-,-,-
PAPUA TENGAH,-,-,-
Mimika,-,-,-
Dogiyai,-,-,-
Deiyai,-,-,-
Nabire,-,-,-
Paniai,-,-,-
Intan Jaya,-,-,-
Puncak,-,-,-
Puncak Jaya,-,-,-
PAPUA PEGUNUNGAN,-,-,-
Nduga,-,-,-
Jayawijaya,-,-,-
Lanny Jaya,-,-,-
Tolikara,-,-,-
Mamberamo Tengah,-,-,-
Yalimo,-,-,-
Yahukimo,-,-,-
Pegunungan Bintang,-,-,-
