Nama Wilayah,,,
,Indeks Kedalaman Kemiskinan (P1) Menurut Kabupaten/Kota,,
Bangka Tengah,0.85,0.5,0.84
Bangka Selatan,0.38,0.38,0.44
Belitung Timur,0.92,1.05,0.8
Kota Pangkal Pinang,0.43,0.45,0.47
KEPULAUAN RIAU,1.02,0.74,0.97
Karimun,0.83,0.9,0.83
Bintan,0.85,0.61,0.76
Natuna,0.58,0.61,0.44
Lingga,2.12,2.25,1.9
Kepulauan Anambas,0.6,0.45,0.99
Kota Batam,0.75,0.5,0.7
Kota Tanjung Pinang,1.21,1.52,1.2
DKI JAKARTA,0.39,0.6,0.52
Kepulauan Seribu,0.34,1.88,1.47
Kota Jakarta Selatan,0.41,0.5,0.39
Kota Jakarta Timur,0.45,0.34,0.5
Kota Jakarta Pusat,0.41,0.42,0.24
Kota Jakarta Barat,0.52,0.53,0.25
Kota Jakarta Utara,0.69,0.76,0.82
JAWA BARAT,1.65,1.39,1.63
Bogor,1.39,1.27,1.58
Sukabumi,1.5,1.32,1.22
Cianjur,1.7,1.62,1.85
Bandung,1.13,0.82,1.52
Garut,1.73,1.77,2.07
Tasikmalaya,1.47,1.13,1.9
Ciamis,1.28,1.38,1.31
Kuningan,2.09,2.2,2.32
Cirebon,2.09,2.22,2.42
Majalengka,2.24,1.98,2.34
Sumedang,1.48,1.31,1.82
Indramayu,2.02,1.96,2.37
Subang,1.69,1.32,2.49
Purwakarta,1.41,1.44,1.42
Karawang,1.55,1.54,1.54
Bekasi,0.77,0.55,0.75
Bandung Barat,2.29,1.61,2.15
Pangandaran,-,-,1.74
Kota Bogor,1.13,1.12,1.26
Kota Sukabumi,1.17,0.68,1.52
Kota Bandung,0.48,0.69,0.72
Kota Cirebon,1.11,1.07,1.28
Kota Bekasi,0.73,0.75,0.68
Kota Depok,0.26,0.4,0.23
Kota Cimahi,1.09,0.89,0.91
Kota Tasikmalaya,2.57,3.12,2.85
Kota Banjar,1.33,0.91,0.76
JAWA TENGAH,2.37,2.09,2.44
Cilacap,2.06,2.37,2.71
Banyumas,3.24,2.48,2.91
Purbalingga,3.2,3.26,3.37
Banjarnegara,2.91,2.88,3.51
Kebumen,3.57,2.78,4.08
Purworejo,1.98,1.85,2.43
Wonosobo,4.26,3.91,4.74
Magelang,1.72,2.07,1.6
Boyolali,2.35,1.62,2.01
Klaten,2.37,2.02,2.72
Sukoharjo,0.91,0.76,1.09
Wonogiri,1.74,1.65,2.1
Karanganyar,2.36,2.02,1.82
Sragen,2.38,2.04,2.69
Grobogan,2.2,2.33,2.56
Blora,2.39,2.09,2.08
Rembang,3.4,2.9,3.47
Pati,1.83,1.54,2.02
Kudus,0.78,0.9,0.9
Jepara,1.12,1.17,1.28
Demak,2.19,1.9,2.32
Semarang,0.92,1.2,1.33
Temanggung,1.46,1.51,1.99
Kendal,1.95,1.76,2.17
Batang,1.93,1.43,1.8
Pekalongan,1.96,1.79,1.98
Pemalang,2.71,2.49,3.93
Tegal,1.68,1.33,1.5
Brebes,3.33,2.93,3.52
Kota Magelang,1.45,0.94,1.39
Kota Surakarta,1.63,1.48,1.74
Kota Salatiga,0.94,0.87,1.07
Kota Semarang,0.65,0.47,0.5
Kota Pekalongan,0.93,1.14,0.83
Kota Tegal,0.94,1.38,1.34
D I YOGYAKARTA,2.13,2.35,2.93
Kulon Progo,2.69,3.22,4.16
Bantul,2.63,2.44,3.16
Gunung Kidul,3.54,3.74,4.55
Sleman,1.43,1.15,1.46
Kota Yogyakarta,1.24,1.14,1.06
JAWA TIMUR,2.07,1.86,2.06
Pacitan,2.5,2.43,2.92
Ponorogo,1.67,1.54,1.63
Trenggalek,1.76,1.98,2.18
Tulungagung,1.15,1.11,1.27
Blitar,1.68,1.21,1.61
Kediri,1.96,2.07,2.05
Malang,1.69,1.71,2.05
Lumajang,1.17,1.68,1.65
Jember,1.25,1.47,1.58
Banyuwangi,1.55,1.27,1.02
Bondowoso,2.06,2.28,1.93
Situbondo,2.09,2.59,2.25
Probolinggo,3.35,3.09,3.58
