Nama Wilayah,,,
,Persentase Penduduk Miskin (P0) Menurut Kabupaten/Kota (Persen),,
Natuna,5.19,9.35,10.57
Lingga,-,31,32.27
Kepulauan Anambas,-,-,-
Kota Batam,5.1,7.7,10
Kota Tanjung Pinang,10.4,13.24,14.85
DKI JAKARTA,3.18,3.61,4.57
Kepulauan Seribu,14.99,14.64,16.64
Kota Jakarta Selatan,2.25,3.36,3.74
Kota Jakarta Timur,2.51,2.85,3.55
Kota Jakarta Pusat,3.91,3.17,4.92
Kota Jakarta Barat,3.1,2.84,4.22
Kota Jakarta Utara,5.08,6.48,7.58
JAWA BARAT,12.1,13.06,14.49
Bogor,11.94,12.5,13.83
Sukabumi,14.7,16.57,17.66
Cianjur,17.36,17.57,19.81
Bandung,11.84,13.33,15.15
Garut,15.37,17.43,19.61
Tasikmalaya,16.14,18.23,20.27
Ciamis,14.73,15.07,16.13
Kuningan,18.95,18.65,18.69
Cirebon,16.59,18.59,21.13
Majalengka,17.42,19.39,21.82
Sumedang,11.74,13.34,15.12
Indramayu,16.49,18.43,20.66
Subang,14.67,16.67,18.9
Purwakarta,12.6,14.37,16.34
Karawang,13.28,14.93,16.51
Bekasi,6.35,7.01,7.58
Bandung Barat,-,-,-
Pangandaran,-,-,-
Kota Bogor,7.85,8.31,9.64
Kota Sukabumi,6.16,7.09,8.2
Kota Bandung,3.38,3.71,4.09
Kota Cirebon,7.52,6.91,8.7
Kota Bekasi,1.04,3.42,5.07
Kota Depok,4.84,2.88,2.48
Kota Cimahi,8.85,8.44,7.41
Kota Tasikmalaya,8.48,9.12,10.23
Kota Banjar,10.33,10.07,7.96
JAWA TENGAH,21.11,20.49,22.19
Cilacap,20.9,22.25,24.93
Banyumas,21.47,22.02,24.44
Purbalingga,31.2,29.95,32.38
Banjarnegara,26.91,27.35,29.4
Kebumen,30.95,29.83,32.49
Purworejo,23.51,22.77,22.75
Wonosobo,33.15,31.68,34.43
Magelang,16.1,15.42,17.36
Boyolali,18.47,17.75,20
Klaten,23.38,22.48,22.99
Sukoharjo,14.38,13.67,15.63
Wonogiri,24.43,25.21,27.01
Karanganyar,16.14,16.14,18.69
Sragen,26.06,24.28,23.72
Grobogan,29.3,28,27.6
Blora,22.97,21.73,23.95
Rembang,32,30.72,33.2
Pati,20.67,19.82,22.14
Kudus,11.44,10.93,12.05
Jepara,9.88,10.39,11.75
Demak,24.94,23.6,26.03
Semarang,13.68,13.16,13.62
Temanggung,15.22,14.5,16.62
Kendal,20.87,20.06,21.59
Batang,19.01,18.15,19.99
Pekalongan,21.5,20.47,22.8
Pemalang,22.31,22.59,25.3
Tegal,20.53,19.6,20.71
Brebes,29.1,27.79,30.36
Kota Magelang,14.01,12.94,11.19
Kota Surakarta,13.72,13.34,15.21
Kota Salatiga,9.68,8.81,8.9
Kota Semarang,5.6,4.22,5.33
Kota Pekalongan,6.81,6.37,7.38
Kota Tegal,9.49,8.96,10.4
D I YOGYAKARTA,19.14,18.95,19.15
Kulon Progo,25.11,26.8,28.39
Bantul,18.55,18.21,20.25
Gunung Kidul,25.19,27.29,28.45
Sleman,15.53,14.06,12.7
Kota Yogyakarta,12.77,10.5,10.22
JAWA TIMUR,20.08,19.95,21.09
Pacitan,24.73,24.25,25.39
Ponorogo,17.61,17.6,18.45
Trenggalek,24.09,23.17,24.74
Tulungagung,16.44,17.56,19.44
Blitar,16.13,16.11,17.91
Kediri,17.27,17.64,19.28
Malang,16.22,16.17,17.1
Lumajang,17.96,18.95,20.02
Jember,17.24,18.55,18.54
Banyuwangi,15.9,15.58,16.64
Bondowoso,24.36,24.31,26.23
Situbondo,18.54,18.51,17.43
Probolinggo,26.17,26.08,28.06
Pasuruan,20.27,20.16,21.67
Sidoarjo,12.77,14.02,12.97
Mojokerto,16.09,16,16.9
Jombang,24.13,24.07,23.34
Nganjuk,23.38,23.35,25.83
Madiun,23.71,21.32,22.66
Magetan,17.14,17.12,18.27
Ngawi,25.26,23.43,25.31
Bojonegoro,27.7,27.12,28.38
Tuban,28.36,28.28,30.52
Lamongan,25.74,23.13,25.74
Gresik,23.07,22.95,25.19
Bangkalan,32.88,32.81,33.53
Sampang,39.75,39.68,41.03
Pamekasan,32.39,32.46,34.14
Sumenep,30.34,32.5,34.86
Kota Kediri,13.58,13.62,13.85
Kota Blitar,11.75,11.67,11.99
Kota Malang,7.22,7.2,7.42
Kota Probolinggo,18.07,17.98,17.82
Kota Pasuruan,12.5,12.43,13.71
Kota Mojokerto,10.76,10.7,10.72
Kota Madiun,9.09,9.11,7.87
Kota Surabaya,9.21,7.35,8.08
Kota Batu,11.36,9.85,11.61
BANTEN,8.58,8.86,9.79
Pandeglang,13.77,13.89,15.82
Lebak,12.09,12.29,14.55
Tangerang,7.7,7.5,8.28
Serang,9.11,10.47,9.55
Kota Tangerang,4.19,4.39,6.41
