Provinsi/Kabupaten/Kota,,,
,[Metode Baru] Pengeluaran per Kapita Disesuaikan (Ribu Rupiah/Orang/Tahun),,
Kepahiang,9243,9273,9377
Bengkulu Tengah,9435,9392,9471
Kota Bengkulu,14030,13938,14108
LAMPUNG,10114,9982,10038
Lampung Barat,9970,9929,9969
Tanggamus,9294,9250,9266
Lampung Selatan,9978,9875,9931
Lampung Timur,10028,9983,10026
Lampung Tengah,11154,11219,11259
Lampung Utara,8779,8733,8737
Way Kanan,9292,9102,9173
Tulangbawang,10797,10683,10735
Pesawaran,8059,7892,7934
Pringsewu,10289,10262,10302
Mesuji,8144,7894,7980
Tulang Bawang Barat,8532,8395,8422
Pesisir Barat,8652,8457,8533
Kota Bandar Lampung,12255,12197,12247
Kota Metro,12017,11906,11916
KEP. BANGKA BELITUNG,12959,12794,12819
Bangka,12480,12416,12424
Belitung,13662,13554,13563
Bangka Barat,12275,12233,12269
Bangka Tengah,13070,12909,12945
Bangka Selatan,11910,11757,11768
Belitung Timur,11831,11730,11760
Kota Pangkal Pinang,15883,15663,15716
KEPULAUAN RIAU,14466,14209,14122
Karimun,12136,11885,11879
Bintan,14730,14482,14393
Natuna,14821,14705,14711
Lingga,12091,11998,11938
Kepulauan Anambas,12065,11875,11950
Kota Batam,18146,18095,18034
Kota Tanjung Pinang,15838,15498,15439
DKI JAKARTA,18527,18227,18520
Kep. Seribu,12623,12412,12587
Kota Jakarta Selatan,23851,23575,23888
Kota Jakarta Timur,17662,17438,17733
Kota Jakarta Pusat,17285,17179,17365
Kota Jakarta Barat,20875,20468,20801
Kota Jakarta Utara,18566,18437,18762
JAWA BARAT,11152,10845,10934
Bogor,10683,10317,10410
Sukabumi,8973,8823,8850
Cianjur,8290,7980,8052
Bandung,10502,10201,10307
Garut,8099,7876,7961
Tasikmalaya,8092,7852,7829
Ciamis,9557,9288,9259
Kuningan,9673,9459,9409
Cirebon,10670,10342,10368
Majalengka,9822,9521,9591
Sumedang,10406,10217,10262
Indramayu,10090,9859,9810
Subang,11012,10790,10854
Purwakarta,11819,11614,11669
Karawang,11856,11315,11522
Bekasi,11610,11241,11341
Bandung Barat,8684,8455,8546
Pangandaran,9423,9084,9065
Kota Bogor,11825,11564,11716
Kota Sukabumi,11204,10999,10942
Kota Bandung,17254,16887,16996
Kota Cirebon,11930,11800,11810
Kota Bekasi,16157,15776,15903
Kota Depok,15696,15281,15420
Kota Cimahi,12448,12025,12019
Kota Tasikmalaya,10414,10263,10213
Kota Banjar,10705,10535,10476
JAWA TENGAH,11102,10930,11034
Cilacap,10639,10440,10534
Banyumas,11703,11448,11546
Purbalingga,10131,9914,10032
Banjarnegara,9547,9263,9407
Kebumen,9066,8901,9028
Purworejo,10342,10163,10275
Wonosobo,10871,10621,10760
Magelang,9387,9301,9440
Boyolali,13079,12910,13031
Klaten,12074,11921,12017
Sukoharjo,11557,11325,11428
Wonogiri,9426,9286,9429
Karanganyar,11569,11428,11509
Sragen,12720,12589,12679
Grobogan,10350,10221,10294
Blora,9795,9571,9669
Rembang,10551,10328,10519
Pati,10660,10390,10506
Kudus,11318,11160,11272
Jepara,10609,10343,10536
Demak,10344,10128,10248
Semarang,12116,11966,12070
Temanggung,9489,9343,9408
Kendal,11597,11425,11608
Batang,9573,9431,9524
Pekalongan,10508,10312,10409
Pemalang,8546,8461,8573
Tegal,9798,9612,9700
Brebes,10238,10058,10152
Kota Magelang,12514,12210,12349
Kota Surakarta,15049,14761,14911
Kota Salatiga,15944,15699,15843
Kota Semarang,15550,15243,15425
Kota Pekalongan,12680,12467,12598
Kota Tegal,13250,12999,13143
D I YOGYAKARTA,14394,14015,14111
Kulon Progo,10275,10041,10069
Bantul,15636,15517,15545
Gunung Kidul,9612,9486,9505
Sleman,16434,15926,16060
Kota Yogyakarta,19125,18678,18801
JAWA TIMUR,11739,11601,11707
Pacitan,9033,8796,8887
Ponorogo,9883,9670,9851
Trenggalek,9865,9630,9743
Tulungagung,10891,10705,10807
Blitar,10861,10654,10757
Kediri,11146,11000,11127
Malang,10270,10028,10163
Lumajang,9274,9088,9203
Jember,9525,9294,9410
Banyuwangi,12264,12140,12217
Bondowoso,10665,10610,10690
Situbondo,10097,9857,9996
Probolinggo,10972,10859,10969
Pasuruan,10381,10164,10297
Sidoarjo,14609,14458,14578
Mojokerto,12860,12779,12844
Jombang,11533,11261,11394
Nganjuk,12200,12130,12172
Madiun,11650,11574,11658
Magetan,11779,11776,11833
Ngawi,11468,11418,11459
Bojonegoro,10265,10121,10221
Tuban,10499,10238,10380
Lamongan,11572,11456,11510
Gresik,13295,13246,13280
Bangkalan,8718,8610,8673
Sampang,8760,8739,8790
Pamekasan,8834,8739,8804
Sumenep,9082,8888,9000
Kota Kediri,12440,12239,12359
Kota Blitar,13851,13733,13816
Kota Malang,16666,16593,16663
Kota Probolinggo,12280,12180,12245
Kota Pasuruan,13393,13281,13354
Kota Mojokerto,13710,13499,13610
Kota Madiun,16040,16018,16095
Kota Surabaya,17854,17755,17862
Kota Batu,12870,12824,12887
BANTEN,12267,11964,12033
Pandeglang,8719,8572,8635
Lebak,8850,8690,8724
Tangerang,12476,12203,12273
Serang,10802,10665,10713
Kota Tangerang,14860,14484,14575
Kota Cilegon,13230,13010,13041
Kota Serang,13418,13212,13281
Kota Tangerang Selatan,15988,15667,15751
BALI,14146,13929,13820
Jembrana,11902,11790,11675
Tabanan,14608,14494,14326
Badung,17628,17503,17327
Gianyar,14623,14544,14391
Klungkung,11484,11376,11287
Bangli,11369,11268,11201
Karangasem,10302,10237,10175
Buleleng,13780,13463,13362
Kota Denpasar,19992,19723,19598
NUSA TENGGARA BARAT,10640,10351,10377
Lombok Barat,11647,11304,11334
Lombok Tengah,10196,9952,9962
Lombok Timur,9639,9409,9450
Sumbawa,9336,9146,9167
Dompu,9027,8889,8899
Bima,8631,8468,8495
Sumbawa Barat,11766,11536,11548
Lombok Utara,9279,9006,9057
Kota Mataram,15426,14968,14999
Kota Bima,11334,11105,11135
NUSA TENGGARA TIMUR,7769,7598,7554
Sumba Barat,7586,7321,7307
Sumba Timur,9640,9406,9354
Kupang,7698,7526,7476
Timor Tengah Selatan,6955,6861,6839
Timor Tengah Utara,6479,6364,6324
Belu,7677,7479,7431
Alor,6958,6786,6751
Lembata,7474,7305,7257
Flores Timur,7770,7631,7578
Sikka,8313,8081,8021
Ende,9315,9094,9027
Ngada,8961,8865,8819
Manggarai,7276,7203,7133
Rote Ndao,6720,6539,6503
Manggarai Barat,7602,7468,7410
Sumba Tengah,6198,6108,6061
Sumba Barat Daya,6594,6372,6355
Nagekeo,8469,8309,8254
Manggarai Timur,5919,5818,5780
Sabu Raijua,5354,5265,5256
Malaka,5998,5901,5861
Kota Kupang,13592,13337,13218
KALIMANTAN BARAT,9055,8930,8974
Sambas,9924,9858,9828
Bengkayang,9182,9102,9193
Landak,7403,7357,7431
Mempawah,7913,7801,7758
Sanggau,8410,8245,8328
Ketapang,9259,9163,9209
Sintang,8823,8728,8708
Kapuas Hulu,7206,7162,7168
Sekadau,7640,7434,7462
Melawi,8465,8332,8415
Kayong Utara,7905,7842,7920
Kubu Raya,8773,8709,8630
Kota Pontianak,14515,14465,14610
Kota Singkawang,11789,11650,11767
KALIMANTAN TENGAH,11236,11154,11182
Kotawaringin Barat,13175,13109,13117
Kotawaringin Timur,11905,11854,11866
Kapuas,11063,11015,11148
Barito Selatan,11582,11486,11492
Barito Utara,10010,9936,9951
Sukamara,8738,8674,8773
Lamandau,11278,11190,11234
Seruyan,9385,9370,9420
Katingan,10639,10548,10568
Pulang Pisau,10104,10047,10082
Gunung Mas,10822,10793,10809
Barito Timur,11333,11319,11322
Murung Raya,10471,10419,10449
Kota Palangka Raya,14091,14055,14070
KALIMANTAN SELATAN,12253,12032,12143
Tanah Laut,11318,11207,11310
Kotabaru,11731,11530,11720
Banjar,12681,12603,12707
Barito Kuala,9952,9805,9868
Tapin,12088,11841,11952
Hulu Sungai Selatan,12835,12672,12736
Hulu Sungai Tengah,12257,12153,12280
Hulu Sungai Utara,9772,9527,9644
Tabalong,11476,11283,11470
Tanah Bumbu,12025,11718,11844
Balangan,11557,11452,11500
Kota Banjarmasin,14547,14306,14432
Kota Banjar Baru,13949,13675,13789
KALIMANTAN TIMUR,12359,11728,12116
Paser,10767,10344,10673
Kutai Barat,10338,9712,10062
Kutai Kartanegara,11152,10720,11048
Kutai Timur,11196,10485,10868
Berau,12726,12018,12435
Penajam Paser Utara,11750,11231,11651
Mahakam Ulu,8008,7524,7802
Kota Balikpapan,14791,14549,14862
Kota Samarinda,14613,14135,14582
Kota Bontang,16843,16278,16765
KALIMANTAN UTARA,9343,8756,9075
Malinau,10121,9611,9928
Bulungan,9648,9121,9423
Tana Tidung,7981,7381,7676
Nunukan,7290,6804,7064
Kota Tarakan,11509,10894,11261
SULAWESI UTARA,11115,10791,10882
Bolaang Mongondow,10470,10128,10220
Minahasa,12720,12395,12481
Kepulauan Sangihe,11663,11427,11524
Kepulauan Talaud,8638,8505,8558
Minahasa Selatan,11760,11481,11554
Minahasa Utara,11712,11405,11481
Bolaang Mongondow Utara,9366,9062,9143
Siau Tagulandang Biaro,8252,8080,8145
Minahasa Tenggara,10665,10408,10479
Bolaang Mongondow Selatan,9229,8837,8939
Bolaang Mongondow Timur,9483,8998,9115
Kota Manado,14232,13886,13991
Kota Bitung,12383,12193,12271
Kota Tomohon,12152,11745,11851
Kota Kotamobagu,11098,10744,10848
SULAWESI TENGAH,9604,9335,9378
Banggai Kepulauan,7619,7429,7453
Banggai,9842,9554,9603
Morowali,11277,10993,11028
Poso,9084,8808,8850
Donggala,8189,7960,8002
Toli-Toli,8156,7917,7947
Buol,8151,7942,7974
Parigi Moutong,9878,9641,9675
Tojo Una-Una,7765,7606,7621
Sigi,8375,8126,8171
Banggai Laut,7888,7663,7707
Morowali Utara,9109,8853,8890
Kota Palu,15205,14839,14894
SULAWESI SELATAN,11118,11079,11184
Kepulauan Selayar,9028,8970,9060
Bulukumba,10480,10513,10632
Bantaeng,11592,11632,11829
Jeneponto,9078,9114,9215
Takalar,10474,10454,10543
Gowa,9369,9394,9504
Sinjai,9465,9439,9505
Maros,10981,10963,11032
Pangkajene dan Kepulauan,11392,11405,11519
Barru,10911,10923,11017
Bone,8954,8963,9030
Soppeng,9444,9483,9558
Wajo,12399,12386,12505
Sidenreng Rappang,12039,12073,12201
Pinrang,11828,11844,11956
Enrekang,10800,10844,10973
Luwu,10085,10014,10116
Tana Toraja,7253,7217,7434
Luwu Utara,11583,11562,11736
Luwu Timur,12802,12814,12886
Toraja Utara,8083,8097,8134
Kota Makasar,16989,16873,17097
Kota Parepare,13648,13663,13786
Kota Palopo,12986,12995,13117
SULAWESI TENGGARA,9436,9331,9381
Buton,7366,7307,7324
Muna,8253,8203,8218
Konawe,10200,10126,10151
Kolaka,12525,12515,12525
Konawe Selatan,9115,9037,9059
Bombana,8344,8234,8310
Wakatobi,9388,9204,9280
Kolaka Utara,10258,10218,10244
Buton Utara,7534,7470,7496
Konawe Utara,9215,9165,9181
Kolaka Timur,7832,7727,7753
Konawe Kepulauan,6832,6700,6738
Muna Barat,7526,7485,7502
Buton Tengah,7264,7221,7244
Buton Selatan,7293,7263,7279
Kota Kendari,14392,14335,14356
Kota Baubau,10523,10483,10503
GORONTALO,10075,10020,10157
Boalemo,8874,8789,8940
Gorontalo,9361,9277,9412
Pohuwato,10316,10255,10409
Bone Bolango,10147,10052,10198
Gorontalo Utara,8982,8921,9064
Kota Gorontalo,12298,12278,12390
SULAWESI BARAT,9235,9168,9153
Majene,10029,10056,10028
Polewali Mandar,8598,8580,8548
Mamasa,7769,7747,7736
Mamuju,9535,9500,9494
Mamuju Utara / Pasangkayu,11094,11111,11072
Mamuju Tengah,8501,8414,8408
MALUKU,8887,8732,8770
Maluku Tenggara Barat / Kepulauan Tanimbar,6396,6297,6335
Maluku Tenggara,7625,7545,7580
Maluku Tengah,10298,10210,10243
Buru,10400,10316,10347
Kepulauan Aru,7678,7586,7623
Seram Bagian Barat,8704,8690,8720
Seram Bagian Timur,9452,9453,9480
Maluku Barat Daya,6888,6890,6918
Buru Selatan,7627,7566,7600
Kota Ambon,14233,14116,14148
Kota Tual,7506,7351,7405
MALUKU UTARA,8308,8032,8140
Halmahera Barat,7660,7352,7467
Halmahera Tengah,8258,7841,7966
Kepulauan Sula,7221,6950,7040
Halmahera Selatan,7298,7068,7142
Halmahera Utara,7713,7414,7519
Halmahera Timur,8127,7876,7973
Pulau Morotai,6655,6290,6378
Pulau Taliabu,6659,6390,6467
Kota Ternate,13632,13091,13290
Kota Tidore Kepulauan,8608,8188,8316
PAPUA BARAT,8125,8086,7929
Fakfak,7608,7599,7446
Kaimana,8304,8325,8151
Teluk Wondama,8198,8219,8034
Teluk Bintuni,9821,9974,9708
Manokwari,11994,12207,11977
Sorong Selatan,6252,6286,6188
Sorong,7507,7495,7350
Raja Ampat,7958,8014,7882
Tambrauw,5001,4998,4903
Maybrat,5391,5336,5245
Manokwari Selatan,5511,5505,5505
Pegunungan Arfak,5102,5099,5009
Kota Sorong,13815,13954,13744
PAPUA BARAT DAYA,-,-,-
Raja Ampat,-,-,-
Sorong,-,-,-
Sorong Selatan,-,-,-
Maybrat,-,-,-
Tambrauw,-,-,-
Kota Sorong,-,-,-
PAPUA,7336,6954,6955
Merauke,10498,10097,10201
Jayawijaya,7835,7441,7545
Jayapura,10375,9898,9989
Nabire,9195,8840,8856
Kepulauan Yapen,7785,7484,7491
Biak Numfor,10211,9705,9607
Paniai,6767,6361,6377
Puncak Jaya,5523,5282,5289
Mimika,12035,11431,11400
Boven Digoel,8300,7947,7864
Mappi,6513,6353,6327
Asmat,6066,5733,5736
Yahukimo,5030,4875,4895
Pegunungan Bintang,5633,5409,5429
Tolikara,5142,4826,4841
Sarmi,6860,6600,6617
Keerom,9136,8910,8926
Waropen,7018,6732,6788
Supiori,5820,5677,5708
Mamberamo Raya,4807,4581,4603
Nduga,4181,3975,3976
Lanny Jaya,4569,4350,4393
Mamberamo Tengah,4671,4462,4487
Yalimo,4860,4647,4664
Puncak,5702,5378,5412
Dogiyai,5709,5373,5415
Intan Jaya,5593,5283,5328
Deiyai,4958,4632,4673
Kota Jayapura,15176,14763,14937
PAPUA SELATAN,-,-,-
Merauke,-,-,-
Boven Digoel,-,-,-
Mappi,-,-,-
Asmat,-,-,-
PAPUA TENGAH,-,-,-
Mimika,-,-,-
Dogiyai,-,-,-
Deiyai,-,-,-
Nabire,-,-,-
Paniai,-,-,-
Intan Jaya,-,-,-
Puncak,-,-,-
Puncak Jaya,-,-,-
PAPUA PEGUNUNGAN,-,-,-
Nduga,-,-,-
Jayawijaya,-,-,-
Lanny Jaya,-,-,-
Tolikara,-,-,-
Mamberamo Tengah,-,-,-
Yalimo,-,-,-
Yahukimo,-,-,-
Pegunungan Bintang,-,-,-
INDONESIA,11299,11013,11156
