Provinsi/Kabupaten/Kota,,,
,[Metode Baru] Pengeluaran per Kapita Disesuaikan (Ribu Rupiah/Orang/Tahun),,
,2019,2020,2021
ACEH,9603,9492,9572
Simeulue,7210,7085,7148
Aceh Singkil,8715,8707,8776
Aceh Selatan,8187,8089,8180
Aceh Tenggara,8067,8020,8030
Aceh Timur,8600,8489,8577
Aceh Tengah,10782,10673,10780
Aceh Barat,9692,9516,9593
Aceh Besar,9661,9641,9644
Pidie,9824,9816,9860
Bireuen,8889,8857,8867
Aceh Utara,8189,8122,8201
Aceh Barat Daya,8491,8316,8428
Gayo Lues,8845,8791,8856
Aceh Tamiang,8362,8327,8367
Nagan Raya,8348,8216,8292
Aceh Jaya,9682,9615,9666
Bener Meriah,11124,11098,11118
Pidie Jaya,10364,10071,10290
Kota Banda Aceh,16892,16778,16891
Kota Sabang,11444,11273,11378
Kota Langsa,12099,12057,12067
Kota Lhokseumawe,11421,11367,11390
Kota Subulussalam,7463,7317,7385
SUMATERA UTARA,10649,10420,10499
Nias,7042,6898,6995
Mandailing Natal,9900,9684,9771
Tapanuli Selatan,11410,11236,11304
Tapanuli Tengah,10175,10071,10138
Tapanuli Utara,11791,11648,11710
Toba Samosir / Toba,12375,12154,12224
Labuhan Batu,11193,11150,11212
Asahan,10983,10890,11030
Simalungun,11422,11308,11376
Dairi,10602,10350,10504
Karo,12474,12349,12412
Deli Serdang,12317,12225,12291
Langkat,11208,11071,11142
Nias Selatan,7105,6974,7041
Humbang Hasundutan,7902,7850,8016
Pakpak Bharat,8402,8170,8254
Samosir,8654,8422,8504
Serdang Bedagai,11061,10950,11017
Batu Bara,10575,10410,10539
Padang Lawas Utara,10194,9987,10055
Padang Lawas,9100,8807,8921
Labuhan Batu Selatan,11553,11495,11562
Labuhan Batu Utara,11957,11779,11840
Nias Utara,6245,6064,6155
Nias Barat,6009,5830,5924
Kota Sibolga,11656,11473,11540
Kota Tanjung Balai,11383,11132,11225
Kota Pematang Siantar,12571,12372,12436
Kota Tebing Tinggi,12895,12876,12939
Kota Medan,15033,14890,14999
Kota Binjai,11260,10997,11063
Kota Padangsidimpuan,11181,10856,10965
Kota Gunungsitoli,8058,7980,8134
SUMATERA BARAT,10925,10733,10790
Kepulauan Mentawai,6429,6281,6321
Pesisir Selatan,9444,9212,9270
Solok,10309,10171,10215
Sijunjung,10395,10361,10389
Tanah Datar,10709,10588,10616
Padang Pariaman,11158,10998,11050
Agam,9780,9651,9662
Lima Puluh Kota,9842,9596,9668
Pasaman,8599,8425,8440
Solok Selatan,10505,10325,10367
Dharmasraya,11431,11273,11324
Pasaman Barat,9180,9047,9089
Kota Padang,14728,14481,14540
Kota Solok,12337,12117,12168
Kota Sawah Lunto,10238,10182,10195
Kota Padang Panjang,11013,10734,10754
Kota Bukittinggi,13586,13282,13331
Kota Payakumbuh,13464,13281,13317
Kota Pariaman,12958,12796,12818
RIAU,11255,10675,10736
Kuantan Singingi,10820,10243,10309
Indragiri Hulu,10738,10202,10260
Indragiri Hilir,10382,9954,9945
Pelalawan,12149,11606,11672
Siak,12347,11799,11807
Kampar,11232,10796,10858
Rokan Hulu,9979,9374,9406
Bengkalis,11753,11331,11415
Rokan Hilir,9672,9362,9417
Kepulauan Meranti,8358,7790,7780
Kota Pekanbaru,15206,14433,14360
Kota Dumai,12453,11751,11818
JAMBI,10592,10392,10588
Kerinci,10198,9995,10184
Merangin,10312,10279,10380
Sarolangun,11679,11616,11792
Batang Hari,10038,9825,10032
Muaro Jambi,8697,8556,8825
Tanjung Jabung Timur,9192,9026,9163
Tanjung Jabung Barat,9539,9480,9699
Tebo,10555,10389,10546
Bungo,11662,11471,11670
Kota Jambi,12205,12056,12240
Kota Sungai Penuh,10510,10248,10454
SUMATERA SELATAN,10937,10652,10662
Ogan Komering Ulu,10261,10020,10040
Ogan Komering Ilir,11032,10725,10755
Muara Enim,11285,10951,10995
Lahat,10071,9730,9735
Musi Rawas,9795,9520,9550
Musi Banyuasin,10364,10088,10140
Banyu Asin,10135,9850,9860
Ogan Komering Ulu Selatan,8830,8580,8585
Ogan Komering Ulu Timur,11753,11505,11531
Ogan Ilir,10777,10424,10454
Empat Lawang,9594,9350,9400
Penukal Abab Lematang Ilir,8400,8196,8210
Musi Rawas Utara,10223,9783,9855
Kota Palembang,15087,14679,14704
Kota Prabumulih,13072,12723,12752
Kota Pagar Alam,9291,8795,8877
Kota Lubuklinggau,13586,13243,13267
BENGKULU,10409,10380,10487
Bengkulu Selatan,9813,9837,9916
Rejang Lebong,10162,10234,10323
Bengkulu Utara,10336,10263,10410
Kaur,8594,8593,8638
Seluma,8209,8220,8256
Mukomuko,10381,10266,10405
Lebong,11177,11124,11317
