Provinsi/Kabupaten/Kota,,,,,,
,Pengeluaran per Kapita yang Disesuaikan menurut Jenis Kelamin (Ribu Rupiah/Orang/Tahun),,,,,
,Laki-laki,,,Perempuan,,
Rejang Lebong,-,13402,13800,-,8928,9207
Bengkulu Utara,-,14209,14715,-,8160,8374
Kaur,-,11421,11923,-,5709,5958
Seluma,-,11848,12168,-,4988,5203
Mukomuko,-,15350,15707,-,5643,5794
Lebong,-,16739,17024,-,9289,9465
Kepahiang,-,11035,11330,-,8573,8769
Bengkulu Tengah,-,13026,13536,-,6041,6262
Kota Bengkulu,-,16237,16758,-,12451,12863
LAMPUNG,12962,13335,14044,7240,7347,7660
Lampung Barat,-,12411,12858,-,8156,8373
Tanggamus,-,12961,13527,-,7021,7370
Lampung Selatan,-,13427,13756,-,6791,7284
Lampung Timur,-,14081,14592,-,7269,7613
Lampung Tengah,-,15390,15604,-,7981,8286
Lampung Utara,-,12274,12584,-,6146,6322
Way Kanan,-,12844,13366,-,6225,6573
Tulangbawang,-,14958,15669,-,7422,7764
Pesawaran,-,11918,12320,-,5477,5736
Pringsewu,-,15072,15620,-,9279,9626
Mesuji,-,11118,11687,-,4470,4625
Tulang Bawang Barat,-,11002,11551,-,5489,5831
Pesisir Barat,-,9778,10308,-,7657,7749
Kota Bandar Lampung,-,16354,16741,-,11035,11281
Kota Metro,-,14028,14341,-,11074,11312
KEP. BANGKA BELITUNG,17865,18257,19060,8386,8448,8820
Bangka,-,16912,17773,-,7573,8002
Belitung,-,19238,19770,-,8516,8726
Bangka Barat,-,17046,17808,-,8562,8929
Bangka Tengah,-,18147,18803,-,10023,10320
Bangka Selatan,-,17551,18243,-,5863,6080
Belitung Timur,-,16945,17529,-,6480,6761
Kota Pangkal Pinang,-,20692,21596,-,13520,14117
KEPULAUAN RIAU,19182,19398,19939,11768,11951,12268
Karimun,-,18067,18413,-,9604,9832
Bintan,-,20505,20914,-,11702,12280
Natuna,-,20182,20525,-,10972,11152
Lingga,-,16948,17015,-,9409,9622
Kepulauan Anambas,-,16822,17047,-,8884,9203
Kota Batam,-,25035,25624,-,16442,16841
Kota Tanjung Pinang,-,17907,18417,-,14468,14862
DKI JAKARTA,21247,21620,22345,16284,16433,16762
Kep. Seribu,-,16680,17196,-,11406,11765
Kota Jakarta Selatan,-,26560,26976,-,22557,22791
Kota Jakarta Timur,-,21532,21805,-,16706,17073
Kota Jakarta Pusat,-,18833,19195,-,16390,16516
Kota Jakarta Barat,-,22897,23663,-,19010,19222
Kota Jakarta Utara,-,25422,25890,-,17516,17772
JAWA BARAT,14210,14495,15258,7478,7599,7905
Bogor,-,13810,14428,-,8088,8305
Sukabumi,-,12197,12794,-,6219,6457
Cianjur,-,10721,11487,-,4537,4842
Bandung,-,13470,13819,-,8665,9006
Garut,-,10440,10782,-,4098,4248
Tasikmalaya,-,10780,11565,-,4886,5227
Ciamis,-,13176,13972,-,5950,6329
Kuningan,-,12962,13789,-,6196,6543
Cirebon,-,14996,15609,-,4955,5261
Majalengka,-,12958,13811,-,5825,6278
Sumedang,-,12706,13406,-,9128,9694
Indramayu,-,13363,14349,-,6655,7035
Subang,-,14241,14818,-,8102,8457
Purwakarta,-,16689,17223,-,7047,7427
Karawang,-,14443,15279,-,8569,8987
Bekasi,-,16349,16827,-,8004,8166
Bandung Barat,-,12349,12679,-,3679,3854
Pangandaran,-,12391,12987,-,6616,6947
Kota Bogor,-,16309,16993,-,9051,9371
Kota Sukabumi,-,14156,14733,-,9467,9876
Kota Bandung,-,21353,22072,-,15246,15833
Kota Cirebon,-,15037,15484,-,10662,10933
Kota Bekasi,-,20953,21458,-,14430,14785
Kota Depok,-,21238,21846,-,13441,13912
Kota Cimahi,-,15426,16288,-,9855,10333
Kota Tasikmalaya,-,12427,12973,-,7346,7609
Kota Banjar,-,15141,15646,-,6953,7182
JAWA TENGAH,13871,14214,14822,9107,9207,9603
Cilacap,-,14591,15151,-,6830,7012
Banyumas,-,15449,16014,-,7359,7731
Purbalingga,-,12589,13245,-,8889,9329
Banjarnegara,-,9639,10208,-,7772,8230
Kebumen,-,10988,11396,-,7895,8037
Purworejo,-,10610,11113,-,9440,9771
Wonosobo,-,13614,14156,-,8813,9306
Magelang,-,12450,12935,-,7878,8202
Boyolali,-,16516,17142,-,11956,12419
Klaten,-,12435,12821,-,11083,11334
Sukoharjo,-,11557,11944,-,10652,10785
Wonogiri,-,11963,12560,-,7961,8290
Karanganyar,-,11399,11692,-,10800,10947
Sragen,-,16236,16660,-,10985,11180
Grobogan,-,14507,15072,-,7131,7397
Blora,-,13329,13815,-,5671,5737
Rembang,-,14693,15173,-,6830,7142
Pati,-,13654,14150,-,9281,9438
Kudus,-,14518,14895,-,10133,10351
Jepara,-,13483,14031,-,7979,8334
Demak,-,13775,14392,-,8209,8549
Semarang,-,12050,12508,-,11340,11645
Temanggung,-,10280,10700,-,8454,8635
Kendal,-,14262,14708,-,10303,10476
Batang,-,11906,12418,-,7776,8030
Pekalongan,-,13616,14266,-,8207,8534
Pemalang,-,11570,12247,-,5516,5702
Tegal,-,13898,14210,-,7203,7349
Brebes,-,14148,14637,-,6708,6864
Kota Magelang,-,12832,13356,-,11363,11636
Kota Surakarta,-,14093,14673,-,12963,13493
Kota Salatiga,-,18669,19219,-,14679,14999
Kota Semarang,-,15137,15706,-,13639,14125
Kota Pekalongan,-,15550,16073,-,11528,12037
Kota Tegal,-,17173,17732,-,11634,11941
D I YOGYAKARTA,15664,16119,16745,12696,12801,13092
Kulon Progo,-,12261,12806,-,8801,9207
Bantul,-,17350,17998,-,14372,14751
Gunung Kidul,-,14503,14891,-,6010,6301
Sleman,-,16334,16923,-,14515,14919
Kota Yogyakarta,-,17997,18630,-,18282,18627
JAWA TIMUR,15063,15671,16321,9459,9580,9820
Pacitan,-,12877,13445,-,5389,5541
Ponorogo,-,11916,12652,-,8623,8914
Trenggalek,-,13495,14122,-,8714,9001
Tulungagung,-,12545,13104,-,9900,10086
Blitar,-,14603,15138,-,8828,9051
Kediri,-,14994,15733,-,9590,10052
Malang,-,13920,14513,-,6736,7045
Lumajang,-,13037,13701,-,6921,7259
Jember,-,13462,14025,-,5800,6026
Banyuwangi,-,18124,18701,-,7516,7810
Bondowoso,-,13849,14453,-,9032,9249
Situbondo,-,14041,14934,-,7077,7447
Probolinggo,-,16173,16801,-,7077,7342
Pasuruan,-,12793,13409,-,8025,8304
Sidoarjo,-,19054,19677,-,13231,13642
Mojokerto,-,17166,17878,-,10530,10656
Jombang,-,15342,16205,-,8278,8633
Nganjuk,-,16211,16914,-,11087,11259
Madiun,-,15250,15963,-,9174,9468
Magetan,-,14441,15142,-,11042,11269
Ngawi,-,15196,15657,-,9362,9570
