Provinsi/Kabupaten/Kota,,,
,[Metode Baru] Pengeluaran per Kapita Disesuaikan (Ribu Rupiah/Orang/Tahun),,
,2013,2014,2015
ACEH,8289,8297,8533
Simeulue,5920,5956,6328
Aceh Singkil,7208,7221,7602
Aceh Selatan,6989,7003,7224
Aceh Tenggara,6899,6949,7001
Aceh Timur,7219,7288,7623
Aceh Tengah,9400,9435,9473
Aceh Barat,7744,7771,8135
Aceh Besar,8497,8622,8775
Pidie,9167,9182,9233
Bireuen,7232,7319,7622
Aceh Utara,6714,6838,7327
Aceh Barat Daya,6966,7059,7303
Gayo Lues,7709,7742,7780
Aceh Tamiang,7554,7569,7750
Nagan Raya,7019,7084,7141
Aceh Jaya,8691,8721,8749
Bener Meriah,9645,9721,9760
Pidie Jaya,9173,9260,9398
Kota Banda Aceh,14629,14766,15362
Kota Sabang,9718,9823,10041
Kota Langsa,10198,10284,10605
Kota Lhokseumawe,9580,9678,10093
Kota Subulussalam,6320,6326,6504
SUMATERA UTARA,9309,9391,9563
Nias,5914,5980,6234
Mandailing Natal,8960,9040,9096
Tapanuli Selatan,10504,10593,10623
Tapanuli Tengah,9382,9489,9555
Tapanuli Utara,10850,10964,11079
Toba Samosir / Toba,11178,11250,11535
Labuhan Batu,10210,10325,10356
Asahan,9895,9988,10067
Simalungun,10494,10597,10728
Dairi,9580,9642,9708
Karo,11453,11548,11800
Deli Serdang,10924,11065,11359
Langkat,9970,10062,10364
Nias Selatan,6266,6329,6454
Humbang Hasundutan,6670,6736,6889
Pakpak Bharat,7269,7364,7496
Samosir,7600,7667,7698
Serdang Bedagai,9882,10042,10110
Batu Bara,9218,9370,9692
Padang Lawas Utara,9076,9171,9363
Padang Lawas,7825,7910,7955
Labuhan Batu Selatan,10040,10111,10319
Labuhan Batu Utara,11063,11147,11201
Nias Utara,5523,5580,5627
Nias Barat,5061,5156,5207
Kota Sibolga,10525,10623,10765
Kota Tanjung Balai,10001,10133,10326
Kota Pematang Siantar,11139,11204,11388
Kota Tebing Tinggi,10829,10918,11393
Kota Medan,13902,13984,14191
Kota Binjai,9943,10058,10098
Kota Padangsidimpuan,9518,9623,9668
Kota Gunungsitoli,6524,6685,6742
SUMATERA BARAT,9570,9621,9804
Kepulauan Mentawai,5451,5566,5684
Pesisir Selatan,8233,8368,8412
Solok,9118,9228,9334
Sijunjung,9599,9726,9796
Tanah Datar,9893,10014,10103
Padang Pariaman,9937,9990,10260
Agam,8637,8692,8859
Lima Puluh Kota,8568,8672,8774
Pasaman,6964,7058,7340
Solok Selatan,9291,9390,9653
Dharmasraya,10505,10550,10713
Pasaman Barat,7809,7897,8109
Kota Padang,13339,13387,13522
Kota Solok,10784,10927,11350
Kota Sawah Lunto,8665,8780,8931
Kota Padang Panjang,9307,9369,9670
Kota Bukittinggi,12002,12137,12330
Kota Payakumbuh,12212,12296,12622
Kota Pariaman,11508,11541,11814
RIAU,10180,10262,10364
Kuantan Singingi,9676,9719,9770
Indragiri Hulu,9656,9726,9776
Indragiri Hilir,9680,9738,9787
Pelalawan,11342,11391,11422
Siak,11397,11531,11604
Kampar,10624,10651,10710
Rokan Hulu,8717,8786,8942
Bengkalis,10598,10661,10965
Rokan Hilir,8962,9051,9176
Kepulauan Meranti,6876,6945,7030
Kota Pekanbaru,13891,14023,14126
Kota Dumai,10735,10870,11058
JAMBI,9066,9141,9446
Kerinci,8748,8865,9076
Merangin,9047,9108,9456
Sarolangun,10912,10985,11169
Batang Hari,9122,9220,9407
Muaro Jambi,7208,7297,7630
Tanjung Jabung Timur,7455,7699,7810
Tanjung Jabung Barat,7881,8105,8478
Tebo,9001,9145,9434
Bungo,10365,10481,10676
Kota Jambi,10192,10355,10891
Kota Sungai Penuh,9266,9328,9502
SUMATERA SELATAN,9231,9302,9474
Ogan Komering Ulu,8782,8848,8923
Ogan Komering Ilir,9395,9517,9723
Muara Enim,8927,9051,9397
Lahat,8565,8628,8700
Musi Rawas,8693,8787,8876
Musi Banyuasin,8614,8772,8850
Banyu Asin,8157,8218,8539
Ogan Komering Ulu Selatan,7254,7380,7581
Ogan Komering Ulu Timur,10537,10767,10862
Ogan Ilir,9548,9689,9809
Empat Lawang,8586,8656,8727
Penukal Abab Lematang Ilir,6851,6941,7197
Musi Rawas Utara,8823,8892,9051
Kota Palembang,13393,13624,13785
Kota Prabumulih,11626,11775,12046
Kota Pagar Alam,7102,7273,7600
Kota Lubuklinggau,12070,12233,12331
BENGKULU,8803,8864,9123
Bengkulu Selatan,8606,8777,8951
Rejang Lebong,8813,8869,9050
Bengkulu Utara,9145,9293,9444
Kaur,7114,7232,7599
Seluma,6870,6894,7077
Mukomuko,9243,9269,9296
Lebong,10132,10210,10363
Kepahiang,8486,8545,8605
Bengkulu Tengah,7865,7885,8163
Kota Bengkulu,11759,11873,12277
LAMPUNG,8415,8476,8729
Lampung Barat,8397,8459,8801
Tanggamus,7835,7880,7961
Lampung Selatan,8384,8441,8746
Lampung Timur,8756,8814,9194
Lampung Tengah,9895,9935,10298
Lampung Utara,7513,7567,7729
Way Kanan,8243,8278,8313
Tulangbawang,9751,9796,9893
Pesawaran,6570,6680,6744
Pringsewu,8934,8992,9020
Mesuji,6706,6764,6836
Tulang Bawang Barat,7045,7137,7332
Pesisir Barat,7085,7169,7251
Kota Bandar Lampung,10618,10702,11090
Kota Metro,10494,10606,10707
