Provinsi/Kabupaten/Kota,,,
,[Metode Baru] Pengeluaran per Kapita Disesuaikan (Ribu Rupiah/Orang/Tahun),,
KEP. BANGKA BELITUNG,11657,11691,11781
Bangka,10647,10679,10904
Belitung,12344,12375,12443
Bangka Barat,11122,11154,11243
Bangka Tengah,12133,12170,12210
Bangka Selatan,10609,10633,10824
Belitung Timur,10233,10272,10523
Kota Pangkal Pinang,14507,14619,14707
KEPULAUAN RIAU,12942,13019,13177
Karimun,11053,11090,11248
Bintan,13441,13477,13529
Natuna,13389,13414,13612
Lingga,10913,10949,11158
Kepulauan Anambas,11112,11182,11251
Kota Batam,16639,16735,16826
Kota Tanjung Pinang,14048,14141,14446
DKI JAKARTA,16828,16898,17075
Kep. Seribu,11253,11316,11433
Kota Jakarta Selatan,22067,22208,22425
Kota Jakarta Timur,16181,16248,16455
Kota Jakarta Pusat,15820,15922,16143
Kota Jakarta Barat,18794,18897,19006
Kota Jakarta Utara,16851,16959,17205
JAWA BARAT,9421,9447,9778
Bogor,9041,9066,9368
Sukabumi,7800,7824,7849
Cianjur,6694,6733,6877
Bandung,8978,8999,9375
Garut,6355,6372,6875
Tasikmalaya,6818,6830,6934
Ciamis,8147,8162,8296
Kuningan,8348,8393,8516
Cirebon,9002,9013,9261
Majalengka,8194,8233,8477
Sumedang,8828,8844,9279
Indramayu,8644,8668,8769
Subang,9266,9287,9831
Purwakarta,10492,10521,10550
Karawang,9755,9768,10217
Bekasi,10207,10232,10323
Bandung Barat,7112,7188,7522
Pangandaran,8200,8232,8265
Kota Bogor,10488,10532,10576
Kota Sukabumi,9609,9641,9729
Kota Bandung,14957,15048,15609
Kota Cirebon,10563,10606,10732
Kota Bekasi,14475,14558,15116
Kota Depok,14161,14239,14424
Kota Cimahi,10622,10681,11012
Kota Tasikmalaya,8158,8210,8785
Kota Banjar,9402,9439,9476
JAWA TENGAH,9618,9640,9930
Cilacap,9071,9091,9351
Banyumas,9561,9580,10104
Purbalingga,8535,8539,8938
Banjarnegara,7654,7684,7930
Kebumen,7730,7755,8008
Purworejo,9155,9189,9305
Wonosobo,9458,9491,9736
Magelang,7856,7877,8182
Boyolali,11490,11504,11806
Klaten,10962,10965,11178
Sukoharjo,10247,10264,10416
Wonogiri,8235,8249,8417
Karanganyar,10286,10313,10486
Sragen,10857,10876,11434
Grobogan,9284,9303,9457
Blora,8540,8568,8699
Rembang,8994,9013,9122
Pati,9088,9106,9380
Kudus,10082,10102,10203
Jepara,9177,9195,9504
Demak,8983,9003,9118
Semarang,10562,10586,10778
Temanggung,8042,8062,8369
Kendal,10080,10126,10419
Batang,7967,8012,8244
Pekalongan,8884,8938,9208
Pemalang,6863,6911,7177
Tegal,8001,8050,8367
Brebes,8731,8784,8898
Kota Magelang,10258,10344,10793
Kota Surakarta,12820,12907,13604
Kota Salatiga,14125,14205,14600
Kota Semarang,12714,12802,13589
Kota Pekalongan,10922,11006,11253
Kota Tegal,11416,11519,11748
D I YOGYAKARTA,12261,12294,12684
Kulon Progo,8468,8480,8688
Bantul,13902,13921,14320
Gunung Kidul,8202,8235,8336
Sleman,14085,14170,14562
Kota Yogyakarta,16645,16755,17317
JAWA TIMUR,9978,10012,10383
Pacitan,7626,7656,7686
Ponorogo,8354,8383,8654
Trenggalek,8389,8417,8445
Tulungagung,9477,9505,9534
Blitar,9217,9245,9272
Kediri,9605,9633,9883
Malang,8788,8817,8845
Lumajang,7869,7895,7921
Jember,8198,8227,8255
Banyuwangi,10341,10379,10692
Bondowoso,9138,9176,9519
Situbondo,8351,8383,8677
Probolinggo,9847,9877,9976
Pasuruan,8261,8293,8707
Sidoarjo,12602,12632,12879
Mojokerto,11171,11208,11559
Jombang,9678,9709,9963
Nganjuk,10717,10754,10995
Madiun,10625,10667,10710
Magetan,10484,10539,10594
Ngawi,10105,10143,10584
Bojonegoro,8934,8964,8993
Tuban,8872,8906,8940
Lamongan,9511,9545,9821
Gresik,11480,11514,11548
Bangkalan,7434,7459,7667
Sampang,7769,7798,7827
Pamekasan,7445,7478,7679
Sumenep,7093,7143,7577
Kota Kediri,10670,10702,10733
Kota Blitar,11641,11672,12258
Kota Malang,15378,15399,15420
Kota Probolinggo,10089,10182,10558
Kota Pasuruan,11484,11527,11963
Kota Mojokerto,11625,11689,12060
Kota Madiun,14604,14643,14723
Kota Surabaya,15488,15492,15991
Kota Batu,10803,10853,11274
BANTEN,11061,11150,11261
Pandeglang,7486,7589,7730
Lebak,7918,7977,8111
Tangerang,11648,11666,11727
Serang,9831,9886,10004
Kota Tangerang,13531,13671,13766
Kota Cilegon,11920,12057,12127
Kota Serang,11950,12091,12289
Kota Tangerang Selatan,14207,14361,14588
BALI,12738,12831,13078
Jembrana,10890,10944,11168
Tabanan,13438,13492,13665
Badung,16025,16080,16409
Gianyar,13318,13382,13578
Klungkung,10488,10501,10711
Bangli,10424,10469,10649
Karangasem,9341,9402,9556
Buleleng,12187,12249,12587
Kota Denpasar,18532,18605,18849
NUSA TENGGARA BARAT,8950,8987,9241
Lombok Barat,10450,10470,10588
Lombok Tengah,8605,8652,8846
Lombok Timur,7685,7750,8100
Sumbawa,7422,7519,7743
Dompu,7204,7239,7479
Bima,7184,7198,7371
Sumbawa Barat,9886,9922,10234
Lombok Utara,7358,7594,7940
Kota Mataram,12748,13021,13399
Kota Bima,9270,9352,9594
NUSA TENGGARA TIMUR,6899,6934,7003
Sumba Barat,6672,6714,6776
Sumba Timur,8744,8808,8883
Kupang,6875,6945,7085
Timor Tengah Selatan,6005,6061,6118
Timor Tengah Utara,5626,5679,5799
Belu,6967,7025,7083
Alor,6223,6284,6346
Lembata,6794,6857,6888
Flores Timur,7048,7099,7150
Sikka,7500,7559,7618
Ende,8491,8551,8679
Ngada,8002,8070,8085
Manggarai,6706,6790,6875
Rote Ndao,5800,5873,5946
Manggarai Barat,6862,6937,7012
Sumba Tengah,5755,5788,5821
Sumba Barat Daya,5828,5880,5933
Nagekeo,7830,7868,7906
Manggarai Timur,5170,5208,5246
Sabu Raijua,4717,4748,4781
Malaka,5495,5512,5563
Kota Kupang,12676,12766,12856
KALIMANTAN BARAT,8127,8175,8279
Sambas,9083,9153,9195
Bengkayang,8249,8363,8489
Landak,6272,6417,6670
Mempawah,6962,7063,7238
Sanggau,7368,7411,7622
Ketapang,8146,8159,8350
Sintang,8020,8098,8224
Kapuas Hulu,6361,6440,6640
Sekadau,6601,6689,6795
Melawi,7631,7727,7841
Kayong Utara,6661,6769,6950
Kubu Raya,7935,7973,7994
Kota Pontianak,13601,13706,13737
Kota Singkawang,10886,10950,10982
KALIMANTAN TENGAH,9641,9682,9809
Kotawaringin Barat,11857,11908,11979
Kotawaringin Timur,10343,10430,10525
Kapuas,9633,9726,9894
Barito Selatan,10283,10374,10570
Barito Utara,7614,8326,8534
Sukamara,7545,7568,7709
Lamandau,9881,9925,9999
Seruyan,7919,7958,8026
Katingan,9452,9542,9599
Pulang Pisau,8537,8556,8639
Gunung Mas,9823,9965,10044
Barito Timur,10450,10465,10570
Murung Raya,9245,9268,9328
Kota Palangka Raya,12397,12521,12629
KALIMANTAN SELATAN,10655,10748,10891
Tanah Laut,10562,10632,10753
Kotabaru,10465,10536,10645
Banjar,11984,12004,12185
Barito Kuala,8846,8936,9062
Tapin,10825,10839,10905
Hulu Sungai Selatan,11006,11077,11161
Hulu Sungai Tengah,10960,11040,11142
Hulu Sungai Utara,8067,8164,8298
Tabalong,9918,10088,10171
Tanah Bumbu,10628,10697,10781
Balangan,10586,10617,10736
Kota Banjarmasin,12393,12501,12834
Kota Banjar Baru,12273,12376,12467
KALIMANTAN TIMUR,10981,11019,11229
Paser,9628,9706,9900
Kutai Barat,9228,9262,9380
Kutai Kartanegara,9866,9984,10250
Kutai Timur,9297,9484,9704
Berau,11375,11471,11572
Penajam Paser Utara,10773,10807,10913
Mahakam Ulu,7036,7071,7162
Kota Balikpapan,13333,13439,13705
Kota Samarinda,13455,13538,13825
Kota Bontang,15820,15878,15980
KALIMANTAN UTARA,8229,8289,8354
Malinau,9301,9343,9415
Bulungan,8817,8852,8877
Tana Tidung,6585,6696,6807
Nunukan,5991,6105,6199
Kota Tarakan,10449,10581,10642
SULAWESI UTARA,9583,9628,9729
Bolaang Mongondow,9047,9107,9369
Minahasa,11235,11320,11405
Kepulauan Sangihe,10385,10460,10536
Kepulauan Talaud,7808,7907,8008
Minahasa Selatan,10425,10549,10674
Minahasa Utara,10269,10339,10410
Bolaang Mongondow Utara,8052,8131,8212
Siau Tagulandang Biaro,7349,7442,7537
Minahasa Tenggara,9472,9528,9679
Bolaang Mongondow Selatan,8125,8183,8242
Bolaang Mongondow Timur,7905,7965,8025
Kota Manado,12767,12904,12933
Kota Bitung,11233,11348,11513
Kota Tomohon,10265,10367,10469
Kota Kotamobagu,9402,9546,9743
SULAWESI TENGAH,8501,8602,8768
Banggai Kepulauan,6975,7038,7161
Banggai,8674,8718,8895
Morowali,9989,10059,10245
Poso,7768,7869,7971
Donggala,7184,7237,7407
Toli-Toli,6863,6959,7156
Buol,7338,7431,7475
Parigi Moutong,8663,8723,9150
Tojo Una-Una,6998,7111,7171
Sigi,7140,7238,7376
Banggai Laut,7243,7324,7406
Morowali Utara,8212,8309,8422
Kota Palu,14283,14413,14545
SULAWESI SELATAN,9632,9723,9992
Kepulauan Selayar,7564,7656,7793
Bulukumba,9145,9618,9777
Bantaeng,10226,10294,10467
Jeneponto,8348,8417,8489
Takalar,9280,9351,9423
Gowa,8455,8515,8578
Sinjai,8203,8272,8433
Maros,9258,9355,9468
Pangkajene dan Kepulauan,10090,10161,10517
Barru,9655,9733,9811
Bone,7785,7845,7930
Soppeng,8603,8699,8835
Wajo,10705,10778,11047
Sidenreng Rappang,10416,10434,11004
Pinrang,10605,10680,10791
Enrekang,9250,9347,9818
Luwu,8687,8764,9160
Tana Toraja,6156,6214,6273
Luwu Utara,10541,10605,10697
Luwu Timur,11844,11859,11926
Toraja Utara,6879,6955,7033
Kota Makasar,14947,15079,15669
Kota Parepare,12554,12692,12817
Kota Palopo,11590,11713,12005
SULAWESI TENGGARA,8537,8555,8697
Buton,6643,6660,6829
Muna,7592,7666,7742
Konawe,9320,9396,9471
Kolaka,11683,11699,11942
Konawe Selatan,8217,8301,8386
Bombana,7173,7236,7392
Wakatobi,8295,8306,8484
Kolaka Utara,9472,9489,9535
Buton Utara,6835,6850,6998
Konawe Utara,8294,8397,8619
Kolaka Timur,7032,7094,7157
Konawe Kepulauan,5986,6039,6093
Muna Barat,-,6855,7063
Buton Tengah,-,6658,6759
Buton Selatan,-,6571,6715
Kota Kendari,13303,13430,13558
Kota Baubau,9677,9764,9852
GORONTALO,8719,8762,9035
Boalemo,7566,7598,7817
Gorontalo,7973,8032,8398
Pohuwato,8889,8925,9146
Bone Bolango,8601,8669,8900
Gorontalo Utara,7948,7999,8178
Kota Gorontalo,10965,11019,11269
SULAWESI BARAT,8148,8170,8260
Majene,9123,9138,9227
Polewali Mandar,7121,7220,7331
Mamasa,6963,7022,7102
Mamuju,8406,8494,8557
Mamuju Utara / Pasangkayu,9921,9989,10150
Mamuju Tengah,7353,7374,7404
MALUKU,7872,7925,8026
Maluku Tenggara Barat / Kepulauan Tanimbar,5523,5600,5697
Maluku Tenggara,6725,6804,6851
Maluku Tengah,9495,9547,9578
Buru,9348,9420,9615
Kepulauan Aru,6846,6891,6941
Seram Bagian Barat,7734,7779,7921
Seram Bagian Timur,8395,8492,8615
Maluku Barat Daya,6088,6150,6189
Buru Selatan,6844,6915,7026
Kota Ambon,13047,13146,13318
Kota Tual,6553,6642,6683
MALUKU UTARA,7200,7234,7423
Halmahera Barat,6668,6697,6889
Halmahera Tengah,7044,7130,7359
Kepulauan Sula,6467,6491,6545
Halmahera Selatan,6637,6704,6791
Halmahera Utara,6675,6746,6957
Halmahera Timur,7193,7212,7410
Pulau Morotai,5693,5720,5809
Pulau Taliabu,5877,5935,6158
Kota Ternate,12343,12454,12529
Kota Tidore Kepulauan,7401,7454,7631
PAPUA BARAT,6896,6944,7064
Fakfak,6662,6731,6796
Kaimana,7167,7224,7341
Teluk Wondama,7162,7222,7317
Teluk Bintuni,8862,8929,9129
Manokwari,10987,11069,11328
Sorong Selatan,5483,5520,5550
Sorong,6365,6436,6457
Raja Ampat,7020,7061,7191
Tambrauw,4339,4405,4431
Maybrat,4519,4562,4576
Manokwari Selatan,4109,4149,4578
Pegunungan Arfak,4522,4563,4570
Kota Sorong,12455,12515,12590
PAPUA BARAT DAYA,-,-,-
Raja Ampat,-,-,-
Sorong,-,-,-
Sorong Selatan,-,-,-
Maybrat,-,-,-
Tambrauw,-,-,-
Kota Sorong,-,-,-
PAPUA,6394,6416,6469
Merauke,9841,9882,9953
Jayawijaya,6875,6989,7068
Jayapura,9586,9597,9622
Nabire,8615,8652,8725
Kepulauan Yapen,7199,7241,7320
Biak Numfor,9520,9553,9603
Paniai,6026,6086,6161
Puncak Jaya,4908,4938,4979
Mimika,10849,10873,10952
Boven Digoel,7625,7646,7717
Mappi,5655,5709,5780
Asmat,5427,5485,5533
Yahukimo,4068,4081,4109
Pegunungan Bintang,5052,5095,5176
Tolikara,4412,4468,4518
Sarmi,6342,6358,6379
Keerom,8475,8514,8609
Waropen,5979,5989,6070
Supiori,5060,5098,5180
Mamberamo Raya,4241,4303,4324
Nduga,3542,3607,3625
Lanny Jaya,3882,3901,3965
Mamberamo Tengah,3964,3985,4051
Yalimo,4247,4298,4321
Puncak,4986,5010,5118
Dogiyai,4992,5061,5120
Intan Jaya,4961,4995,5015
Deiyai,4281,4293,4320
Kota Jayapura,14088,14172,14249
PAPUA SELATAN,-,-,-
Merauke,-,-,-
Boven Digoel,-,-,-
Mappi,-,-,-
Asmat,-,-,-
PAPUA TENGAH,-,-,-
Mimika,-,-,-
Dogiyai,-,-,-
Deiyai,-,-,-
Nabire,-,-,-
Paniai,-,-,-
Intan Jaya,-,-,-
Puncak,-,-,-
Puncak Jaya,-,-,-
PAPUA PEGUNUNGAN,-,-,-
Nduga,-,-,-
Jayawijaya,-,-,-
Lanny Jaya,-,-,-
Tolikara,-,-,-
Mamberamo Tengah,-,-,-
Yalimo,-,-,-
Yahukimo,-,-,-
Pegunungan Bintang,-,-,-
INDONESIA,9858,9903,10150
