Nama Wilayah,,,
,Garis Kemiskinan Menurut Kabupaten/Kota (Rupiah/kapita/bulan),,
Solok Selatan,220308,235630,252010
Dharmasraya,257608,275528,292195
Pasaman Barat,258155,275461,292080
Kota Padang,306108,326705,350088
Kota Solok,278351,299798,319814
Kota Sawah Lunto,207920,220402,242043
Kota Padang Panjang,274816,293519,318783
Kota Bukittinggi,289435,308569,331762
Kota Payakumbuh,289783,309671,337237
Kota Pariaman,268875,288773,307157
RIAU,301190,296379,310603
Kuantan Singingi,325060,352245,371530
Indragiri Hulu,292610,325185,345423
Indragiri Hilir,238707,261927,272235
Pelalawan,359431,374611,398742
Siak,269244,299609,316774
Kampar,279606,308446,320907
Rokan Hulu,318432,329674,343274
Bengkalis,325485,349770,367743
Rokan Hilir,250267,270412,282767
Kepulauan Meranti,339327,358617,371169
Kota Pekanbaru,326670,339965,357200
Kota Dumai,287975,298127,311891
JAMBI,253335,258888,273267
Kerinci,232966,241969,252734
Merangin,238571,250873,263934
Sarolangun,297111,309212,330543
Batang Hari,257386,266809,285713
Muaro Jambi,209182,217659,225169
Tanjung Jabung Timur,244160,252716,266685
Tanjung Jabung Barat,232188,241520,254547
Tebo,246894,256980,273695
Bungo,224354,232927,244463
Kota Jambi,291825,302231,322736
Kota Sungai Penuh,225456,233934,253297
SUMATERA SELATAN,256542,247397,259668
Ogan Komering Ulu,253307,278427,292826
Ogan Komering Ilir,213543,234558,244991
Muara Enim,225807,250892,262718
Lahat,260227,284987,298824
Musi Rawas,268257,293582,310366
Musi Banyuasin,275807,309212,325165
Banyu Asin,235431,256821,267600
Ogan Komering Ulu Selatan,199259,215919,224039
Ogan Komering Ulu Timur,191232,209022,217830
Ogan Ilir,253074,279164,295729
Empat Lawang,201262,216347,226435
Penukal Abab Lematang Ilir,-,-,-
Musi Rawas Utara,-,-,-
Kota Palembang,315634,344939,366689
Kota Prabumulih,318521,349756,374018
Kota Pagar Alam,213574,234189,244358
Kota Lubuklinggau,288609,318189,337160
BENGKULU,266046,267078,283252
Bengkulu Selatan,238642,253846,266465
Rejang Lebong,271051,284729,299903
Bengkulu Utara,235439,259568,272910
Kaur,214826,225844,236930
Seluma,244833,256257,270495
Mukomuko,243442,271057,288004
Lebong,224075,254112,269282
Kepahiang,230015,245303,259131
Bengkulu Tengah,246771,255424,270611
Kota Bengkulu,368637,391457,424132
LAMPUNG,238768,245502,263088
Lampung Barat,237660,269670,291106
Tanggamus,222504,250134,267148
Lampung Selatan,227113,256153,274401
Lampung Timur,227698,257284,273574
Lampung Tengah,239228,271262,291445
Lampung Utara,241789,274291,296178
Way Kanan,208744,241330,257498
Tulangbawang,223181,256793,275088
Pesawaran,226631,251723,267475
Pringsewu,237868,269212,291712
Mesuji,228027,256185,274492
Tulang Bawang Barat,226563,253773,271223
Pesisir Barat,-,-,-
Kota Bandar Lampung,318458,359948,392642
Kota Metro,221565,255231,273117
KEP. BANGKA BELITUNG,315556,350054,382412
Bangka,280069,315548,336790
Belitung,367883,416041,463675
Bangka Barat,271761,305500,331971
Bangka Tengah,342841,387786,429177
Bangka Selatan,274125,308328,328497
Belitung Timur,336847,380813,420973
Kota Pangkal Pinang,334337,378275,423848
KEPULAUAN RIAU,366140,353379,363450
Karimun,254789,269423,274080
Bintan,274721,286007,290994
Natuna,217359,253491,258596
Lingga,310489,326239,331881
Kepulauan Anambas,245079,255867,260523
Kota Batam,401849,443164,461850
Kota Tanjung Pinang,435847,487633,496184
DKI JAKARTA,338783,368415,392571
Kepulauan Seribu,368913,393717,423179
Kota Jakarta Selatan,397415,430345,466817
Kota Jakarta Timur,325980,352614,366674
Kota Jakarta Pusat,343587,370897,402570
Kota Jakarta Barat,320072,347449,362363
Kota Jakarta Utara,316673,344089,364359
JAWA BARAT,230445,226097,242104
Bogor,214338,235682,252542
Sukabumi,184127,214191,227741
Cianjur,202438,235202,250032
Bandung,217452,228092,241947
Garut,180406,202350,213707
Tasikmalaya,186126,209238,222594
Ciamis,208960,233528,251624
Kuningan,200171,230251,245476
Cirebon,230346,262374,281027
Majalengka,263377,300741,326962
Sumedang,230637,239009,249315
Indramayu,264576,301788,325787
Subang,234803,243311,257543
Purwakarta,226118,236314,251132
Karawang,266597,288001,310751
Bekasi,271901,300013,328244
Bandung Barat,216388,227988,241892
Pangandaran,-,-,-
Kota Bogor,278530,305870,331955
Kota Sukabumi,284339,334735,370633
Kota Bandung,279784,292104,314721
Kota Cirebon,251375,284543,307812
Kota Bekasi,332849,365721,403033
Kota Depok,310279,358259,397687
Kota Cimahi,280155,293143,318871
Kota Tasikmalaya,263177,293985,317037
Kota Banjar,193305,219541,234687
JAWA TENGAH,217327,217440,233769
Cilacap,206714,224530,240025
Banyumas,225546,249807,271800
Purbalingga,210349,230461,247508
Banjarnegara,173385,192303,205369
Kebumen,211495,234005,250413
Purworejo,211400,235459,254314
Wonosobo,203216,226827,242047
Magelang,184053,204430,218950
Boyolali,209495,223755,235399
Klaten,258854,275002,296530
Sukoharjo,227055,240711,259184
Wonogiri,195080,207496,221019
Karanganyar,216954,236093,255072
Sragen,206273,222267,234254
Grobogan,223560,242212,260435
Blora,190356,206016,221088
Rembang,217846,240859,261156
Pati,244149,264372,288271
Kudus,237643,256745,276317
Jepara,224737,242963,263266
Demak,228774,254441,276041
Semarang,206308,227471,244762
Temanggung,178814,198888,212487
Kendal,216545,234475,253276
Batang,169256,184592,195983
Pekalongan,228674,249958,270026
Pemalang,216365,235316,251986
Tegal,204093,222700,239207
Brebes,239086,261160,281601
Kota Magelang,258921,280877,313250
Kota Surakarta,306584,326233,361517
Kota Salatiga,241223,254726,277039
Kota Semarang,246195,272996,297848
Kota Pekalongan,251952,270663,294586
Kota Tegal,270788,280349,305818
D I YOGYAKARTA,234282,257909,270110
Kulon Progo,225059,240301,250854
Bantul,245626,264546,277792
Gunung Kidul,203873,220479,228745
Sleman,247688,267107,281644
Kota Yogyakarta,290286,314311,333232
JAWA TIMUR,218568,227602,243783
Pacitan,177300,193180,203979
Ponorogo,193047,210411,224186
Trenggalek,195444,214312,228681
Tulungagung,214362,234806,251372
Blitar,192514,210254,222899
Kediri,200237,218865,232373
Malang,197129,215605,229619
Lumajang,185321,202773,215326
Jember,202010,226546,242440
Banyuwangi,220031,240315,257857
Bondowoso,229746,251426,270530
Situbondo,192862,211262,225582
Probolinggo,255757,280101,303447
Pasuruan,218432,238640,255822
Sidoarjo,248856,277776,301675
Mojokerto,220066,240502,259583
Jombang,229976,251704,270930
Nganjuk,232275,253819,273260
Madiun,205905,224713,240798
Magetan,203323,221951,236801
Ngawi,191152,208220,220560
Bojonegoro,211213,230397,246454
Tuban,206635,225731,241103
Lamongan,221413,242441,260787
Gresik,258503,285519,306177
Bangkalan,228235,251599,270870
Sampang,209898,229414,245299
Pamekasan,205494,225878,240737
Sumenep,205556,225096,241084
Kota Kediri,267936,288876,316693
Kota Blitar,232945,257685,279661
Kota Malang,274863,302103,330765
Kota Probolinggo,386711,425583,335874
Kota Pasuruan,244435,269543,292241
Kota Mojokerto,244778,266978,287728
Kota Madiun,241503,260179,288368
Kota Surabaya,282586,310074,339208
Kota Batu,252890,280330,306780
BANTEN,233214,236520,251161
Pandeglang,202483,209655,219592
Lebak,185573,197985,205787
Tangerang,258155,290423,311141
Serang,192128,204788,211846
Kota Tangerang,303551,337543,365205
Kota Cilegon,246662,261962,277875
Kota Serang,197525,213617,224964
Kota Tangerang Selatan,275643,317887,344681
BALI,246598,240543,254221
Jembrana,243897,267747,282471
Tabanan,269889,294945,312770
Badung,312602,346460,376092
Gianyar,237904,260704,274639
Klungkung,206695,223639,233764
Bangli,215607,233694,245720
Karang Asem,205860,226173,236688
Buleleng,238034,260165,277458
Kota Denpasar,309672,342444,373366
NUSA TENGGARA BARAT,244130,233033,248758
Lombok Barat,245177,270677,290687
Lombok Tengah,243302,267142,285665
Lombok Timur,252354,278118,298796
Sumbawa,221935,233479,246097
Dompu,199312,211464,222972
Bima,207823,217395,229387
Sumbawa Barat,310586,342026,371934
Lombok Utara,261819,287307,308588
Kota Mataram,279324,308920,333931
Kota Bima,224912,237684,252166
NUSA TENGGARA TIMUR,193298,203607,222507
Sumba Barat,197307,219135,238202
Sumba Timur,199711,224545,245413
Kupang,189489,209955,230896
Timor Tengah Selatan,179865,198891,216301
Timor Tengah Utara,196395,216681,238249
Belu,186654,209223,229915
Alor,175552,196693,213946
Lembata,200338,222607,244523
Flores Timur,166416,185817,201162
Sikka,174946,196081,213233
Ende,206926,230086,250191
Ngada,185050,206842,226815
Manggarai,191176,207904,226613
Rote Ndao,178778,201152,217777
Manggarai Barat,183070,205756,224694
Sumba Tengah,164489,184100,199198
Sumba Barat Daya,208494,227436,249895
Nagekeo,181479,204579,227049
Manggarai Timur,182641,205486,224394
Sabu Raijua,193095,226632,250626
Malaka,-,-,-
Kota Kupang,309281,337181,386514
KALIMANTAN BARAT,211902,219636,239162
Sambas,203325,232581,253410
Bengkayang,185843,210755,225635
Landak,188022,217071,233870
Pontianak,180322,206338,222737
Sanggau,167522,191732,206445
Ketapang,225545,259100,284036
Sintang,253855,288409,319886
Kapuas Hulu,221889,253680,278446
Sekadau,173411,197747,214316
Melawi,252821,296060,330611
Kayong Utara,158862,183174,195683
Kubu Raya,196633,227635,247828
Kota Pontianak,242772,274647,306017
Kota Singkawang,237245,271004,294960
KALIMANTAN TENGAH,244933,256245,277407
Kotawaringin Barat,238987,253549,263840
Kotawaringin Timur,246925,261807,281887
Kapuas,195064,205852,220256
Barito Selatan,261670,275729,296750
Barito Utara,267603,281756,317497
Sukamara,270532,287692,315574
Lamandau,246826,262727,286001
Seruyan,254340,268421,292912
Katingan,264373,273703,299427
Pulang Pisau,242441,255595,275940
Gunung Mas,249789,263356,288794
Barito Timur,289094,304788,338467
Murung Raya,272809,291433,320856
Kota Palangka Raya,223125,235187,258381
KALIMANTAN SELATAN,242507,249487,269714
Tanah Laut,246580,268918,291923
Kota Baru,230564,253892,274597
Banjar,230759,251948,273074
Barito Kuala,185310,200706,213432
Tapin,220652,242603,268641
Hulu Sungai Selatan,256878,279594,305283
Hulu Sungai Tengah,209272,227761,241973
Hulu Sungai Utara,245812,264058,286430
Tabalong,251217,278514,302986
Tanah Bumbu,249772,276961,303431
Balangan,226416,244785,263681
Kota Banjarmasin,267807,291231,318135
Kota Banjar Baru,304820,334232,369961
KALIMANTAN TIMUR,288415,336019,363887
Paser,248795,283921,304985
Kutai Barat,273851,312192,337366
Kutai Kartanegara,272835,309604,334248
Kutai Timur,300108,339905,364353
Berau,302117,341533,368080
Penajam Paser Utara,261187,295854,314917
Mahakam Hulu,-,-,-
Kota Balikpapan,313485,357077,389982
Kota Samarinda,337162,381614,419353
Kota Bontang,313718,347312,383200
KALIMANTAN UTARA,288415,336019,363887
Malinau,318275,360485,393652
Bulungan,248653,283179,302225
Tana Tidung,242386,272030,286064
Nunukan,229008,260990,278578
Kota Tarakan,324856,365104,391123
SULAWESI UTARA,226904,221278,223883
Bolaang Mongondow,225705,234305,237141
Minahasa,203460,210644,212930
Kepulauan Sangihe,190539,197236,199240
Kepulauan Talaud,199594,206632,208832
Minahasa Selatan,230829,238976,241482
Minahasa Utara,227418,235437,238293
Bolaang Mongondow Utara,183550,190022,191883
Siau Tagulandang Biaro,220165,227916,230592
Minahasa Tenggara,242046,250591,253827
Bolaang Mongondow Selatan,224020,231920,234691
Bolaang Mongondow Timur,223074,232402,235203
Kota Manado,247809,256545,267745
Kota Bitung,272545,284789,289007
Kota Tomohon,265743,275723,281359
Kota Kotamobagu,221882,229699,232417
SULAWESI TENGAH,227655,247584,266718
Banggai Kepulauan,200360,215634,230688
Banggai,227124,245405,266023
Morowali,248568,267895,292817
Poso,262942,286000,312764
Donggala,189640,203960,217419
Toli-Toli,190596,205413,217303
Buol,204761,221154,236601
Parigi Moutong,231933,249957,269503
Tojo Una-Una,257244,277143,302036
Sigi,192044,206933,220813
Banggai Laut,-,-,-
Morowali Utara,-,-,-
Kota Palu,292025,313479,345827
SULAWESI SELATAN,207295,185736,195627
Kepulauan Selayar,203726,224541,240198
Bulukumba,200907,221152,233739
Bantaeng,161499,177829,188123
Jeneponto,213188,233713,249963
Takalar,203319,223999,237877
Gowa,220780,245195,260721
Sinjai,189004,195667,204253
Maros,237119,245473,262064
Pangkajene Dan Kepulauan,207420,214736,224730
Barru,216585,224201,234511
Bone,189320,208275,219432
Soppeng,180352,188257,195722
Wajo,208293,217273,228786
Sidenreng Rappang,196410,204705,219715
Pinrang,186920,197445,207073
Enrekang,204861,212826,223488
Luwu,198336,207841,218051
Tana Toraja,185785,196785,206952
Luwu Utara,206944,215419,227108
Luwu Timur,198494,208089,219785
Toraja Utara,249111,286763,310058
Kota Makassar,233815,242034,256777
Kota Parepare,199796,216236,230121
Kota Palopo,199811,212176,218989
SULAWESI TENGGARA,216650,199176,203333
Buton,176346,182569,185685
Muna,232284,242392,247928
Konawe,217373,227292,228610
Kolaka,243451,258963,265404
Konawe Selatan,161231,170100,172007
Bombana,210225,226962,230705
Wakatobi,191496,198229,202103
Kolaka Utara,287515,312645,322242
Buton Utara,223104,239365,240899
Konawe Utara,183902,198840,202700
Kolaka Timur,-,-,-
Konawe Kepulauan,-,-,-
Muna Barat,-,-,-
Buton Tengah,-,-,-
Buton Selatan,-,-,-
Kota Kendari,225955,237750,246474
Kota Baubau,232103,245326,251070
GORONTALO,212397,195685,212476
Boalemo,212873,231480,249459
Gorontalo,225732,249151,271772
Pohuwato,194335,210033,211204
Bone Bolango,202308,225395,244682
Gorontalo Utara,189347,210011,211182
Kota Gorontalo,238006,264550,295444
SULAWESI BARAT,207961,192971,207072
Majene,220059,227827,245452
Polewali Mandar,229996,238104,258660
Mamasa,169929,175919,186532
Mamuju,158782,165733,175907
Mamuju Utara,211799,222649,241141
Mamuju Tengah,-,-,-
MALUKU,257630,268701,295904
Maluku Tenggara Barat,219903,227729,246452
Maluku Tenggara,232085,240267,264629
Maluku Tengah,286493,296602,326126
Buru,276672,286433,315016
Kepulauan Aru,231783,239965,259585
Seram Bagian Barat,239048,247446,270264
Seram Bagian Timur,234377,243687,264966
Maluku Barat Daya,234688,247531,270629
Buru Selatan,333337,345106,391708
Kota Ambon,305245,324453,368318
Kota Tual,234232,247343,269265
MALUKU UTARA,231635,236590,250184
Halmahera Barat,207427,226187,238698
Halmahera Tengah,274349,296623,315605
Kepulauan Sula,212848,232756,245626
Halmahera Selatan,190525,209455,219933
Halmahera Utara,162665,170559,177648
Halmahera Timur,303112,344615,373948
Pulau Morotai,166505,183270,191302
Pulau Taliabu,-,-,-
Kota Ternate,335985,361752,392362
Kota Tidore Kepulauan,268822,278302,295722
PAPUA BARAT,336999,334449,354626
Fakfak,320919,355494,369929
Kaimana,251812,278626,292731
Teluk Wondama,329383,357985,378048
Teluk Bintuni,389419,431689,463871
Manokwari,378823,420037,454578
Sorong Selatan,227968,236827,245904
Sorong,243554,254810,265868
Raja Ampat,241540,251215,261440
Tambrauw,245060,258938,269975
Maybrat,248702,261830,272202
Manokwari Selatan,-,-,-
Pegunungan Arfak,-,-,-
Kota Sorong,438863,461075,496815
PAPUA BARAT DAYA,-,-,-
Raja Ampat,-,-,-
Sorong,-,-,-
Sorong Selatan,-,-,-
Maybrat,-,-,-
Tambrauw,-,-,-
Kota Sorong,-,-,-
PAPUA,284755,280302,297502
Merauke,230729,241904,253987
Jayawijaya,242655,273270,289785
Jayapura,315835,350569,376261
Nabire,334168,357820,391024
Kepulauan Yapen,333936,358284,394193
Biak Numfor,345406,357595,384399
Paniai,283225,293224,311294
Puncak Jaya,332533,358876,389094
Mimika,385267,418426,463700
Boven Digoel,255543,269760,298858
Mappi,200403,210576,225031
Asmat,221672,236081,252526
Yahukimo,215897,233405,253240
Pegunungan Bintang,308929,319795,340483
Tolikara,169004,182150,190421
Sarmi,258002,280100,305217
Keerom,325176,342852,374821
Waropen,337101,351885,396228
Supiori,249340,281743,301605
Mamberamo Raya,351596,368891,428716
Nduga *,211691,235346,228045
Lanny Jaya,254417,291230,313959
Mamberamo Tengah,238363,255346,273978
Yalimo,201665,219074,232140
Puncak,342655,363223,397897
Dogiyai,302914,333046,336900
Intan Jaya,294524,304909,356862
Deiyai,285675,331524,367678
Kota Jayapura,504235,556462,624424
PAPUA SELATAN,-,-,-
Merauke,-,-,-
Boven Digoel,-,-,-
Mappi,-,-,-
Asmat,-,-,-
PAPUA TENGAH,-,-,-
Mimika,-,-,-
Dogiyai,-,-,-
Deiyai,-,-,-
Nabire,-,-,-
Paniai,-,-,-
Intan Jaya,-,-,-
Puncak,-,-,-
Puncak Jaya,-,-,-
PAPUA PEGUNUNGAN,-,-,-
Nduga,-,-,-
Jayawijaya,-,-,-
Lanny Jaya,-,-,-
Tolikara,-,-,-
Mamberamo Tengah,-,-,-
Yalimo,-,-,-
Yahukimo,-,-,-
Pegunungan Bintang,-,-,-
