Nama Wilayah,,,
,Garis Kemiskinan Menurut Kabupaten/Kota (Rupiah/kapita/bulan),,
,2010,2011,2012
ACEH,292131,318987,321893
Simeulue,278023,300467,303138
Aceh Singkil,280534,304414,308917
Aceh Selatan,257640,278854,281158
Aceh Tenggara,185626,201449,203116
Aceh Timur,288036,312927,316131
Aceh Tengah,332598,360044,365375
Aceh Barat,371762,402636,407442
Aceh Besar,324096,351800,352112
Pidie,328337,355618,359367
Bireuen,263990,286617,289058
Aceh Utara,249824,271150,273334
Aceh Barat Daya,252217,274089,276324
Gayo Lues,253004,275000,277250
Aceh Tamiang,298509,322629,328599
Nagan Raya,320490,346154,349550
Aceh Jaya,267057,291333,296921
Bener Meriah,298798,322853,325576
Pidie Jaya,337211,365477,369440
Kota Banda Aceh,435195,477669,485543
Kota Sabang,401180,438111,443848
Kota Langsa,270201,293333,296195
Kota Lhokseumawe,268303,290838,293348
Kota Subulussalam,218906,238423,240118
SUMATERA UTARA,254275,263209,271738
Nias,233876,262560,270219
Mandailing Natal,229308,251916,259295
Tapanuli Selatan,241793,267769,278129
Tapanuli Tengah,240457,266861,275330
Tapanuli Utara,235356,258612,267538
Toba Samosir,237369,262533,270701
Labuhan Batu,244455,268435,276206
Asahan,224417,245421,247603
Simalungun,233391,256591,262796
Dairi,218138,239034,245743
Karo,286191,315547,327311
Deli Serdang,241274,268926,278472
Langkat,247090,270518,279103
Nias Selatan,185825,204057,208757
Humbang Hasundutan,208826,229594,238013
Pakpak Bharat,176830,196758,201906
Samosir,201595,220103,225827
Serdang Bedagai,248363,272763,281518
Batu Bara,253846,277434,289014
Padang Lawas Utara,208989,229621,236084
Padang Lawas,208891,226951,233120
Labuhan Batu Selatan,247824,274852,283830
Labuhan Batu Utara,263914,294794,306764
Nias Utara,258680,287280,297101
Nias Barat,254429,276877,285661
Kota Sibolga,286825,310945,322176
Kota Tanjung Balai,259838,285814,295600
Kota Pematang Siantar,317304,349068,363871
Kota Tebing Tinggi,282366,313566,326311
Kota Medan,331659,373619,384608
Kota Binjai,256025,285185,295265
Kota Padangsidimpuan,250989,282565,292197
Kota Gunungsitoli,248577,270245,277554
SUMATERA BARAT,254432,276000,292052
Kepulauan Mentawai,186381,199324,208045
Pesisir Selatan,251029,268226,286621
Solok,262010,279674,296812
Sijunjung,243880,259890,274664
Tanah Datar,243901,260419,275282
Padang Pariaman,260252,276741,293457
Agam,226015,241355,254124
Lima Puluh Kota,250026,266277,282028
Pasaman,227564,242217,252392
