Nama Wilayah,,,
,Indeks Kedalaman Kemiskinan (P1) Menurut Kabupaten/Kota,,
Kepulauan Mentawai,1.76,1.98,1.6
Pesisir Selatan,0.71,0.9,0.74
Solok,1.03,0.93,1.09
Sijunjung,0.96,0.85,0.71
Tanah Datar,0.62,0.4,0.44
Padang Pariaman,0.69,0.74,0.78
Agam,0.7,0.75,0.5
Lima Puluh Kota,0.92,1.07,0.77
Pasaman,0.65,0.73,0.79
Solok Selatan,1.12,1.1,0.94
Dharmasraya,0.74,0.42,0.64
Pasaman Barat,1.1,0.98,0.76
Kota Padang,0.61,0.44,0.25
Kota Solok,0.58,0.19,0.34
Kota Sawah Lunto,0.34,0.17,0.3
Kota Padang Panjang,0.41,0.7,0.46
Kota Bukittinggi,0.83,0.63,0.43
Kota Payakumbuh,0.49,0.76,0.74
Kota Pariaman,0.46,0.48,0.46
RIAU,1.1,1,0.97
Kuantan Singingi,1.18,1.17,0.91
Indragiri Hulu,1.01,1.14,0.61
Indragiri Hilir,0.73,0.68,0.84
Pelalawan,1.23,1.05,1.12
Siak,0.77,0.66,0.56
Kampar,1.1,0.72,0.91
Rokan Hulu,1.51,1.54,0.96
Bengkalis,0.81,1.03,0.72
Rokan Hilir,1.34,1.22,0.85
Kepulauan Meranti,3.54,3.86,3.59
Kota Pekanbaru,0.33,0.38,0.34
Kota Dumai,0.36,0.36,0.2
JAMBI,1.17,1.2,1.06
Kerinci,1.22,1.08,1
Merangin,1.21,1.02,1.18
Sarolangun,1.32,1.49,1.09
Batang Hari,1.44,1.19,1.34
Muaro Jambi,0.4,0.62,0.48
Tanjung Jabung Timur,1.37,1.7,2.32
Tanjung Jabung Barat,1.61,1.47,1.17
Tebo,0.74,0.93,0.73
Bungo,0.81,0.59,0.4
Kota Jambi,1.19,1.31,0.96
Kota Sungai Penuh,0.28,0.51,0.33
SUMATERA SELATAN,1.96,1.72,1.89
Ogan Komering Ulu,1.64,1.59,1
Ogan Komering Ilir,2.85,2.91,1.62
Muara Enim,1.72,1.92,2.14
Lahat,3.42,2.49,2.13
Musi Rawas,1.94,1.99,1.87
Musi Banyuasin,2.95,1.77,2.02
Banyu Asin,1.86,1.2,1.66
Ogan Komering Ulu Selatan,1.09,1.86,1.68
Ogan Komering Ulu Timur,0.96,0.92,0.72
Ogan Ilir,2.24,1.48,1.49
Empat Lawang,1.98,1.15,1.51
Penukal Abab Lematang Ilir,1.5,0.99,0.62
Musi Rawas Utara,3.07,3.33,3.07
Kota Palembang,2.25,2.06,1.66
Kota Prabumulih,1.37,1.48,1.47
Kota Pagar Alam,0.88,1.11,1
Kota Lubuklinggau,1.5,1.49,1.43
BENGKULU,2.43,2.14,2.11
Bengkulu Selatan,2.97,2.72,2.91
Rejang Lebong,2.76,2.81,1.99
Bengkulu Utara,1.61,1.33,1.03
Kaur,4.22,3.64,2.54
Seluma,3.02,4.04,2.43
Mukomuko,2.05,1.54,1.56
Lebong,1.15,1.45,1.3
Kepahiang,2.2,1.87,2.13
Bengkulu Tengah,1.69,1.39,1.18
Kota Bengkulu,3.21,2.84,2.39
LAMPUNG,1.82,1.64,1.53
Lampung Barat,1.89,2.34,1.51
Tanggamus,1.42,1.21,1.42
Lampung Selatan,1.87,2.16,1.94
Lampung Timur,2.31,2.11,1.57
Lampung Tengah,1.64,1.57,1.66
Lampung Utara,2.95,2.37,2.3
Way Kanan,2.15,1.85,1.57
Tulangbawang,1.17,1.09,0.82
Pesawaran,2,1.63,1.7
Pringsewu,1.07,0.99,0.92
Mesuji,0.65,1.18,0.83
Tulang Bawang Barat,0.88,1.04,0.87
Pesisir Barat,2.22,1.88,2.1
Kota Bandar Lampung,1.34,1.16,0.97
Kota Metro,0.87,1.12,0.77
KEP. BANGKA BELITUNG,0.6,0.63,0.66
Bangka,0.67,0.35,0.62
Belitung,0.93,1.02,0.96
Bangka Barat,0.27,0.42,0.52
Bangka Tengah,0.62,0.64,0.66
Bangka Selatan,0.25,0.26,0.27
Belitung Timur,0.9,0.91,0.64
Kota Pangkal Pinang,0.79,0.62,0.68
KEPULAUAN RIAU,1.05,0.82,0.7
Karimun,0.78,0.53,0.99
Bintan,0.91,0.68,0.61
Natuna,1.06,0.7,0.31
Lingga,2.53,1.6,1.25
Kepulauan Anambas,0.92,0.78,0.94
Kota Batam,0.76,0.59,0.65
Kota Tanjung Pinang,1.64,1.18,0.86
DKI JAKARTA,0.77,0.7,0.65
Kepulauan Seribu,1.75,1.52,1
Kota Jakarta Selatan,0.79,0.37,0.27
Kota Jakarta Timur,0.56,0.76,0.33
Kota Jakarta Pusat,0.73,0.66,0.57
Kota Jakarta Barat,0.65,0.59,0.26
Kota Jakarta Utara,1.15,1.3,1.01
JAWA BARAT,1.32,1.17,1.21
Bogor,1.49,0.97,1.08
Sukabumi,0.93,1.01,0.88
Cianjur,1.35,1.29,1.58
Bandung,0.9,1.1,0.61
Garut,1.81,1.17,1.41
Tasikmalaya,1.42,1.61,1.01
Ciamis,1.07,0.9,0.99
Kuningan,2.14,1.87,2.02
Cirebon,2.27,1.98,1.69
Majalengka,1.55,1.34,1.76
Sumedang,1.98,1.64,1.6
Indramayu,1.72,2.2,2.05
Subang,1.55,1.9,1.63
Purwakarta,1.19,1.48,1.37
Karawang,1.58,1.06,1.18
Bekasi,0.74,0.82,0.7
Bandung Barat,1.7,1.54,1.17
Pangandaran,1.24,1.28,1.23
Kota Bogor,1.27,0.99,0.95
Kota Sukabumi,1.27,1.21,0.88
Kota Bandung,0.7,0.59,0.6
Kota Cirebon,1.34,1.29,1.18
Kota Bekasi,0.96,0.63,0.8
Kota Depok,0.42,0.24,0.34
Kota Cimahi,0.67,0.54,0.83
Kota Tasikmalaya,2.34,1.62,1.35
Kota Banjar,1.02,0.68,1.03
JAWA TENGAH,1.77,1.75,1.64
Cilacap,1.47,1.54,1.59
Banyumas,1.75,1.78,2.09
Purbalingga,2.08,2.52,2.1
Banjarnegara,2.34,2.34,2.38
Kebumen,3.41,2.89,2.35
Purworejo,1.31,1.78,1.08
Wonosobo,3.18,2.6,2.41
Magelang,1.66,1.73,1.23
Boyolali,1.13,1.02,1.56
Klaten,1.86,1.7,1.46
Sukoharjo,0.87,1.17,1.21
Wonogiri,1.33,1.32,1.53
Karanganyar,1.64,1.22,1.63
Sragen,2.07,2.15,2.42
Grobogan,1.95,1.48,1.9
Blora,1.8,1.35,1.59
Rembang,2.41,2.52,2.76
Pati,1.2,1.64,1.17
Kudus,0.9,0.99,1.02
Jepara,1.22,1.01,0.71
Demak,1.68,1.83,1.95
Semarang,1.03,0.82,0.91
Temanggung,1.06,0.99,0.97
Kendal,1.52,1.19,0.91
Batang,1.26,1.85,1.25
Pekalongan,1.67,1.3,1.16
Pemalang,2.43,2.4,2.56
Tegal,0.95,0.88,0.97
Brebes,2.73,2.98,2.5
Kota Magelang,0.47,0.74,0.92
Kota Surakarta,1.07,1,1.14
Kota Salatiga,0.66,0.75,0.61
Kota Semarang,0.56,0.54,0.59
Kota Pekalongan,0.9,0.82,0.84
Kota Tegal,1.15,0.86,1.34
D I YOGYAKARTA,2.01,1.72,1.87
Kulon Progo,2.32,2.54,2.48
Bantul,2.11,1.79,2.18
Gunung Kidul,2.63,2.71,2.56
Sleman,1.18,1.34,1.21
Kota Yogyakarta,0.8,0.86,0.76
JAWA TIMUR,1.62,1.63,1.48
Pacitan,1.35,1.73,1.49
Ponorogo,0.99,1.12,1.02
Trenggalek,1.38,1.26,1.43
Tulungagung,0.66,0.94,0.6
Blitar,1.33,1.21,0.8
Kediri,1.67,1.52,1.22
Malang,0.92,0.98,0.98
Lumajang,1.34,1.41,1.23
Jember,1.08,1.17,1.01
Banyuwangi,1.18,0.89,0.44
Bondowoso,1.62,2.06,1.51
Situbondo,1.34,1.59,1.19
Probolinggo,2.54,2.87,2.63
Pasuruan,1.29,1.22,1.09
Sidoarjo,0.84,0.72,0.64
Mojokerto,1.37,1.73,1.01
Jombang,1.19,1.15,0.9
Nganjuk,1.48,1.48,1.04
Madiun,1.67,1.47,1.4
Magetan,1.55,1.11,1.09
Ngawi,1.66,2.29,2.22
Bojonegoro,1.9,1.94,1.99
Tuban,2.89,1.95,1.95
Lamongan,2.13,1.73,1.88
Gresik,2.17,1.63,1.58
Bangkalan,3.02,3.25,2.03
Sampang,2.88,2.84,2.86
Pamekasan,2.05,1.48,1.05
Sumenep,3.72,4.51,4.19
Kota Kediri,1.42,1.08,1.02
Kota Blitar,0.9,0.81,1.06
Kota Malang,1,0.76,0.42
Kota Probolinggo,1.04,1.13,0.98
Kota Pasuruan,0.93,1.26,0.7
Kota Mojokerto,0.87,0.78,0.74
Kota Madiun,0.4,0.65,0.56
Kota Surabaya,0.69,0.71,0.65
Kota Batu,0.64,0.35,0.46
BANTEN,1.03,1.2,0.97
Pandeglang,1.21,1.56,1.52
Lebak,1.35,1.73,1.02
Tangerang,1.06,1.31,1.2
Serang,0.56,0.67,0.79
Kota Tangerang,0.72,0.88,0.94
Kota Cilegon,0.42,0.48,0.44
Kota Serang,0.77,0.75,0.75
Kota Tangerang Selatan,0.32,0.45,0.27
BALI,0.62,0.55,0.5
Jembrana,0.73,0.38,0.36
Tabanan,0.67,0.52,0.75
Badung,0.29,0.11,0.32
Gianyar,0.69,0.42,0.49
Klungkung,0.53,0.58,0.23
Bangli,0.72,0.75,0.89
Karang Asem,0.84,0.62,0.56
Buleleng,0.6,0.53,0.72
Kota Denpasar,0.3,0.35,0.36
NUSA TENGGARA BARAT,2.49,2.38,2.44
Lombok Barat,1.82,1.78,1.84
Lombok Tengah,2.01,2.12,1.56
Lombok Timur,2.58,3.57,2.66
Sumbawa,2.52,2.27,1.98
Dompu,1.49,1.84,1.62
Bima,2.4,2.19,1.89
Sumbawa Barat,2.64,2.03,2.33
Lombok Utara,6.08,4.44,4.81
Kota Mataram,1.18,1.94,2.15
Kota Bima,1.28,1.5,1.44
NUSA TENGGARA TIMUR,3.63,3.33,3.41
Sumba Barat,5.53,6.92,5.25
Sumba Timur,5.54,7.72,6.44
Kupang,3.89,3.68,4.64
Timor Tengah Selatan,6.16,5.78,4.51
Timor Tengah Utara,2.68,3.71,3.9
Belu,2.87,2.07,2.26
Alor,3.42,2.82,2.25
Lembata,4.84,4.56,4.35
Flores Timur,1.54,1.74,1.38
Sikka,1.8,1.58,1.57
Ende,4.8,3.59,4.44
Ngada,2.13,1.77,2.14
Manggarai,3.34,4.63,2.88
Rote Ndao,5.31,4.97,5.23
Manggarai Barat,4.44,3.59,3.55
Sumba Tengah,8.08,8.16,7.59
Sumba Barat Daya,3.99,5.86,3.84
Nagekeo,1.3,1.16,1.56
Manggarai Timur,5.27,5.57,5.14
Sabu Raijua,4.61,5.16,5.52
Malaka,2.24,2.3,1.99
Kota Kupang,1.44,1.07,1.4
KALIMANTAN BARAT,1.04,1.03,0.86
Sambas,0.85,1.1,0.85
Bengkayang,0.73,0.98,0.64
Landak,1.4,1.32,1.48
Pontianak,0.42,0.52,0.49
Sanggau,0.85,0.55,0.45
Ketapang,2.04,1.84,1.49
Sintang,1.56,1.16,0.94
Kapuas Hulu,1.41,1.51,0.78
Sekadau,0.72,0.91,0.55
Melawi,1.83,2.47,1.72
Kayong Utara,1.2,1.71,1.63
Kubu Raya,0.4,0.56,0.36
Kota Pontianak,0.49,0.49,0.58
Kota Singkawang,0.87,0.74,0.47
KALIMANTAN TENGAH,0.91,0.66,0.78
Kotawaringin Barat,0.47,0.55,0.43
Kotawaringin Timur,1.34,0.75,0.96
Kapuas,0.82,0.73,0.6
Barito Selatan,0.58,0.41,0.21
Barito Utara,1.05,0.57,0.89
Sukamara,0.53,0.29,0.27
Lamandau,0.37,0.33,0.61
Seruyan,1.25,0.6,0.92
Katingan,0.67,0.68,0.6
Pulang Pisau,0.76,0.53,0.83
Gunung Mas,0.99,0.49,0.48
Barito Timur,1.06,0.75,0.93
Murung Raya,1.11,0.9,1.04
Kota Palangka Raya,0.66,0.27,0.42
KALIMANTAN SELATAN,0.63,0.61,0.57
Tanah Laut,0.37,0.3,0.76
Kota Baru,0.59,0.92,0.45
Banjar,0.33,0.38,0.33
Barito Kuala,0.71,1.14,0.69
Tapin,0.33,0.31,0.23
Hulu Sungai Selatan,0.49,0.69,0.34
Hulu Sungai Tengah,0.75,0.63,0.75
Hulu Sungai Utara,0.86,0.63,0.54
Tabalong,0.7,0.46,0.95
Tanah Bumbu,0.36,0.42,0.54
Balangan,0.67,0.55,0.85
Kota Banjarmasin,0.72,0.55,0.49
Kota Banjar Baru,0.17,0.62,0.45
KALIMANTAN TIMUR,0.99,0.77,0.8
Paser,1.35,1.04,0.86
Kutai Barat,1.56,1.29,1.18
Kutai Kartanegara,1.18,0.91,0.65
Kutai Timur,2.33,1.2,1.14
Berau,0.98,0.16,0.41
Penajam Paser Utara,1.07,0.75,0.72
Mahakam Hulu,2.08,1.02,1.64
Kota Balikpapan,0.17,0.25,0.13
Kota Samarinda,0.59,0.75,0.54
Kota Bontang,0.37,0.39,0.31
KALIMANTAN UTARA,0.89,0.64,0.82
Malinau,0.73,0.37,0.57
Bulungan,1.59,0.84,1.4
Tana Tidung,0.41,0.14,0.48
Nunukan,0.84,0.59,0.82
Kota Tarakan,0.73,0.79,0.5
SULAWESI UTARA,1.15,1.09,1.1
Bolaang Mongondow,1.24,0.55,0.79
Minahasa,0.91,1.51,1.38
Kepulauan Sangihe,1.43,2.01,0.92
Kepulauan Talaud,0.95,1.18,1.33
Minahasa Selatan,0.93,1.14,0.79
Minahasa Utara,1.16,1.13,0.73
Bolaang Mongondow Utara,0.9,0.81,0.99
Siau Tagulandang Biaro,0.58,0.95,1.06
Minahasa Tenggara,1.89,1.47,1.53
Bolaang Mongondow Selatan,1.83,1.47,1.34
Bolaang Mongondow Timur,0.65,0.66,0.54
Kota Manado,1.17,0.93,1
Kota Bitung,0.76,0.99,1.11
Kota Tomohon,0.63,0.89,0.8
Kota Kotamobagu,0.61,0.59,0.5
SULAWESI TENGAH,2.41,2.12,2.1
Banggai Kepulauan,1.79,2.23,1.26
Banggai,1.2,0.8,0.86
Morowali,2.03,1.52,1.79
Poso,2.4,2.58,1.97
Donggala,2.82,2.65,3
Toli-Toli,1.53,1.59,1.73
Buol,1.79,1.63,2.2
Parigi Moutong,3.84,2.61,3.36
Tojo Una-Una,2.8,2.42,2.04
Sigi,2.01,2.4,2.52
Banggai Laut,2.23,1.82,1.76
Morowali Utara,2.18,2.33,1.89
Kota Palu,0.94,0.84,0.65
SULAWESI SELATAN,1.36,1.57,1.39
Kepulauan Selayar,2.15,2.36,1.62
Bulukumba,0.99,1.16,0.85
Bantaeng,1.32,1.21,0.89
Jeneponto,2.54,2.23,1.48
Takalar,0.88,0.81,1.22
Gowa,1.13,0.72,0.67
Sinjai,1.19,0.98,1.16
Maros,1.77,1.89,1.06
Pangkajene Dan Kepulauan,2.09,2.15,1.78
Barru,0.98,1.48,1.11
Bone,1.35,1.23,1.14
Soppeng,0.91,1.44,0.79
Wajo,0.86,1.34,1.02
Sidenreng Rappang,0.86,0.54,0.51
Pinrang,1.06,1.22,1.37
Enrekang,1.97,1.96,1.89
Luwu,1.9,2.19,2.05
Tana Toraja,1.3,1.8,1.26
Luwu Utara,2.26,2.2,2.1
Luwu Timur,0.8,1.46,1.31
Toraja Utara,1.7,2.47,1.21
Kota Makassar,0.8,0.62,0.81
Kota Parepare,0.56,0.58,0.72
Kota Palopo,1.43,1.1,0.94
SULAWESI TENGGARA,1.82,1.96,2.08
Buton,1.25,1.93,1.68
Muna,1.57,2.21,1.87
Konawe,2.86,2.35,2.33
Kolaka,1.54,1.95,1.78
Konawe Selatan,2.18,2.2,1.59
Bombana,1.32,2.05,1.15
Wakatobi,2.18,3.64,2.87
Kolaka Utara,2.8,2.93,2.65
Buton Utara,2.66,2.13,3.12
Konawe Utara,2.52,2.47,2.52
Kolaka Timur,1.86,2.49,1.87
Konawe Kepulauan,3.09,2.79,2.78
Muna Barat,1.99,1.92,2.08
Buton Tengah,1.81,1.72,1.82
Buton Selatan,2.12,2,1.97
Kota Kendari,0.73,0.64,0.7
Kota Baubau,0.8,1.21,1.61
GORONTALO,3.04,2.92,2.88
Boalemo,2.99,3.41,3.75
Gorontalo,3.51,3.97,3.41
Pohuwato,3.16,2.69,2.89
Bone Bolango,2.52,2.35,2.86
Gorontalo Utara,3.15,2.69,3.41
Kota Gorontalo,0.82,0.62,0.67
SULAWESI BARAT,2.21,1.8,1.85
Majene,2.6,1.87,1.82
Polewali Mandar,3.26,2.42,3.09
Mamasa,2.09,2.17,1.75
Mamuju,0.98,0.79,1.12
Mamuju Utara,0.9,0.72,0.66
Mamuju Tengah,1.15,0.97,0.92
MALUKU,2.9,3.08,3.1
Maluku Tenggara Barat,4.48,4.07,4.23
Maluku Tenggara,3.78,3.85,2.65
Maluku Tengah,2.75,2.78,4
Buru,3.61,3.07,2.47
Kepulauan Aru,2.9,4.33,4.56
Seram Bagian Barat,5.09,4.56,3.38
Seram Bagian Timur,3.14,3.29,3.22
Maluku Barat Daya,3.33,5.58,3.52
Buru Selatan,2.13,2.27,2.34
Kota Ambon,0.55,0.65,0.71
Kota Tual,3.77,2.86,3.03
MALUKU UTARA,0.91,1.08,0.89
Halmahera Barat,1.34,1.58,1.49
Halmahera Tengah,1.36,1.8,1.73
Kepulauan Sula,0.76,0.7,1.01
Halmahera Selatan,0.77,0.88,0.53
Halmahera Utara,0.47,0.42,0.48
Halmahera Timur,1.94,2.55,1.49
Pulau Morotai,0.74,0.72,0.66
Pulau Taliabu,0.83,0.68,1.08
Kota Ternate,0.41,0.56,0.78
Kota Tidore Kepulauan,0.83,0.96,0.95
PAPUA BARAT,4.82,4.94,4.35
Fakfak,5.33,4.92,4.6
Kaimana,3.32,3.13,3.17
Teluk Wondama,5.5,6.44,4.68
Teluk Bintuni,9.96,7.44,6.5
Manokwari,3.69,4.16,3.3
Sorong Selatan,4.52,3.43,-
Sorong,6.25,7.2,-
Raja Ampat,3.07,2.53,-
Tambrauw,5.89,5.07,-
Maybrat,9.13,8.09,-
Manokwari Selatan,8.99,7.45,5.17
Pegunungan Arfak,6.43,6.21,5.54
Kota Sorong,2.88,3.98,-
PAPUA BARAT DAYA,-,-,4.38
Raja Ampat,-,-,3.1
Sorong,-,-,6.81
Sorong Selatan,-,-,3.85
Maybrat,-,-,4.48
Tambrauw,-,-,4.55
Kota Sorong,-,-,3.07
PAPUA,6.16,6.25,4.01
Merauke,1.67,1.96,-
Jayawijaya,12.01,9.37,-
Jayapura,3.08,2.12,3.26
Nabire,6.8,8.02,-
Kepulauan Yapen,6.88,6.42,7.32
Biak Numfor,5.24,5.6,6.22
Paniai,3.95,4.37,-
Puncak Jaya,13.9,7.28,-
Mimika,4.05,3.96,-
Boven Digoel,4.57,4.5,-
Mappi,3.9,3.12,-
Asmat,3.57,3.75,-
Yahukimo,7.27,5.03,-
Pegunungan Bintang,5.6,7.66,-
Tolikara,6,5.23,-
Sarmi,1.85,2.04,1.87
Keerom,2.46,3.79,3.11
Waropen,6.95,7.16,6.16
Supiori,11.93,11.01,12.81
Mamberamo Raya,5.66,6.25,3.37
Nduga *,8.31,10.75,-
Lanny Jaya,13.73,13.15,-
Mamberamo Tengah,7.61,7.89,-
Yalimo,9.68,11.89,-
Puncak,8.2,9.12,-
Dogiyai,6.07,4.82,-
Intan Jaya,5.27,14.01,-
Deiyai,6.99,6.43,-
Kota Jayapura,2.51,2.12,2.35
PAPUA SELATAN,-,-,3.71
Merauke,-,-,1.98
Boven Digoel,-,-,3.96
Mappi,-,-,4.58
Asmat,-,-,4.17
PAPUA TENGAH,-,-,5.96
Mimika,-,-,3.82
Dogiyai,-,-,6.1
Deiyai,-,-,4.76
Nabire,-,-,5.85
Paniai,-,-,6.78
Intan Jaya,-,-,12.46
Puncak,-,-,5.98
Puncak Jaya,-,-,9.81
PAPUA PEGUNUNGAN,-,-,6.21
Nduga,-,-,5.42
Jayawijaya,-,-,7.85
Lanny Jaya,-,-,6.73
Tolikara,-,-,2.79
Mamberamo Tengah,-,-,5.1
Yalimo,-,-,9.19
Yahukimo,-,-,4.67
Pegunungan Bintang,-,-,6.1
