Provinsi/Kabupaten/Kota,,,
,[Metode Baru] Pengeluaran per Kapita Disesuaikan (Ribu Rupiah/Orang/Tahun),,
Bandung,9580,9854,10203
Garut,7079,7270,7597
Tasikmalaya,7081,7250,7761
Ciamis,8432,8658,9190
Kuningan,8580,8736,9297
Cirebon,9463,9650,10212
Majalengka,8594,8833,9416
Sumedang,9339,9569,10153
Indramayu,8866,9014,9633
Subang,10012,10206,10715
Purwakarta,10732,10941,11372
Karawang,10379,10703,11277
Bekasi,10435,10790,11155
Bandung Barat,7698,8002,8329
Pangandaran,8312,8588,8968
Kota Bogor,10662,10940,11348
Kota Sukabumi,9819,10188,10609
Kota Bandung,15805,16033,16630
Kota Cirebon,10824,11100,11397
Kota Bekasi,15236,15378,15755
Kota Depok,14560,14727,15262
Kota Cimahi,11141,11353,11921
Kota Tasikmalaya,9145,9497,9855
Kota Banjar,9815,9987,10329
JAWA TENGAH,10153,10377,10777
Cilacap,9677,9896,10274
Banyumas,10554,10713,11240
Purbalingga,9159,9340,9786
Banjarnegara,8400,8630,9160
Kebumen,8276,8446,8757
Purworejo,9497,9601,10048
Wonosobo,9877,9969,10503
Magelang,8501,8627,9025
Boyolali,12192,12262,12758
Klaten,11227,11369,11738
Sukoharjo,10452,10765,11100
Wonogiri,8589,8765,9117
Karanganyar,10722,10933,11223
Sragen,11688,12041,12391
Grobogan,9487,9716,10097
Blora,8846,9065,9385
Rembang,9453,9736,10191
Pati,9548,9813,10190
Kudus,10348,10639,10979
Jepara,9695,9745,10169
Demak,9377,9544,10001
Semarang,11102,11389,11807
Temanggung,8593,8794,9142
Kendal,10631,10863,11257
Batang,8568,8805,9203
Pekalongan,9300,9702,10221
Pemalang,7447,7785,8186
Tegal,8709,9136,9433
Brebes,9148,9554,9890
Kota Magelang,11090,11525,11994
Kota Surakarta,13900,13986,14528
Kota Salatiga,14811,14921,15464
Kota Semarang,13909,14334,14895
Kota Pekalongan,11721,11800,12312
Kota Tegal,11849,12283,12830
D I YOGYAKARTA,13229,13521,13946
Kulon Progo,8938,9277,9698
Bantul,14880,14995,15386
Gunung Kidul,8467,8788,9163
Sleman,14921,15365,15844
Kota Yogyakarta,17770,18005,18629
JAWA TIMUR,10715,10973,11380
Pacitan,8048,8288,8527
Ponorogo,8908,9107,9426
Trenggalek,8829,9034,9400
Tulungagung,9881,10114,10455
Blitar,9467,9828,10327
Kediri,10140,10326,10853
Malang,9018,9356,9844
Lumajang,8311,8503,8931
Jember,8409,8698,9090
