Nama Wilayah,,,
,Persentase Penduduk Miskin (P0) Menurut Kabupaten/Kota (Persen),,
,2013,2014,2015
ACEH,17.72,16.98,17.08
Simeulue,20.57,19.92,20.43
Aceh Singkil,18.73,17.77,21.72
Aceh Selatan,13.44,12.79,13.24
Aceh Tenggara,14.39,13.75,14.91
Aceh Timur,16.59,15.88,15.85
Aceh Tengah,17.76,16.99,17.51
Aceh Barat,23.7,22.97,21.46
Aceh Besar,16.88,16.13,15.93
Pidie,21.12,20.29,21.18
Bireuen,17.65,16.94,16.94
Aceh Utara,20.34,19.58,19.2
Aceh Barat Daya,18.92,17.99,18.25
Gayo Lues,22.33,21.43,21.95
Aceh Tamiang,15.13,14.58,14.57
Nagan Raya,21.75,20.85,20.13
Aceh Jaya,17.53,16.52,15.93
Bener Meriah,23.47,22.45,21.55
Pidie Jaya,22.7,21.78,21.4
Kota Banda Aceh,8.03,7.78,7.72
Kota Sabang,18.31,17.02,17.69
Kota Langsa,12.62,12.08,11.62
Kota Lhokseumawe,12.47,11.93,12.16
Kota Subulussalam,20.69,19.72,20.39
SUMATERA UTARA,10.39,9.85,10.53
Nias,17.28,16.39,18.05
Mandailing Natal,9.62,9.28,11.13
Tapanuli Selatan,11.33,10.74,11.37
Tapanuli Tengah,15.41,14.47,15
Tapanuli Utara,11.68,11.06,11.41
Toba Samosir,9.54,9.23,10.21
Labuhan Batu,8.53,8.2,8.99
Asahan,11.6,10.98,12.09
Simalungun,10.45,10.2,10.96
Dairi,8.68,8.4,9.09
Karo,9.79,9.2,9.68
Deli Serdang,4.71,4.56,4.74
Langkat,10.44,9.99,11.3
Nias Selatan,18.83,17.81,19.05
Humbang Hasundutan,10,9.44,9.85
Pakpak Bharat,11.28,10.55,11.26
Samosir,14.01,13.2,14.11
Serdang Bedagai,9.35,8.98,9.59
Batu Bara,11.92,11.25,12.61
Padang Lawas Utara,10.28,9.6,10.97
Padang Lawas,8.59,8.03,8.73
Labuhan Batu Selatan,12.36,11.54,11.65
Labuhan Batu Utara,11.34,10.71,11.31
Nias Utara,30.94,29.28,32.62
Nias Barat,29.65,28.1,29.96
Kota Sibolga,12.9,12.26,13.48
Kota Tanjung Balai,14.85,14.02,15.08
Kota Pematang Siantar,10.93,10.35,10.47
Kota Tebing Tinggi,11.74,11.08,12.03
Kota Medan,9.64,9.12,9.41
Kota Binjai,6.75,6.38,7.03
Kota Padangsidimpuan,9.04,8.52,8.77
Kota Gunungsitoli,30.94,27.63,25.42
SUMATERA BARAT,7.56,6.89,7.31
Kepulauan Mentawai,16.12,14.96,15.52
Pesisir Selatan,8.64,7.82,8.46
Solok,10.26,9.53,10
Sijunjung,8.53,7.74,7.87
Tanah Datar,5.77,5.29,5.82
Padang Pariaman,9.17,8.39,8.86
Agam,7.68,7.02,7.58
Lima Puluh Kota,8.26,7.48,7.65
Pasaman,8.37,7.6,8.14
Solok Selatan,8.12,7.33,7.52
Dharmasraya,7.74,6.97,7.17
