Nama Wilayah,,,
,Persentase Penduduk Miskin (P0) Menurut Kabupaten/Kota (Persen),,
Pasaman Barat,7.86,7.08,7.93
Kota Padang,5.02,4.56,4.93
Kota Solok,4.6,4.16,4.12
Kota Sawah Lunto,2.28,2.25,2.22
Kota Padang Panjang,6.66,6.4,6.74
Kota Bukittinggi,5.36,4.96,5.36
Kota Payakumbuh,7.81,7.01,6.67
Kota Pariaman,5.35,5.12,5.42
RIAU,8.42,7.99,8.42
Kuantan Singingi,11.28,10.75,10.8
Indragiri Hulu,7.5,7.28,7.76
Indragiri Hilir,7.88,7.51,8.11
Pelalawan,12,11.15,12.09
Siak,5.54,5.22,5.67
Kampar,9.04,8.68,9.17
Rokan Hulu,10.86,10.13,11.05
Bengkalis,7.57,7.2,7.38
Rokan Hilir,7.73,7.28,7.67
Kepulauan Meranti,35.74,33.85,34.08
Kota Pekanbaru,3.27,3.17,3.27
Kota Dumai,4.98,4.83,5.26
JAMBI,8.41,8.39,8.86
Kerinci,7.35,7.43,8.16
Merangin,9.31,9.37,9.8
Sarolangun,10.51,10.17,10.29
Batang Hari,10.42,10.5,10.69
Muaro Jambi,4.58,4.45,4.63
Tanjung Jabung Timur,13.42,13.55,14.17
Tanjung Jabung Barat,11.61,11.64,12.63
Tebo,6.86,6.89,7.12
Bungo,5.25,5.12,5.7
Kota Jambi,8.91,8.94,9.67
Kota Sungai Penuh,3.3,3.33,3.43
SUMATERA SELATAN,14.06,13.62,14.25
Ogan Komering Ulu,12.31,11.96,13.22
Ogan Komering Ilir,15.82,15.3,17.08
Muara Enim,14.26,13.76,14.54
Lahat,18.61,18.02,18.02
Musi Rawas,17.85,17.28,15.13
Musi Banyuasin,18.02,17.38,18.35
Banyu Asin,12.28,11.88,12.45
Ogan Komering Ulu Selatan,11.57,11.21,11.58
Ogan Komering Ulu Timur,10.28,10.13,11.24
Ogan Ilir,13.86,13.38,14.43
Empat Lawang,13.1,12.89,13.33
Penukal Abab Lematang Ilir,-,-,14.88
Musi Rawas Utara,-,-,19.73
Kota Palembang,13.36,12.93,12.85
Kota Prabumulih,11.23,10.86,12.12
Kota Pagar Alam,9,8.9,9.64
Kota Lubuklinggau,14.37,13.9,15.16
BENGKULU,17.75,17.09,17.88
Bengkulu Selatan,22.59,21.91,22.76
Rejang Lebong,18.48,17.99,18.03
Bengkulu Utara,14.5,13.95,14.78
Kaur,23.25,21.96,22.87
Seluma,21.84,21.17,22.98
Mukomuko,12.98,12.48,13.45
Lebong,12.89,12.44,12.32
Kepahiang,16.13,15.65,16.83
Bengkulu Tengah,7.24,8.22,8.33
Kota Bengkulu,21.51,20.16,21.14
LAMPUNG,14.39,14.21,14.35
Lampung Barat,13.96,13.7,14.18
Tanggamus,15.24,14.95,14.26
Lampung Selatan,17.09,16.77,16.27
Lampung Timur,17.38,17.05,16.91
Lampung Tengah,13.37,13.13,13.3
Lampung Utara,23.67,23.32,23.2
Way Kanan,15.36,15.03,14.61
Tulangbawang,8.04,8.66,10.25
Pesawaran,17.86,17.51,17.61
Pringsewu,9.81,9.83,11.8
Mesuji,5.81,6.57,8.2
Tulang Bawang Barat,6.31,7.12,8.23
Pesisir Barat,-,-,15.81
Kota Bandar Lampung,10.85,10.6,10.33
Kota Metro,11.08,10.82,10.29
KEP. BANGKA BELITUNG,5.25,4.97,5.4
Bangka,5.4,5.2,5.63
Belitung,8.48,7.36,8.38
Bangka Barat,3.26,3.15,3.08
Bangka Tengah,5.46,5.27,5.67
Bangka Selatan,4.01,3.87,3.74
Belitung Timur,6.9,6.68,7.33
Kota Pangkal Pinang,4.15,4.04,4.97
KEPULAUAN RIAU,6.35,6.4,6.24
Karimun,6.69,6.85,6.6
Bintan,6.23,6.09,6.07
Natuna,3.78,4.11,4.34
Lingga,14.03,14.75,14.95
Kepulauan Anambas,4.47,4.91,6.58
Kota Batam,5.2,5.3,5.08
Kota Tanjung Pinang,10.4,9.94,9.56
DKI JAKARTA,3.72,4.09,3.93
Kepulauan Seribu,11.01,11.56,11.4
Kota Jakarta Selatan,3.47,3.72,3.41
Kota Jakarta Timur,3.1,3.43,3.24
Kota Jakarta Pusat,3.7,4.12,4.16
Kota Jakarta Barat,3.46,3.72,3.64
Kota Jakarta Utara,5.3,6,5.91
JAWA BARAT,9.61,9.18,9.53
Bogor,9.54,8.91,8.96
Sukabumi,9.24,8.81,8.96
Cianjur,12.02,11.47,12.21
Bandung,7.94,7.65,8
Garut,12.79,12.47,12.81
Tasikmalaya,11.57,11.26,11.99
Ciamis,8.62,8.38,8.98
Kuningan,13.34,12.72,13.97
Cirebon,14.65,14.22,14.77
Majalengka,14.07,13.42,14.19
Sumedang,11.31,10.78,11.36
Indramayu,14.99,14.29,14.98
Subang,12.35,11.73,12.27
Purwakarta,9.28,8.8,9.14
Karawang,10.69,10.15,10.37
Bekasi,5.2,4.97,5.27
Bandung Barat,12.92,12.26,12.67
Pangandaran,-,-,10.76
Kota Bogor,8.19,7.74,7.6
Kota Sukabumi,8.05,7.65,8.79
Kota Bandung,4.78,4.65,4.61
Kota Cirebon,10.54,10.03,10.36
Kota Bekasi,5.33,5.25,5.46
Kota Depok,2.32,2.32,2.4
Kota Cimahi,5.63,5.47,5.84
Kota Tasikmalaya,17.19,15.95,16.28
Kota Banjar,7.11,6.95,7.41
JAWA TENGAH,14.44,13.58,13.58
Cilacap,15.24,14.21,14.39
Banyumas,18.44,17.45,17.52
Purbalingga,20.53,19.75,19.7
Banjarnegara,18.71,17.77,18.37
Kebumen,21.32,20.5,20.44
Purworejo,15.44,14.41,14.27
Wonosobo,22.08,21.42,21.45
Magelang,13.96,12.98,13.07
Boyolali,13.27,12.36,12.45
Klaten,15.6,14.56,14.89
Sukoharjo,9.87,9.18,9.26
Wonogiri,14.02,13.09,12.98
Karanganyar,13.58,12.62,12.46
Sragen,15.93,14.87,14.86
Grobogan,14.87,13.86,13.68
Blora,14.64,13.66,13.52
Rembang,20.97,19.5,19.28
Pati,12.94,12.06,11.95
Kudus,8.62,7.99,7.73
Jepara,9.23,8.55,8.5
Demak,15.72,14.6,14.44
Semarang,8.51,8.05,8.15
Temanggung,12.42,11.55,11.76
Kendal,12.68,11.8,11.62
Batang,11.96,11.13,11.27
Pekalongan,13.51,12.57,12.84
Pemalang,19.27,18.44,18.3
Tegal,10.58,9.87,10.09
Brebes,20.82,20,19.79
Kota Magelang,9.8,9.14,9.05
Kota Surakarta,11.74,10.95,10.89
Kota Salatiga,6.4,5.93,5.8
Kota Semarang,5.25,5.04,4.97
Kota Pekalongan,8.26,8.02,8.09
Kota Tegal,8.84,8.54,8.26
D I YOGYAKARTA,15.03,14.55,14.91
Kulon Progo,21.39,20.64,21.4
Bantul,16.48,15.89,16.33
Gunung Kidul,21.7,20.83,21.73
Sleman,9.68,9.5,9.46
Kota Yogyakarta,8.82,8.67,8.75
JAWA TIMUR,12.73,12.28,12.34
Pacitan,16.73,16.18,16.68
Ponorogo,11.92,11.53,11.91
Trenggalek,13.56,13.1,13.39
Tulungagung,9.07,8.75,8.57
Blitar,10.57,10.22,9.97
Kediri,13.23,12.77,12.91
Malang,11.48,11.07,11.53
Lumajang,12.14,11.75,11.52
Jember,11.68,11.28,11.22
Banyuwangi,9.61,9.29,9.17
Bondowoso,15.29,14.76,14.96
Situbondo,13.65,13.15,13.63
Probolinggo,21.21,20.44,20.82
Pasuruan,11.26,10.86,10.72
Sidoarjo,6.72,6.4,6.44
Mojokerto,10.99,10.56,10.57
Jombang,11.17,10.8,10.79
Nganjuk,13.6,13.14,12.69
Madiun,12.45,12.04,12.54
Magetan,12.19,11.8,11.35
Ngawi,15.45,14.88,15.61
Bojonegoro,16.02,15.48,15.71
Tuban,17.23,16.64,17.08
Lamongan,16.18,15.68,15.38
Gresik,13.94,13.41,13.63
Bangkalan,23.23,22.38,22.57
Sampang,27.08,25.8,25.69
Pamekasan,18.53,17.74,17.41
Sumenep,21.22,20.49,20.2
Kota Kediri,8.23,7.95,8.51
Kota Blitar,7.42,7.15,7.29
Kota Malang,4.87,4.8,4.6
Kota Probolinggo,8.55,8.37,8.17
Kota Pasuruan,7.6,7.34,7.47
Kota Mojokerto,6.65,6.42,6.16
Kota Madiun,5.02,4.86,4.89
Kota Surabaya,6,5.79,5.82
Kota Batu,4.77,4.59,4.71
BANTEN,5.89,5.51,5.9
Pandeglang,10.25,9.5,10.43
Lebak,9.5,9.17,9.97
Tangerang,5.78,5.26,5.71
Serang,5.02,4.87,5.09
Kota Tangerang,5.26,4.91,5.04
Kota Cilegon,3.99,3.81,4.1
Kota Serang,5.92,5.7,6.28
Kota Tangerang Selatan,1.75,1.68,1.69
BALI,4.49,4.76,4.74
Jembrana,5.56,5.83,5.84
Tabanan,5.21,5.61,5.52
Badung,2.46,2.54,2.33
Gianyar,4.27,4.57,4.61
Klungkung,7.01,7.01,6.91
Bangli,5.45,5.86,5.73
Karang Asem,6.88,7.3,7.44
Buleleng,6.31,6.79,6.74
Kota Denpasar,2.07,2.21,2.39
NUSA TENGGARA BARAT,17.25,17.05,17.1
Lombok Barat,17.43,17.11,17.38
Lombok Tengah,16.2,16.03,16.26
Lombok Timur,19.16,19,19.14
Sumbawa,17.04,16.87,16.73
Dompu,14.24,15.46,15.11
Bima,16.24,16.04,15.78
Sumbawa Barat,17.1,16.87,16.97
Lombok Utara,35.88,34.27,34.13
Kota Mataram,10.75,10.53,10.45
Kota Bima,9.91,9.74,9.85
NUSA TENGGARA TIMUR,20.24,19.6,22.61
Sumba Barat,28.92,27.79,30.56
Sumba Timur,28.58,27.63,31.74
Kupang,20.06,19.05,23.37
Timor Tengah Selatan,27.81,26.79,31.12
Timor Tengah Utara,21.59,20.89,25.2
Belu,14.58,14.24,16.81
Alor,20.11,19.48,22.92
Lembata,23.25,22.32,27.13
Flores Timur,8.1,7.83,9.66
Sikka,12.66,12.27,14.28
Ende,21.03,20.37,23.49
Ngada,11.19,10.76,12.81
Manggarai,20.96,20.22,23.18
Rote Ndao,28.25,26.85,30.49
Manggarai Barat,18.21,17.2,20.12
Sumba Tengah,31.93,31.4,36.22
Sumba Barat Daya,26.87,25.78,30.01
Nagekeo,12.08,12.02,14.38
Manggarai Timur,24.85,24.01,28.64
Sabu Raijua,31.02,29.48,33.17
Malaka,-,-,17.28
Kota Kupang,9.12,8.7,10.21
KALIMANTAN BARAT,8.74,8.07,8.03
Sambas,9.9,9.46,9.42
Bengkayang,8.01,7.2,6.94
Landak,14.18,13.71,13.51
Pontianak,6.3,6,5.52
Sanggau,4.71,4.47,4.57
Ketapang,12.85,11.6,11.72
Sintang,10.09,9.11,9.33
Kapuas Hulu,11.11,10.03,9.66
Sekadau,6.93,6.31,6.5
Melawi,13.7,12.4,12.57
Kayong Utara,10.87,9.55,9.84
Kubu Raya,6.04,5.45,5.22
Kota Pontianak,5.56,5.15,5.22
Kota Singkawang,6.5,5.88,5.76
KALIMANTAN TENGAH,6.23,6.07,5.94
Kotawaringin Barat,5.44,5.27,5.07
Kotawaringin Timur,6.85,6.67,6.42
Kapuas,6.19,6.12,6.03
Barito Selatan,6.26,6.13,5.07
Barito Utara,5.98,5.88,5.93
Sukamara,4.56,4.29,4.32
Lamandau,4.87,4.66,3.95
Seruyan,8.77,8.39,8.5
Katingan,6.55,6.42,6.53
Pulang Pisau,5.45,5.35,5.65
Gunung Mas,6.9,6.7,6.17
Barito Timur,8.83,8.55,8.41
Murung Raya,6.44,6.24,6.57
Kota Palangka Raya,3.94,3.81,3.91
KALIMANTAN SELATAN,4.76,4.81,4.99
Tanah Laut,4.33,4.38,4.58
Kota Baru,4.73,4.76,4.62
Banjar,2.84,2.87,3.26
Barito Kuala,5.12,5.19,5.37
Tapin,3.41,3.63,3.88
Hulu Sungai Selatan,6.67,6.77,6.45
Hulu Sungai Tengah,5.57,5.65,5.81
Hulu Sungai Utara,6.92,7,7.07
Tabalong,6.15,6.21,6.59
Tanah Bumbu,5.2,5.21,5.55
Balangan,6.17,6.29,5.87
Kota Banjarmasin,4.21,4.27,4.44
Kota Banjar Baru,4.5,4.35,4.9
KALIMANTAN TIMUR,6.38,6.31,6.23
Paser,7.94,7.87,8.76
Kutai Barat,7.7,7.53,8.33
Kutai Kartanegara,7.52,7.43,7.99
Kutai Timur,9.06,9.1,9.31
Berau,4.83,4.76,5.33
Penajam Paser Utara,7.7,7.56,7.92
Mahakam Hulu,-,-,10.5
Kota Balikpapan,2.48,2.46,2.91
Kota Samarinda,4.63,4.56,4.82
Kota Bontang,5.16,5.1,5.06
KALIMANTAN UTARA,6.38,6.31,6.24
Malinau,10.48,10.12,7.26
Bulungan,12.04,11.87,8.5
Tana Tidung,10.21,9.5,6.35
Nunukan,9.51,8.69,5.61
Kota Tarakan,7.9,7.68,5.11
SULAWESI UTARA,8.5,8.26,8.65
Bolaang Mongondow,8.91,8.59,8.63
Minahasa,8.81,8.53,8.8
Kepulauan Sangihe,12.19,11.84,12.27
Kepulauan Talaud,10.27,9.92,10.09
Minahasa Selatan,10.08,9.85,10.22
Minahasa Utara,8.02,7.75,8.12
Bolaang Mongondow Utara,9.61,9.27,9.72
Siau Tagulandang Biaro,11.36,11.03,10.93
Minahasa Tenggara,16.1,15.76,15.88
Bolaang Mongondow Selatan,15.28,15,15.17
Bolaang Mongondow Timur,6.92,6.61,6.9
Kota Manado,4.88,4.81,5.63
Kota Bitung,6.45,6.34,6.87
Kota Tomohon,6.57,6.32,6.78
Kota Kotamobagu,5.98,5.75,5.85
SULAWESI TENGAH,14.32,13.61,14.66
Banggai Kepulauan,16.3,15.45,16.08
Banggai,9.81,9.27,9.84
Morowali,15.92,14.97,15.8
Poso,18.22,17.09,18.16
Donggala,17.18,16.3,18.11
Toli-Toli,13.86,13.14,13.64
Buol,15.06,14.18,16.36
Parigi Moutong,17.03,16.6,18.05
Tojo Una-Una,20.61,18.95,18.79
Sigi,12.27,11.63,12.75
Banggai Laut,-,-,17.68
Morowali Utara,-,-,16.91
Kota Palu,7.24,7.05,7.42
SULAWESI SELATAN,10.32,9.54,9.39
Kepulauan Selayar,14.23,13.13,12.94
Bulukumba,9.04,8.37,8.15
Bantaeng,10.45,9.68,9.53
Jeneponto,16.52,15.31,15.18
Takalar,10.42,9.62,9.48
Gowa,8.73,8,8.27
Sinjai,10.32,9.56,9.26
Maros,12.94,11.93,11.85
Pangkajene Dan Kepulauan,17.75,16.38,16.7
Barru,10.32,9.74,9.42
Bone,11.92,10.88,10.12
Soppeng,9.43,8.76,8.36
Wajo,8.17,7.74,7.66
Sidenreng Rappang,6.3,5.82,5.55
Pinrang,8.86,8.2,8.34
Enrekang,15.11,13.9,13.82
Luwu,15.1,13.95,13.89
Tana Toraja,13.81,12.77,12.46
Luwu Utara,15.52,14.31,13.87
Luwu Timur,8.38,7.67,7.18
Toraja Utara,16.53,15.1,15.19
Kota Makassar,4.7,4.48,4.38
Kota Parepare,6.38,5.88,6.08
Kota Palopo,9.57,8.8,8.58
SULAWESI TENGGARA,13.73,12.77,12.9
Buton,15.25,14.31,13.75
Muna,15.32,14.46,15.45
Konawe,16.58,15.47,16.09
Kolaka,16.2,14.99,14.68
Konawe Selatan,12.45,11.6,11.58
Bombana,14.28,13.2,12.55
Wakatobi,17.4,16.27,16.88
Kolaka Utara,17.41,16.1,16.53
Buton Utara,17.53,16.35,15.86
Konawe Utara,10.62,10.15,9.97
Kolaka Timur,-,-,15.57
Konawe Kepulauan,-,-,16.73
Muna Barat,-,-,-
Buton Tengah,-,-,-
Buton Selatan,-,-,-
Kota Kendari,6.07,5.56,5.59
Kota Baubau,10.11,9.25,9.24
GORONTALO,18,17.41,18.32
Boalemo,21.79,20.79,21.67
Gorontalo,21.57,21.05,21.8
Pohuwato,21.47,20.69,22.43
Bone Bolango,17.19,16.68,18.49
Gorontalo Utara,19.16,18.34,18.93
Kota Gorontalo,5.99,5.85,6.05
SULAWESI BARAT,12.23,12.05,12.4
Majene,15.26,15.05,15.57
Polewali Mandar,18.02,17.79,18.22
Mamasa,13.92,13.82,14.71
Mamuju,6.81,6.72,6.7
Mamuju Utara,4.71,4.65,4.99
Mamuju Tengah,-,-,6.86
MALUKU,19.27,18.44,19.51
Maluku Tenggara Barat,29.75,28.56,29.17
Maluku Tenggara,25.06,24.21,25.23
Maluku Tengah,22.15,21.41,22.1
Buru,18.51,17.55,18.47
Kepulauan Aru,27.34,26.33,28.64
Seram Bagian Barat,24.63,23.79,26.35
Seram Bagian Timur,24.49,23.4,25.37
Maluku Barat Daya,29.25,28.33,31.58
Buru Selatan,17.05,16.59,17.58
Kota Ambon,4.42,4.23,4.38
Kota Tual,23.28,22.31,24.9
MALUKU UTARA,7.64,7.41,6.84
Halmahera Barat,9.78,9.56,9.69
Halmahera Tengah,17.44,16.88,15.23
Kepulauan Sula,9.16,8.76,8.85
Halmahera Selatan,6.04,5.87,4.61
Halmahera Utara,5.9,5.74,4.99
Halmahera Timur,16.43,15.94,15.33
Pulau Morotai,9.18,8.74,8.39
Pulau Taliabu,-,-,7.04
Kota Ternate,3.24,3.16,2.99
Kota Tidore Kepulauan,5.77,5.71,5.38
PAPUA BARAT,27.14,26.26,25.82
Fakfak,29.84,29.18,27.51
Kaimana,18.6,17.65,17.79
Teluk Wondama,39.43,38.81,37.44
Teluk Bintuni,40.33,38.92,36.66
Manokwari,28.45,27.63,25.28
Sorong Selatan,20.5,19.73,20.38
Sorong,35.48,34.3,33.35
Raja Ampat,21.16,20.73,20.94
Tambrauw,38.68,38.35,38.11
Maybrat,35.64,35.2,35.31
Manokwari Selatan,-,-,34.33
Pegunungan Arfak,-,-,38.53
Kota Sorong,19.27,18.37,17.56
PAPUA BARAT DAYA,-,-,-
Raja Ampat,-,-,-
Sorong,-,-,-
Sorong Selatan,-,-,-
Maybrat,-,-,-
Tambrauw,-,-,-
Kota Sorong,-,-,-
PAPUA,31.52,27.8,28.17
Merauke,12.33,10.2,11.1
Jayawijaya,41.81,39.6,39.48
Jayapura,17.58,14.18,14.69
Nabire,27.69,23.92,24.37
Kepulauan Yapen,29.32,26.39,27.7
Biak Numfor,30.28,27.44,27.23
Paniai,40.15,36.07,37.43
Puncak Jaya,39.92,36.15,37.45
Mimika,20.37,16.11,16.2
Boven Digoel,23.7,18.87,19.5
Mappi,30.35,25.95,26.96
Asmat,33.84,29.1,28.48
Yahukimo,43.27,39.02,41.26
Pegunungan Bintang,37.23,32.78,31.55
Tolikara,38,33.27,34
Sarmi,17.72,13.32,13.85
Keerom,23.23,19.12,15.83
Waropen,37.27,32.63,31.41
Supiori,41.5,36.65,39.25
Mamberamo Raya,34.25,29.86,29.71
Nduga *,39.69,35.89,35.89
Lanny Jaya,43.79,39.26,41.97
Mamberamo Tengah,39.59,35.47,35.54
Yalimo,40.33,35.65,35.88
Puncak,41.96,37.85,38.74
Dogiyai,32.25,29.1,29.1
Intan Jaya,42.03,38.16,41.34
Deiyai,47.52,44.49,45.74
Kota Jayapura,16.19,12.21,12.22
PAPUA SELATAN,-,-,-
Merauke,-,-,-
Boven Digoel,-,-,-
Mappi,-,-,-
Asmat,-,-,-
PAPUA TENGAH,-,-,-
Mimika,-,-,-
Dogiyai,-,-,-
Deiyai,-,-,-
Nabire,-,-,-
Paniai,-,-,-
Intan Jaya,-,-,-
Puncak,-,-,-
Puncak Jaya,-,-,-
PAPUA PEGUNUNGAN,-,-,-
Nduga,-,-,-
Jayawijaya,-,-,-
Lanny Jaya,-,-,-
Tolikara,-,-,-
Mamberamo Tengah,-,-,-
Yalimo,-,-,-
Yahukimo,-,-,-
Pegunungan Bintang,-,-,-
