Nama Wilayah,,,
,Indeks Keparahan Kemiskinan (P2) Menurut Kabupaten/Kota,,
,2019,2020,2021
ACEH,0.66,0.71,0.75
Simeulue,0.71,0.47,0.5
Aceh Singkil,0.98,1.03,0.91
Aceh Selatan,0.31,0.46,0.4
Aceh Tenggara,0.66,0.36,0.71
Aceh Timur,0.4,0.61,0.54
Aceh Tengah,0.46,0.95,0.8
Aceh Barat,0.97,0.68,1.09
Aceh Besar,0.69,0.61,0.58
Pidie,0.71,0.45,0.84
Bireuen,0.4,0.45,0.4
Aceh Utara,0.55,0.63,0.43
Aceh Barat Daya,0.36,0.9,0.74
Gayo Lues,1.18,0.66,0.59
Aceh Tamiang,0.37,0.28,0.35
Nagan Raya,0.83,0.94,1.01
Aceh Jaya,0.65,0.54,0.5
Bener Meriah,0.69,0.97,1.51
Pidie Jaya,0.67,0.81,0.98
Kota Banda Aceh,0.37,0.23,0.36
Kota Sabang,0.7,0.54,0.82
Kota Langsa,0.44,0.36,0.33
Kota Lhokseumawe,0.3,0.29,0.54
Kota Subulussalam,0.79,0.44,0.48
SUMATERA UTARA,0.31,0.39,0.38
Nias,0.59,0.32,0.43
Mandailing Natal,0.17,0.19,0.37
Tapanuli Selatan,0.18,0.16,0.4
Tapanuli Tengah,0.41,0.44,0.47
Tapanuli Utara,0.47,0.21,0.23
Toba Samosir,0.26,0.18,0.31
Labuhan Batu,0.15,0.18,0.29
Asahan,0.21,0.33,0.59
Simalungun,0.18,0.35,0.23
Dairi,0.22,0.2,0.28
Karo,0.14,0.38,0.29
Deli Serdang,0.11,0.16,0.13
Langkat,0.14,0.33,0.23
Nias Selatan,0.5,0.76,0.52
Humbang Hasundutan,0.21,0.3,0.26
Pakpak Bharat,0.12,0.38,0.2
Samosir,0.34,0.46,0.6
Serdang Bedagai,0.31,0.2,0.13
Batu Bara,0.34,0.37,0.51
Padang Lawas Utara,0.26,0.22,0.24
Padang Lawas,0.47,0.29,0.34
Labuhan Batu Selatan,0.23,0.2,0.26
Labuhan Batu Utara,0.38,0.6,0.22
Nias Utara,1.14,0.97,1.1
Nias Barat,0.71,0.61,0.76
Kota Sibolga,0.21,0.26,0.51
Kota Tanjung Balai,0.28,0.32,0.32
Kota Pematang Siantar,0.1,0.26,0.24
Kota Tebing Tinggi,0.31,0.56,0.28
Kota Medan,0.25,0.23,0.23
Kota Binjai,0.02,0.11,0.09
Kota Padangsidimpuan,0.09,0.32,0.28
Kota Gunungsitoli,0.54,0.3,0.68
SUMATERA BARAT,0.21,0.2,0.24
Kepulauan Mentawai,0.45,0.77,0.63
Pesisir Selatan,0.13,0.14,0.15
Solok,0.12,0.35,0.15
Sijunjung,0.22,0.27,0.17
Tanah Datar,0.06,0.06,0.13
Padang Pariaman,0.21,0.11,0.16
Agam,0.13,0.17,0.23
Lima Puluh Kota,0.07,0.14,0.3
Pasaman,0.11,0.11,0.13
Solok Selatan,0.21,0.15,0.31
Dharmasraya,0.2,0.13,0.12
Pasaman Barat,0.17,0.09,0.29
Kota Padang,0.18,0.09,0.13
Kota Solok,0.04,0.04,0.05
Kota Sawah Lunto,0.05,0,0.06
Kota Padang Panjang,0.09,0.08,0.16
Kota Bukittinggi,0.12,0.2,0.19
Kota Payakumbuh,0.06,0.14,0.17
Kota Pariaman,0.07,0.1,0.08
RIAU,0.27,0.28,0.24
Kuantan Singingi,0.32,0.32,0.23
Indragiri Hulu,0.18,0.17,0.15
Indragiri Hilir,0.37,0.27,0.21
Pelalawan,0.35,0.31,0.32
Siak,0.13,0.45,0.12
Kampar,0.18,0.13,0.21
Rokan Hulu,0.55,0.57,0.36
Bengkalis,0.07,0.14,0.13
Rokan Hilir,0.19,0.3,0.18
Kepulauan Meranti,1.93,1.11,1.22
Kota Pekanbaru,0.06,0.13,0.03
Kota Dumai,0.05,0.05,0.07
JAMBI,0.3,0.25,0.3
Kerinci,0.1,0.21,0.15
Merangin,0.38,0.21,0.25
Sarolangun,0.27,0.21,0.21
Batang Hari,0.25,0.27,0.24
Muaro Jambi,0.07,0.05,0.09
Tanjung Jabung Timur,0.47,0.31,0.61
Tanjung Jabung Barat,0.44,0.38,0.53
Tebo,0.26,0.14,0.22
Bungo,0.16,0.17,0.18
Kota Jambi,0.42,0.4,0.34
Kota Sungai Penuh,0.04,0.17,0.11
SUMATERA SELATAN,0.51,0.48,0.54
Ogan Komering Ulu,0.4,0.4,0.36
Ogan Komering Ilir,0.61,0.86,1.16
Muara Enim,0.47,0.43,0.32
Lahat,0.69,0.67,0.81
Musi Rawas,0.55,0.45,0.63
Musi Banyuasin,0.92,1.11,0.83
Banyu Asin,0.33,0.18,0.45
Ogan Komering Ulu Selatan,0.31,0.23,0.24
Ogan Komering Ulu Timur,0.32,0.14,0.23
Ogan Ilir,0.38,0.53,0.59
Empat Lawang,0.46,0.49,0.42
Penukal Abab Lematang Ilir,0.37,0.23,0.47
Musi Rawas Utara,0.93,0.8,0.73
Kota Palembang,0.5,0.4,0.49
Kota Prabumulih,0.28,0.23,0.18
Kota Pagar Alam,0.16,0.16,0.2
Kota Lubuklinggau,0.59,0.54,0.46
BENGKULU,0.58,0.56,0.62
Bengkulu Selatan,0.83,0.82,0.82
Rejang Lebong,0.28,0.35,0.4
Bengkulu Utara,0.36,0.37,0.77
Kaur,1.15,0.63,1.28
