Nama Wilayah,,,
,Indeks Keparahan Kemiskinan (P2) Menurut Kabupaten/Kota,,
Seluma,0.61,0.7,0.61
Mukomuko,0.58,0.38,0.48
Lebong,0.21,0.35,0.29
Kepahiang,0.75,0.37,0.36
Bengkulu Tengah,0.24,0.25,0.23
Kota Bengkulu,1.22,1.02,0.87
LAMPUNG,0.44,0.41,0.42
Lampung Barat,0.38,0.55,0.8
Tanggamus,0.21,0.24,0.23
Lampung Selatan,0.58,0.6,0.6
Lampung Timur,0.6,0.64,0.53
Lampung Tengah,0.51,0.33,0.44
Lampung Utara,0.93,0.69,0.82
Way Kanan,0.46,0.39,0.55
Tulangbawang,0.35,0.26,0.2
Pesawaran,0.71,0.48,0.57
Pringsewu,0.21,0.21,0.26
Mesuji,0.2,0.19,0.15
Tulang Bawang Barat,0.13,0.18,0.12
Pesisir Barat,0.31,0.35,0.59
Kota Bandar Lampung,0.38,0.45,0.39
Kota Metro,0.22,0.16,0.28
KEP. BANGKA BELITUNG,0.1,0.13,0.11
Bangka,0.14,0.09,0.06
Belitung,0.11,0.16,0.06
Bangka Barat,0.07,0.04,0.04
Bangka Tengah,0.1,0.14,0.11
Bangka Selatan,0.08,0.13,0.06
Belitung Timur,0.16,0.19,0.29
Kota Pangkal Pinang,0.1,0.12,0.13
KEPULAUAN RIAU,0.12,0.29,0.28
Karimun,0.11,0.08,0.34
Bintan,0.09,0.17,0.11
Natuna,0.09,0.05,0.07
Lingga,0.46,0.58,0.9
Kepulauan Anambas,0.26,0.2,0.19
Kota Batam,0.09,0.2,0.25
Kota Tanjung Pinang,0.23,0.4,0.52
DKI JAKARTA,0.11,0.11,0.14
Kepulauan Seribu,0.46,0.42,0.63
Kota Jakarta Selatan,0.09,0.1,0.18
Kota Jakarta Timur,0.08,0.05,0.13
Kota Jakarta Pusat,0.05,0.15,0.11
Kota Jakarta Barat,0.09,0.14,0.11
Kota Jakarta Utara,0.14,0.21,0.12
JAWA BARAT,0.24,0.23,0.38
Bogor,0.15,0.11,0.35
Sukabumi,0.11,0.12,0.23
Cianjur,0.11,0.27,0.46
Bandung,0.28,0.17,0.34
Garut,0.16,0.15,0.29
Tasikmalaya,0.12,0.11,0.35
Ciamis,0.14,0.16,0.15
Kuningan,0.18,0.62,0.46
Cirebon,0.26,0.24,0.47
Majalengka,0.28,0.25,0.77
Sumedang,0.21,0.42,0.46
Indramayu,0.4,0.56,0.66
Subang,0.34,0.25,0.5
Purwakarta,0.28,0.2,0.3
Karawang,0.24,0.25,0.29
Bekasi,0.15,0.18,0.26
Bandung Barat,0.33,0.25,0.32
Pangandaran,0.16,0.28,0.27
Kota Bogor,0.18,0.26,0.27
Kota Sukabumi,0.32,0.22,0.36
Kota Bandung,0.14,0.13,0.24
Kota Cirebon,0.26,0.4,0.68
Kota Bekasi,0.1,0.15,0.16
Kota Depok,0.04,0.06,0.07
Kota Cimahi,0.14,0.18,0.21
Kota Tasikmalaya,0.53,0.39,0.69
Kota Banjar,0.1,0.12,0.28
JAWA TENGAH,0.3,0.34,0.45
Cilacap,0.21,0.13,0.3
Banyumas,0.67,0.5,0.57
Purbalingga,0.47,0.44,0.41
Banjarnegara,0.55,0.51,0.79
Kebumen,0.65,0.55,0.88
Purworejo,0.1,0.12,0.28
Wonosobo,0.46,0.47,0.65
Magelang,0.17,0.2,0.35
Boyolali,0.14,0.23,0.38
Klaten,0.27,0.31,0.38
Sukoharjo,0.14,0.21,0.21
Wonogiri,0.11,0.18,0.34
Karanganyar,0.35,0.33,0.37
Sragen,0.59,0.53,0.6
Grobogan,0.13,0.18,0.37
Blora,0.34,0.21,0.4
Rembang,0.48,0.53,0.68
Pati,0.31,0.26,0.42
Kudus,0.17,0.18,0.27
Jepara,0.1,0.07,0.17
Demak,0.34,0.5,0.62
Semarang,0.08,0.16,0.18
Temanggung,0.05,0.11,0.39
Kendal,0.32,0.25,0.33
Batang,0.08,0.32,0.48
Pekalongan,0.2,0.29,0.39
Pemalang,0.57,0.68,0.77
Tegal,0.09,0.19,0.19
Brebes,0.47,0.67,0.74
Kota Magelang,0.19,0.24,0.15
Kota Surakarta,0.48,0.38,0.54
Kota Salatiga,0.2,0.08,0.19
Kota Semarang,0.12,0.16,0.14
Kota Pekalongan,0.18,0.3,0.41
Kota Tegal,0.24,0.36,0.24
D I YOGYAKARTA,0.38,0.46,0.65
Kulon Progo,0.61,0.86,0.75
Bantul,0.43,0.43,0.54
Gunung Kidul,0.53,0.63,0.76
Sleman,0.23,0.33,0.32
Kota Yogyakarta,0.2,0.28,0.21
JAWA TIMUR,0.45,0.43,0.43
Pacitan,0.34,0.71,0.28
Ponorogo,0.4,0.31,0.18
Trenggalek,0.3,0.31,0.25
Tulungagung,0.17,0.11,0.18
Blitar,0.23,0.3,0.14
Kediri,0.22,0.33,0.25
Malang,0.4,0.3,0.3
Lumajang,0.2,0.21,0.34
Jember,0.24,0.31,0.4
Banyuwangi,0.34,0.3,0.28
Bondowoso,0.33,0.5,0.49
Situbondo,0.3,0.47,0.49
Probolinggo,0.85,0.78,0.81
Pasuruan,0.43,0.23,0.24
Sidoarjo,0.42,0.26,0.25
Mojokerto,0.27,0.51,0.37
Jombang,0.53,0.4,0.36
Nganjuk,0.23,0.35,0.31
Madiun,0.34,0.35,0.38
Magetan,0.36,0.21,0.37
Ngawi,0.72,0.55,0.47
Bojonegoro,0.43,0.35,0.45
Tuban,0.75,0.48,0.86
Lamongan,0.67,0.78,0.73
Gresik,0.61,0.8,0.61
Bangkalan,1.08,1.29,0.86
Sampang,0.7,0.53,0.8
Pamekasan,0.39,0.37,0.4
Sumenep,0.79,1.3,1.56
Kota Kediri,0.32,0.17,0.21
Kota Blitar,0.23,0.22,0.28
Kota Malang,0.13,0.15,0.22
Kota Probolinggo,0.26,0.28,0.17
Kota Pasuruan,0.17,0.14,0.27
Kota Mojokerto,0.14,0.1,0.17
Kota Madiun,0.08,0.18,0.15
Kota Surabaya,0.15,0.24,0.17
Kota Batu,0.05,0.14,0.06
BANTEN,0.18,0.23,0.26
Pandeglang,0.28,0.16,0.33
Lebak,0.21,0.24,0.4
Tangerang,0.14,0.22,0.29
Serang,0.16,0.05,0.12
Kota Tangerang,0.15,0.15,0.27
Kota Cilegon,0.07,0.06,0.11
Kota Serang,0.11,0.1,0.22
Kota Tangerang Selatan,0.07,0.08,0.07
BALI,0.11,0.1,0.15
Jembrana,0.11,0.06,0.12
Tabanan,0.03,0.1,0.22
Badung,0.03,0.07,0.1
Gianyar,0.03,0.11,0.09
Klungkung,0.13,0.17,0.25
Bangli,0.02,0.04,0.11
Karang Asem,0.14,0.06,0.08
Buleleng,0.14,0.08,0.14
Kota Denpasar,0.06,0.05,0.06
NUSA TENGGARA BARAT,0.48,0.61,0.49
Lombok Barat,0.98,0.82,0.31
Lombok Tengah,0.25,0.26,0.35
Lombok Timur,0.25,0.42,0.88
Sumbawa,0.59,0.5,0.41
Dompu,0.35,0.34,0.25
Bima,0.51,0.65,0.26
Sumbawa Barat,0.93,0.91,0.67
Lombok Utara,2.42,2.58,1.66
Kota Mataram,0.45,0.56,0.19
Kota Bima,0.36,0.12,0.21
NUSA TENGGARA TIMUR,1.13,1.05,1.05
Sumba Barat,1.37,1.52,2.16
Sumba Timur,3.14,1.95,2.94
Kupang,1.28,1.21,0.9
Timor Tengah Selatan,2.09,1.73,1.28
Timor Tengah Utara,1.09,0.9,0.93
Belu,0.61,0.68,0.96
Alor,1.07,0.58,0.65
Lembata,1.28,1.32,1.65
Flores Timur,0.18,0.4,0.23
Sikka,0.47,0.38,0.21
Ende,1.11,1.19,2.15
Ngada,0.65,0.63,0.92
Manggarai,0.92,1.46,1.6
Rote Ndao,1.33,1.35,1.67
Manggarai Barat,0.9,0.79,1
Sumba Tengah,2.2,1.57,2.71
Sumba Barat Daya,0.93,1.13,1.1
Nagekeo,0.42,0.32,0.32
Manggarai Timur,1.15,0.99,1.32
Sabu Raijua,1.78,1.57,2.94
Malaka,0.7,0.52,0.44
Kota Kupang,0.39,0.37,0.17
KALIMANTAN BARAT,0.26,0.23,0.23
Sambas,0.27,0.16,0.14
Bengkayang,0.28,0.24,0.14
Landak,0.38,0.38,0.26
Pontianak,0.17,0.05,0.11
Sanggau,0.09,0.21,0.16
Ketapang,0.37,0.39,0.32
Sintang,0.26,0.19,0.34
Kapuas Hulu,0.17,0.35,0.15
Sekadau,0.07,0.1,0.14
Melawi,0.6,0.4,0.62
Kayong Utara,0.42,0.22,0.46
Kubu Raya,0.17,0.14,0.1
Kota Pontianak,0.16,0.09,0.2
Kota Singkawang,0.1,0.09,0.17
KALIMANTAN TENGAH,0.14,0.2,0.15
Kotawaringin Barat,0.13,0.08,0.09
Kotawaringin Timur,0.24,0.16,0.2
Kapuas,0.1,0.19,0.09
Barito Selatan,0.05,0.26,0.04
Barito Utara,0.17,0.13,0.12
Sukamara,0.1,0.05,0.23
Lamandau,0.03,0.09,0.11
Seruyan,0.31,0.16,0.25
Katingan,0.3,0.09,0.07
Pulang Pisau,0.11,0.2,0.12
Gunung Mas,0.26,0.21,0.1
Barito Timur,0.12,0.08,0.16
Murung Raya,0.14,0.24,0.28
Kota Palangka Raya,0.09,0.08,0.07
KALIMANTAN SELATAN,0.15,0.16,0.13
Tanah Laut,0.11,0.12,0.14
Kota Baru,0.15,0.12,0.04
Banjar,0.03,0.04,0.05
Barito Kuala,0.07,0.21,0.12
Tapin,0.09,0.12,0.04
Hulu Sungai Selatan,0.15,0.09,0.06
Hulu Sungai Tengah,0.19,0.06,0.09
Hulu Sungai Utara,0.12,0.2,0.12
Tabalong,0.29,0.21,0.24
Tanah Bumbu,0.19,0.14,0.12
Balangan,0.2,0.24,0.19
Kota Banjarmasin,0.26,0.11,0.11
Kota Banjar Baru,0.26,0.1,0.1
KALIMANTAN TIMUR,0.21,0.24,0.34
Paser,0.4,0.21,0.32
Kutai Barat,0.41,0.28,0.21
Kutai Kartanegara,0.19,0.16,0.37
Kutai Timur,0.55,0.63,0.44
Berau,0.12,0.17,0.2
Penajam Paser Utara,0.28,0.17,0.3
Mahakam Hulu,0.55,0.29,0.37
Kota Balikpapan,0.06,0.12,0.15
Kota Samarinda,0.11,0.21,0.32
Kota Bontang,0.08,0.09,0.08
KALIMANTAN UTARA,0.31,0.17,0.18
Malinau,0.14,0.28,0.23
Bulungan,0.45,0.28,0.37
Tana Tidung,0.04,0.06,0.19
Nunukan,0.42,0.17,0.12
Kota Tarakan,0.16,0.15,0.23
SULAWESI UTARA,0.25,0.25,0.28
Bolaang Mongondow,0.26,0.15,0.27
Minahasa,0.2,0.17,0.32
Kepulauan Sangihe,0.29,0.25,0.38
Kepulauan Talaud,0.17,0.24,0.28
Minahasa Selatan,0.27,0.2,0.26
Minahasa Utara,0.16,0.19,0.17
Bolaang Mongondow Utara,0.34,0.14,0.26
Siau Tagulandang Biaro,0.3,0.14,0.18
Minahasa Tenggara,0.32,0.61,0.67
Bolaang Mongondow Selatan,0.19,0.33,0.28
Bolaang Mongondow Timur,0.13,0.2,0.12
Kota Manado,0.2,0.36,0.33
Kota Bitung,0.21,0.2,0.25
Kota Tomohon,0.21,0.25,0.21
Kota Kotamobagu,0.13,0.16,0.39
SULAWESI TENGAH,0.63,0.77,0.64
Banggai Kepulauan,0.4,0.47,0.42
Banggai,0.26,0.21,0.23
Morowali,0.5,0.67,0.54
Poso,0.8,0.68,0.62
Donggala,0.76,0.79,0.7
Toli-Toli,0.46,0.63,0.3
Buol,0.78,0.47,0.51
Parigi Moutong,0.91,1.22,0.95
Tojo Una-Una,0.22,1.03,0.95
Sigi,0.6,0.49,0.38
Banggai Laut,0.56,0.36,0.83
Morowali Utara,0.77,1.02,0.65
Kota Palu,0.22,0.22,0.2
SULAWESI SELATAN,0.34,0.39,0.37
Kepulauan Selayar,0.9,0.6,0.46
Bulukumba,0.09,0.14,0.2
Bantaeng,0.28,0.18,0.27
Jeneponto,0.41,0.68,0.29
Takalar,0.19,0.21,0.17
Gowa,0.17,0.3,0.36
Sinjai,0.22,0.36,0.3
Maros,0.89,0.34,0.41
Pangkajene Dan Kepulauan,0.31,0.71,0.78
Barru,0.21,0.36,0.39
Bone,0.29,0.36,0.42
Soppeng,0.12,0.16,0.28
Wajo,0.26,0.21,0.15
Sidenreng Rappang,0.13,0.19,0.13
Pinrang,0.4,0.34,0.5
Enrekang,0.38,0.34,0.24
Luwu,0.72,0.49,0.46
Tana Toraja,1.12,0.74,0.36
Luwu Utara,0.61,0.61,0.49
Luwu Timur,0.25,0.24,0.26
Toraja Utara,0.46,0.37,0.39
Kota Makassar,0.15,0.12,0.16
Kota Parepare,0.15,0.24,0.13
Kota Palopo,0.29,0.21,0.3
SULAWESI TENGGARA,0.59,0.53,0.56
Buton,0.41,0.41,0.42
Muna,0.4,0.46,0.39
Konawe,0.58,0.35,0.83
Kolaka,0.5,0.55,0.98
Konawe Selatan,0.38,0.41,0.52
Bombana,0.2,0.32,0.56
Wakatobi,0.58,0.73,0.52
Kolaka Utara,1.13,0.64,0.68
Buton Utara,0.36,0.61,0.61
Konawe Utara,0.74,0.86,0.63
Kolaka Timur,0.58,0.53,0.46
Konawe Kepulauan,1.14,0.6,1.21
Muna Barat,0.48,0.39,0.47
Buton Tengah,0.34,0.38,0.38
Buton Selatan,0.61,0.42,0.38
Kota Kendari,0.26,0.16,0.23
Kota Baubau,0.28,0.2,0.18
GORONTALO,0.63,0.65,0.72
Boalemo,0.68,0.67,0.64
Gorontalo,0.79,1.17,1.41
Pohuwato,0.87,0.54,0.59
Bone Bolango,1.39,0.77,0.86
Gorontalo Utara,0.45,0.44,0.49
Kota Gorontalo,0.13,0.1,0.22
SULAWESI BARAT,0.42,0.49,0.44
Majene,0.48,0.53,0.48
Polewali Mandar,0.84,0.79,0.59
Mamasa,0.5,0.31,0.59
Mamuju,0.16,0.24,0.29
Mamuju Utara,0.09,0.04,0.11
Mamuju Tengah,0.34,0.18,0.27
MALUKU,0.88,1.01,1.05
Maluku Tenggara Barat,0.91,1.64,1.58
Maluku Tenggara,0.96,1.02,0.78
Maluku Tengah,0.95,1.28,1.28
Buru,0.95,0.89,1.12
Kepulauan Aru,0.98,1.14,1.1
Seram Bagian Barat,1.3,1.23,1.26
Seram Bagian Timur,1.18,1.22,0.98
Maluku Barat Daya,1.61,1.49,1.72
Buru Selatan,0.47,0.46,0.53
Kota Ambon,0.18,0.06,0.14
Kota Tual,0.76,0.83,0.95
MALUKU UTARA,0.2,0.21,0.21
Halmahera Barat,0.13,0.13,0.29
Halmahera Tengah,0.26,0.39,0.48
Kepulauan Sula,0.22,0.16,0.24
Halmahera Selatan,0.09,0.08,0.12
Halmahera Utara,0.07,0.09,0.07
Halmahera Timur,0.34,0.35,0.68
Pulau Morotai,0.42,0.37,0.13
Pulau Taliabu,0.13,0.16,0.1
Kota Ternate,0.2,0.1,0.18
Kota Tidore Kepulauan,0.06,0.11,0.17
PAPUA BARAT,1.97,2.06,1.96
Fakfak,1.4,1.95,2.12
Kaimana,1.42,0.59,0.73
Teluk Wondama,3.36,4.19,1.79
Teluk Bintuni,4.69,3.15,3.84
Manokwari,2.54,2.24,1.7
Sorong Selatan,0.99,0.82,1.77
Sorong,3.07,1.78,2.91
Raja Ampat,0.67,0.81,0.75
Tambrauw,1.23,3.23,1.91
Maybrat,3.76,2.64,3.52
Manokwari Selatan,2.67,3.55,3.45
Pegunungan Arfak,2.52,1.25,1.15
Kota Sorong,0.94,0.84,1.29
PAPUA BARAT DAYA,-,-,-
Raja Ampat,-,-,-
Sorong,-,-,-
Sorong Selatan,-,-,-
Maybrat,-,-,-
Tambrauw,-,-,-
Kota Sorong,-,-,-
PAPUA,2.6,2.08,1.69
Merauke,0.94,0.37,0.31
Jayawijaya,7.61,5.16,5.59
Jayapura,0.8,0.53,0.7
Nabire,4.74,4.73,4.14
Kepulauan Yapen,2.04,2.24,1.48
Biak Numfor,1.48,2.43,2.05
Paniai,1.59,1.45,0.79
Puncak Jaya,3.35,6.99,5.58
Mimika,2.44,1.16,0.69
Boven Digoel,1.41,0.91,0.97
Mappi,1.24,1.46,1.17
Asmat,1.44,0.75,0.91
Yahukimo,3.01,1.93,2.08
Pegunungan Bintang,3.38,1.1,0.7
Tolikara,1.54,1.8,0.48
Sarmi,0.95,0.29,0.59
Keerom,0.8,0.7,0.95
Waropen,1.69,4.12,1.2
Supiori,2.02,3.8,2.41
Mamberamo Raya,2.39,1.01,0.92
Nduga *,2.02,2.25,5.43
Lanny Jaya,8.68,6.51,8.12
Mamberamo Tengah,7.11,2.84,1.41
Yalimo,6.18,4.86,7.28
Puncak,2.98,2.63,3.49
Dogiyai,1.82,1.86,0.78
Intan Jaya,2.27,2.17,1.05
Deiyai,2.34,3.9,0.67
Kota Jayapura,0.76,0.55,0.79
PAPUA SELATAN,-,-,-
Merauke,-,-,-
Boven Digoel,-,-,-
Mappi,-,-,-
Asmat,-,-,-
PAPUA TENGAH,-,-,-
Mimika,-,-,-
Dogiyai,-,-,-
Deiyai,-,-,-
Nabire,-,-,-
Paniai,-,-,-
Intan Jaya,-,-,-
Puncak,-,-,-
Puncak Jaya,-,-,-
PAPUA PEGUNUNGAN,-,-,-
Nduga,-,-,-
Jayawijaya,-,-,-
Lanny Jaya,-,-,-
Tolikara,-,-,-
Mamberamo Tengah,-,-,-
Yalimo,-,-,-
Yahukimo,-,-,-
Pegunungan Bintang,-,-,-
