Nama Wilayah,,,
,Garis Kemiskinan Menurut Kabupaten/Kota (Rupiah/kapita/bulan),,
Tulang Bawang Barat,391096,432693,447327
Pesisir Barat,407290,441917,460090
Kota Bandar Lampung,588177,634743,654576
Kota Metro,371636,406351,417861
KEP. BANGKA BELITUNG,677716,721455,752203
Bangka,541925,577093,595429
Belitung,766276,812321,830484
Bangka Barat,549496,589894,599887
Bangka Tengah,693842,721331,735479
Bangka Selatan,523155,561617,581970
Belitung Timur,684277,725395,798017
Kota Pangkal Pinang,748487,795653,808839
KEPULAUAN RIAU,594059,614727,642425
Karimun,376853,411052,422961
Bintan,384396,417654,424426
Natuna,378573,408164,420503
Lingga,429764,472384,484088
Kepulauan Anambas,382449,416877,429475
Kota Batam,686956,707856,740109
Kota Tanjung Pinang,659170,691738,719776
DKI JAKARTA,637260,680401,697638
Kepulauan Seribu,629315,661852,670785
Kota Jakarta Selatan,729256,782731,792684
Kota Jakarta Timur,539510,581954,594849
Kota Jakarta Pusat,625177,672328,689379
Kota Jakarta Barat,517646,557803,570330
Kota Jakarta Utara,549506,594240,609310
JAWA BARAT,386198,410988,427402
Bogor,373799,402877,418483
Sukabumi,309676,328284,342094
Cianjur,350760,371699,387631
Bandung,345177,367403,378819
Garut,301202,310437,320050
Tasikmalaya,311848,323880,333909
Ciamis,363750,378108,389676
Kuningan,340775,352358,358069
Cirebon,381372,393452,404635
Majalengka,445184,453201,466813
Sumedang,342073,353092,360054
Indramayu,458240,474807,481754
Subang,339607,351885,360691
Purwakarta,367273,378287,387754
Karawang,440347,466152,494201
Bekasi,481732,518667,549875
Bandung Barat,341307,362212,374470
Pangandaran,367748,382264,394101
Kota Bogor,513343,547399,571425
Kota Sukabumi,520742,547415,567734
Kota Bandung,474448,500452,515396
Kota Cirebon,444574,457954,467248
Kota Bekasi,617718,657953,692885
Kota Depok,644860,688194,705084
Kota Cimahi,484804,511375,522281
Kota Tasikmalaya,457899,470150,480341
Kota Banjar,334590,344363,357210
JAWA TENGAH,369385,395407,409193
Cilacap,337572,351735,363367
Banyumas,385140,406250,417086
Purbalingga,355702,375199,384183
Banjarnegara,301792,318334,328679
Kebumen,362847,380557,390599
Purworejo,345458,364289,376127
Wonosobo,340827,362683,373474
Magelang,325921,342430,353608
Boyolali,332996,347520,361922
Klaten,405537,419510,436896
Sukoharjo,377319,393776,410273
Wonogiri,327364,341643,356728
Karanganyar,365151,385563,401542
Sragen,335334,348890,363349
Grobogan,375521,395001,404456
Blora,335837,353259,363649
Rembang,384561,403932,414977
Pati,423922,445913,458616
Kudus,406470,429666,450992
Jepara,386693,407056,419028
Demak,411202,432533,445176
Semarang,377674,404455,416395
Temanggung,310176,323705,336034
Kendal,369769,396691,407387
Batang,286116,309202,318330
Pekalongan,382832,403662,416779
Pemalang,372115,389209,401857
Tegal,365334,390520,404655
Brebes,414642,431897,445853
Kota Magelang,481282,522099,537783
Kota Surakarta,473516,487445,511216
Kota Salatiga,418955,454154,480903
Kota Semarang,474930,522691,543929
Kota Pekalongan,425026,460789,480415
Kota Tegal,465047,502031,523413
D I YOGYAKARTA,432026,463479,482855
Kulon Progo,333781,353807,360202
Bantul,381538,405613,418265
Gunung Kidul,301125,319851,325907
Sleman,382868,411610,422933
Kota Yogyakarta,495562,533423,556674
JAWA TIMUR,397687,416001,429133
Pacitan,283321,296271,309655
Ponorogo,313175,326205,341090
Trenggalek,323787,340915,358831
Tulungagung,341651,362213,374183
Blitar,318534,325675,335573
Kediri,305491,324215,335990
Malang,329512,338156,348695
Lumajang,296633,318196,334906
Jember,339685,365295,380397
Banyuwangi,353873,373679,387084
Bondowoso,380350,408352,423150
Situbondo,305280,322527,336040
Probolinggo,417991,441258,451395
Pasuruan,335653,355299,368686
Sidoarjo,462738,486421,502524
Mojokerto,394003,406043,417784
Jombang,399633,410116,421172
Nganjuk,408160,428882,446232
Madiun,344994,364638,380287
Magetan,336989,354936,371182
Ngawi,325235,342556,358663
Bojonegoro,347786,362383,380653
Tuban,348503,371465,388176
Lamongan,380220,397980,419309
Gresik,466154,492628,505499
Bangkalan,389170,418908,432046
Sampang,346075,374908,391032
Pamekasan,332775,357074,368259
Sumenep,357473,382491,400960
Kota Kediri,471893,493438,506936
Kota Blitar,456778,465868,481229
Kota Malang,543966,554791,570238
Kota Probolinggo,501505,524528,545955
Kota Pasuruan,434435,441531,461624
Kota Mojokerto,467997,482016,493452
Kota Madiun,478304,497628,514409
Kota Surabaya,567474,592137,611466
Kota Batu,501016,509886,522819
BANTEN,462726,508091,530363
Pandeglang,326517,361713,390754
Lebak,298201,334509,358479
Tangerang,476636,520742,545065
Serang,309036,341074,362102
Kota Tangerang,584318,632835,655061
Kota Cilegon,459469,504571,540032
Kota Serang,379641,411595,431210
Kota Tangerang Selatan,593781,643083,665610
BALI,400624,429834,452221
Jembrana,390102,403462,434839
Tabanan,425926,450571,488750
Badung,547186,587737,613993
Gianyar,382380,400079,407945
Klungkung,312864,318139,342043
Bangli,329014,346458,370732
Karang Asem,315805,330441,354123
Buleleng,401377,424602,461018
Kota Denpasar,571246,618064,662499
NUSA TENGGARA BARAT,384880,404941,423505
Lombok Barat,431862,439595,466495
Lombok Tengah,404633,421439,447200
Lombok Timur,430727,447263,472304
Sumbawa,340254,369115,376307
Dompu,328740,362142,370120
Bima,327602,356352,363228
Sumbawa Barat,468122,489863,499013
Lombok Utara,437543,451721,478906
Kota Mataram,480304,499959,524762
Kota Bima,352593,383161,399193
NUSA TENGGARA TIMUR,373922,403005,415116
Sumba Barat,331713,358252,364361
Sumba Timur,343589,370487,375859
Kupang,356463,379600,386577
Timor Tengah Selatan,318986,338099,344239
Timor Tengah Utara,363162,386990,394818
Belu,349414,372087,379280
Alor,311560,336402,364939
Lembata,359792,388577,421901
Flores Timur,279268,301611,329340
Sikka,301994,324775,354234
Ende,363508,392591,428328
Ngada,336601,363531,396506
Manggarai,316910,340633,371531
Rote Ndao,305166,322619,341135
Manggarai Barat,318546,340094,370943
Sumba Tengah,285048,307853,311199
Sumba Barat Daya,355252,383674,390217
Nagekeo,328646,353481,386027
Manggarai Timur,318762,344642,373972
Sabu Raijua,374256,403846,438492
Malaka,348919,371812,378824
Kota Kupang,545219,587921,599880
KALIMANTAN BARAT,438555,471200,483454
Sambas,427240,438062,451173
Bengkayang,357112,365755,372793
Landak,374117,385314,395486
Pontianak,360962,379808,387948
Sanggau,328763,346983,363714
Ketapang,454160,468450,482824
Sintang,556885,573128,593844
Kapuas Hulu,452471,465360,481826
Sekadau,329835,339456,351726
Melawi,534933,550535,570434
Kayong Utara,302811,311643,321356
Kubu Raya,401586,423430,431211
Kota Pontianak,523736,567432,578615
Kota Singkawang,492131,510596,527892
KALIMANTAN TENGAH,438248,485635,506982
Kotawaringin Barat,360942,397883,418388
Kotawaringin Timur,416777,446039,467551
Kapuas,305809,332999,345272
Barito Selatan,408072,433787,450706
Barito Utara,472552,504430,525236
Sukamara,469353,522601,568578
Lamandau,430656,479514,539744
Seruyan,454971,504264,529892
Katingan,434609,474056,498487
Pulang Pisau,365674,395989,411258
Gunung Mas,403045,438881,456984
Barito Timur,487185,517183,534896
Murung Raya,462334,492693,510939
Kota Palangka Raya,379420,435008,456276
KALIMANTAN SELATAN,457222,497262,519150
Tanah Laut,480010,522845,537854
Kota Baru,416388,466121,481452
Banjar,429422,462375,482867
Barito Kuala,318995,340526,355160
Tapin,406367,446577,459160
Hulu Sungai Selatan,461581,528622,494203
Hulu Sungai Tengah,365008,417778,425438
Hulu Sungai Utara,436997,488237,501994
Tabalong,463980,531180,542800
Tanah Bumbu,475763,513803,530568
Balangan,396532,441488,453928
Kota Banjarmasin,509773,543546,606330
Kota Banjar Baru,614757,652030,653556
KALIMANTAN TIMUR,609155,662302,689035
Paser,477440,515414,527659
Kutai Barat,542393,583532,598037
Kutai Kartanegara,503968,548423,569640
Kutai Timur,569449,610858,626492
Berau,526615,568500,595550
Penajam Paser Utara,466918,499807,513666
Mahakam Hulu,588756,631517,644910
Kota Balikpapan,572108,613622,657521
Kota Samarinda,658307,719710,750055
Kota Bontang,582188,636491,665572
KALIMANTAN UTARA,651416,681035,710994
Malinau,585654,616161,650444
Bulungan,448548,472569,486524
Tana Tidung,406949,425348,440599
Nunukan,430630,450718,479712
Kota Tarakan,654308,696585,711268
SULAWESI UTARA,371283,391197,410805
Bolaang Mongondow,315400,325227,343302
Minahasa,275444,285596,299072
Kepulauan Sangihe,263268,272971,283852
Kepulauan Talaud,284681,294686,308395
Minahasa Selatan,324860,336715,352603
Minahasa Utara,321679,333535,347938
Bolaang Mongondow Utara,254835,264227,275369
Siau Tagulandang Biaro,302736,312581,327263
Minahasa Tenggara,325896,332966,346746
Bolaang Mongondow Selatan,316305,327648,345819
Bolaang Mongondow Timur,323989,335241,353872
Kota Manado,396196,424473,449679
Kota Bitung,391479,416993,434642
Kota Tomohon,394584,422746,440680
Kota Kotamobagu,323292,343675,363777
SULAWESI TENGAH,441036,474627,496872
Banggai Kepulauan,338815,364025,373799
Banggai,395700,417863,431639
Morowali,428744,463140,478409
Poso,477801,515435,530022
Donggala,336404,360483,369784
Toli-Toli,317448,343770,354427
Buol,351135,375794,387444
Parigi Moutong,414380,444258,458385
Tojo Una-Una,472245,504889,521534
Sigi,344631,370788,382579
Banggai Laut,335604,359768,366005
Morowali Utara,441554,474170,486511
Kota Palu,522444,559246,571605
SULAWESI SELATAN,329880,350264,372491
Kepulauan Selayar,370380,396822,406732
Bulukumba,330161,351180,369022
Bantaeng,309357,340890,363342
Jeneponto,359883,366453,374407
Takalar,356973,364378,380564
Gowa,385820,390917,408435
Sinjai,294916,329819,352490
Maros,405944,414324,424637
Pangkajene Dan Kepulauan,322958,358061,368096
Barru,322248,337047,351924
Bone,325422,345009,360177
Soppeng,297546,315455,341484
Wajo,311017,350765,361181
Sidenreng Rappang,312800,349452,360591
Pinrang,294349,336346,345892
Enrekang,331667,338731,352147
Luwu,318911,347539,359925
Tana Toraja,316911,336877,350220
Luwu Utara,342277,354669,368716
Luwu Timur,333739,350576,371947
Toraja Utara,314426,328096,348611
Kota Makassar,418831,442513,475444
Kota Parepare,323839,363710,383471
Kota Palopo,324233,362859,383007
SULAWESI TENGGARA,327402,356444,378589
Buton,254013,262541,270212
Muna,342948,358333,368922
Konawe,293801,323180,343781
Kolaka,370036,406919,432858
Konawe Selatan,235654,261382,275339
Bombana,308396,325949,346726
Wakatobi,278929,294440,302511
Kolaka Utara,454127,494836,506903
Buton Utara,331555,345039,355288
Konawe Utara,273544,305100,321986
Kolaka Timur,369870,405341,431179
Konawe Kepulauan,314815,335414,347332
Muna Barat,342811,357477,367868
Buton Tengah,251702,264699,273354
Buton Selatan,235847,248184,253877
Kota Kendari,350647,384379,423653
Kota Baubau,329977,344598,360766
GORONTALO,333070,368990,389827
Boalemo,385122,426961,450724
Gorontalo,425827,475102,502964
Pohuwato,275240,309174,327587
Bone Bolango,380029,424275,449543
Gorontalo Utara,278746,311200,327531
Kota Gorontalo,520095,569538,598363
SULAWESI BARAT,328144,350743,364251
Majene,360362,384344,399350
Polewali Mandar,376827,401057,416443
Mamasa,256544,273513,283758
Mamuju,259969,277078,287896
Mamuju Utara,332145,354115,367941
Mamuju Tengah,239592,255440,265413
MALUKU,508777,555197,587730
Maluku Tenggara Barat,423823,479402,506106
Maluku Tenggara,464649,517821,549047
Maluku Tengah,474224,503800,515582
Buru,463169,492055,503254
Kepulauan Aru,438848,490565,516604
Seram Bagian Barat,394628,419793,427355
Seram Bagian Timur,375040,398430,403573
Maluku Barat Daya,468842,521899,535594
Buru Selatan,596469,628659,644441
Kota Ambon,571315,596042,621482
Kota Tual,535425,574105,600172
MALUKU UTARA,444650,462639,489375
Halmahera Barat,324849,339283,358707
Halmahera Tengah,454180,466973,491657
Kepulauan Sula,359497,372561,391912
Halmahera Selatan,310161,324767,343323
Halmahera Utara,238878,248544,263507
Halmahera Timur,545238,569464,600339
Pulau Morotai,265761,276746,291879
Pulau Taliabu,387664,401710,425241
Kota Ternate,578185,595553,629463
Kota Tidore Kepulauan,435277,448352,472651
PAPUA BARAT,573313,610888,631418
Fakfak,544783,578510,596406
Kaimana,412130,438991,450301
Teluk Wondama,557702,588838,597676
Teluk Bintuni,644838,683667,693305
Manokwari,629074,651032,663438
Sorong Selatan,323369,347898,358864
Sorong,357900,379951,388166
Raja Ampat,347203,374488,388021
Tambrauw,362884,393268,399421
Maybrat,359500,383715,396386
Manokwari Selatan,635595,678494,686235
Pegunungan Arfak,628281,670687,683722
Kota Sorong,725117,765183,791155
PAPUA BARAT DAYA,-,-,-
Raja Ampat,-,-,-
Sorong,-,-,-
Sorong Selatan,-,-,-
Maybrat,-,-,-
Tambrauw,-,-,-
Kota Sorong,-,-,-
PAPUA,540099,562992,591959
Merauke,346502,366296,387443
Jayawijaya,420471,461058,501075
Jayapura,589521,601005,624845
Nabire,579753,612872,665325
Kepulauan Yapen,618487,653819,688204
Biak Numfor,543971,574402,602931
Paniai,479877,512058,556861
Puncak Jaya,604945,639503,708658
Mimika,836301,870355,936862
Boven Digoel,458012,486179,520245
Mappi,330427,351801,375922
Asmat,364728,383790,405368
Yahukimo,414936,428433,466113
Pegunungan Bintang,560354,580393,632210
Tolikara,382936,404812,441994
Sarmi,518491,535586,554491
Keerom,655056,677050,704998
Waropen,655060,691544,731467
Supiori,447524,471401,498615
Mamberamo Raya,683779,727830,769848
Nduga *,341566,360779,392990
Lanny Jaya,464328,490508,537322
Mamberamo Tengah,388619,412574,449409
Yalimo,330040,347171,378167
Puncak,630074,664865,721541
Dogiyai,492905,512654,557009
Intan Jaya,627128,662465,725106
Deiyai,579263,608868,627742
Kota Jayapura,992610,1021759,1051297
PAPUA SELATAN,-,-,-
Merauke,-,-,-
Boven Digoel,-,-,-
Mappi,-,-,-
Asmat,-,-,-
PAPUA TENGAH,-,-,-
Mimika,-,-,-
Dogiyai,-,-,-
Deiyai,-,-,-
Nabire,-,-,-
Paniai,-,-,-
Intan Jaya,-,-,-
Puncak,-,-,-
Puncak Jaya,-,-,-
PAPUA PEGUNUNGAN,-,-,-
Nduga,-,-,-
Jayawijaya,-,-,-
Lanny Jaya,-,-,-
Tolikara,-,-,-
Mamberamo Tengah,-,-,-
Yalimo,-,-,-
Yahukimo,-,-,-
Pegunungan Bintang,-,-,-
