Nama Wilayah,,,
,Garis Kemiskinan Menurut Kabupaten/Kota (Rupiah/kapita/bulan),,
,2019,2020,2021
ACEH,486935,522126,541109
Simeulue,404739,444754,458896
Aceh Singkil,450217,473983,487249
Aceh Selatan,369107,405786,418689
Aceh Tenggara,357015,392493,404725
Aceh Timur,417715,440455,460422
Aceh Tengah,468577,492227,505933
Aceh Barat,471058,517264,533712
Aceh Besar,447563,477938,489498
Pidie,462059,493145,504452
Bireuen,393198,410203,422685
Aceh Utara,353856,375394,392412
Aceh Barat Daya,358059,393640,406157
Gayo Lues,387893,425529,438689
Aceh Tamiang,437991,459387,479801
Nagan Raya,446144,493121,508801
Aceh Jaya,391677,428094,441706
Bener Meriah,431643,457916,476074
Pidie Jaya,455995,481308,495254
Kota Banda Aceh,628493,674977,698617
Kota Sabang,563100,599381,620373
Kota Langsa,380906,407421,435438
Kota Lhokseumawe,376832,401158,427045
Kota Subulussalam,351093,400517,418643
SUMATERA UTARA,466122,502904,525756
Nias,361698,405355,428739
Mandailing Natal,356058,400721,423017
Tapanuli Selatan,364798,397363,420431
Tapanuli Tengah,376474,406646,429050
Tapanuli Utara,377948,406813,437428
Toba Samosir,373020,404864,435332
Labuhan Batu,389402,425035,457021
Asahan,330460,351314,377752
Simalungun,359540,387549,416714
Dairi,341511,380275,408893
Karo,460870,500921,531519
Deli Serdang,390440,413202,428123
Langkat,392050,412422,432371
Nias Selatan,279468,312453,329308
Humbang Hasundutan,336500,374768,397237
Pakpak Bharat,287654,311584,332644
Samosir,315825,341843,370082
Serdang Bedagai,382283,416991,448372
Batu Bara,408417,452393,477564
Padang Lawas Utara,342885,380379,401435
Padang Lawas,332350,367932,388404
Labuhan Batu Selatan,368205,404819,426574
Labuhan Batu Utara,422063,471678,497922
Nias Utara,390564,429836,455118
Nias Barat,393450,433249,458533
Kota Sibolga,425236,453786,485527
Kota Tanjung Balai,421671,444125,482602
Kota Pematang Siantar,502726,536486,583588
Kota Tebing Tinggi,460533,493227,536531
Kota Medan,532055,553796,577126
Kota Binjai,403798,433746,466554
Kota Padangsidimpuan,382884,417455,453777
Kota Gunungsitoli,339671,370967,408190
SUMATERA BARAT,503652,544315,568703
Kepulauan Mentawai,310033,340191,356403
Pesisir Selatan,431817,467743,491573
Solok,415649,451906,461030
Sijunjung,400861,433147,455346
Tanah Datar,379041,420049,441793
Padang Pariaman,411182,455463,475342
Agam,379304,424728,444711
Lima Puluh Kota,403030,451295,475123
Pasaman,347153,388726,408293
Solok Selatan,387438,419442,438187
Dharmasraya,439117,477421,503183
Pasaman Barat,417742,467769,492467
Kota Padang,534857,570654,602540
Kota Solok,440618,450254,464977
Kota Sawah Lunto,374615,399688,412757
Kota Padang Panjang,450377,491142,516648
Kota Bukittinggi,475755,519470,540457
Kota Payakumbuh,482184,526490,543335
Kota Pariaman,446514,480028,495386
RIAU,500612,544057,565937
Kuantan Singingi,545403,580453,599163
Indragiri Hulu,474298,522110,549563
Indragiri Hilir,450728,495305,518283
Pelalawan,534078,585728,618738
Siak,443868,473128,489467
Kampar,434601,460991,477603
Rokan Hulu,488401,532643,551351
Bengkalis,533123,581416,604925
Rokan Hilir,388701,418473,437398
Kepulauan Meranti,483377,520955,542599
Kota Pekanbaru,516368,589281,613183
Kota Dumai,439152,484609,509002
JAMBI,448509,483542,506355
Kerinci,356059,385571,396168
Merangin,406466,440156,453696
Sarolangun,424223,459092,472866
Batang Hari,420227,450233,462468
Muaro Jambi,375372,409104,425294
Tanjung Jabung Timur,374735,392778,406772
Tanjung Jabung Barat,364012,396113,409631
Tebo,404473,435523,448461
Bungo,390439,422801,436020
Kota Jambi,488034,529090,563403
Kota Sungai Penuh,373673,401966,426380
SUMATERA SELATAN,410532,439041,457455
Ogan Komering Ulu,428200,457452,481139
Ogan Komering Ilir,347121,375837,393240
Muara Enim,367761,390342,405782
Lahat,428309,457569,485142
Musi Rawas,437854,467766,493675
Musi Banyuasin,486476,519797,537774
Banyu Asin,397496,429816,445089
Ogan Komering Ulu Selatan,319333,341148,359859
Ogan Komering Ulu Timur,321629,343601,362446
Ogan Ilir,433616,469746,492537
Empat Lawang,315699,341007,360378
Penukal Abab Lematang Ilir,388208,412236,435379
Musi Rawas Utara,470485,504598,532273
Kota Palembang,521489,548563,567518
Kota Prabumulih,541648,569769,592210
Kota Pagar Alam,328745,342738,356287
Kota Lubuklinggau,477756,495213,516763
BENGKULU,499660,527031,548934
Bengkulu Selatan,377823,394513,408904
Rejang Lebong,449999,472555,487490
Bengkulu Utara,369367,387881,398746
Kaur,322815,338451,350794
Seluma,386321,400090,414446
Mukomuko,426737,448127,464473
Lebong,404368,424637,440127
Kepahiang,374568,396184,410569
Bengkulu Tengah,406137,431688,447435
Kota Bengkulu,660442,702578,740612
LAMPUNG,418309,453733,471439
Lampung Barat,400662,443313,457478
Tanggamus,359580,397984,410510
Lampung Selatan,389236,422328,439421
Lampung Timur,360610,398298,411200
Lampung Tengah,394338,436777,450232
Lampung Utara,400248,441045,451876
Way Kanan,341012,377712,389088
Tulangbawang,393676,438744,456567
Pesawaran,372649,403441,420032
Pringsewu,422691,458627,475983
Mesuji,382020,423133,436653
