Nama Wilayah,,,
,Garis Kemiskinan Menurut Kabupaten/Kota (Rupiah/kapita/bulan),,
Garut,256770,267252,282683
Tasikmalaya,274470,284462,306759
Ciamis,319150,334038,357382
Kuningan,289901,302061,332483
Cirebon,333758,346240,370747
Majalengka,393071,409559,440776
Sumedang,295009,307394,334743
Indramayu,397196,413857,447378
Subang,303583,316317,331557
Purwakarta,312499,325607,352061
Karawang,386282,408579,433972
Bekasi,416058,434112,463507
Bandung Barat,294823,309304,329415
Pangandaran,327399,342672,360960
Kota Bogor,416779,450078,480749
Kota Sukabumi,441948,470133,497995
Kota Bandung,400541,420579,448902
Kota Cirebon,373866,392725,426738
Kota Bekasi,521813,544534,582723
Kota Depok,522934,556470,615255
Kota Cimahi,411665,433759,462969
Kota Tasikmalaya,397215,416837,447008
Kota Banjar,289369,305603,324958
JAWA TENGAH,317348,333224,350875
Cilacap,292525,307041,320106
Banyumas,344514,357748,366442
Purbalingga,301862,313343,324735
Banjarnegara,252328,264387,278210
Kebumen,313881,325819,342437
Purworejo,313931,325871,335995
Wonosobo,297422,308553,323490
Magelang,271800,281237,296327
Boyolali,283921,293405,304575
Klaten,364240,376305,397447
Sukoharjo,327217,337037,345363
Wonogiri,275507,284710,293357
Karanganyar,329531,340538,348896
Sragen,283649,292544,312106
Grobogan,333009,345379,366192
Blora,279972,291114,308520
Rembang,338986,354440,365443
Pati,377442,393817,414316
Kudus,356951,373224,393078
Jepara,341754,355607,371296
Demak,356919,371525,402211
Semarang,307505,317935,341576
Temanggung,268730,277707,287981
Kendal,323078,335497,353127
Batang,240541,249292,256549
Pekalongan,341648,354435,361297
Pemalang,319434,331584,351183
Tegal,308270,319758,332298
Brebes,364059,382125,405932
Kota Magelang,425191,450908,476582
Kota Surakarta,430293,448062,464063
Kota Salatiga,345146,359944,380856
Kota Semarang,382160,402297,427511
Kota Pekalongan,375600,390555,415172
Kota Tegal,395631,418845,455488
D I YOGYAKARTA,354084,374009,409744
Kulon Progo,297353,312403,323105
Bantul,332057,347476,369480
Gunung Kidul,264637,277261,288748
Sleman,334406,351331,370127
Kota Yogyakarta,401193,423815,467061
JAWA TIMUR,321761,342092,373574
Pacitan,239339,250942,268592
Ponorogo,266312,279168,297467
Trenggalek,275426,288779,308644
Tulungagung,304518,314532,328640
Blitar,272358,285474,305440
Kediri,272374,281012,294098
Malang,282933,294904,314550
Lumajang,258840,267366,281461
Jember,299823,310650,324174
Banyuwangi,311722,319236,339891
Bondowoso,331975,343124,363443
Situbondo,270406,276924,294209
