Nama Wilayah,,,
,Indeks Keparahan Kemiskinan (P2) Menurut Kabupaten/Kota,,
KEPULAUAN RIAU,0.5,0.55,0.59
Karimun,0.18,0.34,0.17
Bintan,0.44,0.16,0.31
Natuna,0.39,0.46,0.11
Lingga,1.87,1.53,0.77
Kepulauan Anambas,-,-,-
Kota Batam,0.96,0.36,0.52
Kota Tanjung Pinang,0.98,1.31,0.75
DKI JAKARTA,0.12,0.13,0.15
Kepulauan Seribu,0.53,0.44,0.42
Kota Jakarta Selatan,0.27,0.15,0.09
Kota Jakarta Timur,0.17,0.12,0.11
Kota Jakarta Pusat,0.31,0.09,0.19
Kota Jakarta Barat,0.08,0.1,0.06
Kota Jakarta Utara,0.28,0.2,0.25
JAWA BARAT,0.57,0.84,0.7
Bogor,0.71,1.04,0.38
Sukabumi,0.85,0.95,0.31
Cianjur,0.46,1.17,0.32
Bandung,0.52,0.71,0.26
Garut,0.56,1.22,0.46
Tasikmalaya,0.71,0.92,0.62
Ciamis,0.51,0.52,0.52
Kuningan,0.87,0.75,0.43
Cirebon,1.64,0.79,0.81
Majalengka,0.7,1.86,0.48
Sumedang,0.62,0.8,0.63
Indramayu,0.66,2.22,0.46
Subang,0.62,0.82,0.79
Purwakarta,0.7,0.56,0.43
Karawang,0.59,0.48,0.58
Bekasi,0.35,0.3,0.2
Bandung Barat,1.05,1.31,0.85
Pangandaran,-,-,-
Kota Bogor,0.47,0.47,0.29
Kota Sukabumi,0.18,0.49,0.62
Kota Bandung,0.18,0.22,0.11
Kota Cirebon,0.43,0.73,0.88
Kota Bekasi,0.31,0.43,0.24
Kota Depok,0.09,0.16,0.05
Kota Cimahi,0.35,0.47,0.29
Kota Tasikmalaya,0.36,1.39,1.36
Kota Banjar,0.28,1.34,0.15
JAWA TENGAH,1.08,1.24,0.87
Cilacap,0.76,1.35,0.6
Banyumas,0.73,0.93,0.75
Purbalingga,1.6,1.49,1.27
Banjarnegara,1.33,1.72,0.85
Kebumen,1.15,2.05,1.34
Purworejo,0.58,1.21,0.59
Wonosobo,2.01,2.86,1.54
Magelang,0.59,1.69,0.41
Boyolali,0.55,1.01,0.59
Klaten,0.98,2.5,0.73
Sukoharjo,0.46,0.74,0.3
Wonogiri,1.2,2.06,0.65
Karanganyar,0.5,0.78,0.36
Sragen,0.57,0.85,0.76
Grobogan,0.7,1.23,0.55
Blora,0.66,1.61,0.51
Rembang,1.18,1.43,0.78
Pati,0.52,2.08,0.54
Kudus,0.32,0.71,0.34
Jepara,0.14,0.46,0.25
Demak,0.85,0.88,1.05
Semarang,0.46,0.65,0.34
Temanggung,0.37,1.5,0.76
Kendal,0.73,1.23,0.77
Batang,0.35,1.93,0.67
Pekalongan,0.63,1.02,0.52
Pemalang,0.83,0.85,1.08
Tegal,0.7,0.68,0.67
Brebes,1.11,1.36,1.18
Kota Magelang,0.35,0.44,0.51
Kota Surakarta,0.67,0.75,0.78
Kota Salatiga,0.32,0.34,0.17
Kota Semarang,0.19,0.29,0.39
Kota Pekalongan,0.19,0.18,0.26
Kota Tegal,0.19,0.21,0.42
D I YOGYAKARTA,1.12,0.92,1.04
Kulon Progo,1.2,1.98,0.98
Bantul,0.71,0.93,0.99
Gunung Kidul,0.97,1.36,1
Sleman,0.92,0.46,0.56
Kota Yogyakarta,0.78,0.44,0.58
JAWA TIMUR,1.15,1.15,0.88
Pacitan,0.89,2,0.9
Ponorogo,0.45,1.34,0.46
Trenggalek,0.84,1.75,0.98
Tulungagung,0.53,0.37,0.45
Blitar,0.62,1.13,0.52
Kediri,0.72,1.11,0.73
Malang,0.66,1.27,0.49
Lumajang,0.53,2.01,0.49
Jember,0.55,1.4,0.54
Banyuwangi,0.51,0.81,0.48
Bondowoso,1.06,1.29,0.66
Situbondo,0.44,1.01,0.72
Probolinggo,0.98,1.11,1.21
Pasuruan,0.69,0.75,0.65
Sidoarjo,0.52,0.86,0.22
Mojokerto,0.39,0.6,0.55
Jombang,0.82,0.67,0.49
Nganjuk,0.98,0.79,0.79
Madiun,0.58,1.28,0.7
Magetan,0.51,0.87,0.42
Ngawi,0.88,0.77,0.84
Bojonegoro,0.9,1.38,0.88
Tuban,1.3,1.69,0.8
Lamongan,1.02,1.12,0.71
Gresik,0.81,2.39,0.79
Bangkalan,1.95,2.79,1.41
Sampang,1.36,2.12,1.35
Pamekasan,1.43,1.4,0.79
Sumenep,1.46,1.44,0.91
Kota Kediri,0.55,0.46,0.47
Kota Blitar,0.45,0.51,0.41
Kota Malang,0.25,0.44,0.33
Kota Probolinggo,0.67,1.71,0.73
Kota Pasuruan,0.4,0.85,0.43
Kota Mojokerto,0.34,0.31,0.17
Kota Madiun,0.2,0.24,0.19
Kota Surabaya,0.33,0.25,0.35
Kota Batu,0.43,0.47,0.21
BANTEN,0.34,0.42,0.39
Pandeglang,0.53,0.42,0.22
Lebak,0.34,0.36,0.24
Tangerang,0.35,0.52,0.23
Serang,0.3,0.37,0.12
Kota Tangerang,0.16,0.37,0.34
Kota Cilegon,0.41,0.11,0.1
Kota Serang,-,-,0.12
Kota Tangerang Selatan,-,-,-
BALI,0.23,0.36,0.29
Jembrana,0.31,0.28,0.22
Tabanan,0.23,0.87,0.13
Badung,0.07,0.34,0.06
Gianyar,0.18,0.27,0.17
Klungkung,0.35,0.59,0.24
Bangli,0.27,0.22,0.1
Karang Asem,0.12,0.53,0.22
Buleleng,0.19,0.31,0.37
Kota Denpasar,0.06,0.08,0.02
NUSA TENGGARA BARAT,1.54,1.44,1.08
Lombok Barat,1.31,1.26,1.27
Lombok Tengah,0.77,1.19,0.83
Lombok Timur,1.04,1.64,0.81
Sumbawa,1.57,2.15,1.38
Dompu,1.04,1.76,0.83
Bima,1.03,1.15,0.85
Sumbawa Barat,2.34,3.48,2.08
Lombok Utara,-,-,-
Kota Mataram,0.39,0.85,0.72
Kota Bima,0.31,0.89,1.1
NUSA TENGGARA TIMUR,1.34,3.08,1.51
Sumba Barat,2.03,5.4,2.05
Sumba Timur,2.07,4.91,1.73
Kupang,2.1,1.76,1.13
Timor Tengah Selatan,1.97,4.05,2.48
Timor Tengah Utara,1.16,3.35,1.5
Belu,1.28,3.04,0.99
Alor,1.87,2.77,0.92
Lembata,1.96,2.66,0.99
Flores Timur,0.46,1.49,0.21
Sikka,0.75,3.45,1.41
Ende,0.8,2.39,1.01
Ngada,0.57,1.54,0.44
Manggarai,1.18,2.28,0.98
Rote Ndao,1.31,4.25,1.51
Manggarai Barat,1.2,2.73,0.78
Sumba Tengah,1.76,2.21,3
Sumba Barat Daya,2.19,7.64,1.33
Nagekeo,0.57,0.88,0.38
Manggarai Timur,-,-,1.14
Sabu Raijua,-,-,-
Malaka,-,-,-
Kota Kupang,0.41,1.91,0.82
KALIMANTAN BARAT,0.41,0.72,0.46
Sambas,0.53,0.67,0.28
Bengkayang,0.48,0.46,0.28
Landak,1.24,1.14,0.82
Pontianak,0.11,0.39,0.24
Sanggau,0.23,0.37,0.13
Ketapang,0.64,1.02,0.41
Sintang,0.72,0.93,0.36
Kapuas Hulu,0.59,0.66,0.28
Sekadau,0.41,0.69,0.39
Melawi,0.41,2.54,0.67
Kayong Utara,0.75,1.04,0.25
Kubu Raya,-,0.22,0.26
Kota Pontianak,0.13,0.64,0.39
Kota Singkawang,0.16,0.31,0.48
KALIMANTAN TENGAH,0.51,0.35,0.29
Kotawaringin Barat,0.46,0.27,0.27
Kotawaringin Timur,0.36,0.52,0.27
Kapuas,0.19,0.32,0.23
Barito Selatan,0.26,0.32,0.22
Barito Utara,0.12,0.33,0.19
Sukamara,0.24,0.58,0.3
Lamandau,0.15,0.36,0.21
Seruyan,0.41,0.22,0.41
Katingan,0.17,0.2,0.1
Pulang Pisau,0.47,0.37,0.17
Gunung Mas,0.32,0.23,0.2
Barito Timur,0.42,0.89,0.41
Murung Raya,0.12,0.18,0.19
Kota Palangka Raya,0.16,0.28,0.17
KALIMANTAN SELATAN,0.16,0.31,0.26
Tanah Laut,0.27,0.41,0.12
Kota Baru,0.35,0.33,0.25
Banjar,0.14,0.11,0.14
Barito Kuala,0.19,0.28,0.24
Tapin,0.47,0.28,0.19
Hulu Sungai Selatan,0.25,0.76,0.25
Hulu Sungai Tengah,0.33,0.15,0.22
Hulu Sungai Utara,0.25,0.37,0.26
Tabalong,0.22,0.56,0.33
Tanah Bumbu,0.54,0.37,0.29
Balangan,0.39,0.4,0.13
Kota Banjarmasin,0.03,0.21,0.15
Kota Banjar Baru,0.12,0.26,0.22
KALIMANTAN TIMUR,0.46,0.65,0.46
Paser,0.61,0.94,0.34
Kutai Barat,0.83,0.7,0.42
Kutai Kartanegara,0.63,0.73,0.4
Kutai Timur,0.85,1.12,0.38
Berau,0.47,0.59,0.32
Penajam Paser Utara,0.82,0.97,0.44
Mahakam Hulu,-,-,-
Kota Balikpapan,0.09,0.23,0.13
Kota Samarinda,0.27,0.28,0.12
Kota Bontang,0.33,0.45,0.26
KALIMANTAN UTARA,0.46,0.65,0.46
Malinau,1.06,2.48,0.56
Bulungan,0.73,1.53,0.82
Tana Tidung,-,-,0.61
Nunukan,1.55,1.04,0.81
Kota Tarakan,0.35,0.47,0.24
SULAWESI UTARA,0.47,0.54,0.44
Bolaang Mongondow,0.52,0.51,0.37
Minahasa,0.35,0.54,0.48
Kepulauan Sangihe,0.77,0.71,0.64
Kepulauan Talaud,0.7,1.01,0.54
Minahasa Selatan,0.51,0.86,0.15
Minahasa Utara,0.51,0.38,0.31
Bolaang Mongondow Utara,0.27,0.61,0.26
Siau Tagulandang Biaro,0.67,0.45,0.39
Minahasa Tenggara,0.88,1.21,0.61
Bolaang Mongondow Selatan,-,-,-
Bolaang Mongondow Timur,-,-,-
Kota Manado,0.29,0.29,0.18
Kota Bitung,0.49,0.6,0.14
Kota Tomohon,0.24,0.42,0.16
Kota Kotamobagu,0.24,0.31,0.37
SULAWESI TENGAH,1.38,1.53,1.3
Banggai Kepulauan,1.48,1.45,1.42
Banggai,0.75,0.69,0.8
Morowali,0.98,2.88,1.56
Poso,1.36,2.44,1.4
Donggala,0.96,1.52,1.17
Toli-Toli,1,1.38,0.84
Buol,1.54,1.15,0.78
Parigi Moutong,1.17,1.53,1.01
Tojo Una-Una,1.27,2.75,0.88
Sigi,-,-,-
Banggai Laut,-,-,-
Morowali Utara,-,-,-
Kota Palu,0.4,0.64,0.44
SULAWESI SELATAN,0.68,1.08,0.58
Kepulauan Selayar,0.42,1.65,0.83
Bulukumba,0.42,1.23,0.35
Bantaeng,0.46,1.29,0.44
Jeneponto,0.81,1.59,0.92
Takalar,0.43,0.91,0.27
Gowa,0.44,1.01,0.43
Sinjai,0.44,1.76,0.37
Maros,0.97,1.75,0.69
Pangkajene Dan Kepulauan,1.65,2.26,0.87
Barru,0.48,0.98,0.5
Bone,0.66,1.57,0.61
Soppeng,0.19,0.31,0.32
Wajo,0.49,0.71,0.23
Sidenreng Rappang,0.11,0.48,0.24
Pinrang,0.13,1.26,0.31
Enrekang,0.86,1.49,0.97
Luwu,0.79,1.33,1.32
Tana Toraja,0.84,1.44,0.61
Luwu Utara,0.49,0.92,0.75
Luwu Timur,0.42,0.66,0.49
Toraja Utara,-,-,-
Kota Makassar,0.28,0.25,0.25
Kota Parepare,0.31,0.69,0.17
Kota Palopo,0.28,1.56,0.5
SULAWESI TENGGARA,1.21,1.59,1
Buton,0.81,2.1,0.99
Muna,0.96,1.62,0.78
Konawe,0.93,1.22,0.73
Kolaka,0.75,2.3,0.63
Konawe Selatan,0.66,1.49,0.5
Bombana,0.8,0.91,0.59
Wakatobi,0.89,1.73,1.14
Kolaka Utara,1.35,4.1,0.4
Buton Utara,1.07,1.16,0.69
Konawe Utara,0.64,0.64,0.42
Kolaka Timur,-,-,-
Konawe Kepulauan,-,-,-
Muna Barat,-,-,-
Buton Tengah,-,-,-
Buton Selatan,-,-,-
Kota Kendari,0.66,0.48,0.3
Kota Baubau,0.75,0.74,0.56
GORONTALO,1.68,0.9,0.99
Boalemo,1.06,1.15,0.87
Gorontalo,2.32,0.77,0.97
Pohuwato,1.86,1.43,1.09
Bone Bolango,2.08,1.37,1.2
Gorontalo Utara,1.28,1.03,0.81
Kota Gorontalo,0.34,0.17,0.16
SULAWESI BARAT,0.57,0.94,0.64
