Nama Wilayah,,,
,Indeks Kedalaman Kemiskinan (P1) Menurut Kabupaten/Kota,,
,2016,2017,2018
ACEH,3.48,2.98,2.84
Simeulue,3.48,2.78,3.11
Aceh Singkil,4.47,5.94,4.85
Aceh Selatan,1.83,2.44,1.78
Aceh Tenggara,2.54,1.8,2.23
Aceh Timur,2.25,2.85,2.03
Aceh Tengah,2.51,3.54,1.75
Aceh Barat,4.72,4.74,3.91
Aceh Besar,2.73,3.42,3.4
Pidie,4.55,4.18,4.02
Bireuen,3.07,2.99,2.31
Aceh Utara,3.14,3.22,3.2
Aceh Barat Daya,3.61,2.88,2.15
Gayo Lues,4.83,4.66,3.61
Aceh Tamiang,2.25,2.26,1.54
Nagan Raya,3.14,2.53,3.7
Aceh Jaya,3.04,2.29,2.4
Bener Meriah,3.3,3.68,2.88
Pidie Jaya,3.25,3.26,2.6
Kota Banda Aceh,1.69,1.54,1.22
Kota Sabang,3.17,2.99,2.64
Kota Langsa,2.25,1.67,1.34
Kota Lhokseumawe,2,1.68,1.72
Kota Subulussalam,3.61,3.2,2.67
SUMATERA UTARA,1.77,1.71,1.56
Nias,2.53,2.05,2.45
Mandailing Natal,1.27,1.86,1.48
Tapanuli Selatan,1.06,1.41,1.29
Tapanuli Tengah,1.25,2.12,1.56
Tapanuli Utara,1.6,1.83,1.08
Toba Samosir,1.2,1.82,1.25
Labuhan Batu,0.91,1.11,1.01
Asahan,1.86,2.04,1.51
Simalungun,1.6,1.63,1.59
Dairi,0.78,1.03,1.77
Karo,1.48,1.87,0.95
Deli Serdang,0.49,0.47,0.6
Langkat,1.78,1.67,1.68
Nias Selatan,3.32,2.94,2.49
Humbang Hasundutan,1.51,1.16,1
Pakpak Bharat,1.35,1.18,1.54
Samosir,2.12,2.44,1.7
Serdang Bedagai,1.48,1.32,1.1
Batu Bara,1.72,1.46,2.22
Padang Lawas Utara,1.46,1.54,1.41
Padang Lawas,1.36,1.17,1.07
Labuhan Batu Selatan,1.64,1.79,1.42
Labuhan Batu Utara,1.11,1.43,1.73
Nias Utara,6.14,5.3,5.1
Nias Barat,6.25,4.68,4.36
Kota Sibolga,2.55,2.12,2.23
Kota Tanjung Balai,3.17,1.98,2.25
Kota Pematang Siantar,1.23,1.3,1.69
Kota Tebing Tinggi,2.03,2.32,1.91
Kota Medan,1.51,1.56,1.5
Kota Binjai,1.33,1.11,0.72
Kota Padangsidimpuan,0.96,1.39,1.41
Kota Gunungsitoli,4.36,3.82,2.4
SUMATERA BARAT,1.1,1,1.04
Kepulauan Mentawai,2.56,2.58,2.42
Pesisir Selatan,1.17,1.07,0.77
Solok,1.19,1.11,1.4
Sijunjung,1.25,1.12,0.88
Tanah Datar,0.81,0.55,0.87
Padang Pariaman,1.36,1.13,1.25
Agam,0.96,0.96,1.13
Lima Puluh Kota,1.06,1.09,1.09
Pasaman,0.42,0.8,0.93
Solok Selatan,1.23,0.89,1.03
Dharmasraya,1.21,0.66,0.7
Pasaman Barat,1.09,1.17,1.22
Kota Padang,0.55,0.54,0.73
Kota Solok,0.13,0.62,0.42
Kota Sawah Lunto,0.12,0.29,0.27
Kota Padang Panjang,0.66,0.94,0.88
Kota Bukittinggi,1.05,0.57,0.39
Kota Payakumbuh,0.87,0.75,0.71
Kota Pariaman,0.9,0.59,0.68
RIAU,1.36,1.32,1.2
Kuantan Singingi,1.45,1.47,1.36
Indragiri Hulu,0.86,1.14,0.94
Indragiri Hilir,1.29,1.17,1.27
Pelalawan,1.79,1.52,0.97
Siak,0.58,0.88,0.65
Kampar,1.24,1.01,1.1
Rokan Hulu,1.54,1.74,1.88
Bengkalis,1.41,0.95,0.87
Rokan Hilir,0.77,1.39,0.89
Kepulauan Meranti,7.17,6.51,5.22
Kota Pekanbaru,0.41,0.61,0.49
Kota Dumai,0.62,0.84,0.46
JAMBI,1.47,1.28,1.3
Kerinci,0.92,1.56,0.72
Merangin,1.77,1.69,1.86
Sarolangun,1.37,2.2,1.49
Batang Hari,1.29,1.86,1.24
Muaro Jambi,0.49,0.45,0.68
Tanjung Jabung Timur,2,2.98,2.19
Tanjung Jabung Barat,1.61,2.35,1.7
Tebo,0.96,0.87,0.95
Bungo,0.97,1.19,0.62
Kota Jambi,1.59,1.13,1.26
Kota Sungai Penuh,0.26,0.23,0.26
SUMATERA SELATAN,2.01,2.24,2.33
Ogan Komering Ulu,1.53,2.47,2.56
Ogan Komering Ilir,2.79,2.95,3.05
Muara Enim,2.22,2.13,1.91
Lahat,2.59,2.45,2.85
Musi Rawas,2,2.52,2.25
Musi Banyuasin,2.32,1.79,3.41
Banyu Asin,1.5,1.85,2.21
Ogan Komering Ulu Selatan,0.89,1.65,1.2
Ogan Komering Ulu Timur,1.65,1.9,1.6
Ogan Ilir,2,1.9,2.2
Empat Lawang,1.39,1.4,1.73
Penukal Abab Lematang Ilir,1.85,2.19,2.24
Musi Rawas Utara,3.14,3.28,4.64
Kota Palembang,2.18,1.76,1.7
Kota Prabumulih,1.35,1.29,1.69
Kota Pagar Alam,0.88,1.09,1.03
Kota Lubuklinggau,2.19,2.14,2.05
BENGKULU,3.14,2.85,2.59
Bengkulu Selatan,4.64,3.32,2.61
Rejang Lebong,3.36,2.9,2.01
Bengkulu Utara,1.33,1.97,1.83
Kaur,3.36,4.12,2.99
Seluma,4.12,3.98,3.22
Mukomuko,1.95,1.99,1.7
Lebong,2.2,1.46,1.63
Kepahiang,1.81,1.89,2.33
Bengkulu Tengah,0.75,1.42,1.41
Kota Bengkulu,4.11,4.69,4.53
LAMPUNG,2.63,2.16,2.04
Lampung Barat,2.89,2.15,1.84
Tanggamus,2.01,1.81,2.36
Lampung Selatan,2.64,2.36,2.47
Lampung Timur,3.1,2.96,2.91
Lampung Tengah,2.15,1.99,1.62
Lampung Utara,4.68,4.19,2.96
Way Kanan,2.69,2.05,2.05
Tulangbawang,2,1.53,1.28
Pesawaran,2.77,3.31,2.87
Pringsewu,1.78,1.71,1.44
Mesuji,1.39,1.13,0.82
Tulang Bawang Barat,1.2,1.08,1.08
Pesisir Barat,2.76,2.08,2.61
Kota Bandar Lampung,1.65,1.48,1.38
Kota Metro,1.81,1.92,1.61
KEP. BANGKA BELITUNG,0.67,0.49,0.68
Bangka,0.74,0.42,0.66
