Nama Wilayah,,,
,Indeks Kedalaman Kemiskinan (P1) Menurut Kabupaten/Kota,,
Belitung,0.79,1.14,0.59
Bangka Barat,0.34,0.16,0.34
Bangka Tengah,0.59,0.57,0.42
Bangka Selatan,0.45,0.19,0.49
Belitung Timur,0.98,0.79,1.01
Kota Pangkal Pinang,0.7,0.57,0.49
KEPULAUAN RIAU,0.89,0.97,1
Karimun,0.92,0.86,0.7
Bintan,0.71,0.87,1.24
Natuna,0.22,0.43,0.58
Lingga,2.07,1.58,2.25
Kepulauan Anambas,0.56,1.22,1.25
Kota Batam,0.49,0.79,0.81
Kota Tanjung Pinang,1.43,1.76,1.49
DKI JAKARTA,0.46,0.49,0.51
Kepulauan Seribu,0.58,2.09,1.7
Kota Jakarta Selatan,0.27,0.38,0.29
Kota Jakarta Timur,0.26,0.46,0.36
Kota Jakarta Pusat,0.33,0.33,0.77
Kota Jakarta Barat,0.45,0.4,0.55
Kota Jakarta Utara,0.73,0.83,0.83
JAWA BARAT,1.49,1.45,1.32
Bogor,1.31,1.35,1.12
Sukabumi,1.21,1,0.86
Cianjur,1.93,1.5,1.34
Bandung,1,1.12,0.87
Garut,1.79,1.72,1.49
Tasikmalaya,1.78,1.36,1.19
Ciamis,1.17,1.22,1.18
Kuningan,2.2,2,1.73
Cirebon,2.21,2.13,2.04
Majalengka,2.06,1.93,1.96
Sumedang,1.57,1.97,1.72
Indramayu,1.69,2.34,2.23
Subang,1.68,2.2,1.7
Purwakarta,1.2,1.05,0.87
Karawang,1.87,1.54,1.21
Bekasi,0.83,0.81,0.65
Bandung Barat,1.92,2.32,1.45
Pangandaran,1.53,1.48,1.24
Kota Bogor,1.08,0.99,0.77
Kota Sukabumi,1.36,1.75,1.09
Kota Bandung,0.55,0.68,0.48
Kota Cirebon,1.86,1.56,0.99
Kota Bekasi,0.69,0.82,0.72
Kota Depok,0.3,0.25,0.31
Kota Cimahi,0.71,1.1,0.84
Kota Tasikmalaya,2.37,2.01,1.52
Kota Banjar,0.73,0.54,0.79
JAWA TENGAH,2.37,2.21,1.85
Cilacap,2.58,1.98,1.87
Banyumas,3.08,3.19,2.6
Purbalingga,3.85,2.79,2.79
Banjarnegara,3.03,3.25,2.08
Kebumen,3.78,3.62,2.48
Purworejo,2.67,2.25,1.67
Wonosobo,4.02,3.85,3.25
Magelang,1.84,1.67,1.55
Boyolali,2.56,1.96,1.26
Klaten,2.7,2.46,1.72
Sukoharjo,1.36,0.93,0.97
Wonogiri,1.68,1.8,1.71
Karanganyar,2.09,1.85,1.7
Sragen,2.92,1.93,2.31
Grobogan,1.78,2.03,1.67
Blora,2.17,1.53,1.62
Rembang,3.28,3.24,2.86
Pati,1.99,1.44,1.37
Kudus,1.07,1,0.88
Jepara,0.68,0.98,0.71
Demak,2.2,2.2,2.09
Semarang,1.57,1.1,1.51
Temanggung,1.7,1.81,1.36
Kendal,2.13,1.69,1.85
Batang,1.65,1.51,1.08
Pekalongan,1.94,1.73,1.4
Pemalang,3.04,3.52,2.96
Tegal,1.03,1.27,1.41
Brebes,3.96,3.06,3.51
Kota Magelang,1.2,1.3,1.07
Kota Surakarta,1.34,1.87,1.47
Kota Salatiga,0.6,0.85,0.69
Kota Semarang,0.76,0.54,0.58
Kota Pekalongan,0.8,0.92,1.01
Kota Tegal,1.04,1.42,1.23
D I YOGYAKARTA,2.3,2.19,2.07
Kulon Progo,3.55,2.79,2.47
Bantul,2.02,2.21,2.17
Gunung Kidul,4.16,3.36,3.84
Sleman,1.36,1.23,0.98
Kota Yogyakarta,1.05,1.58,1.38
JAWA TIMUR,1.98,1.87,1.94
Pacitan,2.86,2.14,1.73
Ponorogo,1.47,1.41,1.3
Trenggalek,1.74,1.71,1.85
Tulungagung,0.98,0.82,0.98
Blitar,1.53,1.16,1.33
Kediri,1.66,1.75,1.71
Malang,1.57,1.83,1.67
Lumajang,1.62,1.6,1.38
Jember,1.33,1.33,1.45
Banyuwangi,1.41,1.15,1.4
Bondowoso,2.54,2.11,2.12
Situbondo,1.79,1.77,1.49
Probolinggo,3.24,3.34,3.42
Pasuruan,1.56,1.67,1.5
Sidoarjo,0.95,1.05,1.03
Mojokerto,1.53,1.7,1.81
Jombang,1.26,1.63,1.34
Nganjuk,1.72,1.73,2.07
Madiun,2.08,2.65,1.6
Magetan,1.37,1.53,1.16
Ngawi,2.3,1.98,1.96
Bojonegoro,2.41,2.31,1.87
Tuban,3.03,3.29,2.55
Lamongan,2.4,2.53,2.83
Gresik,2.19,2.51,1.79
Bangkalan,4,3.49,3.57
Sampang,4.19,3.32,3.06
Pamekasan,2.38,1.66,1.7
Sumenep,2.9,1.78,3.57
Kota Kediri,0.96,0.99,0.87
Kota Blitar,1.04,0.93,1.05
Kota Malang,0.54,0.56,0.55
Kota Probolinggo,0.98,0.92,0.89
Kota Pasuruan,1.35,0.58,0.9
Kota Mojokerto,0.62,0.67,0.59
Kota Madiun,0.94,0.61,0.31
Kota Surabaya,0.92,1.1,0.81
Kota Batu,0.55,0.59,0.55
BANTEN,0.8,0.86,0.82
Pandeglang,1.23,1.25,1.31
Lebak,1.14,0.99,1.26
Tangerang,0.79,0.68,0.82
Serang,0.43,0.79,0.8
Kota Tangerang,0.5,0.7,0.84
Kota Cilegon,0.52,0.59,0.59
Kota Serang,0.58,0.75,0.6
Kota Tangerang Selatan,0.28,0.3,0.22
BALI,0.51,0.68,0.68
Jembrana,0.53,0.86,0.57
Tabanan,0.57,0.69,0.5
Badung,0.19,0.21,0.28
Gianyar,0.43,0.57,0.43
Klungkung,0.78,0.33,0.79
Bangli,0.63,0.52,0.49
Karang Asem,0.58,0.87,0.83
Buleleng,0.75,0.72,0.62
Kota Denpasar,0.2,0.4,0.32
NUSA TENGGARA BARAT,3,3.13,2.82
Lombok Barat,3.11,3.24,3.07
Lombok Tengah,2.74,2.81,2.31
Lombok Timur,2.88,3.03,2.67
Sumbawa,3.12,2.6,3.05
Dompu,1.66,1.84,1.59
Bima,2.34,2.47,1.73
Sumbawa Barat,4.79,3.81,2.04
Lombok Utara,7.06,7.63,6.98
Kota Mataram,1.69,1.73,1.17
Kota Bima,2.08,1.3,1.55
NUSA TENGGARA TIMUR,4.69,4.34,3.91
Sumba Barat,6.46,5.54,4.33
Sumba Timur,6.96,7.71,6.81
Kupang,3.67,4.85,3.55
Timor Tengah Selatan,5.67,6.76,6.26
Timor Tengah Utara,4.3,3.33,3.92
Belu,3.07,2.5,2.17
Alor,2.85,4.47,3.71
Lembata,6.65,4.93,4.48
Flores Timur,0.91,1.16,1.21
Sikka,1.85,1.68,1.61
Ende,4.87,5.25,5.47
Ngada,1.72,2.16,2.29
Manggarai,4.63,4.22,3.19
Rote Ndao,8.09,6.4,4.73
Manggarai Barat,3.02,4,3.42
Sumba Tengah,7.17,8.08,6.51
Sumba Barat Daya,5.24,4.53,5.35
Nagekeo,1.98,1.43,1.88
Manggarai Timur,5.14,4.39,4.56
Sabu Raijua,5.8,7.24,6.6
Malaka,3.53,1.7,2.05
Kota Kupang,1.47,1.61,1.63
KALIMANTAN BARAT,1.3,1.23,1.18
Sambas,1.3,1.05,1.02
Bengkayang,1.26,0.94,0.69
Landak,1.88,1.88,1.82
Pontianak,0.49,0.65,0.86
Sanggau,0.74,0.49,0.51
Ketapang,1.9,1.63,2
Sintang,1.24,1.49,2.16
Kapuas Hulu,1.43,1.28,1.34
Sekadau,1.02,1.03,0.53
Melawi,2.14,2.06,2
Kayong Utara,1.71,1.55,1.47
Kubu Raya,0.75,0.83,0.63
Kota Pontianak,0.71,1.01,0.62
Kota Singkawang,0.66,0.73,0.7
KALIMANTAN TENGAH,0.86,0.84,0.81
Kotawaringin Barat,0.77,0.57,0.55
Kotawaringin Timur,0.8,0.76,0.75
Kapuas,0.6,0.92,0.79
Barito Selatan,0.5,0.48,0.63
Barito Utara,0.71,0.55,0.59
Sukamara,0.62,0.38,0.43
Lamandau,0.7,0.46,0.34
Seruyan,1.37,0.99,1.09
Katingan,0.85,0.92,0.54
Pulang Pisau,0.74,0.72,0.5
Gunung Mas,0.6,0.72,0.87
Barito Timur,1.29,0.97,1.01
Murung Raya,1.02,0.58,1.2
Kota Palangka Raya,0.41,0.51,0.63
KALIMANTAN SELATAN,0.71,0.72,0.69
Tanah Laut,0.64,0.71,0.55
Kota Baru,0.62,0.76,0.51
Banjar,0.32,0.31,0.39
Barito Kuala,0.57,0.76,0.57
Tapin,0.25,0.4,0.35
Hulu Sungai Selatan,0.88,0.7,0.71
Hulu Sungai Tengah,0.62,0.83,0.67
Hulu Sungai Utara,0.83,1.22,1.14
Tabalong,0.92,0.95,1.17
Tanah Bumbu,1.07,0.64,0.63
Balangan,0.78,0.8,1.04
Kota Banjarmasin,0.57,0.84,0.81
Kota Banjar Baru,0.66,0.66,0.52
KALIMANTAN TIMUR,1.04,0.89,0.85
Paser,1.48,1.32,1.22
Kutai Barat,1.56,0.91,1.19
Kutai Kartanegara,1.16,1.5,0.95
Kutai Timur,2.05,1.26,1.49
Berau,0.97,0.49,0.57
Penajam Paser Utara,1.04,1.11,1.18
Mahakam Hulu,2.57,0.99,0.33
Kota Balikpapan,0.3,0.23,0.67
Kota Samarinda,0.8,0.68,0.49
Kota Bontang,0.84,0.92,0.93
KALIMANTAN UTARA,0.78,1.21,1.09
Malinau,0.7,1.13,0.93
Bulungan,1.25,1.53,1.25
Tana Tidung,0.61,0.47,0.23
Nunukan,0.67,0.8,0.99
Kota Tarakan,0.67,1.45,0.99
SULAWESI UTARA,1.53,1.37,1.27
Bolaang Mongondow,1.49,1.32,1.07
Minahasa,1.38,1.36,1.17
Kepulauan Sangihe,2.23,1.83,2.3
Kepulauan Talaud,1.68,1.4,1.22
Minahasa Selatan,1.76,1.83,1.63
Minahasa Utara,1.55,0.92,1.15
Bolaang Mongondow Utara,2.18,1.11,1.15
Siau Tagulandang Biaro,1.44,1.58,1.51
Minahasa Tenggara,2.68,2.47,2.5
Bolaang Mongondow Selatan,3.45,2.11,1.55
Bolaang Mongondow Timur,1.01,0.74,0.85
Kota Manado,0.66,0.77,0.7
Kota Bitung,0.82,1.23,1.08
Kota Tomohon,1.01,0.88,1.25
Kota Kotamobagu,0.63,0.67,0.57
SULAWESI TENGAH,2.72,2.55,2.64
Banggai Kepulauan,2.17,2.71,2.65
Banggai,1.38,1.98,1.7
Morowali,2.76,2.88,3.05
Poso,4.17,2.57,2.67
Donggala,3.01,3.17,3.04
Toli-Toli,1.64,2.3,2.58
Buol,2.97,2.65,2.15
Parigi Moutong,3.24,2.2,2.71
Tojo Una-Una,3.3,2.89,3.65
Sigi,1.42,2.64,1.66
Banggai Laut,2.48,2.89,2.45
Morowali Utara,2.28,2.57,1.76
Kota Palu,1.19,1.02,0.91
SULAWESI SELATAN,1.83,1.72,1.55
Kepulauan Selayar,2.19,3.74,2.82
Bulukumba,1.72,1.1,1.06
Bantaeng,1.78,1.43,1.74
Jeneponto,3.25,2.84,2.63
Takalar,1.34,1.68,1.61
Gowa,1.59,1.42,1.25
Sinjai,1.66,1.04,1.18
Maros,2.46,2.58,2.19
Pangkajene Dan Kepulauan,3.11,3.04,3.12
Barru,1.71,1.43,1.58
Bone,1.51,1.56,1.44
Soppeng,1.73,1.25,1.39
Wajo,1.12,1.53,1.24
Sidenreng Rappang,0.98,0.85,0.94
Pinrang,1.3,1.62,1.16
Enrekang,2.32,1.83,1.84
Luwu,2.32,2.96,2.35
Tana Toraja,2.65,2.15,2.27
Luwu Utara,2.29,2.02,2.43
Luwu Timur,1.09,1.6,1.16
Toraja Utara,3.76,2.2,1.59
Kota Makassar,0.67,0.64,1.11
Kota Parepare,0.82,0.85,0.75
Kota Palopo,1.17,1.75,1.14
SULAWESI TENGGARA,2.76,1.87,2.04
Buton,2.27,1.96,2.08
Muna,3.19,2.43,1.7
Konawe,2.68,3.32,2.47
Kolaka,2.67,2.47,2.92
Konawe Selatan,2.44,1.55,1.5
Bombana,2.5,2.49,2.46
Wakatobi,2.85,2.52,2.9
Kolaka Utara,3.52,2.73,2.71
Buton Utara,4.04,2.55,1.95
Konawe Utara,2.07,2.87,2.85
Kolaka Timur,4.45,3.37,3.55
Konawe Kepulauan,4.6,2.82,4.59
Muna Barat,-,1.88,2.09
Buton Tengah,-,2.21,1.23
Buton Selatan,-,2.44,3.32
Kota Kendari,0.69,0.75,0.7
Kota Baubau,1.21,1.13,1
GORONTALO,4.12,3.68,3.06
Boalemo,5.44,3.04,3.67
Gorontalo,4.37,4.66,2.67
Pohuwato,5.21,3.5,3.11
Bone Bolango,3.99,5,4.54
Gorontalo Utara,3.46,2.55,3.51
Kota Gorontalo,1.09,0.6,0.83
SULAWESI BARAT,1.95,1.88,1.76
Majene,2,2.28,2.61
Polewali Mandar,2.86,2.02,3.08
Mamasa,1.86,2.19,2.24
Mamuju,0.9,0.9,0.79
Mamuju Utara,0.62,0.76,0.47
Mamuju Tengah,0.83,0.44,1
MALUKU,3.63,3.5,3.47
Maluku Tenggara Barat,3.9,5.29,5.64
Maluku Tenggara,4.37,2.9,3.96
Maluku Tengah,3.49,4.17,3.25
Buru,3.33,2.74,2.8
Kepulauan Aru,5.38,5.56,5.99
Seram Bagian Barat,5.07,4.48,4.15
Seram Bagian Timur,4.26,4.87,3.92
Maluku Barat Daya,6.09,6.51,5.81
Buru Selatan,1.69,2.37,1.65
Kota Ambon,0.56,0.42,0.93
Kota Tual,4.32,4.46,3.39
MALUKU UTARA,0.73,0.81,0.89
Halmahera Barat,0.66,0.95,1.33
Halmahera Tengah,0.9,2.01,1.81
Kepulauan Sula,1.54,0.67,1.25
Halmahera Selatan,0.53,0.45,0.65
Halmahera Utara,0.39,0.63,0.45
Halmahera Timur,2.52,4.07,2.95
Pulau Morotai,0.4,0.83,0.94
Pulau Taliabu,1.46,0.9,0.85
Kota Ternate,0.22,0.37,0.26
Kota Tidore Kepulauan,0.26,0.4,0.82
PAPUA BARAT,7.21,6.74,6.29
Fakfak,6.52,3.82,6.32
Kaimana,4.19,2.35,3.4
Teluk Wondama,10.52,10.01,6.88
Teluk Bintuni,10.3,14.11,10.04
Manokwari,6.36,5.64,4.17
Sorong Selatan,4.42,4.93,2.25
Sorong,9.92,12.56,9.23
Raja Ampat,4.32,3.58,2.7
Tambrauw,5.04,5.83,7.97
Maybrat,10.27,7.87,11.15
Manokwari Selatan,11.42,9.86,8.52
Pegunungan Arfak,5.53,8.16,5.88
Kota Sorong,2.59,3.14,2.91
PAPUA BARAT DAYA,-,-,-
Raja Ampat,-,-,-
Sorong,-,-,-
Sorong Selatan,-,-,-
Maybrat,-,-,-
Tambrauw,-,-,-
Kota Sorong,-,-,-
PAPUA,9.37,7.5,6.73
Merauke,3.33,2.11,2.06
Jayawijaya,14.71,14.58,12.72
Jayapura,2.57,2.35,2.11
Nabire,8.38,10.99,7.87
Kepulauan Yapen,9.35,6.11,5.18
Biak Numfor,7.45,6.63,6.16
Paniai,9.63,10.04,13.2
Puncak Jaya,5.82,6.93,13.16
Mimika,3.6,4.54,3.81
Boven Digoel,4.22,3.32,4.38
Mappi,8.46,3.86,5.07
Asmat,6.87,3.94,4.01
Yahukimo,10.47,9.42,8.05
Pegunungan Bintang,5.15,7.85,5.91
Tolikara,8.28,4.69,6.15
Sarmi,2.31,2.74,1.72
Keerom,4.64,3.97,3.08
Waropen,12.57,12.27,9.96
Supiori,10.91,8.59,6.6
Mamberamo Raya,7.03,2.17,4.38
Nduga *,7.3,7.66,9.81
Lanny Jaya,11.64,12.12,14.59
Mamberamo Tengah,5.53,6.73,8.45
Yalimo,9.73,11.47,6.98
Puncak,5.77,8.87,10.58
Dogiyai,9.3,4.84,5.75
Intan Jaya,13.97,13.18,11.72
Deiyai,11.48,11.63,6.92
Kota Jayapura,1.63,3.2,2.55
PAPUA SELATAN,-,-,-
Merauke,-,-,-
Boven Digoel,-,-,-
Mappi,-,-,-
Asmat,-,-,-
PAPUA TENGAH,-,-,-
Mimika,-,-,-
Dogiyai,-,-,-
Deiyai,-,-,-
Nabire,-,-,-
Paniai,-,-,-
Intan Jaya,-,-,-
Puncak,-,-,-
Puncak Jaya,-,-,-
PAPUA PEGUNUNGAN,-,-,-
Nduga,-,-,-
Jayawijaya,-,-,-
Lanny Jaya,-,-,-
Tolikara,-,-,-
Mamberamo Tengah,-,-,-
Yalimo,-,-,-
Yahukimo,-,-,-
Pegunungan Bintang,-,-,-
